numrodeligne,dataentryby,source,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
411,Demba,AN F12 835,420 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Ris,"345 303,00",livres,69 000,
412,Demba,AN F12 835,421 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Sel de roche,"412 000,00",livres,52 000,
413,Demba,AN F12 835,422 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Drogues et épiceries diverses pour la peinture et teinture,,valeur,27 000,
414,Demba,AN F12 835,423 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Gomme laque,"14 337,00",livres,43 000,
415,Demba,AN F12 835,424 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Indigo,"5 111,00",livres,43 000,
416,Demba,AN F12 835,425 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Drogues médicinales,,valeur,29 000,
417,Demba,AN F12 835,426 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Rhubarbe,"2 036,00",livres,16 000,
418,Demba,AN F12 835,427 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Epiceries,,valeur,10 000,
419,Demba,AN F12 835,428 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Caffé,"16 622,00",livres,17 000,
420,Demba,AN F12 835,429 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Poivre,"206 742,00",livres,341 000,
421,Demba,AN F12 835,430 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Sucre,"296 020,00",livres,190 000,
422,Demba,AN F12 835,431 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Thé,"6 890,00",livres,41 000,
423,Demba,AN F12 835,432 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Huiles diverses,"81 463,00",livres,35 000,
424,Demba,AN F12 835,433 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Colle de poisson,"8 304,00",livres,67 000,
425,Demba,AN F12 835,434 mars-31 décembre 1787,37,Imports,Flandre Françoise,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,60 000,
426,Demba,AN F12 835,435 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Eau de vie de vin,"6 384,28",muids,919 000,
427,Demba,AN F12 835,436 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Eau de vie de Genievre,"3 001,47",muids,432 000,
428,Demba,AN F12 835,437 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Vins divers,"184,31",muids,98 000,
429,Demba,AN F12 835,438 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Fruits divers,,valeur,23 000,
430,Demba,AN F12 835,439 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Grains comestibles,,valeur,266 000,
431,Demba,AN F12 835,440 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Légumes,"677 519,00",livres,68 000,
432,Demba,AN F12 835,441 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Drogues et épiceries diverses pour la peinture et teinture,,valeur,14 000,
433,Demba,AN F12 835,442 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Drogues médicinales,,valeur,41 000,
434,Demba,AN F12 835,443 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Epiceries,,valeur,10 000,
435,Demba,AN F12 835,444 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,huiles de poisson,"29 040,00",livres,13 000,
436,Demba,AN F12 835,445 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Coton en laine,"355 514,00",livres,889 000,
437,Demba,AN F12 835,446 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Caffé,"7 351,00",livres,7 000,
438,Demba,AN F12 835,447 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Sucre en pain,"1 310,00",livres,1 000,
439,Demba,AN F12 835,448 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Taffia,"382,64",muids,93 000,
440,Demba,AN F12 835,449 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Thés,"17 764,00",livres,89 000,
441,Demba,AN F12 835,450 mars-31 décembre 1787,37,Exports,Flandre Françoise,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,20 000,
442,Demba,AN F12 835,451 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,Toiles diverses,,valeur,13 000,49 pièces et 1672 aunes
443,Demba,AN F12 835,452 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,Fers,"45 767,00",livres,16 000,
444,Demba,AN F12 835,453 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,Ouvrage de Cuivre,,valeur,32 000,
445,Demba,AN F12 835,454 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,huiles de poisson,"37 463,00",livres,15 000,
446,Demba,AN F12 835,455 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,Bled,"417 500,00",livres,52 000,
447,Demba,AN F12 835,456 mars-31 décembre 1787,39,Imports,Languedoc,Angleterre,Marchandises dont le plus fort article n'excede pas 10000 livres,,valeur,17 000,
448,Demba,AN F12 835,457 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Diverses,,valeur,10 000,
449,Demba,AN F12 835,458 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Savon,"23 569,00",livres,12 000,
450,Demba,AN F12 835,459 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Verdes,"24 184,00",livres,24 000,
451,Demba,AN F12 835,460 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,"Olive, Capres, Anchois &c.",,valeur,18 000,
452,Demba,AN F12 835,461 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Eau de vie,"3 781,33",muids,407 000,
453,Demba,AN F12 835,462 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Vins,"468,44",muids,7 000,
454,Demba,AN F12 835,463 mars-31 décembre 1787,39,Exports,Languedoc,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,11 000,
455,Demba,AN F12 835,464 mars-31 décembre 1787,41,Exports,Roussillon,Angleterre,Vins,"410,39",muids,8 000,
456,Demba,AN F12 835,465 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Dentelles de fil,"112,00",livres,112 000,
457,Demba,AN F12 835,466 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Dentelles de Soye,"1 015,81",livres,499 831,
458,Demba,AN F12 835,467 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Glaces,"24 820,00",livres,297 840,
459,Demba,AN F12 835,468 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Merceries melées,"6 007,00",livres,18 021,
460,Demba,AN F12 835,469 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Meubles,,valeur,16 652,
461,Demba,AN F12 835,470 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Porcelaine,"8 758,00",livres,52 548,
462,Demba,AN F12 835,471 mars-31 décembre 1787,43,Exports,Paris,Angleterre,Parfumerie diverses à la valeur,,valeur,9 963,
