numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,bureau,sheet,marchandises,quantit,quantity_unit,doubleaccounts
411,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuirs ; forts,80,cuirs,0
429,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuirs ; secs ; à poil,55570,cuirs,0
445,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuirs ; tannez,7202,cuirs,0
459,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuivre ; non ouvré ; en rosette ou plaque,5507,livres,0
473,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuivre ; ouvré,20506,livres,0
486,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",7,Cuivre ; rompu,8315,livres,0
504,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Dentelle ; de fil,8,livres,0
513,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Dentelle ; de soye,2,livres,0
524,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,"Draps ; d'Angleterre, Hollande et Espagne",13,pièces,0
534,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Draps ; de douzaine,30,pièces,0
547,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Draps ; petits,3716,livres,0
562,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Etain ; non ouvré,75,livres,0
577,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Etain ; ouvré,383,livres,0
588,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Etamine,1100,livres,0
592,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Etoffes ; de laine,5763,livres,0
598,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Etoffes ; de soye ; païs etrangers,6,livres,0
612,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Fer ; blanc,15,livres,0
633,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,"Fer ; en verge, barre et batu",779547,livres,0
649,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Fer ; ouvré,77301,livres,0
677,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fil ; d'Estoupe,39,livres,0
692,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fil ; de Chanvre,2125,livres,0
707,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",8,Fil ; de fer,25,livres,0
716,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fil ; de laine,987,livres,0
721,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fil ; de Latton,800,livres,0
732,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fil ; de Lin,1307,livres,0
768,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Fromage,372602,livres,0
791,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Genisses,26,génisses,0
800,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Goudran,115,barils,0
814,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Harancs ; blancs,429,barils,0
827,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Harancs ; fors,667,barils,0
841,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Huille ; d'Olive,286692,livres,0
865,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Huille ; de Poisson,2748,barriques,0
889,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Jumens,21,juments,0
923,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Laines ; de toutes sortes,2015504,livres,0
932,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",9,Laiton ; braisé,229,livres,0
951,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Lin ; de toutes sortes,67686,livres,0
986,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Marroquins,5425,maroquins,0
1012,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Moluë ; seiche,808085,mollus,0
1025,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Moluë ; verre,1900,mollus,0
1036,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Moutons,9031,moutons,0
1042,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Mullets,48,mullets,0
1052,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Peaux ; de Lapin,1032,livres,0
1061,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; d'Aigneaux ; en laine,698,peaux,0
1082,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; de Chamois,44,peaux,0
1091,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Peaux ; de Chevre ; à poil,100,peaux,0
1102,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; de Chevre ; aprestées,216,peaux,0
1114,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Peaux ; de Mouton,10800,peaux,0
1134,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; de Mouton ou Chamois,2990,peaux,0
1146,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; de Veau ; corroyées,2176,peaux,0
1162,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; de Veau ; tannées,1374,peaux,0
1175,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",10,Peaux ; de veaux ; à poil,1085,peaux,0
1186,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Peaux ; jaune,441,peaux,0
1192,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Pelleterie ; aprestée,1342,livres,0
1204,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Pelleterie ; non aprestée,1604,livres,0
1218,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Plomb,121800,livres,0
1227,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Poil ; de Chevre,5345,livres,0
1233,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Porcelets,64,porcelets,0
1240,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Porcs,157,porqs,0
1247,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Poullains,15,poulains,0
1268,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",11,Quincaillerie ; de Fer,1526,livres,0
1299,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Ruban ; de Soye,4,livres,0
1319,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Saumons ; salez,138,barils,0
1346,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Savon ; de Marseille,98935,livres,0
1357,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Savon ; noir,6520,livres,0
1373,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Soye ; cruë,2945,livres,0
1388,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Suif ; à faire Chandelle,21910,livres,0
1395,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Taffetas ; d'Avignon,5430,livres,0
1397,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",12,Tapis ; de Turquie,122,tapis,0
1418,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; à Tamis,46,livres,0
1425,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; bleüe,3255,pièces,0
1437,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; d'Estoupe,16,livres,0
1455,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; de Chanvre,32,livres,0
1465,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; de Cotton,3965,pièces,0
1490,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; de Lin,57,livres,0
1514,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Toille ; grosse,573,livres,0
1541,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Vaches,54,vaches,0
1548,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Veaux,119,veaux,0
1560,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Languedoc, Provence et Roussillon",13,Vieux ; Linge,10775,livres,0
11,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Acier,41572,livres,0
29,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Airain ; ouvré,2,livres,0
58,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Barracans,5,pièces,0
68,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bas ; de cotton et fil,894,paires,0
82,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bas ; de laine,99,paires,0
94,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bas ; de soye,27,paires,0
133,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Beurre,32414,livres,0
146,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bœufs ; en vie,70,bœufs,0
151,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bœufs et langues salées ; de toutes sortes,3,barils,0
159,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Bonnets ; de laine,126,bonnets,0
172,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Brocatelles ; de Venise,3692,livres,0
176,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Burail,5847,pièces,0
187,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Camelots ; d'Angleterre et Hollande,6,pièces,0
210,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Cendre ; de plomb,1550,livres,0
228,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",6,Chandelle ; de suif,497,livres,0
244,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Chanvre,288,livres,0
271,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Chevaux ; de bas pris,1267,chevaux,0
282,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Chevaux ; de haut prix,67,chevaux,0
297,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Clouds et caboches de fer,695,livres,0
312,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Colles,5355,livres,0
326,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cordages et ficelles,250,livres,0
339,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cotton ; filé et non filé,32645,livres,0
367,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Couvertures ; de laine et cotton,51,couvertures,0
380,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Crain,1544,livres,0
386,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Crespes et crespons,2598,pièces,0
400,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cuirs ; de Roussy,1,cuirs,0
430,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cuirs ; secs ; à poil,89,cuirs,0
460,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cuivre ; non ouvré ; en rosette ou plaque,20837,livres,0
474,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",7,Cuivre ; ouvré,978,livres,0
493,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Damas ; Cafart,543,pièces,0
496,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Damas ; de Luques,800,pièces,0
505,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Dentelle ; de fil,167.125,livres,0
514,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Dentelle ; de soye,1.5,livres,0
525,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,"Draps ; d'Angleterre, Hollande et Espagne",1,pièces,0
530,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Draps ; d'or et d'argent fin,27,livres,0
554,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Droguets,142,livres,0
563,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Etain ; non ouvré,6760,livres,0
578,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Etain ; ouvré,122,livres,0
599,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Etoffes ; de soye ; païs etrangers,2406,livres,0
634,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,"Fer ; en verge, barre et batu",33827,livres,0
650,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Fer ; ouvré,1637,livres,0
683,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fil ; de Cardes,155,livres,0
693,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fil ; de Chanvre,20,livres,0
699,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fil ; de Cotton,475,livres,0
708,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",8,Fil ; de fer,59388,livres,0
722,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fil ; de Latton,580,livres,0
733,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fil ; de Lin,1585,livres,0
769,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Fromage,1567465,livres,0
792,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Genisses,70,génisses,0
842,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Huille ; d'Olive,202180,livres,0
879,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Jambons,628,livres,0
890,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Jumens,12,juments,0
901,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Laine ; de Vigogne,25,livres,0
924,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Laines ; de toutes sortes,425,livres,0
933,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",9,Laiton ; braisé,662,livres,0
952,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Lin ; de toutes sortes,13707,livres,0
967,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Linge ; de toutes sortes,18,livres,0
987,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Marroquins,754,maroquins,0
995,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Marte ; commune et en pointe,111,martes,0
1013,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Moluë ; seiche,25,mollus,0
1062,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Peaux ; d'Aigneaux ; en laine,518,peaux,0
1078,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Peaux ; de Chagrin et Romagne,2688,peaux,0
1083,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Peaux ; de Chamois,96,peaux,0
1092,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Peaux ; de Chevre ; à poil,10786,peaux,0
1103,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Peaux ; de Chevre ; aprestées,3646,peaux,0
1115,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Peaux ; de Mouton,124,peaux,0
1127,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Peaux ; de Mouton ; en mesquis,24,peaux,0
1153,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Peaux ; de Veau ; en Chamois,1859,peaux,0
1176,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",10,Peaux ; de veaux ; à poil,923,peaux,0
1187,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Peaux ; jaune,1718,peaux,0
1193,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Pelleterie ; aprestée,989,livres,0
1205,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Pelleterie ; non aprestée,275,livres,0
1228,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Poil ; de Chevre,140,livres,0
1234,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Porcelets,80,porcelets,0
1248,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Poullains,161,poulains,0
1255,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Quincaillerie ; de Cuivre,200,livres,0
1269,Jérémy Hervelin,F12 1834A,Divers/AN/F_12_1834A/1671.csv,Divers,1671,Imports,"Lyon, Valence et Bresse",11,Quincaillerie ; de Fer,27565,livres,0
