numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
267,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Sirop de sucre,Nord,"132000,00",Livre,"0,050","6 600,00","0,00",,
268,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Satin,Nord,"38,00",Pièce,"70,000","2 660,00","0,00",,
269,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Soirie,Nord,"7,00",Livre,"40,000","280,00","0,00",,
270,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé hayswen,Nord,"230,00",Livre,"3,000","690,00","0,00",,
271,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé Pekan,Nord,"186,00",Livre,"6,000","1 116,00","0,00",,
272,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé Camhou,Nord,"672,00",Livre,"5,000","3 360,00","0,00",,
273,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé imperial,Nord,"1075,00",Livre,"7,000","7 525,00","0,00",,
274,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé saochaon,Nord,"8350,00",Livre,"10,000","83 500,00","0,00",,
275,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé vert saouls,Nord,"61476,00",Livre,"2,300","141 394,00","0,80",,
276,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé vert,Nord,"37326,00",Livre,"2,500","93 315,00","0,00",,
277,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Thé bou,Nord,"138850,00",Livre,"2,750","381 837,50","0,00",,
278,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Toile de Bretagne,Nord,"528,00",Livre,"4,000","2 112,00","0,00",,
279,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Toile de Cotton blanche,Nord,"1040,00",Pièce,"30,000","31 200,00","0,00",,
280,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Toile de Cotton blanche,Nord,"6680,00",Aune,"2,000","13 360,00","0,00",,
281,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Toile peinte des Indes,Nord,"570,00",Pièce,"15,000","8 550,00","0,00",,
282,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Velours,Nord,"1,00",Aune,"20,000","20,00","0,00",,
283,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Vert de gris,Nord,"510,00",Livre,"1,000","510,00","0,00",,
284,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Vin d'amont,Nord,"98,00",Tonneau,"150,000","14 700,00","0,00",,
285,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Vin nantois,Nord,"66,00",Tonneau,"60,000","3 960,00","0,00",,
286,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,8,Vinaigre,Nord,"8,00",Tonneau,"60,000","480,00","0,00",,
287,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Beure,Espagne,"1900,00",Livre,"0,250","475,00","0,00",Prix unitaire en pourcentage,
288,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bray gras,Espagne,"5,00",Baril,"20,000","100,00","0,00",,
289,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bray sec,Espagne,"350,00",Livre,"0,070","24,50","0,00",Prix unitaire en pourcentage,
290,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bougie de cire blanche,Espagne,"500,00",Livre,"1,800","900,00","0,00",,
291,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bours de Marseille,Espagne,"22,00",Pièce,"12,000","264,00","0,00",,
292,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bas de soye,Espagne,"10,50",Livre,"45,000","472,50","0,00",,
293,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bas de fil,Espagne,"25,00",Livre,"0,000","175,00","-175,00",Prix unitaire de 14 livres la douzaine,
294,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Bouteilles de verre,Espagne,"150,00",Nombre,"0,150","22,50","0,00",Prix unitaire en pourcentage,
295,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Confitures,Espagne,"480,00",Livre,"0,700","336,00","0,00",,
296,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cacao,Espagne,"6255,00",Livre,"1,400","8 757,00","0,00",,
297,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Caffé,Espagne,"12,00",Livre,"2,750","33,00","0,00",,
298,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Camelot soye en laine,Espagne,"660,00",Aune,"5,000","3 300,00","0,00",,
299,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Camelot de laine,Espagne,"800,00",Aune,"4,000","3 200,00","0,00",,
300,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cottonades,Espagne,"90,00",Aune,"2,500","225,00","0,00",,
301,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chites,Espagne,"258,00",Pièce,"15,000","3 870,00","0,00",,
302,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Coutils,Espagne,"15,00",Livre,"25,000","375,00","0,00",,
303,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chapeaux de castors,Espagne,"60,00",Pièce,"20,000","1 200,00","0,00",,
304,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chapeaux brodés d'argent,Espagne,"12,00",Pièce,"25,000","300,00","0,00",,
305,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chapeaux communs,Espagne,"90,00",Livre,"0,750","67,50","0,00",,
306,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chapeaux de vigogne,Espagne,"40,00",Pièce,"8,000","320,00","0,00",,
307,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cuirs de vache en croute,Espagne,"8516,00",Livre,"6,000","51 096,00","0,00",,
308,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cotton en laine,Espagne,"75,00",Livre,"0,700","38,50","14,00",erreur de calcul,
309,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cordage,Espagne,"4800,00",Livre,"0,240","1 152,00","0,00",,
310,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chandelle,Espagne,"605,00",Livre,"0,350","211,70","0,05",,
311,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cire blanche,Espagne,"26395,00",Livre,"1,650","43 551,75","0,00",,
312,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cuivre rouge ouvré,Espagne,"500,00",Livre,"1,650","825,00","0,00",,
313,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Cabarets vernis,Espagne,"2,00",Pièce,"9,000","18,00","0,00",,
314,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Chaises de paille,Espagne,"20,50",Douzaine,"6,000","123,00","0,00",,
315,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Damas des Indes,Espagne,"54,50",Pièce,"100,000","5 450,00","0,00",,
316,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Drap noir de Sedan,Espagne,"150,00",Aune,"14,000","2 100,00","0,00",,
317,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Drogueries,Espagne,"1900,00",Livre,"1,000","1 900,00","0,00",,
318,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Eau de vie,Espagne,"356,50",Barrique,"60,000","22 548,00","-1 158,00",Plus droits à 3 livres et 5 sous par barriques = 1158 livres,
319,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Etofes diverses des Indes,Espagne,"142,00",Pièce,"100,000","14 200,00","0,00",,
320,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Etamine de laine,Espagne,"10160,00",Aune,"2,750","27 940,00","0,00",,
321,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Eventails fins,Espagne,"15,00",Douzaine,"36,000","540,00","0,00",,
322,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Eventails communs,Espagne,"50,00",Livre,"22,000","1 100,00","0,00",,
323,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Encens,Espagne,"120,00",Livre,"0,600","72,00","0,00",,
324,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Essence,Espagne,"12,00",Livre,"1,250","15,00","0,00",,
325,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,9,Eponges,Espagne,"2125,00",Livre,"0,750","1 593,75","0,00",,
326,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Esquine,Espagne,"3000,00",Livre,"0,750","2 250,00","0,00",,
327,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Estain ouvré,Espagne,"95,00",Livre,"0,750","71,25","0,00",,
328,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Epicerie fine,Espagne,"150,00",Livre,"12,000","1 800,00","0,00",,
329,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Farines,Espagne,"230,00",Quart,"15,000","3 450,00","0,00",,
330,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Fromages,Espagne,"1500,00",Livre,"0,200","300,00","0,00",,
331,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Fichus de soye des Indes,Espagne,"20,00",Pièce,"50,000","1 000,00","0,00",,
332,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Fil de Rennes,Espagne,"7850,00",Livre,"1,650","12 952,50","0,00",,
333,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Fusils de chasse,Espagne,"1,00",Nombre,"0,000","120,00","-120,00",,
334,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Fayance,Espagne,"290,00",Douzaine,"18,000","5 220,00","0,00",,
335,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Guingans,Espagne,"132,00",Pièce,"9,000","1 188,00","0,00",,
336,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Huile d'olives,Espagne,"110,00",Livre,"0,600","66,00","0,00",Prix unitaire en pourcentage,
337,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Indigo,Espagne,"137760,00",Livre,"2,750","37 890,00","340 950,00",erreur de calcul,
338,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Indiennes,Espagne,"408,00",Pièce,"4,000","1 632,00","0,00",,
339,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Indiennes,Espagne,"5560,00",Aune,"2,000","11 120,00","0,00",,
340,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Limeneas,Espagne,"156,00",Pièce,"20,000","3 120,00","0,00",,
341,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Listonnerie,Espagne,"470,00",Livre,"70,000","32 900,00","0,00",,
342,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Librairie,Espagne,"1950,00",Livre,"2,000","3 900,00","0,00",,
343,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Langue de beuf salée,Espagne,"2,00",Douzaine,"6,000","12,00","0,00",,
344,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Lard,Espagne,"400,00",Livre,"0,250","100,00","0,00",Prix unitaire en pourcentage,
345,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Lamproyes,Espagne,"264,00",Boisseau,"5,000","1 320,00","0,00",,
346,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Liqueurs à boire,Espagne,,,"0,000","37,00","-37,00",,
347,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Meubles,Espagne,,,"0,000","1 900,00","-1 900,00",,
348,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Mouchoirs de Pontichery,Espagne,"512,00",Pièce,"18,000","9 216,00","0,00",,
349,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Mouchoirs peints d'hollande,Espagne,"187,00",Pièce,"30,000","5 610,00","0,00",,
350,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Mouchoirs peints d'hollande,Espagne,"2380,00",Nombre,"3,000","7 140,00","0,00",,
351,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Mercerie fine,Espagne,"19218,00",Livre,"6,000","115 308,00","0,00",,
352,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Morue seche,Espagne,"3000,00",Livre,"0,200","600,00","0,00",,
353,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Poivre,Espagne,"5150,00",Livre,"1,000","5 150,00","0,00",,
354,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Pruneaux d'amont,Espagne,"1550,00",Livre,"1,000","1 550,00","0,00",,
355,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Pekins,Espagne,"65,00",Pièce,"80,000","5 200,00","0,00",,
356,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Platille,Espagne,"2082,00",Pièce,"5,000","10 410,00","0,00",,
357,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Perruque,Espagne,"12,00",Nombre,"0,000","360,00","-360,00",,
358,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Peaux de veau corroyées,Espagne,"214,00",Douzaine,"26,000","5 564,00","0,00",,
359,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Peaux de Roussy,Espagne,"350,00",Livre,"1,500","10 500,00","-9 975,00",erreur de calcul,
360,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Papier blanc,Espagne,"7420,00",Livre,"1,000","7 420,00","0,00",,
361,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Porcelaine des Indes,Espagne,"414,00",Livre,"5,000","2 070,00","0,00",,
362,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Pierres à fusil,Espagne,"1275,00",Millier,"2,500","3 187,50","0,00",,
363,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Planches de sapin,Espagne,"30,00",Nombre,"0,250","7,50","0,00",,
364,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Poudre a poudrer,Espagne,"300,00",Livre,"0,400","120,00","0,00",Prix unitaire en pourcentage,
365,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,10,Quinquaille,Espagne,"15180,00",Livre,"1,000","15 180,00","0,00",,
366,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Raves de morue,Espagne,"36,00",Barrique,"55,000","1 980,00","0,00",,
367,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Raves de morue,Espagne,"377,00",Baril,"25,000","8 925,00","500,00",erreur de calcul,
368,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Rocou,Espagne,"18680,00",Livre,"0,400","7 472,00","0,00",,
369,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Rapure de corne de cerf,Espagne,"2850,00",Livre,"0,100","285,00","0,00",Prix unitaire en pourcentage,
370,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Reglisse,Espagne,"480,00",Livre,"0,300","144,00","0,00",Prix unitaire en pourcentage,
371,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sel,Espagne,"518,00",Muid,"22,000","11 396,00","0,00",,
372,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sucre blanc,Espagne,"180250,00",Livre,"0,300","54 075,00","0,00",Prix unitaire en pourcentage,
373,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sucre terré,Espagne,"1169050,00",Livre,"0,250","292 262,00","0,50",,
374,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sucre testes ,Espagne,"138825,00",Livre,"0,200","27 765,00","0,00",,
375,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sucre brun,Espagne,"45950,00",Livre,"0,120","5 514,00","0,00",,
376,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Sardines,Espagne,"6,00",Baril,"20,000","120,00","0,00",,
377,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Satin brodé,Espagne,"9,00",Pièce,"400,000","3 600,00","0,00",,
378,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Satin rayé,Espagne,"87,00",Pièce,"100,000","8 700,00","0,00",,
379,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Satin sur cotton,Espagne,"24,00",Aune,"3,000","72,00","0,00",,
380,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Soucis,Espagne,"10,00",Pièce,"25,000","250,00","0,00",,
381,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Serge de laine,Espagne,"10,00",Aune,"5,000","50,00","0,00",,
382,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Souliers pour femme,Espagne,"50,00",Paire,"6,000","300,00","0,00",,
383,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Savon,Espagne,"425,00",Livre,"0,300","127,50","0,00",,
384,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Soirie,Espagne,"63,00",Livre,"40,000","2 520,00","0,00",,
385,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Toile de Bretagne,Espagne,"146580,00",Livre,"4,000","586 320,00","0,00",,
386,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Toile de cotton brodée,Espagne,"2,50",Pièce,"300,000","750,00","0,00",,
387,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Toile de crin,Espagne,"70,00",Livre,"1,200","84,00","0,00",Prix unitaire en pourcentage,
388,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Tapisserie de haute lieu vieille,Espagne,"14,00",Aune,"10,000","140,00","0,00",,
389,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Thé vert,Espagne,"1384,00",Livre,"2,500","3 460,00","0,00",,
390,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Thé bou,Espagne,"481,00",Livre,"2,750","1 322,75","0,00",,
391,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Tabac en poudre,Espagne,"25702,00",Livre,"2,000","51 404,00","0,00",,
392,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin de Frontignan,Espagne,"270,00",Bouteille,"2,000","540,00","0,00",,
393,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin de Champagne,Espagne,"100,00",Bouteille,"2,500","250,00","0,00",,
394,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin de Bourgogne,Espagne,"620,00",Bouteille,"2,250","1 395,00","0,00",,
395,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin de Bordeaux,Espagne,"5,00",Tonneau,"150,000","762,25","-12,25","Plus droits à 49 sous le tonneau =12,25 livres",
396,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin d'amont,Espagne,"9,00",Tonneau,"150,000","1 372,05","-22,05","Plus droits à 49 sous le tonneau =22,05 livres",
397,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vin nantois,Espagne,"16,00",Tonneau,"60,000","999,20","-39,20","Plus droits à 49 sous le tonneau =39,20 livres",
398,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vinaigre,Espagne,"6,00",Tonneau,"60,000","374,70","-14,70","Plus droits à 49 sous le tonneau =14,70 livres",
399,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vestes de satin,Espagne,"12,00",Nombre,"0,000","600,00","-600,00",,
400,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Verres à boire,Espagne,"60,00",Livre,"1,500","90,00","0,00",,
401,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,11,Vieux oing,Espagne,"80,00",Livre,"0,250","20,00","0,00",,
402,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,12,Bas de laine,Portugal,"344,00",Livre,"7,000","2 408,00","0,00",,
403,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,12,Bray sec,Portugal,"4,00",Baril,"15,000","60,00","0,00",,
404,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,12,Confitures,Portugal,"30,00",Livre,"1,500","45,00","0,00",,
