numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,Valeur (Prix unitaire ,value,problem,remarks,Unverified
273,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Meubles et ornements,Isles françoises de l'Amérique,,Valeur,,,,0,15410,,,0,,,,
274,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Papier blanc,Isles françoises de l'Amérique,1940,Livre,,12,,"0,6",,,,1164,,,,
275,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Peaux de veau corroyées,Isles françoises de l'Amérique,231,Douzaine,28,,,28,,,,6468,,,,
276,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Pierres de grison,Isles françoises de l'Amérique,100,Pièce,,20,,1,,,,100,,,,
277,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Pipes a fumer,Isles françoises de l'Amérique,400,Grosse,,45,,"2,25",,,,900,,,,
278,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Planches de sapin,Isles françoises de l'Amérique,2852,Pièce,,20,,1,,,,2852,,,,
279,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Plomb en grenaille,Isles françoises de l'Amérique,1500,Livre,,7,,"0,35",,,,525,,,,
280,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Plomb en saumon,Isles françoises de l'Amérique,21900,Livre,,4,,"0,2",,,,4380,,,,
281,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Porcelaine,Isles françoises de l'Amérique,50,Livre,5,,,5,,,,250,,,,
282,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Pots de terre de formes à sucre,Isles françoises de l'Amérique,4800,Pièce,,6,,"0,3",,,,1440,,,,
283,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Quincaille,Isles françoises de l'Amérique,13650,Livre,,20,,1,,,,13650,,,,
284,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Ratafia,Isles françoises de l'Amérique,12,Bouteille,,40,,2,,,,24,,,,
285,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Saumon salé,Isles françoises de l'Amérique,8,Quart,20,,,20,,,,160,,,,
286,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Savon,Isles françoises de l'Amérique,18677,Livre,,9,,"0,45",,,,"8404,65",,,,
287,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Selles de cheval,Isles françoises de l'Amérique,89,Pièce,25,,,25,,,,2225,,,,
288,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Souliers,Isles françoises de l'Amérique,1420,Paire,4,,,4,,,,5680,,,,
289,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Suif,Isles françoises de l'Amérique,39340,Livre,,9,,"0,45",,,,17703,,,,
290,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Tabac rappé,Isles françoises de l'Amérique,20,Livre,4,,,4,,,,80,,,,
291,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Toile de Bretagne,Isles françoises de l'Amérique,86818,Livre,3,10,,"3,5",,,,303863,,,,
292,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Toile a voile,Isles françoises de l'Amérique,2300,Livre,,22,,"1,1",,,,2530,,,,
293,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Tuffaux,Isles françoises de l'Amérique,3900,Livre,"0,12",,,"0,12",,,,468,,,Prix unitaire en pourcentage,
294,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Verroterie,Isles françoises de l'Amérique,7500,Livre,,20,,1,,,,7500,,,,
295,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Vin de Bordeaux,Isles françoises de l'Amérique,"432,25",Tonneau,280,,,280,,,,121030,,,,
296,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Vin de Champagne,Isles françoises de l'Amérique,420,Bouteille,2,,,2,,,,840,,,,
297,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,11,Vin nantois,Isles françoises de l'Amérique,"224,75",Tonneau,100,,,100,,,,22475,,,,
