numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
867,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Pommes,Marseille,Pour la Savoye et le Piemont,"9,5",Charges,25,237,"0,5",
868,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Poules,Marseille,Pour la Savoye et le Piemont,2,en nombre,1,2,0,
869,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Poulets,Marseille,Pour la Savoye et le Piemont,296,en nombre,"0,75",222,0,
870,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Prunes,Marseille,Pour la Savoye et le Piemont,883,Livres,"0,2",176,"0,6",
871,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Quincailles de fer et acier,Marseille,Pour la Savoye et le Piemont,4316,Livres,1,4316,0,
872,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Raisins frais,Marseille,Pour la Savoye et le Piemont,302275,Livres,"0,05",15113,"0,75",
873,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Rubarbe,Marseille,Pour la Savoye et le Piemont,14,Livres,30,420,0,
874,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Ruban de soye,Marseille,Pour la Savoye et le Piemont,83,Livres,60,4980,0,
875,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Sablon,Marseille,Pour la Savoye et le Piemont,150,Livres,"0,2",30,0,
876,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Sucre blanc,Marseille,Pour la Savoye et le Piemont,1,Livres,,0,,
877,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Souliers,Marseille,Pour la Savoye et le Piemont,33,Paires,"3,5",115,"0,5",
878,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Tabatieres d'argent,Marseille,Pour la Savoye et le Piemont,13,en nombre,,230,,
879,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Toile blanche,Marseille,Pour la Savoye et le Piemont,1790,Livres,4,7160,0,
880,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Toile crüe,Marseille,Pour la Savoye et le Piemont,622,Livres,"1,5",933,0,
881,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Toile sempiterne,Marseille,Pour la Savoye et le Piemont,155,Livres,1,155,0,
882,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Terraille commune,Marseille,Pour la Savoye et le Piemont,8,Charges,20,160,0,
883,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,40,Exports,Verre a boire,Marseille,Pour la Savoye et le Piemont,9566,Livres,1,9566,0,
884,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Vin,Marseille,Pour la Savoye et le Piemont,"661,25",Charges,18,11902,"0,5",
885,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Vin,Marseille,Pour la Savoye et le Piemont,462,Milleroles,6,2772,0,
886,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Vin,Marseille,Pour la Savoye et le Piemont,1,Barrils,10,10,0,
887,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Vin,Marseille,Pour la Savoye et le Piemont,4,Coupes,12,48,0,
888,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Vinaigre,Marseille,Pour la Savoye et le Piemont,59,Charges,10,590,0,
889,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Acier,Marseille,Pour l'Italie,2085,Livres,"0,35",729,"0,75",
890,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Ajamis,Marseille,Pour l'Italie,22269,pieces,8,178152,0,
891,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Allaya,Marseille,Pour l'Italie,101,pieces,3,303,0,
892,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Aloës,Marseille,Pour l'Italie,520,Livres,1,520,0,
893,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Alun,Marseille,Pour l'Italie,6600,Livres,"0,15",990,0,
894,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Ambre gris,Marseille,Pour l'Italie,5,Livres,240,1200,0,"""5 livres à 20£ l'once la livre et 12 onces"""
895,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Amandes cassées,Marseille,Pour l'Italie,882866,Livres,"0,2",176573,"0,2",
896,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Amandes en coques,Marseille,Pour l'Italie,650,Livres,"0,12",78,0,
897,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Amidon,Marseille,Pour l'Italie,46623,Livres,"0,2",9324,"0,6",
898,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Anchois,Marseille,Pour l'Italie,3135,Livres,"0,5",1567,"0,5",
899,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Ancres de fer,Marseille,Pour l'Italie,325,Livres,"0,2",65,0,
900,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Anguilles salées,Marseille,Pour l'Italie,23435,Livres,"0,45",10550,"-4,25",Calcul
901,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Anis vert,Marseille,Pour l'Italie,38213,Livres,"0,2",7642,"0,6",
902,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Antimoine cru,Marseille,Pour l'Italie,571,Livres,"0,35",199,"0,85",
903,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Aristoche,Marseille,Pour l'Italie,4500,Livres,"0,25",1125,0,
904,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,41,Exports,Arquifou,Marseille,Pour l'Italie,5200,Livres,"0,15",780,0,
905,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Auf,Marseille,Pour l'Italie,300,Livres,"0,1",30,0,
906,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Avirons,Marseille,Pour l'Italie,82,Paires,"3,5",287,0,
907,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Avoine,Marseille,Pour l'Italie,275,Charges,10,2750,0,
908,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Azur commun,Marseille,Pour l'Italie,1921,Livres,"0,6",1152,"0,6",
909,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Balais de palmes,Marseille,Pour l'Italie,160,Douzaines,"0,9",144,0,
910,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Baleine coupée,Marseille,Pour l'Italie,1355,Livres,5,6775,0,
911,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas de cotton,Marseille,Pour l'Italie,182,Livres,5,910,0,
912,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas de filozelle,Marseille,Pour l'Italie,894,Livres,15,13410,0,
913,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas grossiers,Marseille,Pour l'Italie,40,Livres,"2,25",90,0,
914,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas de laine,Marseille,Pour l'Italie,3,Paires,2,6,0,
915,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas de laine,Marseille,Pour l'Italie,28504,Livres,6,171024,0,
916,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bas de soye,Marseille,Pour l'Italie,700,Livres,40,28000,0,
917,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Batanonis,Marseille,Pour l'Italie,3943,Pieces,4,15772,0,
918,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bazannes tannées,Marseille,Pour l'Italie,788,Douzaines,10,7880,0,
919,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bazannes tannées,Marseille,Pour l'Italie,42907,Livres,1,42907,0,
920,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bazin,Marseille,Pour l'Italie,150,Livres,3,450,0,
921,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Benjoin,Marseille,Pour l'Italie,469,Livres,5,2345,0,
922,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bijouterie,Marseille,Pour l'Italie,,,,14000,,
923,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Biscuits de mer,Marseille,Pour l'Italie,6000,Livres,"0,12",720,0,
924,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bled froment,Marseille,Pour l'Italie,69717,Charges,18,1254906,0,
925,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bois de Brezil,Marseille,Pour l'Italie,22063,Livres,"0,25",5515,"0,75",
926,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,42,Exports,Bois de campesche,Marseille,Pour l'Italie,271925,Livres,"0,16",43508,0,
927,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bois ouvré,Marseille,Pour l'Italie,6,Charges,15,90,0,
928,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bois de noyer,Marseille,Pour l'Italie,13,pieces,2,26,0,
929,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bois de sandal moulu ,Marseille,Pour l'Italie,825,Livres,"0,26",214,"0,5",
930,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bois de Sapan,Marseille,Pour l'Italie,2625,Livres,"0,25",656,"0,25",
931,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bol d'Armenie,Marseille,Pour l'Italie,400,Livres,"0,2",80,0,
932,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bonnets de coton,Marseille,Pour l'Italie,2000,Livres,1,2000,0,
933,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bonnets de laine,Marseille,Pour l'Italie,1065,Livres,4,4260,0,
934,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Boucassin,Marseille,Pour l'Italie,150,pieces,3,450,0,
935,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bouchons de liege,Marseille,Pour l'Italie,150,Livres,3,450,0,
936,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bouras,Marseille,Pour l'Italie,246,Livres,"0,25",61,"0,5",
937,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bourre de beuf,Marseille,Pour l'Italie,900,Livres,"0,1",90,0,
938,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bours fil et cotton,Marseille,Pour l'Italie,36,pieces,8,288,0,
939,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bourre en soye,Marseille,Pour l'Italie,106,en nombre,15,1590,0,
940,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bouteilles de verre,Marseille,Pour l'Italie,30800,Livres,"0,2",6160,0,
941,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bourdes,Marseille,Pour l'Italie,12200,Livres,"0,06",732,0,
942,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bouton de poil,Marseille,Pour l'Italie,300,Douzaines,"1,5",450,0,
943,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Boyaux salés,Marseille,Pour l'Italie,8900,Livres,"0,15",1335,0,
944,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Bray sec,Marseille,Pour l'Italie,62900,Livres,"0,1",6290,0,
945,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Brun rouge,Marseille,Pour l'Italie,575,Livres,"0,035",2012,"-1991,88",erreur de calcul (n'a pas divisé par 100)
946,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Cacao,Marseille,Pour l'Italie,141355,Livres,"1,4",197897,0,
947,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Caffé de l'amerique,Marseille,Pour l'Italie,340844,Livres,"0,6",204506,"0,4",
948,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Caffé de levant,Marseille,Pour l'Italie,62751,Livres,"1,5",94126,"0,5",
949,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,43,Exports,Callamande,Marseille,Pour l'Italie,318,Pieces,70,22260,0,
950,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Callamande,Marseille,Pour l'Italie,130,Livres,3,390,0,
951,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Camphre,Marseille,Pour l'Italie,1687,Livres,7,11809,0,
952,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Canefice,Marseille,Pour l'Italie,143150,Livres,"0,24",34356,0,
953,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Canelle,Marseille,Pour l'Italie,10232,Livres,"6,5",66508,0,
954,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cantarides,Marseille,Pour l'Italie,725,Livres,"0,2",145,0,
955,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Capots,Marseille,Pour l'Italie,78,Pieces,8,624,0,
956,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Capres,Marseille,Pour l'Italie,118075,Livres,"0,18",21253,"0,5",
957,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cardes a carder,Marseille,Pour l'Italie,130,Livres,"0,4",52,0,
958,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Caret,Marseille,Pour l'Italie,255,Livres,"0,4",102,0,
959,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Carreaux de briques,Marseille,Pour l'Italie,"7,5",Milliers,15,112,"0,5",
960,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cannes a main,Marseille,Pour l'Italie,14,Faix,"1,5",21,0,
961,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cartes a joüer,Marseille,Pour l'Italie,271,Grosses,18,4878,0,
962,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Ceinturons de cotton,Marseille,Pour l'Italie,12,Douzaines,8,96,0,
963,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cendre de Levant,Marseille,Pour l'Italie,307100,Livres,"0,07",21497,0,
964,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Cercles de fer,Marseille,Pour l'Italie,525,Livres,"0,18",94,"0,5",
965,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Ceruze,Marseille,Pour l'Italie,2027,Livres,"0,2",405,"0,4",
966,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chaises de bois,Marseille,Pour l'Italie,16,Douzaines,12,192,0,
967,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chaises de jongs,Marseille,Pour l'Italie,20,Douzaines,18,360,0,
968,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chaises de paille,Marseille,Pour l'Italie,71,Douzaines,15,1065,0,
969,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chandelle,Marseille,Pour l'Italie,3891,Livres,"0,45",1750,"0,95",
970,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chanvre peigné,Marseille,Pour l'Italie,3500,Livres,"0,3",1050,0,
971,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chapeaux grossiers,Marseille,Pour l'Italie,3,en nombre,2,6,0,
972,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,44,Exports,Chapeaux grossiers,Marseille,Pour l'Italie,410,Livres,4,1640,0,
973,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Chapeaux poil et laine,Marseille,Pour l'Italie,1271,Douzaines,36,45756,0,
974,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Charbon de terre,Marseille,Pour l'Italie,31,Mesures,1,31,0,
975,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Chataignes,Marseille,Pour l'Italie,200,Livres,"0,05",10,0,
976,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Cheveux,Marseille,Pour l'Italie,373,Livres,30,11190,0,
977,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Chocolat,Marseille,Pour l'Italie,664,Livres,"3,5",2324,0,
978,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Cire blanche,Marseille,Pour l'Italie,17813,Livres,"1,5",26719,"0,5",
979,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Cire d'Espagne,Marseille,Pour l'Italie,72,Livres,4,288,0,
980,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Cire jaune,Marseille,Pour l'Italie,375260,Livres,"1,2",450312,0,
981,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,45,Exports,Clouds de fer,Marseille,Pour l'Italie,12212,Livres,"0,2",2442,"0,4",
