numrodeligne,dataentryby,Source,,,Page,Année,Import/Import,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en  Lt (décimale),Valeur / unité de compte Lt,Valeur / unité de compte Sous,Valeur/ unité de compte Deniers,"Valeur en livres, sous et deniers",Valeur en décimales de livres tournois,Différence,Remarques
314,Pascal Fontaine,Marseille,,,7,1750,Import,Arquifou,Marseille,Italie,"229 783,00",livres,,"3,00",,"0,15000",34467,,,"34467,00","34 467,45","-0,45",
315,Pascal Fontaine,Marseille,,,7,1750,Import,Auf ouvré,Marseille,Italie,"400,00",livres,"0,140",,,"0,14000",56,,,"56,00","56,00","0,00",
316,Pascal Fontaine,Marseille,,,7,1750,Import,Avirons,Marseille,Italie,"3 392,00",paires,"3,000","10,00",,"3,50000",11872,,,"11872,00","11 872,00","0,00",
317,Pascal Fontaine,Marseille,,,7,1750,Import,Auresats étoile,Marseille,Italie,"60,00",en nombre,"140,000",,,"140,00000",8400,,,"8400,00","8 400,00","0,00",
318,Pascal Fontaine,Marseille,,,7,1750,Import,Balais de palme,Marseille,Italie,"2 964,00",douzaines,,"18,00",,"0,90000",2667,,,"2667,00","2 667,60","-0,60",
319,Pascal Fontaine,Marseille,,,7,1750,Import,Baleine coupée,Marseille,Italie,"900,00",livres,"4,000","10,00",,"4,50000",4050,,,"4050,00","4 050,00","0,00",
320,Pascal Fontaine,Marseille,,,7,1750,Import,Barils vuides,Marseille,Italie,"420,00",en nombre,,"25,00",,"1,25000",525,,,"525,00","525,00","0,00",
321,Pascal Fontaine,Marseille,,,7,1750,Import,Barres de cabestan,Marseille,Italie,"1 357,00",pièces,,"5,00",,"0,25000",339,,,"339,00","339,25","-0,25",
322,Pascal Fontaine,Marseille,,,7,1750,Import,Barres pour édifices,Marseille,Italie,"7,00",douzaines,"6,000",,,"6,00000",42,,,"42,00","42,00","0,00",
323,Pascal Fontaine,Marseille,,,7,1750,Import,Bas et bonnets de coton,Marseille,Italie,"29,00",douzaines,"20,000",,,"20,00000",580,,,"580,00","580,00","0,00",
324,Pascal Fontaine,Marseille,,,7,1750,Import,Bas et bonnets de coton,Marseille,Italie,"15 998,00",livres,"5,000",,,"5,00000",79990,,,"79990,00","79 990,00","0,00",
325,Pascal Fontaine,Marseille,,,7,1750,Import,Bas de fil,Marseille,Italie,"308,00",douzaines,"15,000",,,"15,00000",4620,,,"4620,00","4 620,00","0,00",
326,Pascal Fontaine,Marseille,,,7,1750,Import,Bas de fil,Marseille,Italie,"16 799,00",livres,"5,000",,,"5,00000",83995,,,"83995,00","83 995,00","0,00",
327,Pascal Fontaine,Marseille,,,7,1750,Import,Bas de filoselle,Marseille,Italie,"190,00",livres,"15,000",,,"15,00000",2850,,,"2850,00","2 850,00","0,00",
328,Pascal Fontaine,Marseille,,,7,1750,Import,Bas de soye,Marseille,Italie,"230,00",livres,"40,000",,,"40,00000",9200,,,"9200,00","9 200,00","0,00",
329,Pascal Fontaine,Marseille,,,7,1750,Import,Bergamotte,Marseille,Italie,"16,00",milliers,"50,000",,,"50,00000",800,,,"800,00","800,00","0,00",
330,Pascal Fontaine,Marseille,,,7,1750,Import,Beurre,Marseille,Italie,"6 333,00",livres,,"8,00",,"0,40000",2533,,,"2533,00","2 533,20","-0,20",
331,Pascal Fontaine,Marseille,,,7,1750,Import,Bijouterie,Marseille,Italie,"250,00",livres,"100,000",,,"100,00000",25000,,,"25000,00","25 000,00","0,00",
332,Pascal Fontaine,Marseille,,,7,1750,Import,Bled froment,Marseille,Italie,"36 722,00",charges,"25,000",,,"25,00000",918050,,,"918050,00","918 050,00","0,00",
333,Pascal Fontaine,Marseille,,,7,1750,Import,Bois a faire Bats,Marseille,Italie,"10,00",douzaines,"10,000",,,"10,00000",100,,,"100,00","100,00","0,00",
334,Pascal Fontaine,Marseille,,,7,1750,Import,Bois de Brezil,Marseille,Italie,"12 500,00",livres,,"5,00",,"0,25000",3125,,,"3125,00","3 125,00","0,00",
335,Pascal Fontaine,Marseille,,,7,1750,Import,Bois a bruler,Marseille,Italie,"28 627 100,00",livres,,"0,20",,"0,01000",286271,,,"286271,00","286 271,00","0,00",
336,Pascal Fontaine,Marseille,,,7,1750,Import,Bois de campeche,Marseille,Italie,"527 060,00",livres,,"3,00",,"0,15000",79059,,,"79059,00","79 059,00","0,00",
337,Pascal Fontaine,Marseille,,,7,1750,Import,Bois de construction,Marseille,Italie,"8,00",pièces,"30,000",,,"30,00000",240,,,"240,00","240,00","0,00",
338,Pascal Fontaine,Marseille,,,7,1750,Import,Bois pour cribles,Marseille,Italie,"18 800,00",livres,,"4,00",,"0,20000",3760,,,"3760,00","3 760,00","0,00",
339,Pascal Fontaine,Marseille,,,7,1750,Import,Bois fustel,Marseille,Italie,"223 381,00",livres,"0,070",,,"0,07000",15636,,,"15636,00","15 636,67","-0,67",
340,Pascal Fontaine,Marseille,,,7,1750,Import,Bois ouvré,Marseille,Italie,"330,00",livres,,"4,00",,"0,20000",66,,,"66,00","66,00","0,00",
341,Pascal Fontaine,Marseille,,,7,1750,Import,Bois a tamis,Marseille,Italie,"1 134,00",livres,,"4,00",,"0,20000",226,,,"226,00","226,80","-0,80",
342,Pascal Fontaine,Marseille,,,7,1750,Import,Bonnets et chaussettes de coton,Marseille,Italie,"10,00",douzaines,"6,000",,,"6,00000",60,,,"60,00","60,00","0,00",
343,Pascal Fontaine,Marseille,,,7,1750,Import,Bonnets de laine,Marseille,Italie,"230,00",douzaines,"15,000",,,"15,00000",3450,,,"3450,00","3 450,00","0,00",
344,Pascal Fontaine,Marseille,,,7,1750,Import,Boucassins,Marseille,Italie,"60,00",pièces,"4,000",,,"4,00000",240,,,"240,00","240,00","0,00",
345,Pascal Fontaine,Marseille,,,7,1750,Import,Bourdes,Marseille,Italie,"240 600,00",livres,"0,080",,,"0,08000",19248,,,"19248,00","19 248,00","0,00",
346,Pascal Fontaine,Marseille,,,7,1750,Import,Bourre a bastier,Marseille,Italie,"5 550,00",livres,,"8,00",,"0,40000",2220,,,"2220,00","2 220,00","0,00",
347,Pascal Fontaine,Marseille,,,7,1750,Import,Bourre de soye,Marseille,Italie,"368,00",livres,,"40,00",,"2,00000",736,,,"736,00","736,00","0,00",
348,Pascal Fontaine,Marseille,,,7,1750,Import,Bours de coton,Marseille,Italie,"1 400,00",pièces,"6,000",,,"6,00000",8400,,,"8400,00","8 400,00","0,00",
349,Pascal Fontaine,Marseille,,,7,1750,Import,Boutons de fil blanc,Marseille,Italie,"400,00",grosses,"9,000",,,"9,00000",3600,,,"3600,00","3 600,00","0,00",
350,Pascal Fontaine,Marseille,,,7,1750,Import,Boutons de fil blanc,Marseille,Italie,"176,00",douzaines,,"15,00",,"0,75000",132,,,"132,00","132,00","0,00",
351,Pascal Fontaine,Marseille,,,7,1750,Import,Boyaux salés,Marseille,Italie,"250,00",livres,,"5,00",,"0,25000",62,,,"62,00","62,50","-0,50",
352,Pascal Fontaine,Marseille,,,7,1750,Import,Cabarets en bois verni,Marseille,Italie,"4,00",en nombre,"15,000",,,"15,00000",60,,,"60,00","60,00","0,00",
353,Pascal Fontaine,Marseille,,,7,1750,Import,Cacao,Marseille,Italie,"1 718,00",livres,,"26,00",,"1,30000",2233,,,"2233,00","2 233,40","-0,40",
354,Pascal Fontaine,Marseille,,,7,1750,Import,Caffé,Marseille,Italie,"6 852,00",livres,,"30,00",,"1,50000",10275,,,"10275,00","10 278,00","-3,00",
355,Pascal Fontaine,Marseille,,,7,1750,Import,Canelle,Marseille,Italie,"1 450,00",livres,"6,000",,,"6,00000",8700,,,"8700,00","8 700,00","0,00",
356,Pascal Fontaine,Marseille,,,7,1750,Import,Canons de fer,Marseille,Italie,"19,00",pièces,"150,000",,,"150,00000",2850,,,"2850,00","2 850,00","0,00",
357,Pascal Fontaine,Marseille,,,7,1750,Import,Cantarides,Marseille,Italie,"2 687,00",livres,"4,000",,,"4,00000",10748,,,"10748,00","10 748,00","0,00",
358,Pascal Fontaine,Marseille,,,7,1750,Import,Capots,Marseille,Italie,"37,50",douzaines,"108,000",,,"108,00000",4050,,,"4050,00","4 050,00","0,00",9 livres pièce
359,Pascal Fontaine,Marseille,,,7,1750,Import,Carreaux de marbre,Marseille,Italie,"53 244,00",livres,,"12,00",,"0,60000",31946,,,"31946,00","31 946,40","-0,40",
360,Pascal Fontaine,Marseille,,,7,1750,Import,Carrouge,Marseille,Italie,"36 800,00",livres,,"1,00",,"0,05000",1840,,,"1840,00","1 840,00","0,00",
361,Pascal Fontaine,Marseille,,,7,1750,Import,Cartes géographiques,Marseille,Italie,"1 196,00",livres,"4,000","10,00",,"4,50000",5382,,,"5382,00","5 382,00","0,00",
362,Pascal Fontaine,Marseille,,,7,1750,Import,Cartes a jouer,Marseille,Italie,"45,00",grosses,"40,000",,,"40,00000",1800,,,"1800,00","1 800,00","0,00",
363,Pascal Fontaine,Marseille,,,7,1750,Import,Cedras,Marseille,Italie,"1 000,00",livres,,"2,00",,"0,10000",100,,,"100,00","100,00","0,00",
364,Pascal Fontaine,Marseille,,,7,1750,Import,Cendres communes,Marseille,Italie,"859 200,00",livres,"0,080",,,"0,08000",68736,,,"68736,00","68 736,00","0,00",
365,Pascal Fontaine,Marseille,,,7,1750,Import,Cercles de bois,Marseille,Italie,"283,00",faix,,"40,00",,"2,00000",566,,,"566,00","566,00","0,00",
366,Pascal Fontaine,Marseille,,,7,1750,Import,Cercles de bois,Marseille,Italie,"1 780,00",milliers,"20,000",,,"20,00000",35600,,,"35600,00","35 600,00","0,00",
367,Pascal Fontaine,Marseille,,,7,1750,Import,Cercles de bois,Marseille,Italie,"81 425,00",livres,"0,040",,,"0,04000",3257,,,"3257,00","3 257,00","0,00",
368,Pascal Fontaine,Marseille,,,8,1750,Import,Cercles a tamis,Marseille,Italie,"10,00",balles,"8,000",,,"8,00000",80,,,"80,00","80,00","0,00",
369,Pascal Fontaine,Marseille,,,8,1750,Import,Ceruse,Marseille,Italie,"2 100,00",livres,,"4,00",,"0,20000",420,,,"420,00","420,00","0,00",
370,Pascal Fontaine,Marseille,,,8,1750,Import,Chair salée,Marseille,Italie,"100,00",livres,,"5,00",,"0,25000",25,,,"25,00","25,00","0,00",
371,Pascal Fontaine,Marseille,,,8,1750,Import,Champignons,Marseille,Italie,"178,00",livres,"2,000","10,00",,"2,50000",445,,,"445,00","445,00","0,00",
372,Pascal Fontaine,Marseille,,,8,1750,Import,Chandelle,Marseille,Italie,"14 282,00",livres,,"9,00",,"0,45000",6426,,,"6426,00","6 426,90","-0,90",
373,Pascal Fontaine,Marseille,,,8,1750,Import,Chanvre cru,Marseille,Italie,"911 125,00",livres,"0,180",,,"0,18000",164002,,,"164002,00","164 002,50","-0,50",
374,Pascal Fontaine,Marseille,,,8,1750,Import,Chanvre peigné,Marseille,Italie,"2 450,00",livres,"0,360",,,"0,36000",882,,,"882,00","882,00","0,00",
375,Pascal Fontaine,Marseille,,,8,1750,Import,Chapeaux de paille,Marseille,Italie,"188,00",douzaines,"6,000",,,"6,00000",1128,,,"1128,00","1 128,00","0,00",
376,Pascal Fontaine,Marseille,,,8,1750,Import,Charbon de bois,Marseille,Italie,"100 000,00",livres,,"0,40",,"0,02000",2000,,,"2000,00","2 000,00","0,00",
377,Pascal Fontaine,Marseille,,,8,1750,Import,Chataignes,Marseille,Italie,"401 050,00",livres,"0,050","0,10",,"0,05500",22057,,,"22057,00","22 057,75","-0,75",
378,Pascal Fontaine,Marseille,,,8,1750,Import,Cheminée de marbre,Marseille,Italie,"1,00",estimée,"80,000",,,"80,00000",80,,,"80,00","80,00","0,00",
379,Pascal Fontaine,Marseille,,,8,1750,Import,Cheveux,Marseille,Italie,"60,00",livres,"30,000",,,"30,00000",1800,,,"1800,00","1 800,00","0,00",
380,Pascal Fontaine,Marseille,,,8,1750,Import,Chevron,Marseille,Italie,"2,00",douzaines,"7,000",,,"7,00000",14,,,"14,00","14,00","0,00",
381,Pascal Fontaine,Marseille,,,8,1750,Import,Chocolat,Marseille,Italie,"4 398,00",livres,"3,000","10,00",,"3,50000",15393,,,"15393,00","15 393,00","0,00",
382,Pascal Fontaine,Marseille,,,8,1750,Import,Cire blanche,Marseille,Italie,"100,00",livres,,"36,00",,"1,80000",180,,,"180,00","180,00","0,00",
383,Pascal Fontaine,Marseille,,,8,1750,Import,Cire jaune,Marseille,Italie,"9 410,00",livres,,"27,00",,"1,35000",12703,,,"12703,00","12 703,50","-0,50",
384,Pascal Fontaine,Marseille,,,8,1750,Import,Citrons,Marseille,Italie,"70,00",caisses,"7,000","10,00",,"7,50000",525,,,"525,00","525,00","0,00",
385,Pascal Fontaine,Marseille,,,8,1750,Import,Citrons,Marseille,Italie,"3 727 050,00",pièces,"0,015",,,"0,01500",55905,,,"55905,00","55 905,75","-0,75",
386,Pascal Fontaine,Marseille,,,8,1750,Import,Citrons,Marseille,Italie,"13 000,00",livres,,"0,40",,"0,02000",260,,,"260,00","260,00","0,00",
387,Pascal Fontaine,Marseille,,,8,1750,Import,Cloux de fer,Marseille,Italie,"9 900,00",livres,,"5,00",,"0,25000",2475,,,"2475,00","2 475,00","0,00",
388,Pascal Fontaine,Marseille,,,8,1750,Import,Cochenille,Marseille,Italie,"3 345,00",livres,"17,000",,,"17,00000",56865,,,"56865,00","56 865,00","0,00",
389,Pascal Fontaine,Marseille,,,8,1750,Import,Cochon salé,Marseille,Italie,"1 300,00",livres,"0,350",,,"0,35000",455,,,"455,00","455,00","0,00",
390,Pascal Fontaine,Marseille,,,8,1750,Import,Colle a papetier,Marseille,Italie,"1 200,00",livres,,"5,00",,"0,25000",300,,,"300,00","300,00","0,00",
391,Pascal Fontaine,Marseille,,,8,1750,Import,Colle de poisson,Marseille,Italie,"300,00",livres,,"30,00",,"1,50000",450,,,"450,00","450,00","0,00",
392,Pascal Fontaine,Marseille,,,8,1750,Import,Confitures,Marseille,Italie,"51 216,00",livres,,"20,00",,"1,00000",51216,,,"51216,00","51 216,00","0,00",
393,Pascal Fontaine,Marseille,,,8,1750,Import,Corail,Marseille,Italie,"2 305,00",livres,,"40,00",,"2,00000",4610,,,"4610,00","4 610,00","0,00",
394,Pascal Fontaine,Marseille,,,8,1750,Import,Corbeiles d'osier,Marseille,Italie,"1 754,00",douzaines,"20,000",,,"20,00000",35080,,,"35080,00","35 080,00","0,00",
395,Pascal Fontaine,Marseille,,,8,1750,Import,Cordages de chanvre,Marseille,Italie,"20 312,00",livres,,"6,00",,"0,30000",6093,,,"6093,00","6 093,60","-0,60",
396,Pascal Fontaine,Marseille,,,8,1750,Import,Cordes d'embalage,Marseille,Italie,"1 100,00",livres,,"5,00",,"0,25000",275,,,"275,00","275,00","0,00",
397,Pascal Fontaine,Marseille,,,8,1750,Import,Cordes de violon,Marseille,Italie,"3 328,00",livres,"20,000",,,"20,00000",66560,,,"66560,00","66 560,00","0,00",
398,Pascal Fontaine,Marseille,,,8,1750,Import,Cornes de mouton,Marseille,Italie,"52 776,00",paires,,"1,00",,"0,05000",2638,,,"2638,00","2 638,80","-0,80",
399,Pascal Fontaine,Marseille,,,8,1750,Import,Coton filé,Marseille,Italie,"15 311,00",livres,,"30,00",,"1,50000",22966,,,"22966,00","22 966,50","-0,50",
400,Pascal Fontaine,Marseille,,,8,1750,Import,Coton en laine,Marseille,Italie,"41 360,00",livres,,"20,00",,"1,00000",41360,,,"41360,00","41 360,00","0,00",
401,Pascal Fontaine,Marseille,,,8,1750,Import,Coton souffré,Marseille,Italie,"500,00",livres,,"16,00",,"0,80000",400,,,"400,00","400,00","0,00",
402,Pascal Fontaine,Marseille,,,8,1750,Import,Cocon de soye,Marseille,Italie,"4 965,00",livres,,"33,00",,"1,65000",8192,,,"8192,00","8 192,25","-0,25",
403,Pascal Fontaine,Marseille,,,8,1750,Import,Couffes a boulanger,Marseille,Italie,"154,00",douzaines,"30,000",,,"30,00000",4620,,,"4620,00","4 620,00","0,00",
404,Pascal Fontaine,Marseille,,,8,1750,Import,Couperose,Marseille,Italie,"65 590,00",livres,"0,090",,,"0,09000",5903,,,"5903,00","5 903,10","-0,10",
405,Pascal Fontaine,Marseille,,,8,1750,Import,Courdouan,Marseille,Italie,"450,00",livres,,"30,00",,"1,50000",675,,,"675,00","675,00","0,00",
406,Pascal Fontaine,Marseille,,,8,1750,Import,Couvertures fil et coton,Marseille,Italie,"12 560,00",livres,,"40,00",,"2,00000",25120,,,"25120,00","25 120,00","0,00",
407,Pascal Fontaine,Marseille,,,8,1750,Import,Crin de chevres,Marseille,Italie,"2 412,00",livres,,"12,00",,"0,60000",1447,,,"1447,00","1 447,20","-0,20",
408,Pascal Fontaine,Marseille,,,8,1750,Import,Cuillieres de bois,Marseille,Italie,"490,00",douzaines,,"10,00",,"0,50000",245,,,"245,00","245,00","0,00",
409,Pascal Fontaine,Marseille,,,8,1750,Import,Cuirs de bœuf en poil,Marseille,Italie,"911,00",pièces,"14,000",,,"14,00000",12754,,,"12754,00","12 754,00","0,00",
410,Pascal Fontaine,Marseille,,,8,1750,Import,Cuirs de bœuf en poil,Marseille,Italie,"100,00",livres,,"8,00",,"0,40000",40,,,"40,00","40,00","0,00",
411,Pascal Fontaine,Marseille,,,8,1750,Import,Cuivre tangoul,Marseille,Italie,"9 000,00",livres,,"18,00",,"0,90000",8100,,,"8100,00","8 100,00","0,00",
412,Pascal Fontaine,Marseille,,,8,1750,Import,Cumin,Marseille,Italie,"400,00",livres,,"4,00",,"0,20000",80,,,"80,00","80,00","0,00",
413,Pascal Fontaine,Marseille,,,8,1750,Import,Cuve,Marseille,Italie,"1,00",en nombre,"100,000",,,"100,00000",100,,,"100,00","100,00","0,00",
414,Pascal Fontaine,Marseille,,,8,1750,Import,Dattes,Marseille,Italie,"500,00",livres,,"5,00",,"0,25000",25,,,"25,00","125,00","-100,00",
415,Pascal Fontaine,Marseille,,,8,1750,Import,Dorure fine,Marseille,Italie,"100,00",livres,"100,000",,,"100,00000",10000,,,"10000,00","10 000,00","0,00",
416,Pascal Fontaine,Marseille,,,8,1750,Import,Dossiers de chaise,Marseille,Italie,"16,00",milliers,"250,000",,,"250,00000",4000,,,"4000,00","4 000,00","0,00",
417,Pascal Fontaine,Marseille,,,8,1750,Import,Douelles a tonneaux,Marseille,Italie,"137,00",cannettes,"8,000",,,"8,00000",1096,,,"1096,00","1 096,00","0,00",
418,Pascal Fontaine,Marseille,,,8,1750,Import,Douelles a tonneaux,Marseille,Italie,"33 177,00",tonneaux,"5,000",,,"5,00000",165885,,,"165885,00","165 885,00","0,00",
419,Pascal Fontaine,Marseille,,,8,1750,Import,Douelles a tonneaux,Marseille,Italie,"95 700,00",livres,"0,040",,,"0,04000",3828,,,"3828,00","3 828,00","0,00",
420,Pascal Fontaine,Marseille,,,8,1750,Import,Drapeaux vieux,Marseille,Italie,"2 000,00",livres,"0,080",,,"0,08000",160,,,"160,00","160,00","0,00",
421,Pascal Fontaine,Marseille,,,8,1750,Import,Drogueries,Marseille,Italie,"16 920,00",livres,,"20,00",,"1,00000",16920,,,"16920,00","16 920,00","0,00",
422,Pascal Fontaine,Marseille,,,8,1750,Import,Eau de citron,Marseille,Italie,"4 453,00",livres,,"4,00",,"0,20000",890,,,"890,00","890,60","-0,60",
423,Pascal Fontaine,Marseille,,,8,1750,Import,Eau de fleur d'orange,Marseille,Italie,"20 264,00",livres,,"10,00",,"0,50000",10132,,,"10132,00","10 132,00","0,00",
424,Pascal Fontaine,Marseille,,,8,1750,Import,Eau minérale,Marseille,Italie,"600,00",livres,,"11,00",,"0,55000",330,,,"330,00","330,00","0,00",
425,Pascal Fontaine,Marseille,,,8,1750,Import,Eau de senteur,Marseille,Italie,"150,00",livres,,"15,00",,"0,75000",112,,,"112,00","112,50","-0,50",
426,Pascal Fontaine,Marseille,,,8,1750,Import,Eau de vie,Marseille,Italie,"600,00",livres,,"3,00",,"0,15000",90,,,"90,00","90,00","0,00",
427,Pascal Fontaine,Marseille,,,8,1750,Import,Ecaille de tortue,Marseille,Italie,"400,00",livres,"2,000","10,00",,"2,50000",1000,,,"1000,00","1 000,00","0,00",
428,Pascal Fontaine,Marseille,,,8,1750,Import,Ecorce de citron,Marseille,Italie,"800,00",livres,,"8,00",,"0,40000",320,,,"320,00","320,00","0,00",
429,Pascal Fontaine,Marseille,,,8,1750,Import,Ecorce d'orange,Marseille,Italie,"863,00",livres,,"1,00",,"0,05000",43,,,"43,00","43,15","-0,15",
430,Pascal Fontaine,Marseille,,,8,1750,Import,Egoutoirs,Marseille,Italie,"181,00",douzaines,"5,000",,,"5,00000",905,,,"905,00","905,00","0,00",
431,Pascal Fontaine,Marseille,,,8,1750,Import,Email,Marseille,Italie,"300,00",livres,,"6,00",,"0,30000",90,,,"90,00","90,00","0,00",
432,Pascal Fontaine,Marseille,,,8,1750,Import,Epicerie,Marseille,Italie,"200,00",livres,"10,000",,,"10,00000",2000,,,"2000,00","2 000,00","0,00",
433,Pascal Fontaine,Marseille,,,9,1750,Import,Eponges,Marseille,Italie,"2 200,00",livres,,"20,00",,"1,00000",2200,,,"2200,00","2 200,00","0,00",
434,Pascal Fontaine,Marseille,,,9,1750,Import,Escamittes,Marseille,Italie,"310,00",pièces,"3,000",,,"3,00000",930,,,"930,00","930,00","0,00",
435,Pascal Fontaine,Marseille,,,9,1750,Import,Escayolle,Marseille,Italie,"5 800,00",livres,,"3,00",,"0,15000",870,,,"870,00","870,00","0,00",
436,Pascal Fontaine,Marseille,,,9,1750,Import,Espars,Marseille,Italie,"40,00",milliers,"40,000",,,"40,00000",1600,,,"1600,00","1 600,00","0,00",
437,Pascal Fontaine,Marseille,,,9,1750,Import,Esprit de citron,Marseille,Italie,"1 323,00",livres,,"30,00",,"1,50000",1984,,,"1984,00","1 984,50","-0,50",
438,Pascal Fontaine,Marseille,,,9,1750,Import,Essence,Marseille,Italie,"2 441,00",livres,,"20,00",,"1,00000",2441,,,"2441,00","2 441,00","0,00",
439,Pascal Fontaine,Marseille,,,9,1750,Import,Etain en bloc,Marseille,Italie,"53 045,00",livres,,"20,00",,"1,00000",53045,,,"53045,00","53 045,00","0,00",
440,Pascal Fontaine,Marseille,,,9,1750,Import,Etoffe de soye,Marseille,Italie,"3 243,00",livres,"40,000",,,"40,00000",129720,,,"129720,00","129 720,00","0,00",
441,Pascal Fontaine,Marseille,,,9,1750,Import,Etoupes,Marseille,Italie,"1 400,00",livres,"0,120",,,"0,12000",168,,,"168,00","168,00","0,00",
442,Pascal Fontaine,Marseille,,,9,1750,Import,Estrasses de soye,Marseille,Italie,"3 243,00",livres,,"12,00",,"0,60000",1945,,,"1945,00","1 945,80","-0,80",
443,Pascal Fontaine,Marseille,,,9,1750,Import,Evantails,Marseille,Italie,"96,00",douzaines,"18,000",,,"18,00000",1728,,,"1728,00","1 728,00","0,00",
444,Pascal Fontaine,Marseille,,,9,1750,Import,Farine,Marseille,Italie,"246,00",livres,,"2,00",,"0,10000",24,,,"24,00","24,60","-0,60",
445,Pascal Fontaine,Marseille,,,9,1750,Import,Fayence,Marseille,Italie,"64 200,00",livres,,"10,00",,"0,50000",32100,,,"32100,00","32 100,00","0,00",
446,Pascal Fontaine,Marseille,,,9,1750,Import,Fenouil,Marseille,Italie,"1 360,00",livres,,"5,00",,"0,25000",340,,,"340,00","340,00","0,00",
447,Pascal Fontaine,Marseille,,,9,1750,Import,Fer en barres,Marseille,Italie,"174 875,00",livres,"0,140","0,10",,"0,14500",25356,,,"25356,00","25 356,88","-0,88",
448,Pascal Fontaine,Marseille,,,9,1750,Import,Fer blanc,Marseille,Italie,"21 500,00",livres,,"12,00",,"0,60000",12900,,,"12900,00","12 900,00","0,00",
449,Pascal Fontaine,Marseille,,,9,1750,Import,Fer en cercles,Marseille,Italie,"18 100,00",livres,,"5,00",,"0,25000",4525,,,"4525,00","4 525,00","0,00",
450,Pascal Fontaine,Marseille,,,9,1750,Import,Fer ouvré,Marseille,Italie,"682,00",livres,,"5,00",,"0,25000",170,,,"170,00","170,50","-0,50",
451,Pascal Fontaine,Marseille,,,9,1750,Import,Fer vieux,Marseille,Italie,"1 800,00",livres,"0,070","0,10",,"0,07500",135,,,"135,00","135,00","0,00",
452,Pascal Fontaine,Marseille,,,9,1750,Import,Feves,Marseille,Italie,"2 266,00",charges,"10,000",,,"10,00000",22660,,,"22660,00","22 660,00","0,00",
453,Pascal Fontaine,Marseille,,,9,1750,Import,Fiasque de carton,Marseille,Italie,"1,00",douzaines,"4,000",,,"4,00000",4,,,"4,00","4,00","0,00",
454,Pascal Fontaine,Marseille,,,9,1750,Import,Ficelle,Marseille,Italie,"470,00",livres,,"10,00",,"0,50000",235,,,"235,00","235,00","0,00",
455,Pascal Fontaine,Marseille,,,9,1750,Import,Figues,Marseille,Italie,"151 640,00",livres,,"2,00",,"0,10000",15164,,,"15164,00","15 164,00","0,00",
456,Pascal Fontaine,Marseille,,,9,1750,Import,Fil de chevre,Marseille,Italie,"1 390,00",livres,"3,000",,,"3,00000",4170,,,"4170,00","4 170,00","0,00",
457,Pascal Fontaine,Marseille,,,9,1750,Import,Fil cru,Marseille,Italie,"5 062,00",livres,,"20,00",,"1,00000",5062,,,"5062,00","5 062,00","0,00",
458,Pascal Fontaine,Marseille,,,9,1750,Import,Fil de fer,Marseille,Italie,"2 400,00",livres,,"10,00",,"0,50000",1200,,,"1200,00","1 200,00","0,00",
459,Pascal Fontaine,Marseille,,,9,1750,Import,Fil de piemon,Marseille,Italie,"9 750,00",livres,,"20,00",,"1,00000",9750,,,"9750,00","9 750,00","0,00",
460,Pascal Fontaine,Marseille,,,9,1750,Import,Fil a voile,Marseille,Italie,"1 330,00",livres,,"10,00",,"0,50000",665,,,"665,00","665,00","0,00",
461,Pascal Fontaine,Marseille,,,9,1750,Import,Flets pour la pesche,Marseille,Italie,"683,00",pièces,"50,000",,,"50,00000",34150,,,"34150,00","34 150,00","0,00",
462,Pascal Fontaine,Marseille,,,9,1750,Import,Filoelle,Marseille,Italie,"1 060,00",livres,"3,000",,,"3,00000",3180,,,"3180,00","3 180,00","0,00",
463,Pascal Fontaine,Marseille,,,9,1750,Import,Fleurs artificielles,Marseille,Italie,"802,00",livres,"50,000",,,"50,00000",40100,,,"40100,00","40 100,00","0,00",
464,Pascal Fontaine,Marseille,,,9,1750,Import,Folicule de sené,Marseille,Italie,"1 650,00",livres,,"30,00",,"1,50000",2475,,,"2475,00","2 475,00","0,00",
465,Pascal Fontaine,Marseille,,,9,1750,Import,Fondetes de corail,Marseille,Italie,"300,00",livres,,"15,00",,"0,75000",225,,,"225,00","225,00","0,00",
466,Pascal Fontaine,Marseille,,,9,1750,Import,Formes de chapeaux,Marseille,Italie,"3 600,00",livres,,"1,00",,"0,05000",180,,,"180,00","180,00","0,00",
467,Pascal Fontaine,Marseille,,,9,1750,Import,Fourneaux de briques,Marseille,Italie,"200,00",en nombre,,"35,00",,"1,75000",350,,,"350,00","350,00","0,00",
468,Pascal Fontaine,Marseille,,,9,1750,Import,Fromages,Marseille,Italie,"393 796,00",livres,,"5,00",,"0,25000",98449,,,"98449,00","98 449,00","0,00",
469,Pascal Fontaine,Marseille,,,9,1750,Import,Fruit vert,Marseille,Italie,"38 410,00",livres,,"2,00",,"0,10000",3841,,,"3841,00","3 841,00","0,00",
470,Pascal Fontaine,Marseille,,,9,1750,Import,Galles,Marseille,Italie,"10 432,00",livres,,"10,00",,"0,50000",5216,,,"5216,00","5 216,00","0,00",
471,Pascal Fontaine,Marseille,,,9,1750,Import,Gans de chamois,Marseille,Italie,"168,00",paires,,"10,00",,"0,50000",84,,,"84,00","84,00","0,00",
