numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,problème,remarks,unit_price
223,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Grains divers; Bles froment,Sardaigne,9105,607,Quintal,0,Unité d'origine Livre,15
224,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Grains divers; Ris,Sardaigne,63455,"3172,75",Quintal,0,Unité d'origine Livre,20
225,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Grains divers; Seigle,Sardaigne,11892,118925,Livre,11892,,0
226,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Graines diverses,Sardaigne,227,,Valeur,,,0
227,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Huile de noix,Sardaigne,332,664,Livre,332,,0
228,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Légumes divers;,Sardaigne,3996,"532,86",Quintal,"-0,45",Unité d'origine Livre,"7,5"
229,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Légumes divers;,Sardaigne,1324,,Valeur,,,0
230,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Légumes divers; Haricots,Sardaigne,6719,55995,Livre,6719,,0
231,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Lingerie; Draps de lit,Sardaigne,132,,Valeur,,,0
232,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Liqueurs diverses,Sardaigne,1035,,Valeur,,,0
233,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Marchandises à la valeur,Sardaigne,1884,,Valeur,,,0
234,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Merceries diverses,Sardaigne,220,,Valeur,,,0
235,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Ouvrages divers;,Sardaigne,710,,Valeur,,,0
236,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Ouvrages divers; De terre,Sardaigne,4185,,Valeur,,,0
237,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Pâtes diverses,Sardaigne,546,,Valeur,,,0
238,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Peaux diverses,Sardaigne,159,,Valeur,,,0
239,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Provisions de bouche,Sardaigne,383,,Valeur,,,0
240,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Quincailleries diverses; En faux et faucilles,Sardaigne,2511,,Valeur,,,0
241,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Quincailleries diverses; En cuivre colorié,Sardaigne,402,,Valeur,,,0
242,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Toile diverse,Sardaigne,117,,Valeur,,,0
243,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Vin commun,Sardaigne,,574,Pinte,,Unités d'origine Muid et Pinte / valeur illisible (pliage),0
244,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Briançon,11,Volailles,Sardaigne,,2689,Nombre,,valeur illisible (pliage),0
245,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Guillestre,13,Bestiaux divers;,Sardaigne,1068,,Nombre,1068,,0
246,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Guillestre,13,Bestiaux divers; Agneaux,Sardaigne,1123,283,Nombre,1123,,0
