numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,unit_price,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée (avec prix),probleme,Remarques
190,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Peaux de mouton maroquinées,Marseille,"893,00",Nombre,,"25,00",,"1,2500000","1 116,00",,,"1 116,00","1 116,25","-0,25",
191,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Peaux de mouton passées,Marseille,"74,00",Nombre,"2,00",,,"2,0000000","148,00",,,"148,00","148,00","0,00",
192,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Pierre à bâtir,Angleterre,,,,,,,"135,00",,,"135,00",,,
193,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Pierres à faulx,Marseille,"8 500,00",Nombre,,"2,00",,"0,1000000","850,00",,,"850,00","850,00","0,00",
194,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Plomb en saumon,Angleterre,"10 886,00",Livres,"0,25",,,"0,2500000","2 721,00",,,"2 721,00","2 721,50","-0,50",25 livres le quintal
195,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Plomb en grain,Angleterre,"2 950,00",Livres,"0,30",,,"0,3000000","885,00",,,"885,00","885,00","0,00",30 livres le quintal
196,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Plumes à lit,Les 4 villes anséatiques,"1 100,00",Livres,"3,00","10,00",,"3,5000000","3 850,00",,,"3 850,00","3 850,00","0,00",
197,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poil de bœuf,Angleterre,"14 750,00",Livres,,"35,00",,"1,7500000","25 812,00",,,"25 812,00","25 812,50","-0,50",
198,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Marseille,,,,,,,"223,00",,,"223,00",,,
199,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Espagne,,,,,,,"30,00",,,"30,00",,,
200,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poisson salé,Hollande,,,,,,,"450,00",,,"450,00",,,
201,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poterie de gré,Marseille,,,,,,,"270,00",,,"270,00",,,
202,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Poterie de gré,Hollande,,,,,,,"327,00",,,"327,00",,,
203,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Quincaillerie de cuivre,Angleterre,,,,,,,"1 200,00",,,"1 200,00",,,
204,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Clous de cuivre,Angleterre,"6 484,50",Livres,,"25,00",,"1,2500000","8 106,00",,,"8 106,00","8 105,63","0,38",
205,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Quicaillerie de fer,Angleterre,,,,,,,"9 339,00",,,"9 339,00",,,
206,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Quincaillerie de cuivre,Hollande,,,,,,,"13 185,00",,,"13 185,00",,,
207,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Roseaux,Marseille,"141,00",Paquets,,"20,00",,"1,0000000","141,00",,,"141,00","141,00","0,00",
208,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Sacs vides,Hollande,"190,00",Nombre,"2,00",,,"2,0000000","380,00",,,"380,00","380,00","0,00",
209,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Savon,Marseille,"1 508 475,00",Livres,"0,54",,,"0,5400000","764 576,00",,,"764 576,00","814 576,50","-50 000,50",erreur de calcul
210,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Sel,Petites isles,"717,94",Muids,"25,00",,,"25,0000000","42 731,00",,,"42 731,00","17 948,44","24 782,56","717 muids, 11 septiers et 1 minot (1 mid =12 setiers et 1 setier = 4 minots"
211,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Sirop à boire,Marseille,,,,,,,"392,00",,,"392,00",,,
212,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Souffre en canon,Marseille,"58 649,00",Livres,"0,10",,,"0,1000000","5 865,00",,,"5 865,00","5 864,90","0,10",10 livres le quintal
213,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Suif en chandele,Marseille,"7 035,00",Livres,,"15,00",,"0,7500000","5 276,00",,,"5 276,00","5 276,25","-0,25",
214,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Terrerie,Angleterre,,,,,,,"231,00",,,"231,00",,,
215,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Terre pozolane,Marseille,"1 800,00",Livres,,"0,50",,"0,0250000","45,00",,,"45,00","45,00","0,00",50 sous le quintal
216,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Thé,Angleterre,"14,00",Livres,"6,00",,,"6,0000000","84,00",,,"84,00","84,00","0,00",
217,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toilles diverses,Espagne,,,,,,,"1 125,00",,,"1 125,00",,,
218,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toilles diverses,Angleterre,,,,,,,"6 772,00",,,"6 772,00",,,
219,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toilles diverses,Hollande,,,,,,,"4 872,00",,,"4 872,00",,,
220,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toilles platille,Hollande,"7 604,00",Pièces,"7,00","10,00",,"7,5000000","57 030,00",,,"57 030,00","57 030,00","0,00",
221,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Mousselinette,Angleterre,,,,,,,"5 950,00",,,"5 950,00",,,
222,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toille bajutapaux,L'Orient,"90,00",Pièces,"20,00",,,"20,0000000","1 800,00",,,"1 800,00","1 800,00","0,00",
223,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,8,Toille chasselas,L'Orient,"80,00",Pièces,"30,00",,,"30,0000000","2 400,00",,,"2 400,00","2 400,00","0,00",
224,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Verroterie en rassade,Hollande,"2 480,00",Livres,,"15,00",,"0,7500000","1 871,00",,,"1 871,00","1 860,00","11,00",
225,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Verres de montres,Angleterre,,,,,,,"179,00",,,"179,00",,,
226,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vins divers,Marseille,,,,,,,"2 705,00",,,"2 705,00",,,Total pour Petites isles et Marseille
227,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin de Provence ,Marseille,"714,00",Muids,,,,,"41 190,00",,,"41 190,00",,,
228,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin de Bordeaux,Lorient,,Bouteilles,,,,,"100,00",,,"100,00",,,
229,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin  Muscat,Marseille,,,,,,,"699,00",,,"699,00",,,
230,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin de Chypres,Marseille,,,,,,,"121,00",,,"121,00",,,
231,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin d'Espagne,Marseille,,,,,,,"1 620,00",,,"1 620,00",,,
232,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vin d'Espagne,Espagne,,,,,,,"17 954,00",,,"17 954,00",,,
233,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Vinaigre,Petites isles,"160,00",,,,,,"6 064,00",,,"6 064,00",,,
234,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Voiture,Angleterre,"2,00",Nombre,,,,,"2 600,00",,,"2 600,00",,,
235,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,9,Ustensile de pêche,Angleterre,,,,,,,"156,00",,,"156,00",,,
236,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Acier en barres,Suède,"11 000,00",Livres,"0,25",,,"0,2500000","2 750,00",,,"2 750,00","2 750,00","0,00",25 livres le quintal
237,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Amandes en coques,Marseille,"4 378,00",Livres,"0,50",,,"0,5000000","2 189,00",,,"2 189,00","2 189,00","0,00",50 livres le quintal
238,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Amandes en coques,Espagne,"815,00",Livres,"0,50",,,"0,5000000","407,00",,,"407,00","407,50","-0,50",50 livres le quintal
239,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Amandes en coques,Portugal,"6 677,00",Livres,"0,50",,,"0,5000000","3 338,00",,,"3 338,00","3 338,50","-0,50",50 livres le quintal
240,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Amandes cassées,Petites isles,"773,00",Livres,"0,60",,,"0,6000000","464,00",,,"464,00","463,80","0,20",
241,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bierre,Hollande,,,,,,,"378,00",,,"378,00",,,Quantités difficiles à lire
242,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de chêne,Etats unis de l'Amérique,"15 300,00",Nombre,,,,,"1 605,00",,,"1 605,00",,,Pas de prix unitaire
243,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois en aviron,Danemark et Norvège,"37,00",Pairs,"3,00",,,"3,0000000","111,00",,,"111,00","111,00","0,00",
244,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois en aviron,Russie et Courlande,"40,00",Pairs,"3,00",,,"3,0000000","120,00",,,"120,00","120,00","0,00",
245,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en planches,Dunkerque,"1 342,00",Nombre,,"20,00",,"1,0000000","1 342,00",,,"1 342,00","1 342,00","0,00",
246,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en planches,Suède,"20 300,00",Nombre,,"20,00",,"1,0000000","20 300,00",,,"20 300,00","20 300,00","0,00",
247,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en planches,Danemark et Norvège,"14 204,00",Nombre,,"20,00",,"1,0000000","14 204,00",,,"14 204,00","14 204,00","0,00",
248,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en planches,Russie et Courlande,"10 571,00",Nombre,,"20,00",,"1,0000000","10 571,00",,,"10 571,00","10 571,00","0,00",
249,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en matériaux,Danemark et Norvège,"128,00",Nombre,"22,00",,,"22,0000000","2 816,00",,,"2 816,00","2 816,00","0,00",
250,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en matériaux,Russie et Courlande,"6,00",Nombre,"22,00",,,"22,0000000","132,00",,,"132,00","132,00","0,00",
251,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de sapin en poutreaux,Danemark et Norvège,"504,00",Nombre,"3,00",,,"3,0000000","1 512,00",,,"1 512,00","1 512,00","0,00",
252,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bois de gayac,Etats unis de l'Amérique,"4 000,00",Livres,,,,,"200,00",,,"200,00",,,Pas de prix unitaire
253,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Bray goudron,Etats unis de l'Amérique,"5 440,00",Livres,,,,,"288,00",,,"288,00",,,Pas de prix unitaire
254,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Cendres potasse,Etats unis de l'Amérique,"5 400,00",Livres,,,,,"1 628,00",,,"1 628,00",,,Pas de prix unitaire
255,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Chairs salées (bœuf),Etats unis de l'Amérique,"3 600,00",Livres,,,,,"1 100,00",,,"1 100,00",,,Pas de prix unitaire
256,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Lard salé,Etats unis de l'Amérique,"3 600,00",Livres,,,,,"1 200,00",,,"1 200,00",,,Pas de prix unitaire
257,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Chanvre brut,Russie et Courlande,"74 880,00",Livres,"0,30",,,"0,3000000","22 464,00",,,"22 464,00","22 464,00","0,00",30 livres le quintal
258,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Charbon de terre,Angleterre,"905 000,00",Livres,"0,03",,,"0,0250000","22 625,00",,,"22 625,00","22 625,00","0,00",
259,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Cire jaune,Etats unis de l'Amérique,"95,00",Livres,,,,,"140,00",,,"140,00",,,Pas de prix unitaire
260,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Coton filé,Marseille,"759,50",Livres,,,,,"2 178,00",,,"2 178,00",,,Prix unitaire difficile à lire
261,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Coton en laine,Marseille,"100,00",Livres,"2,00",,,"2,0000000","200,00",,,"200,00","200,00","0,00",
262,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Cuir tanné,Espagne,"132,00",Demi cuirs,"15,00",,,"15,0000000","1 980,00",,,"1 980,00","1 980,00","0,00",
263,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Cuir tanné,Angleterre,"100,00",Livres,,,,,"125,00",,,"125,00",,,
264,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Drogues diverses pour la peinture et teinture,Marseille,,,,,,,"213,00",,,"213,00",,,
265,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Drogues diverses pour la peinture et teinture,Hollande,,,,,,,"346,00",,,"346,00",,,
266,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Drogues diverses pour la peinture et teinture,Etats unis de l'Amérique,,,,,,,"120,00",,,"120,00",,,
267,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Huile de spermaceti,Etats unis de l'Amérique,"19 000,00",Livres,,,,,"4 251,00",,,"4 251,00",,,Pas de prix unitaire
268,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Eau de vie simple,Marseille,"17 532,15",Velte,"5,00",,,"5,0000000","87 687,00",,,"87 687,00","87 660,76","26,24",487 muids et 44 pintes
269,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Eau de vie simple,Espagne,"5 436,39",Velte,"5,00",,,"5,0000000","27 250,00",,,"27 250,00","27 181,94","68,06",
270,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fayence,L'Orient,,,,,,,"564,00",,,"564,00",,,
271,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fayence,Angleterre,,,,,,,"14 351,00",,,"14 351,00",,,
272,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer blanc,Angleterre,"9 695,00",Livres,,"10,00",,"0,5000000","4 846,00",,,"4 846,00","4 847,50","-1,50",
273,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en tole,Angleterre,"600,00",Livres,"0,40",,,"0,4000000","240,00",,,"240,00","240,00","0,00",40 livres le quintal
274,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en tole,Suède,"540,00",Livres,"0,40",,,"0,4000000","216,00",,,"216,00","216,00","0,00",40 livres le quintal
275,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en feuillard,Hollande,"2 000,00",Livres,"0,30",,,"0,3000000","600,00",,,"600,00","600,00","0,00",30 livres le quintal
276,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en barre,Dunkerque,"20 000,00",Livres,"0,15",,,"0,1500000","3 000,00",,,"3 000,00","3 000,00","0,00",15 livres le quintal
277,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en barre,Espagne,"4 222,00",Livres,"0,15",,,"0,1500000","633,00",,,"633,00","633,30","-0,30",15 livres le quintal
278,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en barre,Suède,"354 177,00",Livres,"0,15",,,"0,1500000","53 327,00",,,"53 327,00","53 126,55","200,45",Erreur de calcul; 15 livres le quintal
279,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fer en barre,Russie et Courlande,"32 400,00",Livres,"0,15",,,"0,1500000","4 860,00",,,"4 860,00","4 860,00","0,00",15 livres le quintal
280,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fromage,Hollande,"12 866,00",Livres,"0,50",,,"0,5000000","6 433,00",,,"6 433,00","6 433,00","0,00",50 livres le quintal
281,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fruits cruds (citrons),Espagne,"88 600,00",Nombre,,,,,"4 430,00",,,"4 430,00",,,Pas de prix unitaire
282,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fruits cruds (citrons),Portugal,"12 000,00",Nombre,,,,,"60,00",,,"60,00",,,Pas de prix unitaire
283,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Oranges,Espagne,"104 200,00",Nombre,,,,,"5 200,00",,,"5 200,00",,,
284,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Oranges,Portugal,"16 300,00",Nombre,,,,,"815,00",,,"815,00",,,
285,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Fruits secs divers,Marseille,,,,,,,"1 040,00",,,"1 040,00",,,
286,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Raisins de Corynthe et autres,Marseille,"7 130,00",Livres,,,,,"1 854,00",,,"1 854,00",,,Pas de prix unitaire
