goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
fruits rudes,11,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits salés,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits salés marinés,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits secs,954,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits secs confits,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits secs et à l'eau-de-vie,4,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits secs et à l'eau-de-vie amandes cassées et en corps et prunes ???,5,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits secs et confits,9,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits tamarin confit dans le sucre,26,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits verts,46,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruits verts en crus et châtaignes,3,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fruittes,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
fumier,73,,non,442903
fumier commun,1,,non,442903
fumier de pigeon et autres,1,,non,442903
fumier de pigeons,5,,non,442903
funin,4,,non,442903
funin ou fouets,1,,non,442903
furets,6,,non,442903
furgons,1,,non,442903
fuseaux,31,,non,442903
fusée à bombes,1,,non,442903
fusée volantes ?,1,,non,442903
fusils,260,,non,442903
fusils à deux coups,3,,non,442903
fusils à double canons,1,,non,442903
fusils communs,1,,non,442903
fusils damasquinés,2,,non,442903
fusils de boucaniers,70,,non,442903
fusils de boucaniers fins,1,,non,442903
fusils de chasse,29,,non,442903
fusils de chasse à deux coups,3,,non,442903
fusils de maître,11,,non,442903
fusils de munitions,1,,non,442903
fusils de traite,90,,non,442903
fusils démontés,1,,non,442903
fusils et carabines,1,,non,442903
fusils et leurs baïonnettes,1,,non,442903
fusils et pistolets,1,,non,442903
fusils neufs,4,,non,442903
fusils ordinaires,3,,non,442903
fusils pour l'entrepôt pour la Guinée,1,,non,442903
fusils vieux,2,,non,442903
fustages,1,,non,442903
fustet,1,,non,442903
futaillerie,40,,non,442903
futaillerie de bois,1,,non,442903
futaillerie de Saint-Claude,24,,non,442903
futaillerie des Flandres,7,,non,442903
futaillerie grossière,5,,non,442903
futaillerie Saint-Claude,1,,non,442903
futailles,311,,non,442903
futailles ???,1,,non,442903
futailles à l'eau,1,,non,442903
futailles cerclées de bois montées vides,5,,non,442903
futailles cerclées de fer,3,,non,442903
futailles cerclées de fer montées vides,4,,non,442903
futailles de bois,2,,non,442903
futailles de bois cerclées de fer montées vides,1,,non,442903
futailles de bois cerclées montées vides,1,,non,442903
futailles de bois démontées vides,2,,non,442903
futailles de bois montées vides,2,,non,442903
futailles de tonnelier,1,,non,442903
futailles démontées vides,5,,non,442903
futailles diverses,1,,non,442903
futailles en barriques vieilles ???,4,,non,442903
futailles en petits barils,1,,non,442903
futailles petites,1,,non,442903
futailles vides,162,,non,442903
futailles vides de tonnelier,2,,non,442903
futailles vieilles,20,,non,442903
futaine,52,,non,442903
futaine blanche,2,,non,442903
futaine de 20 aunes,1,,non,442903
futaine de coton,6,,non,442903
futaine de laine,5,,non,442903
futaine de Tournai,1,,non,442903
futaine de toute sorte,11,,non,442903
futaine et velours,1,,non,442903
futaine peinte,2,,non,442903
fûts à sas,4,,non,442903
fûts de Grenois,1,,non,442903
futte,1,,non,442903
g ???,1,,non,442903
gablanan,1,,non,442903
gaffes,1,,non,442903
gaffes de sapin,1,,non,442903
gaïac,1,,non,442903
gaine,1,,non,442903
gaine à couteaux,3,,non,442903
gaine bleue,1,,non,442903
gaine de couteau,10,,non,442903
gaine de couteau de papier,1,,non,442903
gaine de limons,1,,non,442903
gaine jaune,1,,non,442903
gajac,0,,oui,442903
galanga,64,,non,442903
galanga des Indes,1,,non,442903
galanterie,1,,non,442903
galbanum,67,,non,442903
galbes,1,,non,442903
galets,1,,non,442903
galette de genièvre,1,,non,442903
galette de porcelaine,1,,non,442903
galette et gaufrettes,1,,non,442903
galette rouge,1,,non,442903
galins,1,,non,442903
galipot,45,,non,442903
galipot ou poix,4,,non,442903
galle,793,Galle,non,1345
galle alepine,1,Galle,non,1345
galle d'Alep,37,Galle,non,1345
galle du Levant,47,Galle,non,1345
galle en sorte,2,Galle,non,1345
galle entière légère pulvérisée,1,Galle,non,1345
galle légère,41,Galle,non,1345
galle romaine,4,Galle,non,1345
galoches,15,,non,442903
galon,7,,non,442903
galon à peu de soie,3,,non,442903
galon au quart de soie,3,,non,442903
galon brûlé,2,,non,442903
galon d'argent,96,,non,442903
galon d'argent et d'or,127,,non,442903
galon d'argent et d'or faux,22,,non,442903
galon d'argent et d'or fin,25,,non,442903
galon d'argent et or,1,,non,442903
galon d'argent et or vieux,1,,non,442903
galon d'argent faux,2,,non,442903
galon d'argent fin,4,,non,442903
galon d'argent vieux,1,,non,442903
galon d'or,133,,non,442903
galon d'or en bord,2,,non,442903
galon d'or et d'argent,1,,non,442903
galon d'or et d'argent faux,1,,non,442903
galon d'or et d'argent fin,1,,non,442903
galon d'or faux,45,,non,442903
galon d'or fin,39,,non,442903
galon de fil,55,,non,442903
galon de fil d'or,1,,non,442903
galon de fil et de soie,2,,non,442903
galon de filoselle,23,,non,442903
galon de fleuret,37,,non,442903
galon de laine,22,,non,442903
galon de livrée,13,,non,442903
galon de livrée de soie,1,,non,442903
galon de livrée du roi,1,,non,442903
galon de peau,3,,non,442903
galon de sistème,1,,non,442903
galon de soie,51,,non,442903
galon de soie et fil,1,,non,442903
galon de soie et or,1,,non,442903
galon de Tours,1,,non,442903
galon divers,10,,non,442903
galon dorure d'argent,55,,non,442903
galon dorure d'argent et d'or,62,,non,442903
galon dorure d'argent et d'or faux,10,,non,442903
galon dorure d'argent et d'or fin,17,,non,442903
galon dorure d'or,81,,non,442903
galon dorure d'or faux,11,,non,442903
galon dorure d'or fin,18,,non,442903
galon dorure de fil,1,,non,442903
galon dorure fausse,7,,non,442903
galon en ruban de fil,1,,non,442903
galon en ruban de laine,1,,non,442903
galon et fil d'or,1,,non,442903
galon et fleuret et frange,1,,non,442903
galon et point d'Espagne d'argent et d'or,1,,non,442903
galon fin,2,,non,442903
galon pilé,3,,non,442903
galon soie et fil,2,,non,442903
galon vieux,1,,non,442903
galons d'argent,0,,oui,442903
galop,1,,non,442903
galots de cuivre,1,,non,442903
galou pilé,1,,non,442903
gamelles à jeter l'eau,1,,non,442903
gamelles de bois,4,,non,442903
gan ??? commune,7,,non,442903
ganepot,1,,non,442903
ganses,1,,non,442903
ganses d'or,3,,non,442903
ganses de fleuret,11,,non,442903
ganses de laine,3,,non,442903
gants,31,,non,442903
gants à large ruban,1,,non,442903
gants à petit ruban,1,,non,442903
gants blancs,1,,non,442903
gants bordés de soie par paires,6,,non,442903
gants brodés de soie,1,,non,442903
gants brodés de soie et or,1,,non,442903
gants chamois,2,,non,442903
gants communs,446,,non,442903
gants communs de peau,1,,non,442903
gants communs par paires,3,,non,442903
gants d'argent,1,,non,442903
gants d'étame,1,,non,442903
gants de bonneterie,3,,non,442903
gants de castor,12,,non,442903
gants de chamois,72,,non,442903
gants de chamois par paire,1,,non,442903
gants de chanvre,3,,non,442903
gants de coton,22,,non,442903
gants de cuir,4,,non,442903
gants de daim,1,,non,442903
gants de femme,3,,non,442903
gants de fer,1,,non,442903
gants de fil,37,,non,442903
gants de fil et coton,2,,non,442903
gants de fil et de soie,2,,non,442903
gants de fil fins,8,,non,442903
gants de fil par paires,1,,non,442903
gants de filoselle,4,,non,442903
gants de fleuret,7,,non,442903
gants de frangipane,1,,non,442903
gants de garnis de soie,5,,non,442903
gants de Grenoble,64,,non,442903
gants de Grenoble de peau,1,,non,442903
gants de laine,50,,non,442903
gants de peau,548,,non,442903
gants de peau de cabri,1,,non,442903
gants de peau de daim,2,,non,442903
gants de peau et autre,16,,non,442903
gants de peau fins,7,,non,442903
gants de peau garnis de soie,1,,non,442903
gants de peau lisérés de soie,1,,non,442903
gants de peau pour femme,8,,non,442903
gants de peau pour homme,1,,non,442903
gants de peaux,2,,non,442903
gants de poil,1,,non,442903
gants de poil de lapin,2,,non,442903
gants de renard,1,,non,442903
gants de Rome,3,,non,442903
gants de senteur,6,,non,442903
gants de soie,106,,non,442903
gants de veau,1,,non,442903
gants de velours,1,,non,442903
gants dits moufles,1,,non,442903
gants divers,22,,non,442903
gants en soie,1,,non,442903
gants et mitaines bordés de soie par paires,1,,non,442903
gants et mitaines de filoselle,1,,non,442903
gants et mitaines de soie,1,,non,442903
gants et mitaines garnis de soie par paires,1,,non,442903
gants et pantoufles de coton,1,,non,442903
gants et pantoufles de laine,1,,non,442903
gants garni de ruban,1,,non,442903
gants garnis de soie,6,,non,442903
gants garnis de soie et or,1,,non,442903
gants glacés,1,,non,442903
gants liserés,20,,non,442903
gants liserés de soie,50,,non,442903
gants parfumés,1,,non,442903
gants pour homme,2,,non,442903
ganvette à faire des ancres,1,,non,442903
garage,1,,non,442903
garance,1118,,non,442903
garance billons,35,,non,442903
garance blanche,1,,non,442903
garance commune,53,,non,442903
garance diverse,18,,non,442903
garance en grappe,2,,non,442903
garance fine,1,,non,442903
garance grappe,27,,non,442903
garance moulue,1,,non,442903
garance moulue et en paille,2,,non,442903
garance moulue ou en paille,5,,non,442903
garance non preparée,0,,oui,442903
garance non préparée,1,,non,442903
garance non robée,47,,non,442903
garance préparée,1,,non,442903
garance racines d'alizari,0,,oui,442903
garance racines vertes,3,,non,442903
garance robée,1,,non,442903
garancine,1,,non,442903
garandolles de verre,0,,oui,442903
garans fort,1,,non,442903
garas,78,,non,442903
garas blanc,34,,non,442903
garas bleu,29,,non,442903
garde d'épée de cuivre doré,1,,non,442903
garde-feu,3,,non,442903
garde-feu de fer,1,,non,442903
garde-meuble,2,,non,442903
Garde-meuble,0,,oui,442903
garde-robe,7,,non,442903
garde-robe de noyer,1,,non,442903
gardes d'épée,4,,non,442903
gardes d'épée argentée,1,,non,442903
gardes d'épée communes,1,,non,442903
gardes d'épée d'argent,3,,non,442903
gardes d'épée d'argent dorée,1,,non,442903
gardes d'épée de cuivre et de fer,1,,non,442903
gardes d'épée en acier,1,,non,442903
gardes d'épée et tabatières d'argent,1,,non,442903
garenne,2,,non,442903
gargousses,1,,non,442903
garnas,1,,non,442903
garniture,2,,non,442903
garniture de blonde,1,,non,442903
garniture de bride,1,,non,442903
garniture de cabrouets,1,,non,442903
garniture de carrosses,1,,non,442903
garniture de commode,4,,non,442903
garniture de dentelle,1,,non,442903
garniture de fauteuil,1,,non,442903
garniture de fusils,2,,non,442903
garniture de fusils et platines de fusils,1,,non,442903
garniture de gaze,2,,non,442903
garniture de gaze noire,1,,non,442903
garniture de lin,1,,non,442903
garniture de lit,3,,non,442903
garniture de lit ayant servi,1,,non,442903
garniture de lit de soie des Indes,1,,non,442903
garniture de lit vieille,1,,non,442903
garniture de pierres fines,1,,non,442903
garniture de ragoût,2,,non,442903
garniture de robes,1,,non,442903
garniture de robes de femme,1,,non,442903
garniture de toilettes,2,,non,442903
garniture des fusils,1,,non,442903
garniture des fusils et platinnes de fusils,0,,oui,442903
garniture des pistolets et platines des pistolets,1,,non,442903
garniture Îles,1,,non,442903
garnitures de selles,1,,non,442903
garonne,2,,non,442903
garos,1,,non,442903
garou et quercitron,3,,non,442903
garras,5,,non,442903
garras bleu,1,,non,442903
garres,5,,non,442903
garres de terre,2,,non,442903
gâteaux de fleurs d'oranger,2,,non,442903
gâteaux de miel,1,,non,442903
gatte noire,1,,non,442903
gaude,24,,non,442903
gaude de sapin,1,,non,442903
gaude et pastel,5,,non,442903
gaude herbe,1,,non,442903
gaude pastel et sarette,2,,non,442903
gaude pour teinture,4,,non,442903
gaufres,2,,non,442903
gaufriers,5,,non,442903
gaule de 30 pieds,0,,oui,442903
gaules,33,,non,442903
gaules de 30 pieds,1,,non,442903
gaules de 36 pieds,1,,non,442903
gaules de bois,5,,non,442903
gaules de pêche,1,,non,442903
gaules de sapin,31,,non,442903
gaules moyennes de sapin,1,,non,442903
gaules petites,1,,non,442903
gaules petites de sapin,1,,non,442903
gaules pour mâts à bateaux,1,,non,442903
gayet,1,,non,442903
gayet brut,3,,non,442903
gaze,56,,non,442903
gaze à fleurs,1,,non,442903
gaze à peu,0,,oui,442903
gaze à peu de soie,28,,non,442903
gaze au 6e de soie,13,,non,442903
gaze au bas de soie,1,,non,442903
gaze au quart,22,,non,442903
gaze au quart de soie,15,,non,442903
gaze au sixième de soie,0,,oui,442903
gaze blanche,1,,non,442903
gaze crêpe et mouchoirs de soie,142,,non,442903
gaze crêpe et ruban de soie,57,,non,442903
gaze crêpe et tulle de soie,12,,non,442903
gaze crêpe mouchoirs et ruban de soie,7,,non,442903
gaze d'argent,5,,non,442903
gaze d'argent et d'or et de soie,0,,oui,442903
gaze d'argent et d'or faux,2,,non,442903
gaze d'argent et d'or fin,1,,non,442903
gaze d'argent et de soie,1,,non,442903
gaze d'argent faux,3,,non,442903
gaze d'argent faux et de soie,1,,non,442903
gaze d'argent fin et d'or fin et de soie,0,,oui,442903
gaze d'argent fin or fin et soie,1,,non,442903
gaze d'argent or et soie,1,,non,442903
gaze d'or et d'argent faux et de soie,1,,non,442903
gaze d'or faux,1,,non,442903
gaze d'or fin et de soie,1,,non,442903
gaze de coton,10,,non,442903
gaze de coton et crêpe de coton et tulle de coton,16,,non,442903
gaze de coton et fil,2,,non,442903
gaze de coton et tulle de coton,3,,non,442903
gaze de fil,56,,non,442903
gaze de fil aune,0,,oui,442903
gaze de fil dite Marly,0,,oui,442903
gaze de fil et coton,9,,non,442903
gaze de fil et de soie,8,,non,442903
gaze de fil sur soie,4,,non,442903
gaze de fleuret,1,,non,442903
gaze de soie,517,,non,442903
gaze de soie aune,0,,oui,442903
gaze de soie brodée,4,,non,442903
gaze de soie de renvoi,1,,non,442903
gaze de soie en mouchoirs,0,,oui,442903
gaze de soie et crêpe de soie et mouchoirs de soie,58,,non,442903
gaze de soie et d'argent faux,0,,oui,442903
gaze de soie et dorure,1,,non,442903
gaze de soie et fil,9,,non,442903
gaze de soie plâtrée,3,,non,442903
gaze de soie pure,3,,non,442903
gaze de toute autre sorte que soie pure,2,,non,442903
gaze dorure de soie,2,,non,442903
gaze dorure et soie,1,,non,442903
gaze en crêpe,10,,non,442903
gaze en crêpe de soie,5,,non,442903
gaze et Marly,1,,non,442903
gaze et Marly de fil,2,,non,442903
gaze et Marly de soie,1,,non,442903
gaze et Marly de soie mêlée de fil d'or faux,1,,non,442903
gaze et mouchoir de soie,7,,non,442903
gaze et mouchoirs et ruban de soie,40,,non,442903
gaze et tulle de coton,2,,non,442903
gaze fond argent,1,,non,442903
gaze Marly,0,,oui,442903
gaze Marly plâtrée,0,,oui,442903
gaze mélangée de soie,1,,non,442903
gaze mi soie,24,,non,442903
gaze or et argent,11,,non,442903
gaze paille,1,,non,442903
gaze peinte,5,,non,442903
gaze pour mouchoirs,2,,non,442903
gaze tricot de Berling et tulle de coton,0,,oui,442903
gaze tricots de Berling et tulle de coton,1,,non,442903
geernaerts,1,,non,442903
gélatine,1,,non,442903
gelée de ???,1,,non,442903
gélinottes,1,,non,442903
gemmes,1,,non,442903
gemmes autres que diamants opales et rubis,2,,non,442903
gemmes brutes,3,,non,442903
gemmes brutes autres,0,,oui,442903
gemmes taillées,4,,non,442903
gemmes taillées autres,0,,oui,442903
gemmes taillées autres que diamants émeraudes et rubis,2,,non,442903
genaux de chêne,1,,non,442903
gencive,1,,non,442903
gene fin,1,,non,442903
genestrole,6,,non,442903
genêts,2,,non,442903
genêts pour salade,3,,non,442903
genettes,1,,non,442903
genièvre,18,,non,442903
genièvre de Cologne,1,,non,442903
genièvre en coquelerrie,1,,non,442903
genin,1,,non,442903
genina,3,,non,442903
génisses,55,,non,442903
génisses et taureaux et vaches,31,,non,442903
génisses et vaches,5,,non,442903
génisses taureaux et vaches,0,,oui,442903
gensive,0,,oui,442903
gentes,2,,non,442903
gentes de bois,2,,non,442903
gentes de fer,1,,non,442903
gentes de terre,1,,non,442903
gentes pour roues,1,,non,442903
gentiane,12,,non,442903
gerbes de lin,10,,non,442903
gerles de chêne,2,,non,442903
gerles de terre,52,,non,442903
gibecières,2,,non,442903
gibecières par douzaines,1,,non,442903
gibernes avec les baudriers,1,,non,442903
gibernes et ceinturons,3,,non,442903
gibernes et havresacs,1,,non,442903
gibier,56,,non,442903
gibier divers,5,,non,442903
gibier et volailles,37,,non,442903
gibier perdrix,0,,oui,442903
gilets,15,,non,442903
gilets à nègre,4,,non,442903
gilets de coton,1,,non,442903
gilets de coton en filoselle,1,,non,442903
gilets de coton et de fil,2,,non,442903
gilets de coton et filoselle,1,,non,442903
gilets de demitte,2,,non,442903
gilets de laine,15,,non,442903
gilets de molleton,3,,non,442903
gilets de soie,5,,non,442903
gilets de soie en dorure,1,,non,442903
gilets de soie et coton,1,,non,442903
gilets de toile,3,,non,442903
gilets dorure de soie,0,,oui,442903
gimblette,1,,non,442903
gingan de lin,0,,oui,442903
gingan nationale,5,,non,442903
gingembre,685,Gingembre,non,751
gingembre confit,12,Gingembre,non,751
gingembre cru,1,Gingembre,non,751
gingembre et piment et poivre,13,Gingembre,non,751
gingembre sec,40,Gingembre,non,751
ginseng,40,,non,442903
ginza,2,,non,442903
girandoles,2,,non,442903
girandoles de cuir,1,,non,442903
girandoles de verre,1,,non,442903
girofle,973,,non,442903
girofle confite,2,,non,442903
girofle et muscade,10,,non,442903
girofle griffes et pédicules,2,,non,442903
girouettes,1,,non,442903
gite de bois,0,,oui,442903
gites de 4 pouces carrés,1,,non,442903
gites de 4 pouces sur 14 pieds de longueur,1,,non,442903
gites de 4 pouces sur 33 pieds de longueur,1,,non,442903
gites de 4 pouces sur 7 pieds de longueur,1,,non,442903
gites de 5 à 7 pouces sur 56 pieds de longueur,1,,non,442903
gites de bois,1,,non,442903
gites de sapin,1,,non,442903
gites ou côtes de sommier,1,,non,442903
gites ou côtes de sommier de 1 pouce,1,,non,442903
gites ou côtes de sommier de 2 pouces,1,,non,442903
glacé,1,,non,442903
glaces,131,,non,442903
glaces ???,1,,non,442903
glaces au tain,2,,non,442903
glaces avec cadres dorés,5,,non,442903
glaces d'1 aune et en dessus,1,,non,442903
glaces d'en dessous 1 aune,1,,non,442903
glaces d'en dessous de 1/4 aune ou petits miroirs,1,,non,442903
glaces de ??? cru ???,2,,non,442903
glaces de ??? d'œuf ???,1,,non,442903
glaces de 1 1/2 aunes de hauteur,1,,non,442903
glaces de 1 1/4 aunes de hauteur,1,,non,442903
glaces de 1 1/8 aunes de hauteur,1,,non,442903
glaces de 1 aune de hauteur,1,,non,442903
glaces de 1/2 aune de hauteur,1,,non,442903
glaces de 1/4 aune de hauteur,1,,non,442903
glaces de 2 1/2 aunes de hauteur,1,,non,442903
glaces de 3/4 aune de hauteur,1,,non,442903
glaces de 3/8 aune de hauteur,1,,non,442903
glaces de 5/8 aune de hauteur,1,,non,442903
glaces de 7/8 aune de hauteur,1,,non,442903
glaces de carrosses,2,,non,442903
glaces de la manufacture de Paris,1,,non,442903
glaces de miroirs,91,,non,442903
glaces de miroirs d'1 aune et en dessus,1,,non,442903
glaces de miroirs de 13 pouces,1,,non,442903
glaces de miroirs de 3 pieds,1,,non,442903
glaces de miroirs grandes,1,,non,442903
glaces en dessous d'1 aune,1,,non,442903
glaces en dessus d'1 aune,1,,non,442903
glaces en valeur,1,,non,442903
glaces encadrées,7,,non,442903
glaces et meubles,281,,non,442903
glaces et miroirs,309,,non,442903
glaces faux teint,1,,non,442903
glaces nues,7,,non,442903
glaces petites et miroirs,13,,non,442903
glaces petits miroirs,1,,non,442903
glaces pour carrosses,1,,non,442903
glaces pour estampes,2,,non,442903
glaces pour miroirs,1,,non,442903
glands,2,,non,442903
glands d'or,1,,non,442903
glands de chêne,5,,non,442903
glu,71,,non,442903
gobelets,8,,non,442903
gobelets à boire,1,,non,442903
gobelets à boire de verres,1,,non,442903
gobelets de bière,1,,non,442903
gobelets de cristal,39,,non,442903
gobelets de cristal de Rouen,1,,non,442903
gobelets de cuivre,1,,non,442903
gobelets de faïence,1,,non,442903
gobelets de fayaux,0,,oui,442903
gobelets de grès,1,,non,442903
gobelets de porcelaine,1,,non,442903
gobelets de terre,3,,non,442903
gobelets de verre,51,,non,442903
gobelets en verre de cristal,1,,non,442903
gobelets et lampes de verre,3,,non,442903
gobelets et verres,21,,non,442903
gobelets et verres à boire,1,,non,442903
gobelets et verres de cristal,3,,non,442903
gobelets peints,1,,non,442903
gogorans,81,,non,442903
gomme,675,Gomme,non,3614
gomme à ???,1,Gomme,non,3614
gomme adragant,331,Gomme,non,3614
gomme amandes,1,,non,442903
gomme ammoniac,107,Gomme,non,3614
gomme animée,7,Gomme,non,3614
gomme animée ou courbaril,1,Gomme,non,3614
gomme arabique,609,Gomme,non,3614
gomme arabique par Marseille,1,Gomme,non,3614
gomme atimaix,1,Gomme,non,3614
gomme brique,2,Gomme,non,3614
gomme carans,2,Gomme,non,3614
gomme chimique,6,Gomme,non,3614
gomme clinique,1,Gomme,non,3614
gomme commune,104,Gomme,non,3614
gomme conviola,2,Gomme,non,3614
gomme copale,217,Gomme,non,3614
gomme couperose,1,Gomme,non,3614
gomme d'acacia,11,Gomme,non,3614
gomme d'acacia acajou adragante et arabique,1,Gomme,non,3614
gomme d'acajou,4,Gomme,non,3614
gomme d'adragant,1,Gomme,non,3614
gomme d'amandier,62,Gomme,non,3614
gomme d'ambrette,2,Gomme,non,3614
gomme d'Amérique,1,Gomme,non,3614
gomme d'ammoniac,1,Gomme,non,3614
gomme d'Arabie,0,Gomme,oui,3614
gomme d'élémi,2,Gomme,non,3614
gomme de Barbarie,82,Gomme,non,3614
gomme de caragne,1,Gomme,non,3614
gomme de cèdre,27,Gomme,non,3614
gomme de Cenzier,1,Gomme,non,3614
gomme de cerisier,1,Gomme,non,3614
gomme de cochenille,1,Gomme,non,3614
gomme de Copahu,1,Gomme,non,3614
gomme de dragon,1,Gomme,non,3614
gomme de gaiac,0,Gomme,oui,3614
gomme de gaïac,66,Gomme,non,3614
gomme de galbanum,1,Gomme,non,3614
gomme de geda,5,Gomme,non,3614
gomme de giette,1,Gomme,non,3614
gomme de gutte,1,Gomme,non,3614
gomme de palme,1,Gomme,non,3614
gomme de palmier,1,Gomme,non,3614
gomme de pays,5,Gomme,non,3614
gomme de sandarac,6,Gomme,non,3614
gomme de seraza,2,Gomme,non,3614
gomme de toute espèce,1,Gomme,non,3614
gomme demi,1,Gomme,non,3614
gomme des Indes,2,Gomme,non,3614
gomme dite laque,1,Gomme,non,3614
gomme du Levant,1,Gomme,non,3614
gomme du Levant thurique,1,Gomme,non,3614
gomme du pays,4,Gomme,non,3614
gomme du Sénégal,298,Gomme,non,3614
gomme ederée,11,Gomme,non,3614
gomme élastique,11,Gomme,non,3614
gomme élémi,97,Gomme,non,3614
gomme elemy,1,Gomme,non,3614
gomme émeri,2,,non,442903
gomme emery,0,Gomme,oui,3614
gomme en feuilles,2,Gomme,non,3614
gomme en grabeau,1,Gomme,non,3614
gomme en pâte,2,Gomme,non,3614
gomme esquinante,1,Gomme,non,3614
gomme euphorbe,2,Gomme,non,3614
gomme exotique,8,Gomme,non,3614
gomme galanga,1,Gomme,non,3614
gomme galle,3,Gomme,non,3614
gomme gedda,13,Gomme,non,3614
gomme gutte,122,Gomme,non,3614
gomme herbes grandes,1,Gomme,non,3614
gomme keraque,1,Gomme,non,3614
gomme laque,302,Gomme,non,3614
gomme laque en bois,1,Gomme,non,3614
gomme laque en feuilles,3,Gomme,non,3614
gomme laque plate,1,Gomme,non,3614
gomme myrrhe,2,Gomme,non,3614
gomme odorie,1,Gomme,non,3614
gomme opoponax,4,Gomme,non,3614
gomme pour peintures et teinture,1,Gomme,non,3614
gomme pure d'amandier et de cerisier,2,Gomme,non,3614
gomme pure exotique,4,Gomme,non,3614
gomme pure exotique des entrepôts,1,Gomme,non,3614
gomme quile,1,Gomme,non,3614
gomme racines d'alizari,1,Gomme,non,3614
gomme rouge,6,Gomme,non,3614
gomme sagapenum,5,Gomme,non,3614
gomme sandaraque,141,Gomme,non,3614
gomme Sénégal,0,Gomme,oui,3614
gomme séraphine,9,Gomme,non,3614
gomme séraphique,8,Gomme,non,3614
gomme tacamaca,8,Gomme,non,3614
gomme tandarac,2,Gomme,non,3614
gomme thurique,146,Gomme,non,3614
gomme topal,1,Gomme,non,3614
gomme verdet,1,Gomme,non,3614
gondole de faïence,1,,non,442903
gonds,1,,non,442903
goudron,1188,Goudron ; de Suède,non,2422
goudron de Suède,1,Goudron ; de Suède,non,2422
goudron et poix,1,Goudron ; de Suède,non,2422
goudron et poix et résines,6,Goudron ; de Suède,non,2422
goules,1,,non,442903
goupil,1,,non,442903
gourde,1,,non,442903
gourgouran,0,,oui,442903
gournable,21,,non,442903
gournable de chêne,3,,non,442903
gournable de sapin,1,,non,442903
gournables de bois,1,,non,442903
gousses,3,,non,442903
gousses ???,1,,non,442903
gousses arabiques,21,,non,442903
gousses de sandaraque,1,,non,442903
gousses du Sénégal,2,,non,442903
gousses gatte,1,,non,442903
gousses lagne,2,,non,442903
gouttières ou goulots,1,,non,442903
gouvernail vieux,1,,non,442903
grabeau d'aspic,1,,non,442903
grabeau d'émail,1,,non,442903
grabeau d'encens,115,,non,442903
grabeau d'indigo,99,,non,442903
grabeau d'ivoire,2,,non,442903
grabeau de canefice,12,,non,442903
grabeau de cire,105,,non,442903
grabeau de cochenille,97,Cochenille,non,1382
grabeau de corail,30,,non,442903
grabeau de galipot,1,,non,442903
grabeau de gomme,18,Gomme,non,3614
grabeau de jalap,1,,non,442903
grabeau de mine,1,,non,442903
grabeau de mioche,1,,non,442903
grabeau de mirthre,0,,oui,442903
grabeau de myrrhe,0,,oui,442903
grabeau de myrthe,4,,non,442903
grabeau de quinquina,3,,non,442903
grabeau de rhubarbe,1,,non,442903
grabeau de sel ammoniac,7,,non,442903
grabeau de séné,135,,non,442903
grabeau de storax,1,,non,442903
grabeau de tartre,26,Tartre,non,1470
grabeau de vermillon,1,,non,442903
grabeau encens,1,,non,442903
grabeau manelle,1,,non,442903
grai gras,1,,non,442903
grain,0,,oui,442903
graine,45,,non,442903
graine ???,2,,non,442903
graine à chapelets,24,,non,442903
graine à chapelets pour l'entrepôt pour Guinée,2,,non,442903
graine à chapelier,1,,non,442903
graine à chapelles,2,,non,442903
graine à couteaux,1,,non,442903
graine alpiste,1,,non,442903
graine arabique,1,,non,442903
graine blanche,1,,non,442903
graine commune,1,,non,442903
graine d'abrus,1,,non,442903
graine d'absinthe,1,,non,442903
graine d'acacia,1,,non,442903
graine d'alipiste,1,,non,442903
graine d'alizari,6,,non,442903
graine d'alkermès,0,,oui,442903
graine d'alpiste,24,,non,442903
graine d'ambrette,29,,non,442903
graine d'ameas,1,,non,442903
graine d'amome,3,,non,442903
graine d'angélique,2,,non,442903
graine d'anis,61,,non,442903
graine d'anis carvi coriandre etc.,2,,non,442903
graine d'anis vert,2,,non,442903
graine d'artichaut,1,,non,442903
graine d'asperges,2,,non,442903
graine d'aspic,42,,non,442903
graine d'Avignon,147,,non,442903
graine d'écarlate,3,,non,442903
graine d'encens,1,,non,442903
graine d'eparette,1,,non,442903
graine d'épicerie,1,,non,442903
graine d'escayolle,1,,non,442903
graine d'esparceil,9,,non,442903
graine d'étain,1,,non,442903
graine d'Inde,1,,non,442903
graine d'indigo,7,Indigo,non,3326
graine d'ivoire,2,,non,442903
graine d'oignon,26,,non,442903
graine d'oiseau,9,,non,442903
graine d'oliette,1,,non,442903
graine d'oliette et de sénegré,1,,non,442903
