marchandises_simplification,classification_hamburg_large,obsolete
mâts de navire de 18 pieds,,non
mâts de navire de 27 à 30 pieds,,non
mâts de navire de 27 pieds,,non
mâts de navire de 30 pieds,,non
mâts de navire de 34 pieds,,non
mâts de navire de 35 pieds,,non
mâts de navire de 36 pieds,,non
mâts de navire de 38 pieds,,non
mâts de navire de 40 pieds,,non
mâts de navire de 45 pieds,,non
mâts de navire de 46 pieds,,non
mâts de navire de 48 pieds,,non
mâts de navire de 50 pieds,,non
mâts de navire de 55 pieds,,non
mâts de navire de 56 pieds,,non
mâts de navire de 6 palmes,,non
mâts de navire de 60 pieds,,non
mâts de navire de 61 pieds,,non
mâts de navire de 65 pieds,,non
mâts de navire de 69 pieds,,non
mâts de navire de 7 palmes,,non
mâts de navire de 7 paumes,,non
mâts de navire de 70 pieds,,non
mâts de navire de 78 pieds,,non
mâts de navire de 8 palmes,,non
mâts de navire de 80 pieds,,non
mâts de navire de 9 palmes,,non
mâts de passementerie,,non
mâts de petit navire,,non
mâts de sapin,,non
mâts de sapin de 10 palmes,,non
mâts de sapin de 11 palmes,,non
mâts de sapin de 12 à 14 paumes,,non
mâts de sapin de 12 à 16 paumes,,non
mâts de sapin de 12 palmes,,non
mâts de sapin de 14 paumes,,non
mâts de sapin de 15 palmes,,non
mâts de sapin de 16 paumes,,non
mâts de sapin de 25 à 34 pieds,,non
mâts de sapin de 3 paumes,,non
mâts de sapin de 35 pieds,,non
mâts de sapin de 36 pieds,,non
mâts de sapin de 4 à 8 paumes,,non
mâts de sapin de 40 pieds,,non
mâts de sapin de 5 palmes,,non
mâts de sapin de 5 paumes,,non
mâts de sapin de 50 à 55 pieds,,non
mâts de sapin de 50 pieds,,non
mâts de sapin de 55 pieds,,non
mâts de sapin de 6 palmes,,non
mâts de sapin de 60 pieds,,non
mâts de sapin de 7 palmes,,non
mâts de sapin de 8 à 12 paumes,,non
mâts de sapin de 9 palmes,,non
mâts de sapin et vergue de sapin,,non
mâts de sapin moyen,,non
mâts de taille moyenne,,oui
mâts de vaisseau,,non
mâts de vaisseaux,,non
mâts doubles,,non
mâts en dessous de 8 paumes,,non
mâts et espars,,non
mâts et matériaux,,non
mâts façonné,,non
mâts grands,,non
mâts mâtereaux,,non
mâts matières,,non
mâts mâtures,,non
mâts peints,,non
mâts petit,,non
mâts petits,,non
matu,,non
maugrebine,,non
maur,,non
mauris,,non
mautes à mulets,,non
Mazamet,,non
mazon,,non
mecerie de bois,,non
mèches,,non
mèches à canons,,non
mèches à chandelle,,non
mèches à flambeau,,non
mèches de coton,,non
mèches de coton pour chandelle,,non
mèches et soufre,,non
mèches flambeau et chandelle et lampe,,non
mèches soufrées,,non
mecoacam,,non
médailles,,non
médailles antique,,non
médailles d'argent,,non
médaillons de terre,,non
médicament,,non
médicament composé,,non
médicaments,,non
meffle,,non
megelanne,,non
mélasse,,non
mélasse et sirop,,non
melon,,non
melon d'eau,,non
ménages,,non
menie,,non
menottes de cuivre,,non
menottes de fer,Fer,non
mente à moulir,,non
mente à taillandier,,non
menu charbon de terre,,non
menu charbon de terre dit sméegruys,,non
menue graine,,non
menuiserie,,non
menus sommiers,,non
menuté,,non
mercerie,,non
mercerie ???,,non
mercerie à la valeur,,non
mercerie bimbeloterie,,non
mercerie commune,,non
mercerie cru,,non
mercerie de bois,,non
mercerie de bois en peigne,,non
mercerie de cuivre,,non
mercerie de Nuremberg,,non
mercerie en lignet et hameçon,,non
mercerie en peigne d'ivoire,,non
mercerie épingle,,non
mercerie et bibelot,,non
mercerie et quincaille,,non
mercerie fine,,non
mercerie fine epingle,,non
mercerie fine et aiguille,,non
mercerie grossière,,non
mercerie ordinaire,,non
mercerie peigne de bois,,non
mercerie peigne de corne,,non
mercerie tabatières corne,,non
mercerie trés commune,,non
mercerie trés fine,,non
merciers,,non
mercure,,non
mercure doux,,non
mercure précipité,,non
meriers,,non
meriers à faire échelle,,non
meriers petits,,non
meriezes,,non
merlan,,non
merle,,non
merlin,,non
merlin à trois fils,,oui
merluche,,non
merlus,,non
merrains,,non
merrains ???,,non
merrains à barils,,non
merrains à barriques,,non
merrains à barriques douves,,non
merrains à bœuf,,non
merrains à bottes,,non
merrains à boucaud,,non
merrains à busses,,non
merrains à fonçaille,,non
merrains à fond,,non
merrains à futailles,,non
merrains à muid,,non
merrains à pipes,,non
merrains à poinçon,,non
merrains à quart,,non
merrains à tierçons,,non
merrains à tonneaux,,non
merrains à tortue,,non
merrains aqua,,non
merrains basique,,non
merrains bourdilles,,non
merrains bourdillons,,non
merrains communs,,non
merrains de 4 pieds,,non
merrains de chêne,,non
merrains de douves,,non
merrains de maille,,non
merrains de sapin,,non
merrains en barrique,,non
merrains en fonçaille,,non
merrains en pipes,,non
merrains et feuillards,,non
merrains fonçaille,,non
merrains futaille,,non
merrains ganivelles,,non
merrains petits,,non
merrains pour faire des douves de fûts,,non
merrains pour ferraille,,non
mervillon,,non
mesat de clocher,,non
mesure d'étain,,non
metail,,non
métal,,non
métal composé,,non
métal de cloche,,non
métal de cloches et plomb et et zinc,,non
métal de flèche,,non
métal de fonte,,non
métal des Indes,,non
métal et bronze moulé,,non
métal frappé et moulé et ouvré,,non
métal moulé,,non
métal ou ???,,non
métal petit morceau,,oui
métal pour horlogerie,,non
métiers,,non
métiers à faire bas,,non
métiers à filer,,non
métiers à tapisserie,,oui
métiers de drapier,,non
métiers de tisserand,,non
métiers presse bluteaux cribles de moulin,,non
meuble et effet,,non
meubles ???,,non
meubles à coutelier,,non
meubles à moulins,,non
meubles à taillandier,,non
meubles affiloires,,non
meubles de bois,,non
meubles et miroirs,,non
meubles et ornements,,non
meubles et pierres,,non
meubles glaces et miroirs,,non
meubles habits et bijoux,,non
meubles matelas,,non
meubles miroirs de toilettes,,non
meubles ornements,,non
meulardeaux,,non
meulardeaux à coutelier,,non
meules,,non
meules à acoustique,,non
meules à aiguiser,,non
meules à aiguiser batarde,,non
meules à aiguiser grande,,non
meules à aiguiser moyenne,,non
meules à aiguiser petite,,non
meules à callandre,,non
meules à coutelier,,non
meules à coutelier petites,,non
meules à Couteliers,,non
meules à couturier,,non
meules à faire,,non
meules à faux,,non
meules à favre,,non
meules à gagne-petit,,non
meules à huile,,non
meules à sabres,,non
meules à tailland ???,,non
meules à taillande,,non
meules à taillander,,non
meules à taillandier,,non
meules à taillandier d'1 à 2 pieds,,non
meules à taillandier de 2 pieds,,non
meules à taillandier de 3 à 4,,non
meules à taillandier de 4 à 5,,non
meules à taillandier de 4 à 5 pouces,,non
meules à taillandier de 4 pieds,,non
meules à Talandier,,non
meules à tannerie,,non
meules affiloir,,non
meules au dessous de 4 pouces,,non
meules au dessus de 4 pouces,,non
meules bâtardes,,non
meules coutier,,non
meules de 4 pieds,,non
meules de coutelier,,non
meules de moulins de 4 pieds 1/2,,non
meules de moulins de 55 pieds,,non
meules de moulins de 6 pieds,,non
meules ordinaires et à taillandier,,non
meules petites,,non
meules pour moulin,,non
meules pour moulins,,non
meules pour moulins dites grand loup d'Angleterre,,non
meules pour moulins dites petit loup d'Angleterre,,non
meules pour moulins du poid pour 1200 à 1800 livres,,non
meules pour moulins du poid pour 2000 à 2800 livres,,non
meules pour moulins du poid pour 2000 à 3000 livres,,oui
meules pour moulins du poid pour 300 à 1000 livres,,non
meules pour moulins du poid pour 3000 à 4000 livres,,non
meules pour moulins du poid pour 5000 à 6000 livres,,non
meules pour moulins pour haute catégorie,,non
meuniers,,non
microscope,,non
miel,,non
miel blanc,,non
miel brouche,,non
miel brun,,non
miel brut,,non
miel commun,,non
miel cru,,non
miel cuit,,non
miel de Narbonne,,non
miel façonné,,non
mignonette des prises,,non
mignonette étoffe,,non
mignonnette,,non
mignotte étoffe,,non
migon,,non
mil,,non
mille gants,,non
milleret,,non
milleret et agrément,,non
milleret et agrément de soie,,non
millet,,non
mimy,,non
mine d'asphalte,,non
mine de cuivre,,non
mine de cuivre rouge,,non
mine de fer,Fer,non
mine de plomb,Plomb,non
mine de plomb noire,Plomb,non
mine de plomb rouge,Plomb,non
mine de Prusse,,non
mine de roche,,non
minerai de plomb,,non
mineral,,oui
minéraux,,non
mini,,non
minium,Minum,non
minium et mine orange,Minum,non
miniun,,non
minutier,,non
miny,,non
mireau,,non
mirke,,non
mirobolant,,non
miroirs,,non
miroirs à bordures dorées,,non
miroirs à bordures dorées et grands,,non
miroirs à bordures dorées et petits,,non
miroirs à cadres dorés,,non
miroirs communs,,non
miroirs d'1 pied et demi,,non
miroirs de 2 pieds,,non
miroirs de 25 pieds de haut et 1 de large,,non
miroirs de toilettes,,non
miroirs de toillettes,,non
miroirs de traite,,non
miroirs encadrés,,non
miroirs et glaces,,oui
miroirs et petites glaces,,oui
miroirs grands,,non
miroirs petits,,non
mise à feu,,oui
mitaines,,non
mitaines bordées de soie par paires,,non
mitaines brodées,,non
mitaines de peau,,non
mitaines de soie,,non
mitaines de taffetas,,non
mitaines garnies de ruban,,non
mitaines garnies de soie,,non
mitaines liserées,,non
mitaines lisérées de soie de peau,,non
mite de soie,,non
mitons à pierres fausses par paires de velours,,non
mitraille,,non
mitraille de cuivre,,non
mitrailles de cuivre,,non
mittes,,non
mittes de soie,,non
mittières de fer,Fer,non
mobilier,,non
mobilier vieux,,non
mocade,,non
mode de bœuf,,non
modèle de château de carton,,non
modèle de plâtre,,non
modes,,non
modes de Montauban,,non
moëlle,,non
moëlle de bœuf,,non
moellons de brique,,non
moines garnis de fer-blanc,,non
moire blanche,,non
Moka,,non
molenaers,,non
molleton,,non
molleton aune,,non
molleton capiton,,non
molleton de capiton,,non
molleton de coton,,non
molleton de laine,,non
molleton de soie,,non
molleton double fil,,oui
molleton frisé,,non
molleton imprimé de laine,,non
molleton simple fil,,oui
momade,,non
momie,,non
moncayard,,non
mongette,,non
mongistere,,non
monnaie argent,,non
monnaie cuivre,,non
monnaies,,oui
monnaies au type étranger,,non
monnaies d'argent,,non
monnaies d'argent en espèces coursables,,non
monnaies d'argent et d'or et au type étranger,,non
monnaies d'argent par Calais,,non
monnaies d'argent par Strasbourg et Metz,,non
monnaies d'argent par Valenciennes,,non
monnaies d'or,,non
monnaies d'or par Calais,,non
monnaies d'or quadruple,,non
monnaies de cuivre,,non
monnaies de cuivre de Suède,,non
monnaies de cuivre ouvré,,non
montres,,non
montres d'argent,,non
montres d'argent et d'or,,non
montres d'or,,non
montres de cuivre,,non
montres de poche,,non
montres de poche à caisse d'argent,,non
montres de poche à caisse d'or,,non
montres de poches à caisses de pinsbeck,,non
montres et pendule,,non
montures de bois pour fusil,,oui
moque de gréz,,non
moquette,,non
moquette de laine et de fil,,non
moquette grasse de laine et fil,,non
moquette verte,,non
morceaux d'espars,,non
morceaux de planches,,non
morilles,,non
morilles et mousserons et truffes,,non
morilles et truffes,,non
mors de bride,,non
mors et brides,,non
mortiers,,non
mortiers de bronze,,non
mortiers de fer,Fer,non
mortiers de fonte,,non
mortiers de marbre,,non
mortiers de métal,,non
mortiers de pierre,,non
mortiers et pilon,,non
morue,,non
morue ???,,non
morue avariée,,non
morue avec harengs des prises,,non
morue cabillaud verte,,non
morue de Hollande,,non
morue de pêche française,,non
morue en saumure,,non
morue et stockfish,,non
morue et stokfisch,,non
morue joues sèche,,non
morue marinées et salées,,non
morue note alang,,non
morue par Bayonne,,non
morue salée,,non
morue salée d'Islande,,non
morue salée sèche,,non
morue salée verte,,non
morue sèche,,non
morue stockfish,,non
morue verte,,non
morue verte cap et queues,,non
morue verte des Îles,,non
motte de lin,,non
moucherons,,non
mouches à miel,,non
mouches cantharide,,non
mouches de soie,,non
mouches de taffetas,,non
mouchoirs,,non
mouchoirs ??? de fil de France,,non
mouchoirs à carreau,,non
mouchoirs à la valeur,,non
mouchoirs à peu de soie,,non
mouchoirs à toile peinte,,non
mouchoirs à vignette,,non
mouchoirs au brin de soie,,non
mouchoirs baffetas,,non
mouchoirs bandanoe,,non
mouchoirs blanc,,non
mouchoirs blancs et teints,,non
mouchoirs bleus,,non
mouchoirs brodé,,non
mouchoirs commun,,non
mouchoirs d'aleph,,non
mouchoirs d'indienne,,non
mouchoirs de ???,,non
mouchoirs de batiste,,non
mouchoirs de batiste de Saint-Quentin,,non
mouchoirs de Béarn,,non
mouchoirs de Bengale,,non
mouchoirs de Betton,,non
mouchoirs de Champagne,,non
mouchoirs de chocolat,,non
mouchoirs de Cholet,,non
mouchoirs de coton,,non
mouchoirs de coton blanc,,non
mouchoirs de coton blancs,,non
mouchoirs de coton brin de soie,,non
mouchoirs de coton communs,,non
mouchoirs de coton de France,,non
mouchoirs de coton de l'étranger,,non
mouchoirs de coton de l'Inde,,non
mouchoirs de coton découpé,,non
mouchoirs de coton en soie,,non
mouchoirs de coton et de fil,,non
mouchoirs de coton et de fil découpé,,non
mouchoirs de coton et de soie,,non
mouchoirs de coton et fil,,non
mouchoirs de coton et fil de coton,,non
mouchoirs de coton et soie,,non
mouchoirs de coton et soie de France,,non
mouchoirs de coton étranger,,non
mouchoirs de coton fins,,non
mouchoirs de coton grossiers,,non
mouchoirs de coton peints,,non
mouchoirs de cotongros,,non
mouchoirs de Craité,,non
mouchoirs de demi soie,,non
mouchoirs de différentes qualités en coton,,non
mouchoirs de différentes quantités,,non
mouchoirs de fil,,non
mouchoirs de fil commun,,non
mouchoirs de fil de ??? de Cholet et ???,,non
mouchoirs de fil de Cholet,,non
mouchoirs de fil du Béarn,,non
mouchoirs de fil et de batiste,,non
mouchoirs de fil et de coton,,non
mouchoirs de fil et de pitre,,non
mouchoirs de fil fin,,non
mouchoirs de fil organdi,,non
mouchoirs de foulard,,non
mouchoirs de France,,non
mouchoirs de gaze,,non
mouchoirs de gaze divers,,non
mouchoirs de gaze grands,,non
mouchoirs de guingan,,non
mouchoirs de Hollande,,non
mouchoirs de kinfin,,non
mouchoirs de l'hote,,non
mouchoirs de la Compagnie des Indes,,non
mouchoirs de laine,,non
mouchoirs de Laval,,non
mouchoirs de lin imprimé,,non
mouchoirs de linon,,non
mouchoirs de Madras,,non
mouchoirs de masulipatan,,non
mouchoirs de mousseline,,non
mouchoirs de paliacate,,non
mouchoirs de Paliacate,,non
mouchoirs de pitre,,non
mouchoirs de Pondichéry,,non
mouchoirs de romals,,non
mouchoirs de romals et de la Côte,,non
mouchoirs de Rouen,,non
mouchoirs de Saumur,,non
mouchoirs de siamoise,,non
mouchoirs de soie,,non
mouchoirs de soie de Rouen,,non
mouchoirs de soie en coton,,non
mouchoirs de taffetas,,non
mouchoirs de toile,,non
mouchoirs de toile ???,,non
mouchoirs de toile aune,,non
mouchoirs de toile blanche,,non
mouchoirs de toile de Cholet,,non
mouchoirs de toile de lin,,non
mouchoirs de toile découpés,,non
mouchoirs de toile peinte,,non
mouchoirs de traite,,non
mouchoirs de Zurich,,non
mouchoirs demi soie,,non
mouchoirs des Indes,,non
mouchoirs des Indes de coton,,non
mouchoirs des Indes de soie,,non
mouchoirs des Indes dit bandanas,,non
mouchoirs des Indes dits romals,,non
mouchoirs du Béarn,,non
mouchoirs du Levant,,non
mouchoirs du pays,,non
mouchoirs en soie,,non
mouchoirs et cravates de mousseline,,non
mouchoirs et cravates de soie mêlée,,non
mouchoirs et mouchoirs des Indes,,non
mouchoirs fabriqués en France,,non
mouchoirs fin,,non
mouchoirs foulards,,non
mouchoirs gros en fil,,non
mouchoirs imprimé,,non
mouchoirs indienne,,non
mouchoirs Komel et Renis,,non
mouchoirs linon,,non
mouchoirs Madras,,non
mouchoirs peint,,non
mouchoirs peints de France,,non
mouchoirs rayés,,non
mouchoirs romals,,non
mouchoirsde fil et de lin,,non
moufles,,non
moules,,non
moules (poisson),,non
moules à sucre,,non
moules de boutons,,non
moules de fer à galette,Fer,non
moules de pierre pour sucre,,non
moules de plâtre,,non
moules de plâtre à faire figures,,non
moules de terre,,non
moules pour chandelle,,non
moules pour sucre,,non
moulinet à filer,,non
moulinets à chocolat,,non
moulins,,non
moulins à blé,,non
moulins à blè et à bras,,non
moulins à bras,,non
moulins à café,,non
moulins à café doux,,non
moulins à dessécher,,non
moulins à filer,,non
moulins à grain,,non
moulins à lapidaire,,non
moulins à maïs,,non
moulins à moudre grain,,non
moulins à moutarde,,non
moulins à poivre,,non
moulins à poivre et à café,,non
moulins à retordre,,non
moulins à sarrasin,,non
moulins à sucre,,non
moulins à tabac,,non
moulins à tordre fil,,non
moulins complets à sucre,,non
moulins de bois,,non
moulins de fer,Fer,non
moulins de fer à sucre,Fer,non
moulins de soie,,non
moulins et presses à tabac,,non
moulons,,non
moulons à faire chaux,,non
moulons et kibbelinck,,non
moulures,,oui
moulures dorées,,non
mouquette,,non
moureaux,,non
moureaux de bois,,non
moureaux de mulet,,non
mousquets,,non
mousse,,non
mousse de bois,,non
mousse de lin,,non
mousse de mer,,non
mousse de mer et herbes à teindre,,non
mousse de roche,,non
mousselines,,non
mousselines aune,,non
mousselines brodée,,non
mousselines brodées,,non
mousselines de coton,,non
mousselines de coton et des Indes,,non
mousselines de coton unies et brûlées,,non
mousselines de coton unies et peintes,,non
mousselines de France,,non
mousselines de l'étranger,,non
mousselines de la compagnie,,non
mousselines de Suisse et siamoise à ligne de soie,,non
mousselines des Indes,,non
mousselines et mousselinette de coton,,non
mousselines et Nankin de coton,,oui
mousselines et Nankin et toile de coton,,non
mousselines et toile de coton,,non
mousselines et toile de coton blanc,,non
mousselines et toile des Indes,,non
mousselines fines,,non
mousselines imprimées,,non
mousselines nationale,,non
mousselines unies,,non
mousselinette,,non
mousselinette de coton,,non
mousseron,,non
mousseron et morille,,non
mousseron sec,,non
mousserons et truffes,,non
moustiquaire de fil,,non
moustiquaire en fil,,non
moût,,oui
moutarde,,non
moutarde feuilles,,oui
moutardelle,,non
moutardiers verres à boire etc,,oui
moutons,,non
moutons et brebis,,non
moutons gras,,non
mouvements de montre,,non
mouvements de pendule,,non
moyeux,,non
muce de plomb,,non
mufle à chandelle,,non
mule et mulet,,non
mules,,non
mules brodées et souliers brodées,,non
mules brodées pour femme,,non
mules de nattes,,non
mules et mulets,,non
mules et mulets d'1 an,,non
mules et mulets et ânes,,non
mules ou mulets,,non
mulets,,non
mulets de fer,Fer,non
mulets mulets,,non
mulets poulains,,non
mungistere,,non
munitions,,oui
munitions de guerre,,non
munitions de guerre et projectile,,non
mûres sauvages,,oui
musc,,non
muscades,,non
muscades confites,,non
muscades de perle,,non
muscades en noix,,non
muscades et macis,,non
muscades et poivre,Poivre ; blanc-noir,non
muse,,non
muselet et fil d'acier,,oui
musique,,non
myrrhe,,non
myrrhe en grabeau,,non
myrthe,,non
nacelles,,non
nacre,,non
nacre à perles,,non
nacre de perles,,non
nacre de perles ouvrée,,non
nacre en coquilles,,non
nacre et perles,,non
Nankin,,non
Nankin blanche,,non
Nankin de coton,,non
nappes,,non
nappes de tables,,non
nappes et serviette,,non
nappes et serviettes,,non
nappes et serviettes de lin,,non
nappes et serviettes ouvrées,,non
nappes faite,,non
nappes fines et ouvrées,,non
nappes ouvrée,,non
nappes ouvrées,,non
nappes unie,,non
narval,,oui
natrons,,non
nattes,,non
nattes communes à paqueter,,non
nattes d'emballage,,non
nattes de chanvre,,oui
nattes de jonc,,non
nattes de jonc à pot emballage,,non
nattes de jonc et de paille large,,non
nattes de jonc et paille étroite,,non
nattes de jonc large,,non
nattes de jonc rondes pour les pieds,,non
nattes de moscovie,,non
nattes de paille,,non
nattes de paille et de jonc,,non
nattes de Russie,,non
nattes moyennes,,non
nattes pour grenier,,non
nattes ronde,,non
nature de baleine,,non
naurougue,,non
naveau,,non
navet,,non
navettes,,non
navettes à drapier,,non
navettes d'ecaille,,non
navire,,non
nécessaires,,non
nécessaires de cuivre,,non
nécessaires garnis en argent,,non
nèfles,,non
neganepeau,,non
nègre,,non
nelis,,non
nepres,,non
neptune de cuivre,,non
nerf de bœuf,,non
nervure,,non
niaals des Indes,,non
nicaneas,,non
nicanéas,,non
nicaneas fins,,non
nicaneas grands,,non
nicaneas longs,,non
nicaneas petite,,non
nicaneas petits,,non
nid d'oiseau,,non
nina,,non
nina de poil,,non
nippes,,non
nippes et atours,,non
nœuds d'épée,,non
nœuds d'épée avec or,,non
nœuds d'épée et cordons de montres,,non
nogal,,non
nogat,,non
nogat en piastre forte,,non
noir,,non
noir à broyer,,non
noir à imprimer,,non
noir à noircir,,non
noir commun,,non
noir commun de fumée,,non
noir d'Espagne,,non
noir d'ivoire,,non
noir d'or,,non
noir de Chypre,,non
noir de fumée,,non
noir de galle,Galle,non
noir de noircir,,non
noisette,,non
noisette sèches,,non
noisettes,,non
noisettes et noix,,non
noix,,non
noix d'acajou,,non
noix de coco,,non
noix de galle,Galle,non
noix de marrons,,non
noix de muscade,,non
noix de muscades,,oui
noix de pipes,,non
noix épillée,,non
noix et noisettes sèches,,non
noix et riz,Riz,non
noix grosse,,non
noix moutarde,,non
noix muscade,,non
noix pour peintures,,non
noix sèches,,non
noix venimeuses,,non
noix venimeux,,non
noix vomiques,,non
noronges,,non
nots de morue,,non
nots et langues de morue,,non
nots et langues de morue des Îles,,non
nousouque,,non
noyaux,,non
noyaux de pêches,,non
noyer et cerisier,,non
numéraire en assignats,,non
numéraire en assignats par la Cure,,non
objects,,non
objets à la valeur,,non
objets d'art,,non
objets d'art et d'histoire naturelle,,non
objets d'arts histoire naturelle peintures et gravures,,non
objets de collection sculpture et d'histoire naturelle et peinture et gravure,,non
objets de cuivre,,oui
objets de peu d'importance,,non
objets de peu de valeur,,non
objets des Indes,,non
objets des Indes et de peu importance,,non
objets divers dont la valeur du plus fort n'excède pas 25000 livre,,non
objets divers dont les plus forts articles n'excèdent pas 10000 livres,,non
objets manufacturé réunis,,non
objets manufacturés,,non
oblique,,non
obusier de fonte,,non
ocre,,non
ocre brun,,non
ocre de toute espèce,,non
ocre en pierre,,non
ocre en poudre,,non
ocre et brun rouge,,non
ocre jaune,,non
ocre noir,,non
ocre rouge,,non
octante,,non
odautes,,non
odeure,,non
odorante encens,,non
œil de bœuf,,non
œil de bœuf garni de cuivre,,non
œillards,,non
œillet,,non
œuf de thon,,non
œufs,,non
œufs de composition,,non
œufs de faisan,,non
œufs de perdrix rouge,,non
œufs de poule,,non
œufs de thon,,non
œufs et volaille,,non
œuillard de Brie,,non
ogarie,,non
oie,,non
oignons,,non
oignons commun,,non
oignons d'esquilles,,non
oignons d'hyacrite,,non
oignons de Barbarie,,non
oignons de fleurs,,non
oignons de fleurs et plantes,,non
oignons de fleurs jonquilles,,non
oignons de narcisse,,non
oignons de narcisses,,non
oignons de squille,,non
oignons de tubéreuse,,non
oignons ordinaires,,non
oint,,non
oint vieux,,non
oiseaux,,non
oiseaux de proie,,non
oiseaux petits,,non
oleane ou rocou,,non
oliban,,non
olives,,non
olives au vinaigre,,non
olives confites,,non
olives fraîches,,non
olives marinées,,non
olives salées,,non
olives salées au vinaigre,,non
olives salés et au vinaigre,,non
olivettes,,non
olivier,,non
onetes de coton,,non
ongles d'écaille de tortue,,non
ongles de bœuf,,non
ongles de caret,,non
onguent,,non
onguent de laurier,,non
opiat et pilules,,non
opiats,,non
opium,,non
opoponax,,non
optique,,non
or,,oui
or battu,,non
or battu et fin,,non
or caissette,,non
or en coquille,,non
or en feuilles,,non
or en lingot,,non
or et argent,,non
or et argent balle,,non
or et argent battu,,non
or et argent en barres et lingot,,non
or et argent en feuilles,,non
or et argent en fil,,non
or et argent en fil et cantille et paillette,,non
or et argent en lingot,,non
or et argent faux,,non
or et argent faux battu en livret de 24 feuilles,,non
or et argent fin battu en livret de 24 feuilles,,non
or et argent monnayé,,non
or et argent paillette,,non
or et argent trail,,non
or faux,,non
or faux battu,,non
or filé,,non
or filé et vrai,,non
or massif,,non
or paillette,,non
or travaillé,,non
orange,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange aigre,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange de Malte,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange douce,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange en caisses,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange et citrons,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange fraîche,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange fraîches,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange sèche,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
orange séchée à faire chapelets,,non
orangelets,,non
orangelets secs,,non
orangers,,non
orangers petits,,non
orbe,,non
orcanette,,non
orcillons à faire colle,,non
orcre,,non
oreilles et oreillons à faire colle,,non
oreillons,,non
orfèvrerie,,non
orfèvrerie d'argent,,non
orfévrerie d'argent et d'or,,non
orfèvrerie d'or,,non
orfèvrerie d'or et d'argent,,non
organdis,,non
organeaux,,non
orge jaune,,non
orge mondé,,non
orge moulu,,non
orge perlé,,non
orgue,,non
orgue d'Allemagne,,non
orgue de savoyard,,non
orgueur de bois,,non
origan,,non
ormeaux à planter,,non
ornement de table,,non
ornements d'église,,non
ornements de fer,Fer,non
orobes,,non
orphies,,oui
orpiment,,non
orpiment broyé,,non
orpin,,non
orpin broyé,,non
orpis rouge,,non
orseille,,non
orseille apprêtée,,non
orseille en drapeaux,,non
orseille en herbes,,non
orseille ou tournesol préparé,,non
orseille sèche,,non
ortite de menuisier,,non
orviétan,,non
os de baleine,,oui
os de bœuf,,non
os de bœuf et vache,,non
os de cœur de bœuf,,non
os de mouton,,non
os de sèche,,non
os de seiche serpia officinalis,,non
os desséchés,,non
oseille,,non
oseille apprêtée,,non
osier,,non
osier d'en dessous de 7 paumes,,non
osier de 10 à 11 paumes,,non
osier de 12 à 14 paumes,,non
osier de 7 à 9 paumes,,non
osier de fer-blanc,Fer,non
osier en dessous de 10 paumes,,non
osier torches,,non
osserie de Dieppe,,non
ouate,,non
ouate d'étoupe,,non
ouate de coton,,non
ouate de laine,,non
ouate de soie,,non
ouseaux,,non
outils,,non
outils à battre l'or,,non
outils à faire carte et moule,,non
outils à soutirer le vin,,non
outils à sucre,,non
outils d'agriculture,,non
outils d'horlogerie,,non
outils d'imprimerie,,non
outils d'imprimerie et de marbre,,non
outils d'orfèvre,,non
outils d'ouvrier,,non
outils de acier et de fer,,oui
outils de bois utilisés pour la fabrication des épingles,,oui
outils de boulanger,,non
outils de charpentier,,non
outils de cuisine,,non
outils de fer,Fer,non
outils de fer de forgeron,Fer,non
outils de ferblantier,,non
outils de frecatage,,non
outils de labourage,,non
outils de laboureur,,non
outils de lapidaire,,non
outils de ménages,,non
outils de menuiserie,,non
outils de menuisier,,non
outils de miroitier,,non
outils de moulin à papier,,non
outils de moulins,,non
outils de moulins de fer,Fer,non
outils de pêche,,non
outils de pêche par Marseille,,non
outils de pêcheur,,non
outils de sécheurs,,non
outils de tisserand,,non
outils en fer,,non
outils en fer et acier,,non
outils menuisier,,non
outils pour marchands de vin,,non
outils pour pêche,,oui
outils pour pêche de baleine,,oui
outres vides,,non
ouvrages,,non
ouvrages ???,,non
ouvrages ??? à couvrir,,non
ouvrages d'acier,,non
ouvrages d'airain,,non
ouvrages d'albâtre,,non
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,,non
ouvrages d'ambre,,non
ouvrages d'ambre jaune,,non
ouvrages d'argent,,non
ouvrages d'argent et d'or,,non
ouvrages d'argent et d'or et de soie,,non
ouvrages d'argent et de soie,,non
ouvrages d'argent plaqué,,non
ouvrages d'auf,,non
ouvrages d'auf bandeaux,,non
ouvrages d'auf en cousses,,non
ouvrages d'auf et de jonc,,non
ouvrages d'écaille,,non
ouvrages d'étain,,non
ouvrages d'horlogerie,,non
ouvrages d'industrie,,non
ouvrages d'industrie étrangers,,non
ouvrages d'ivoire,,non
ouvrages d'opium,,non
ouvrages d'optique,,non
ouvrages d'or,,non
ouvrages d'or faux,,non
