marchandises_simplification,provenance_nord_américaine,details_provenance,obsolete
massis,,,non
massy,,,non
mastaquy,,,non
mastic,,,non
mastic en larmes,,,non
mastie,,,non
mastrre,,,non
mateaux,,,non
matelas,,,non
matelas de crin,,,non
matelas de crin et de noppes,,,non
matelas de laine,,,non
matelas de lit,,,non
matelas de toile de coton et de fil,,,non
matelas vieux,,,non
mâtereaux,,,non
mâtereaux 30 pieds,,,non
mâtereaux à barques,,,non
mâtereaux communs de 30 pieds,,,non
mâtereaux d'acajou de 7 à 8 pieds,Hors Amérique du Nord,tropiques,non
mâtereaux de 11 à 13 palmes,,,non
mâtereaux de 12 palmes,,,non
mâtereaux de 12 pieds,,,non
mâtereaux de 14 palmes,,,non
mâtereaux de 14 pieds,,,non
mâtereaux de 15 à 20 pieds,,,non
mâtereaux de 16 pieds,,,non
mâtereaux de 18 à 19 pieds,,,non
mâtereaux de 19 pieds,,,non
mâtereaux de 20 à 22 pieds,,,non
mâtereaux de 20 à 24 pieds,,,non
mâtereaux de 20 pieds,,,non
mâtereaux de 22 à 26 pieds,,,non
mâtereaux de 22 pieds,,,non
mâtereaux de 24,,,non
mâtereaux de 24 pieds 6 pouces,,,non
mâtereaux de 25 à 28 pieds,,,non
mâtereaux de 25 à 30 pieds,,,non
mâtereaux de 25 à 40 centimètres,,,non
mâtereaux de 25 centimètres à 40,,,non
mâtereaux de 25 centimètres inclusivement à 40 exclusivement,,,non
mâtereaux de 25 pieds,,,non
mâtereaux de 26 à 28 pieds,,,non
mâtereaux de 26 à 30 pieds,,,non
mâtereaux de 27 pieds,,,non
mâtereaux de 28 à 30 pieds,,,non
mâtereaux de 28 pieds,,,non
mâtereaux de 30 à 34 pieds,,,non
mâtereaux de 30 à 35 pieds,,,non
mâtereaux de 30 à 36 pieds,,,non
mâtereaux de 30 à 40 pieds,,,non
mâtereaux de 30 pieds,,,non
mâtereaux de 32 à 33 pieds,,,non
mâtereaux de 32 à 34 pieds,,,non
mâtereaux de 32 pieds,,,non
mâtereaux de 33 pieds,,,non
mâtereaux de 34 à 36 pieds,,,non
mâtereaux de 35 à 37 pieds,,,non
mâtereaux de 35 pieds,,,non
mâtereaux de 36 à 38 pieds,,,non
mâtereaux de 36 à 45 pieds,,,non
mâtereaux de 36 pieds,,,non
mâtereaux de 36 pieds 9 pouces,,,non
mâtereaux de 37 à 38 pieds,,,non
mâtereaux de 38 pieds,,,non
mâtereaux de 40 à 44 pieds,,,non
mâtereaux de 40 à 45 pieds,,,non
mâtereaux de 40 pieds,,,non
mâtereaux de 42 à 47 pieds,,,non
mâtereaux de 45 à 50 pieds,,,non
mâtereaux de 45 pieds,,,non
mâtereaux de 46 à 60 pieds,,,non
mâtereaux de 47 à 48 pieds,,,non
mâtereaux de 47 à 49 pieds,,,non
mâtereaux de 48 à 50 pieds,,,non
mâtereaux de 48 pieds,,,non
mâtereaux de 50 à 55 pieds,,,non
mâtereaux de 54 à 60 pieds,,,non
mâtereaux de 6 à 7 pieds,,,non
mâtereaux de 60 pieds,,,non
mâtereaux de 7 à 11 palmes,,,non
mâtereaux de 7 à 13 palmes,,,non
mâtereaux de 7 à 9 palmes,,,non
mâtereaux de 9 à 12 palmes,,,non
mâtereaux de bois,,,non
mâtereaux de chaloupe,,,non
mâtereaux de différente longueur,,,non
mâtereaux de sapin,,,non
mâtereaux de sapin de 20 pieds,,,non
mâtereaux de sapin de 25 pieds,,,non
mâtereaux de sapin de 28 pieds,,,non
mâtereaux de sapin de 30 pieds,,,non
mâtereaux petits,,,non
matériaux,,,non
matériaux de bois,,,non
matériaux de construction,,,non
matériaux de sapin,,,non
matériaux moellons sable etc.,,,non
mâtes de 13 à 20 palmes,,,oui
mâtes de 13 à 25 palmes,,,oui
matières de verre composées,,,non
matières minérales,,,non
matières premières,Hors Amérique du Nord,,non
matis,,,non
matocaux,,,non
mâts,,,non
mâts assortis,,,non
mâts au dessous de 6 paumes,,,non
mâts bouts de 3 à 4 pieds,,,non
mâts communs,,,non
mâts de 12 à 13 palmes,,,non
mâts de 13 à 20 palmes,,,non
mâts de 13 à 25 palmes,,,non
mâts de 14 palmes,,,non
mâts de 16 à 18 pieds,,,non
mâts de 18 pieds,,,non
mâts de 20 à 25 palmes,,,non
mâts de 20 à 30 pieds,,,non
mâts de 20 pieds,,,non
mâts de 24 a 30,,,non
mâts de 24 pieds,,,non
mâts de 28 à 32 pieds,,,non
mâts de 30 à 40 pieds,,,non
mâts de 30 pieds,,,non
mâts de 31 à 36 pieds,,,non
mâts de 33 à 43 pieds,,,non
mâts de 35 à 40 pieds,,,non
mâts de 35 à 45 pieds,,,non
mâts de 36 à 38 pieds,,,non
mâts de 39 à 40 pieds,,,non
mâts de 4 paumes,,,non
mâts de 40 à 45 pieds,,,non
mâts de 40 à 50 pieds,,,non
mâts de 40 centimètres de diamètre et au-dessus,,,non
mâts de 40 pieds,,,non
mâts de 42 à 48 pieds,,,non
mâts de 45 à 50 pieds,,,non
mâts de 45 pieds,,,non
mâts de 48 à 50 pieds,,,non
mâts de 50 à 52 pieds,,,non
mâts de 50 à 53 pied,,,non
mâts de 50 à 55 pieds,,,non
mâts de 50 à 56 pieds,,,non
mâts de 50 à 60 pieds,,,non
mâts de 50 pieds,,,non
mâts de 52 à 55 pieds,,,non
mâts de 55 à 56 pieds,,,non
mâts de 55 à 60 pieds,,,non
mâts de 55 pieds,,,non
mâts de 59 à 60 pieds,,,non
mâts de 60 à 65 pieds,,,non
mâts de 60 à 66 pieds,,,non
mâts de 60 à 70 pieds,,,non
mâts de 60 pieds,,,non
mâts de 66 à 55 pieds,,,non
mâts de 66 à 70 pieds,,,non
mâts de 66 à 72 pieds,,,non
mâts de 66 pieds,,,non
mâts de 68 à 70 pieds,,,non
mâts de 68 pieds de long,,,non
mâts de 70 pieds,,,non
mâts de 72 pieds,,,non
mâts de 75 à 78 pieds,,,non
mâts de barque,,,non
mâts de beauprés,,,non
mâts de beauprés de 35 pieds,,,non
mâts de beauprés de 38 pieds,,,non
mâts de beauprés de 40 pieds,,,non
mâts de beauprés de 42 à 45 pieds,,,non
mâts de bois petits,,,non
mâts de chaloupe,,,non
mâts de diverse grandeur,,,non
mâts de drapeaux,,,non
mâts de hune,,,non
mâts de navire,,,non
mâts de navire de 10 palmes,,,non
mâts de navire de 12 palmes,,,non
mâts de navire de 12 paumes de grosseur,,,non
mâts de navire de 18 pieds,,,non
mâts de navire de 27 à 30 pieds,,,non
mâts de navire de 27 pieds,,,non
mâts de navire de 30 pieds,,,non
mâts de navire de 34 pieds,,,non
mâts de navire de 35 pieds,,,non
mâts de navire de 36 pieds,,,non
mâts de navire de 38 pieds,,,non
mâts de navire de 40 pieds,,,non
mâts de navire de 42 pieds,,,non
mâts de navire de 45 pieds,,,non
mâts de navire de 46 pieds,,,non
mâts de navire de 48 pieds,,,non
mâts de navire de 50 pieds,,,non
mâts de navire de 52 pieds,,,non
mâts de navire de 55 pieds,,,non
mâts de navire de 56 pieds,,,non
mâts de navire de 6 palmes,,,non
mâts de navire de 60 pieds,,,non
mâts de navire de 61 pieds,,,non
mâts de navire de 65 pieds,,,non
mâts de navire de 69 pieds,,,non
mâts de navire de 7 palmes,,,non
mâts de navire de 7 paumes,,,non
mâts de navire de 70 pieds,,,non
mâts de navire de 78 pieds,,,non
mâts de navire de 8 palmes,,,non
mâts de navire de 80 pieds,,,non
mâts de navire de 9 palmes,,,non
mâts de navire moyens,,,non
mâts de navire petits,,,non
mâts de passementerie,,,non
mâts de petit navire,,,non
mâts de sapin,Hors Amérique du Nord,,non
mâts de sapin de 10 palmes,,,non
mâts de sapin de 11 palmes,,,non
mâts de sapin de 12 à 14 paumes,,,non
mâts de sapin de 12 à 16 paumes,,,non
mâts de sapin de 12 palmes,,,non
mâts de sapin de 12 paumes de grosseur,,,non
mâts de sapin de 14 paumes,,,non
mâts de sapin de 15 palmes,,,non
mâts de sapin de 16 à 17 paumes de grosseur,,,non
mâts de sapin de 16 paumes,,,non
mâts de sapin de 25 à 30 pieds,,,non
mâts de sapin de 25 à 34 pieds,,,non
mâts de sapin de 3 paumes,,,non
mâts de sapin de 30 pieds,,,non
mâts de sapin de 35 pieds,,,non
mâts de sapin de 36 pieds,,,non
mâts de sapin de 4 à 8 paumes,,,non
mâts de sapin de 40 pieds,,,non
mâts de sapin de 5 palmes,,,non
mâts de sapin de 5 paumes,,,non
mâts de sapin de 50 à 55 pieds,,,non
mâts de sapin de 50 pieds,,,non
mâts de sapin de 55 pieds,,,non
mâts de sapin de 6 à 7 paumes de grosseur,,,non
mâts de sapin de 6 palmes,,,non
mâts de sapin de 60 pieds,,,non
mâts de sapin de 7 palmes,,,non
mâts de sapin de 8 à 12 paumes,,,non
mâts de sapin de 9 palmes,,,non
mâts de sapin et vergues de sapin,,,non
mâts de sapin moyens,,,non
mâts de vaisseaux,,,non
mâts doubles,,,non
mâts en dessous de 8 paumes,,,non
mâts et espars de bois,,,non
mâts et matériaux de bois,,,non
mâts façonnés,,,non
mâts grands,,,non
mâts mâtereaux,,,non
mâts matières,,,non
mâts mâtures,,,non
mâts peints,,,non
mâts petits,,,non
mâts pour galère,,,non
matu,,,non
maugrebine,,,non
maurelle,,,non
mauris,,,non
maurs,,,non
mautes à mulets,,,non
Mazamet,,,non
mazon,,,non
mecerie de bois,,,oui
mèche à mousquet,,,oui
mèche de chandelles flambeaux et lampes,,,oui
mèche de lampe,,,oui
mèches,,,non
mèches à canons,,,non
mèches à chandelle,,,non
mèches à flambeau,,,non
mèches à mousquet,,,non
mèches d'étoupes de chanvre ou de lin,,,non
mèches d'étoupes de fil de chanvre ou en lin,,,non
mèches de chandelles flambeaux et lampes,,,non
mèches de coton,,,non
mèches de coton pour chandelle,,,non
mèches de lampe,,,non
mèches et soufre,,,non
mèches flambeaux et chandelles et lampes,,,oui
mèches soufrées,,,non
mechoacam,,,non
médailles,,,non
médailles antiques,,,non
médailles d'argent,,,non
médaillons de terre,,,non
médicament composés,,,non
médicaments,Hors Amérique du Nord,,non
médicaments composés,,,non
médicaments composés autre qu'eau distillée au poids,,,non
médicaments composés autres qu'eau distillée à la valeur,,,non
médicaments composés déclarés à la valeur,,,non
médicaments composés déclarés au poids,,,non
meffles,,,non
megelanne,,,non
mélangées,,,non
mélasse,Hors Amérique du Nord,,non
mélasse des colonies françaises,,,non
mélasse et sirop,,,non
melon,,,non
melon d'eau,,,non
ménages,,,non
menie,,,non
menottes de cuivre,,,non
menottes de fer,,,non
mentes à moulir,,,non
mentes à taillandier,,,non
menu charbon de terre,,,non
menu charbon de terre dit sméegruys,,,non
menue graine,,,oui
menuiserie,,,non
menus sommiers,,,non
menutés,,,non
mercerie,Hors Amérique du Nord,,non
mercerie ???,,,non
mercerie à la valeur,,,non
mercerie bimbeloterie,,,non
mercerie commune,Hors Amérique du Nord,,non
mercerie cru,,,non
mercerie de bois,,,non
mercerie de cordonnier à laine,,,non
mercerie de cuivre,,,non
mercerie de Nuremberg,,,non
mercerie en lignets et hameçons,,,non
mercerie en peigne d'ivoire,,,non
mercerie en peignes de bois,,,non
mercerie épingles,,,non
mercerie et bibelots,,,oui
mercerie et quincaille,,,oui
mercerie et quincaillerie,,,non
mercerie fine,Hors Amérique du Nord,,non
mercerie fine épingles,,,oui
mercerie fine et aiguilles,,,oui
mercerie grossière,,,non
mercerie mêlée en lisière de drap,,,non
mercerie ordinaire,Hors Amérique du Nord,,non
mercerie peignes de bois,,,non
mercerie peignes de corne,,,non
mercerie tabatières corne,,,oui
mercerie très commune,,,non
mercerie très fine,,,non
merciers,,,non
mercure,Hors Amérique du Nord,,non
mercure coulant,,,non
mercure doux,,,non
mercure natif,,,non
mercure précipité,,,non
meriers,,,non
meriers à faire échelle,,,non
meriers petits,,,non
meriezes,,,non
merlan,,,non
merlan salé,,,non
merles,,,non
merlin,,,non
merluche,,,non
merluche salée,,,non
merlus,,,non
merrains,Hors Amérique du Nord,,non
merrains ???,,,non
merrains à barils,Hors Amérique du Nord,,non
merrains à barriques,Hors Amérique du Nord,,non
merrains à barriques douves,,,non
merrains à bœuf,,,non
merrains à bottes,,,non
merrains à boucaud,,,non
merrains à busses,,,non
merrains à fonçaille,,,non
merrains à fond,,,non
merrains à futailles,,,non
merrains à muid,,,non
merrains à pipes,Hors Amérique du Nord,,non
merrains à poinçon,,,non
merrains à quart,Hors Amérique du Nord,,non
merrains à tierçons,,,non
merrains à tonneau,,,oui
merrains à tonneaux,,,non
merrains à tortue,,,non
merrains au-dessous de 974 millimètres,,,non
merrains autres que de chêne,,,non
merrains autres que de chêne de toutes dimensions à la valeur,,,non
merrains autres que de chêne de toutes dimensions au nombre,,,non
merrains basique,,,oui
merrains bourdilles,,,non
merrains bourdillons,,,non
merrains communs,,,non
merrains de 1 mètre 299 millimètres de longueur et au-dessus,,,non
merrains de 1299mm de longueur et au-dessus,,,non
merrains de 1299mm exclus à 974 inclus,,,non
merrains de 4 pieds,,,non
merrains de 5 pieds,,,non
merrains de chêne,,,non
merrains de chêne au-dessous de 974 millimètres,,,non
merrains de chêne de 1 mètre 299 millimètres de long et au-dessus,,,non
merrains de chêne de 1 mètre 299 millimètres inclusivement à 974 exclusivement,,,non
"merrains de chêne de 1,299 mètres à 974 millimètres de long",,,non
"merrains de chêne de 1,299 mètres de long et au-dessus",,,non
merrains de douves,,,non
merrains de maille,,,non
merrains de sapin,,,non
merrains en barrique,,,oui
merrains en barriques,Hors Amérique du Nord,,non
merrains en fonçaille,,,non
merrains en pipes,,,non
merrains et feuillards,,,non
merrains fonçaille,,,non
merrains futaille,,,non
merrains ganivelles,,,non
merrains petits,,,non
merrains pour faire des douves de fûts,,,non
merrains pour ferraille,,,non
mervillon,,,non
mesat de clocher,,,non
mesures d'étain,,,non
métal,,,non
métal argenté doré vernissé etc.,,,non
métal composé,,,non
métal de cloche,,,oui
métal de fonte,,,oui
métal des Indes,,,non
métal et bronze moulé,,,oui
métal frappé et moulé et ouvré,,,oui
métal moulé,,,oui
métal moulu,,,non
métal ou ???,,,non
métal pour horlogerie,,,non
métaux,,,non
métiers,,,non
métiers à faire bas,,,non
métiers à faire tapisserie,,,non
métiers à filer,,,non
métiers de drapier,,,non
métiers de tisserand,,,non
métiers presse et bluteaux et cribles de moulin,,,non
meubles,,,non
meubles ???,,,non
meubles à coutelier,,,non
meubles à moulins,,,non
meubles à taillandier,,,non
meubles affiloires,,,non
meubles de bois,,,non
meubles et effets,,,non
meubles et miroirs,,,non
meubles et ornements,,,non
meubles et pierres,,,non
meubles glaces et miroirs,,,non
meubles habits et bijoux,,,non
meubles matelas,,,non
meubles miroirs de toilettes,,,non
meubles ornements,,,non
meulardeaux,,,non
meulardeaux à coutelier,,,non
meules,,,non
meules à aiguiser,Hors Amérique du Nord,,non
meules à aiguiser au-dessus de 1218 millimètres en diamètre,,,non
meules à aiguiser bâtardes,,,non
meules à aiguiser de 1083 à 920 millimètres inclusivement en diamètre,,,non
meules à aiguiser de 1218 à 1083 millimètres inclusivement en diamètre,,,non
meules à aiguiser de 541 à 406 millimètres inclusivement en diamètre,,,non
meules à aiguiser de 677 à 541 millimètres inclusivement en diamètre,,,non
meules à aiguiser de 920 à 677 millimètres inclusivement en diamètre,,,non
meules à aiguiser de moins de 406 millimètres inclusivement en diamètre,,,non
meules à aiguiser grandes,,,non
meules à aiguiser moyennes,,,non
meules à aiguiser petites,,,non
meules à callandre,,,non
meules à coutelier,,,non
meules à coutelier petites,,,non
meules à Couteliers,,,non
meules à couture,,,non
meules à faire,,,non
meules à faux,,,non
meules à favre,,,non
meules à gagne-petit,,,non
meules à huile,,,non
meules à moudre de 1949 millimètres à 1299 en diamètre,,,non
meules à moudre de moins de 1299 millimètres en diamètre,,,non
meules à moudre de plus de 1949 millimètres en diamètre,,,non
meules à sabres,,,non
meules à sucre,,,non
meules à tailland ???,,,non
meules à taillande,,,non
meules à taillander,,,non
meules à taillandier,,,non
meules à taillandier d'1 à 2 pieds,,,non
meules à taillandier de 2 pieds,,,non
meules à taillandier de 3 à 4,,,non
meules à taillandier de 4 à 5,,,non
meules à taillandier de 4 à 5 pouces,,,non
meules à taillandier de 4 pieds,,,non
meules à Talandier,,,non
meules à tannerie,,,non
meules acoustiques,,,non
meules affiloires,,,non
meules au dessous de 4 pouces,,,non
meules au dessus de 4 pouces,,,non
meules bâtardes,,,non
meules coutier,,,non
meules de 4 pieds,,,non
meules de coutelier,,,non
meules de différents modules à aiguiser,,,non
meules de différents modules à moudre,,,non
meules de moulins de 4 pieds 1/2,,,non
meules de moulins de 55 pieds,,,non
meules de moulins de 6 pieds,,,non
meules en têtes de renne,,,non
meules ordinaires et à taillandier,,,non
meules petites,,,non
meules pour moulin,,,non
meules pour moulin grosses,,,non
meules pour moulin petites,,,non
meules pour moulins,,,non
meules pour moulins de haute catégorie,,,non
meules pour moulins dites grand loup d'Angleterre,,,non
meules pour moulins dites petit loup d'Angleterre,,,non
meules pour moulins du poids de 1200 à 1800 livres,,,non
meules pour moulins du poids de 2000 à 2800 livres,,,non
meules pour moulins du poids de 300 à 1000 livres,,,non
meules pour moulins du poids de 3000 à 4000 livres,,,non
meules pour moulins du poids de 5000 à 6000 livres,,,non
meulières,,,non
meuniers,,,non
microscope,,,non
miel,Hors Amérique du Nord,,non
miel blanc,,,non
miel brouche,,,non
miel brun,,,non
miel brut,,,non
miel commun,,,non
miel cru,,,non
miel cuit,,,non
miel de Narbonne,,,non
miel façonné,,,non
mignonette avec un brin de soie,,,non
mignonette des prises,,,non
mignonette étoffe,,,non
mignonnette,,,non
mignotte étoffe,,,non
migon,,,non
mil,,,non
mille gants,,,non
milleret,,,non
milleret et agréments,,,oui
milleret et agréments de soie,,,oui
millet,,,non
mimy,,,oui
mine d'alquifoux,,,non
mine d'asphalte,,,non
mine de cuivre,,,non
mine de cuivre rouge,,,non
mine de fer,,,non
mine de plomb,Hors Amérique du Nord,,non
mine de plomb noire,,,non
mine de plomb rouge,,,non
mine de Prusse,,,non
mine de roche,,,non
mine lavée,,,non
minerai de fer brut ou lavé,,,non
minerai de fer chromaté,,,non
minerai de fer sulfuré,,,non
minerai de plomb,,,non
minéraux,,,non
mini,,,oui
minium,,,non
minium et mine orange,,,non
minium rouge divisé,,,non
miniun,,,oui
minutier,,,non
miny,,,non
mireau,,,non
mirke,,,non
mirobolant,,,non
miroirs,,,non
miroirs à bordures dorées,,,non
miroirs à bordures dorées et grands,,,non
miroirs à bordures dorées et petits,,,non
miroirs à cadres dorés,,,non
miroirs communs,,,non
miroirs d'1 pied et demi,,,non
miroirs d'Allemagne,,,non
miroirs de 2 pieds,,,non
miroirs de 25 pieds de haut et 1 de large,,,non
miroirs de toilettes,,,non
miroirs de traite,,,non
miroirs encadrés,,,non
miroirs grands,,,non
miroirs grands de plus de 3 millimètres d'épaisseurs,,,non
miroirs petits,,,non
miroirs petits sans distinction,,,non
mitaines,,,non
mitaines bordées de soie par paires,,,non
mitaines brodées,,,non
mitaines de peau,,,non
mitaines de peau lisérées de soie,,,non
mitaines de soie,,,non
mitaines de taffetas,,,non
mitaines garnies de ruban,,,non
mitaines garnies de soie,,,non
mitaines liserées,,,non
mitons à pierres fausses par paires de velours,,,non
mitons de soie,,,non
mitraille,Hors Amérique du Nord,,non
mitraille de cuivre,,,non
mitrailles de cuivre,Hors Amérique du Nord,,non
mitrailles de cuivre pur vieux,,,non
mittes,,,non
mittes de soie,,,non
mittières de fer,,,non
mobilier,Hors Amérique du Nord,,non
mobilier vieux,,,non
mocade,,,oui
mode de bœuf,,,non
modèle de château de carton,,,non
modèle de plâtre,,,non
modèle de sculpture,,,non
modes,,,oui
modes de Montauban,,,non
moelle,,,non
moëlle,,,oui
moelle de bœuf,,,non
moëlle de bœuf,,,oui
moellons,,,non
moellons à faire chaux,,,non
moellons à faire des bâtiments,,,non
moellons argile ciment gypse sable stuc tuf pavés pierres à chaux pierres meulières pouzzolane,,,non
moellons de brique,,,non
moellons de briques,,,oui
moellons pierres meulières etc.,,,non
moines garnis de fer-blanc,,,non
moire blanche,,,non
Moka,,,oui
molenaers,,,non
molleton,,,non
molleton aune,,,non
molleton de capiton,,,non
molleton de coton,,,non
molleton de laine,,,non
molleton de laine imprimé,,,non
molleton de soie,,,non
molleton et taffetas de laine,,,non
molleton frisé,,,non
momade,,,non
momie,,,non
moncayard,,,non
mongette,,,non
mongistere,,,non
monnaie d'argent,,,oui
monnaie de billon,,,oui
monnaie de cuivre,,,oui
monnaies au type étranger,,,non
monnaies d'argent,,,non
monnaies d'argent en espèces coursables,,,non
monnaies d'argent et d'or et au type étranger,,,non
monnaies d'argent par Calais,,,non
monnaies d'argent par Strasbourg et Metz,,,non
monnaies d'argent par Valenciennes,,,non
monnaies d'or,,,non
monnaies d'or par Calais,,,non
monnaies d'or quadruple,,,non
monnaies de billon,,,non
monnaies de cuivre,,,non
monnaies de cuivre de Suède,,,non
monnaies de cuivre jaune,,,non
monnaies de cuivre ouvré,,,non
monnaies de cuivre pur,,,non
montres,,,non
montres d'argent,,,non
montres d'argent et d'or,,,non
montres d'or,,,non
montres d'or à répétition,,,non
montres d'or ordinaires,,,non
montres de cuivre,,,non
montres de poche,,,non
montres de poche à caisse d'argent,,,non
montres de poche à caisse d'or,,,non
montres de poches à caisses de pinsbeck,,,non
montres et pendule,,,non
moque de gréz,,,oui
moques de grès,,,non
moquette,,,non
moquette de fil et de laine,,,non
moquette de fil et laine,,,non
moquette de laine,,,non
moquette de laine et de fil,,,non
moquette grasse de laine et fil,,,non
moquette verte,,,non
morceaux cousus,,,non
morceaux cousus de hamsters,,,non
morceaux cousus de lapins et lièvres,,,non
morceaux cousus dos et ventre de petits-gris,,,non
morceaux d'espars,,,non
morceaux de bois,,,non
morceaux de planches,,,non
morenine de soie,,,non
morilles,,,non
morilles et mousserons et truffes,,,non
morilles et mousserons frais,,,non
morilles et mousserons secs ou marinés,,,non
morilles et truffes,,,non
mors de bride,,,non
mors et brides,,,non
mortiers,,,non
mortiers de bois,,,non
mortiers de bronze,,,non
mortiers de fer,,,non
mortiers de fonte,,,non
mortiers de marbre,,,non
mortiers de métal,,,non
mortiers de pierre,,,non
mortiers et pilon,,,non
morue,Exclusivement Amérique du Nord,,non
morue ???,,,non
morue avariée,Exclusivement Amérique du Nord,,non
morue avec harengs des prises,,,non
morue blanche,,,non
morue de Hollande,,,non
morue de pêche française,,,non
morue en saumure,Exclusivement Amérique du Nord,,non
morue et stockfisch,Exclusivement Amérique du Nord,,non
morue et stockfish,,,oui
morue et stokfisch,,,oui
morue joues sèche,,,non
morue marinée et salée,,,non
morue note alang,,,non
morue par Bayonne,,,non
morue salée,,,non
morue salée d'Islande,,,non
morue salée et marinée,,,non
morue salée sèche,,,non
morue salée verte,,,non
morue sèche,,,non
morue sèche et salée et stockfisch salé suivant l'état des primes,,,non
morue séchée,Exclusivement Amérique du Nord,,non
morue stockfisch,,,non
morue tête,,,non
morue verte,Exclusivement Amérique du Nord,,non
morue verte cabillaud,,,non
morue verte cap et queues,Exclusivement Amérique du Nord,,non
morue verte des Îles,,,non
morue verte et salée,,,non
morue verte salée,,,non
motte de lin,,,non
mottes à brûler,,,non
moucherons,,,non
mouches à miel,,,non
mouches cantharides,,,non
mouches de soie,,,non
mouches de taffetas,,,non
mouchoirs,,,non
mouchoirs ??? de fil de France,,,non
mouchoirs à carreaux,,,non
mouchoirs à la valeur,,,non
mouchoirs à peu de soie,,,non
mouchoirs à toile peinte,,,non
mouchoirs à vignettes,,,non
mouchoirs au brin de soie,,,non
mouchoirs baffetas,,,non
mouchoirs bandanas,,,non
mouchoirs blancs,,,non
mouchoirs blancs brodés en fil de chanvre et de lin,,,oui
mouchoirs blancs brodés en fil de chanvre ou de lin,,,non
mouchoirs blancs de chanvre et de lin,,,non
mouchoirs blancs et teints,,,non
mouchoirs bleus,,,non
mouchoirs brodés,,,non
mouchoirs communs,,,non
mouchoirs d'Alep,,,non
mouchoirs d'indienne,,,non
mouchoirs d'organdis,,,non
mouchoirs de ???,,,non
mouchoirs de batiste,,,non
mouchoirs de batiste de Saint-Quentin,,,non
mouchoirs de Bengale,,,non
mouchoirs de Betton,,,non
mouchoirs de Champafaris,,,non
mouchoirs de chanvre et de lin blancs,,,non
mouchoirs de chanvre et de lin imprimés teints rayés par le tissage,,,non
mouchoirs de chanvre et de lin rayés teints ou imprimés,,,non
mouchoirs de chocolat,,,non
mouchoirs de Cholet,,,non
mouchoirs de coton,Hors Amérique du Nord,,non
mouchoirs de coton blanc,,,non
mouchoirs de coton blancs,,,non
mouchoirs de coton brin de soie,,,non
mouchoirs de coton communs,,,non
mouchoirs de coton de France,,,non
mouchoirs de coton de l'étranger,,,non
mouchoirs de coton découpés,,,non
mouchoirs de coton des Indes,,,non
mouchoirs de coton en soie,,,non
mouchoirs de coton et de fil,,,non
mouchoirs de coton et de fil découpés,,,non
mouchoirs de coton et de soie,,,non
mouchoirs de coton et fil,,,non
mouchoirs de coton et fil de coton,,,non
mouchoirs de coton et soie,,,non
mouchoirs de coton et soie de France,,,non
mouchoirs de coton étrangers,,,non
mouchoirs de coton fins,,,non
mouchoirs de coton gros,,,non
mouchoirs de coton grossiers,,,non
mouchoirs de coton peints,,,non
mouchoirs de cotongros,,,oui
mouchoirs de Craité,,,non
mouchoirs de demi soie,,,non
mouchoirs de différentes qualités en coton,,,non
mouchoirs de différentes quantités,,,non
mouchoirs de fil,,,non
mouchoirs de fil commun,,,non
mouchoirs de fil de ??? de Cholet et ???,,,non
mouchoirs de fil de Cholet,,,non
mouchoirs de fil de lin,,,non
mouchoirs de fil de lin imprimé,,,non
mouchoirs de fil du Béarn,,,non
mouchoirs de fil et de batiste,,,non
mouchoirs de fil et de coton,,,non
mouchoirs de fil et de lin,,,non
mouchoirs de fil et de pitre,,,non
mouchoirs de fil fin,,,non
mouchoirs de fil organdi,,,non
mouchoirs de fil peint,,,non
mouchoirs de fleuret,,,non
mouchoirs de foulard,,,non
mouchoirs de France,,,non
mouchoirs de gaze,,,non
mouchoirs de gaze de soie,,,non
mouchoirs de gaze divers,,,non
mouchoirs de gaze grands,,,non
mouchoirs de guingan,,,non
mouchoirs de Hollande,,,non
mouchoirs de kinfin,,,non
mouchoirs de l'hotes,,,non
mouchoirs de la Compagnie des Indes,,,non
mouchoirs de laine,,,non
mouchoirs de laiton,,,non
mouchoirs de Laval,,,non
mouchoirs de lin,,,non
mouchoirs de linon,,,non
mouchoirs de Madras,,,non
mouchoirs de Masulipatan,,,non
mouchoirs de mousseline,,,non
mouchoirs de Paliacate,,,non
mouchoirs de pitre,,,non
mouchoirs de Pondichéry,,,non
mouchoirs de romals,,,non
mouchoirs de romals et de la Côte,,,non
mouchoirs de Rouen,,,non
mouchoirs de Saumur,,,non
mouchoirs de siamoise,,,non
mouchoirs de soie,,,non
mouchoirs de soie de renvoi,,,non
mouchoirs de soie de Rouen,,,non
mouchoirs de soie en coton,,,non
mouchoirs de taffetas,,,non
mouchoirs de toile,,,non
mouchoirs de toile ???,,,non
mouchoirs de toile aune,,,non
mouchoirs de toile blanche,,,non
mouchoirs de toile de Cholet,,,non
mouchoirs de toile de Hin,,,non
mouchoirs de toile découpés,,,non
mouchoirs de toile peinte,,,non
mouchoirs de traite,,,non
mouchoirs de Zurich,,,non
mouchoirs demi soie,,,non
mouchoirs des Indes,,,non
mouchoirs des Indes de coton,,,non
mouchoirs des Indes de soie,,,non
mouchoirs des Indes dit bandanas,,,non
mouchoirs des Indes dits romals,,,non
mouchoirs du Béarn,,,non
mouchoirs du Levant,,,non
mouchoirs du pays,,,non
mouchoirs écorce d'arbre,,,non
mouchoirs en soie,,,non
mouchoirs et cravates de mousseline,,,non
mouchoirs et cravates de soie mêlée,,,non
