goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
mâtereaux de chaloupe,1,not a medical product,non,1,530316
mâtereaux de différente longueur,2,not a medical product,non,2,530316
mâtereaux de sapin,6,not a medical product,non,3,530316
mâtereaux de sapin de 20 pieds,1,not a medical product,non,1,530316
mâtereaux de sapin de 25 pieds,1,not a medical product,non,1,530316
mâtereaux de sapin de 28 pieds,1,not a medical product,non,1,530316
mâtereaux de sapin de 30 pieds,2,not a medical product,non,1,530316
mâtereaux et mâts,4,,non,,1394
mâtereaux petits,3,not a medical product,non,1,530316
matériaux,1,not a medical product,non,1,530316
matériaux de bois,9,not a medical product,non,2,530316
matériaux de construction,101,not a medical product,non,101,530316
matériaux de sapin,2,not a medical product,non,2,530316
matériaux moellons sable etc.,3,not a medical product,non,3,530316
matières de verre composées,1,not a medical product,non,1,530316
matières minérales,2,not a medical product,non,2,530316
matières premières,105,not a medical product,non,105,530316
matis,1,not a medical product,non,1,530316
matocaux,1,not a medical product,non,1,530316
mâts,363,not a medical product,non,310,530316
mâts à bateau,1,not a medical product,non,,530316
mâts à chaloupe,1,not a medical product,non,,530316
mâts assortis,17,not a medical product,non,15,530316
mâts au dessous de 6 paumes,1,not a medical product,non,1,530316
mâts bouts de 3 à 4 pieds,1,not a medical product,non,1,530316
mâts communs,5,not a medical product,non,2,530316
mâts communs de 50 pieds,1,not a medical product,non,,530316
mâts de 12 à 13 palmes,1,not a medical product,non,1,530316
mâts de 13 à 20 palmes,1,not a medical product,non,1,530316
mâts de 13 à 25 palmes,1,not a medical product,non,1,530316
mâts de 14 palmes,2,not a medical product,non,1,530316
mâts de 16 à 18 pieds,1,not a medical product,non,1,530316
mâts de 18 pieds,1,not a medical product,non,1,530316
mâts de 20 à 25 palmes,1,not a medical product,non,1,530316
mâts de 20 à 30 pieds,1,not a medical product,non,1,530316
mâts de 20 pieds,1,not a medical product,non,1,530316
mâts de 24 a 30,1,not a medical product,non,1,530316
mâts de 24 pieds,1,not a medical product,non,1,530316
mâts de 25 palmes,1,not a medical product,non,,530316
mâts de 28 à 32 pieds,1,not a medical product,non,1,530316
mâts de 30 à 40 pieds,1,not a medical product,non,1,530316
mâts de 30 pieds,6,not a medical product,non,5,530316
mâts de 31 à 36 pieds,1,not a medical product,non,1,530316
mâts de 33 à 43 pieds,1,not a medical product,non,1,530316
mâts de 35 à 40 pieds,1,not a medical product,non,1,530316
mâts de 35 à 45 pieds,1,not a medical product,non,1,530316
mâts de 36 à 38 pieds,1,not a medical product,non,1,530316
mâts de 38 à 40 pieds à barque,1,not a medical product,non,,530316
mâts de 39 à 40 pieds,1,not a medical product,non,1,530316
mâts de 4 paumes,1,not a medical product,non,1,530316
mâts de 40 à 45 pieds,4,not a medical product,non,4,530316
mâts de 40 à 50 pieds,3,not a medical product,non,3,530316
mâts de 40 à 70 pieds,1,not a medical product,non,,530316
mâts de 40 centimètres de diamètre et au-dessus,7,not a medical product,non,7,530316
mâts de 40 pieds,3,not a medical product,non,2,530316
mâts de 42 à 48 pieds,2,not a medical product,non,2,530316
mâts de 45 à 50 pieds,2,not a medical product,non,2,530316
mâts de 45 pieds,4,not a medical product,non,4,530316
mâts de 48 à 50 pieds,3,not a medical product,non,2,530316
mâts de 50 à 52 pieds,1,not a medical product,non,1,530316
mâts de 50 à 53 pied,1,not a medical product,non,1,530316
mâts de 50 à 55 pieds,2,not a medical product,non,1,530316
mâts de 50 à 56 pieds,1,not a medical product,non,1,530316
mâts de 50 à 60 pieds,2,not a medical product,non,2,530316
mâts de 50 pieds,5,not a medical product,non,4,530316
mâts de 52 à 55 pieds,1,not a medical product,non,1,530316
mâts de 55 à 56 pieds,1,not a medical product,non,1,530316
mâts de 55 à 60 pieds,2,not a medical product,non,2,530316
mâts de 55 pieds,1,not a medical product,non,1,530316
mâts de 56 pieds,1,not a medical product,non,,530316
mâts de 59 à 60 pieds,1,not a medical product,non,1,530316
mâts de 6 à 9 palmes,1,not a medical product,non,,530316
mâts de 60 à 65 pieds,1,not a medical product,non,1,530316
mâts de 60 à 66 pieds,1,not a medical product,non,1,530316
mâts de 60 à 70 pieds,2,not a medical product,non,1,530316
mâts de 60 à 80 pieds,1,not a medical product,non,,530316
mâts de 60 pieds,1,not a medical product,non,1,530316
mâts de 66 à 55 pieds,1,not a medical product,non,1,530316
mâts de 66 à 70 pieds,1,not a medical product,non,1,530316
mâts de 66 à 72 pieds,1,not a medical product,non,1,530316
mâts de 66 pieds,1,not a medical product,non,1,530316
mâts de 68 à 70 pieds,1,not a medical product,non,1,530316
mâts de 68 pieds de long,1,not a medical product,non,1,530316
mâts de 7 pouces de diamètre,1,not a medical product,non,,530316
mâts de 70 pieds,1,not a medical product,non,1,530316
mâts de 72 pieds,1,not a medical product,non,1,530316
mâts de 75 à 78 pieds,1,not a medical product,non,1,530316
mâts de barque,2,not a medical product,non,2,530316
mâts de beauprés,5,not a medical product,non,5,530316
mâts de beauprés de 35 pieds,1,not a medical product,non,1,530316
mâts de beauprés de 38 pieds,1,not a medical product,non,1,530316
mâts de beauprés de 40 pieds,1,not a medical product,non,1,530316
mâts de beauprés de 42 à 45 pieds,1,not a medical product,non,1,530316
mâts de bois petits,2,not a medical product,non,2,530316
mâts de chaloupe,12,not a medical product,non,9,530316
mâts de chêne,1,not a medical product,non,,530316
mâts de diverse grandeur,3,not a medical product,non,2,530316
mâts de drapeaux,1,not a medical product,non,1,530316
mâts de hune,1,not a medical product,non,1,530316
mâts de navire,47,not a medical product,non,41,530316
mâts de navire de 10 palmes,2,not a medical product,non,2,530316
mâts de navire de 11 à 18 palmes,1,not a medical product,non,,530316
mâts de navire de 12 palmes,2,not a medical product,non,2,530316
mâts de navire de 12 paumes de diamètre,1,not a medical product,non,,530316
mâts de navire de 18 pieds,1,not a medical product,non,1,530316
mâts de navire de 22 pieds,1,not a medical product,non,,530316
mâts de navire de 24 pieds,1,not a medical product,non,,530316
mâts de navire de 25 pieds,1,not a medical product,non,,530316
mâts de navire de 27 à 30 pieds,2,not a medical product,non,1,530316
mâts de navire de 27 pieds,1,not a medical product,non,1,530316
mâts de navire de 28 à 31 pieds,1,not a medical product,non,,530316
mâts de navire de 30 pieds,10,not a medical product,non,7,530316
mâts de navire de 34 pieds,2,not a medical product,non,2,530316
mâts de navire de 35 pieds,3,not a medical product,non,1,530316
mâts de navire de 36 pieds,3,not a medical product,non,1,530316
mâts de navire de 38 pieds,2,not a medical product,non,1,530316
mâts de navire de 40 pieds,9,not a medical product,non,4,530316
mâts de navire de 42 pieds,1,not a medical product,non,1,530316
mâts de navire de 45 pieds,8,not a medical product,non,1,530316
mâts de navire de 46 pieds,2,not a medical product,non,1,530316
mâts de navire de 48 pieds,1,not a medical product,non,1,530316
mâts de navire de 49 pieds,1,not a medical product,non,,530316
mâts de navire de 50 pieds,18,not a medical product,non,8,530316
mâts de navire de 52 pieds,1,not a medical product,non,1,530316
mâts de navire de 55 pieds,11,not a medical product,non,3,530316
mâts de navire de 56 pieds,1,not a medical product,non,1,530316
mâts de navire de 58 pieds,1,not a medical product,non,,530316
mâts de navire de 6 palmes,1,not a medical product,non,1,530316
mâts de navire de 60 pieds,10,not a medical product,non,4,530316
mâts de navire de 61 pieds,1,not a medical product,non,1,530316
mâts de navire de 65 pieds,3,not a medical product,non,1,530316
mâts de navire de 66 pieds,1,not a medical product,non,,530316
mâts de navire de 69 pieds,1,not a medical product,non,1,530316
mâts de navire de 7 palmes,1,not a medical product,non,1,530316
mâts de navire de 7 paumes,1,not a medical product,non,1,530316
mâts de navire de 70 pieds,1,not a medical product,non,1,530316
mâts de navire de 76 pieds,1,not a medical product,non,,530316
mâts de navire de 78 pieds,1,not a medical product,non,1,530316
mâts de navire de 8 palmes,2,not a medical product,non,2,530316
mâts de navire de 8 pieds,1,not a medical product,non,,530316
mâts de navire de 80 pieds,1,not a medical product,non,1,530316
mâts de navire de 9 palmes,1,not a medical product,non,1,530316
mâts de navire moyens,1,not a medical product,non,1,530316
mâts de navire petits,1,not a medical product,non,1,530316
mâts de passementerie,2,not a medical product,non,2,530316
mâts de petit navire,1,not a medical product,non,1,530316
mâts de sapin,31,not a medical product,non,13,530316
mâts de sapin à bateau,1,not a medical product,non,,530316
mâts de sapin de 10 à 11 pieds,1,not a medical product,non,,530316
mâts de sapin de 10 à 17 palmes,1,not a medical product,non,,530316
mâts de sapin de 10 palmes,1,not a medical product,non,1,530316
mâts de sapin de 11 palmes,1,not a medical product,non,1,530316
mâts de sapin de 12 à 14 paumes,1,not a medical product,non,1,530316
mâts de sapin de 12 à 16 palmes,1,not a medical product,non,,530316
mâts de sapin de 12 à 16 paumes,1,not a medical product,non,1,530316
mâts de sapin de 12 palmes,1,not a medical product,non,1,530316
mâts de sapin de 12 paumes de diamètre,1,not a medical product,non,,530316
mâts de sapin de 13 à 15 palmes,1,not a medical product,non,,530316
mâts de sapin de 14 paumes,1,not a medical product,non,1,530316
mâts de sapin de 14 pieds de long et de 3 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 15 à 17 pouces de diamètre,1,not a medical product,non,,530316
mâts de sapin de 15 à 20 palmes,1,not a medical product,non,,530316
mâts de sapin de 15 palmes,1,not a medical product,non,1,530316
mâts de sapin de 16 à 17 paumes de diamètre,1,not a medical product,non,,530316
mâts de sapin de 16 paumes,1,not a medical product,non,1,530316
mâts de sapin de 20 palmes,1,not a medical product,non,,530316
mâts de sapin de 20 pieds de long et de 3 pieds de diamètre,2,not a medical product,non,,530316
mâts de sapin de 24 à 25 pieds de long et de 4 à 5 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 24 pieds,1,not a medical product,non,,530316
mâts de sapin de 25 à 30 pieds,1,not a medical product,non,1,530316
mâts de sapin de 25 à 34 pieds,1,not a medical product,non,1,530316
mâts de sapin de 26 pieds de long et de 4 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 28 pieds de long et de 4 pieds de diamètre,2,not a medical product,non,,530316
mâts de sapin de 3 paumes,1,not a medical product,non,1,530316
mâts de sapin de 30 pieds,2,not a medical product,non,1,530316
mâts de sapin de 30 pieds à 40 pieds de long et de 9 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 30 pieds de long et de 10 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 30 pieds de long et de 3 pieds de diamètre,2,not a medical product,non,,530316
mâts de sapin de 30 pieds de long et de 6 à 8 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 30 pieds de long et de 6 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 30 pieds de long et de 9 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 35 pieds,1,not a medical product,non,1,530316
mâts de sapin de 36 pieds,1,not a medical product,non,1,530316
mâts de sapin de 36 pieds de long et de 5 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 36 pieds de long et de 6 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 36 pieds de long et de 7 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 37 pieds de long et de 6 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 38 à 40 pieds de long et de 7 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 38 pieds de long et de 6 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 38 pieds de long et de 7 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 4 à 8 paumes,1,not a medical product,non,1,530316
mâts de sapin de 40 pieds,1,not a medical product,non,1,530316
mâts de sapin de 40 pieds de long et de 10 pieds de diamètre,2,not a medical product,non,,530316
mâts de sapin de 40 pieds de long et de 11 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 40 pieds de long et de 12 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 40 pieds de long et de 18 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 40 pieds de long et de 6 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 42 pieds de long et de 11 pieds de diamètre,1,not a medical product,non,,530316
"mâts de sapin de 44 pieds de long et de 13,5 pieds de diamètre",1,not a medical product,non,,530316
mâts de sapin de 45 à 50 pieds de long et de 15 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 45 pieds,2,not a medical product,non,,530316
mâts de sapin de 45 pieds de long et de 4 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 45 pieds de long et de 7 à 8 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 45 pieds de long sans mention de diamètre,1,not a medical product,non,,530316
mâts de sapin de 46 pieds de long et de 12 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 48 pieds,1,not a medical product,non,,530316
mâts de sapin de 48 pieds de long et de 6 à 7 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 48 pieds de long et de 8 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 48 pieds de long et de 9 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 5 palmes,1,not a medical product,non,1,530316
mâts de sapin de 5 paumes,1,not a medical product,non,1,530316
mâts de sapin de 50 à 55 pieds,1,not a medical product,non,1,530316
mâts de sapin de 50 pieds,2,not a medical product,non,2,530316
mâts de sapin de 50 pieds de long et de 10 à 12 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 50 pieds de long et de 16 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 54 pieds de long et de 15 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 54 pieds de long et de 16 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 55 pieds,3,not a medical product,non,2,530316
mâts de sapin de 6 à 7 paumes de grosseur,1,not a medical product,non,1,530316
mâts de sapin de 6 palmes,1,not a medical product,non,1,530316
mâts de sapin de 60 pieds,1,not a medical product,non,1,530316
mâts de sapin de 60 pieds de long et 5 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 60 pieds de long et de 10 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 60 pieds de long et de 12 pieds de diamètre,1,not a medical product,non,,530316
mâts de sapin de 7 palmes,1,not a medical product,non,1,530316
mâts de sapin de 78 pieds,1,not a medical product,non,,530316
mâts de sapin de 8 à 12 paumes,1,not a medical product,non,1,530316
mâts de sapin de 9 palmes,1,not a medical product,non,1,530316
mâts de sapin et vergues de sapin,1,not a medical product,non,1,530316
mâts de sapin gros,1,not a medical product,non,,530316
mâts de sapin moyens,1,not a medical product,non,1,530316
mâts de vaisseaux,21,not a medical product,non,18,530316
mâts de vaisseaux assortis,1,not a medical product,non,,530316
mâts de vaisseaux beaupré,1,not a medical product,non,,530316
mâts de vaisseaux de 71 pieds,1,not a medical product,non,,530316
mâts de vaisseaux de chêne,1,not a medical product,non,,530316
mâts de vaisseaux de misenne,1,not a medical product,non,,530316
mâts doubles,1,not a medical product,non,1,530316
mâts en dessous de 8 paumes,1,not a medical product,non,1,530316
mâts espars,1,not a medical product,non,,530316
mâts et espars de bois,2,not a medical product,non,2,530316
mâts et matériaux de bois,2,not a medical product,non,2,530316
mâts et planches de bois,1,not a medical product,non,,530316
mâts façonnés,1,not a medical product,non,1,530316
mâts grands,6,not a medical product,non,5,530316
mâts gros,1,not a medical product,non,,530316
mâts mâtereaux,16,not a medical product,non,9,530316
mâts matières,4,not a medical product,non,4,530316
mâts mâtures,26,not a medical product,non,25,530316
mâts peints,2,not a medical product,non,2,530316
mâts petits,51,not a medical product,non,49,530316
mâts pour galère,1,not a medical product,non,1,530316
mâts verts de 45 pieds,1,not a medical product,non,,530316
mâts...,1,,non,,1394
matu,6,not a medical product,non,6,530316
mâtures,12,,non,,1394
mâtures complètes,6,,non,,1394
mâtures complètes d'un grand vaisseau,1,,non,,1394
mâtures complètes d'un vaisseau,0,not a medical product,oui,,530316
mâtures complètes en 21 pièces,1,,non,,1394
mâtures d'un vaisseau consistante en 56 pièces,0,not a medical product,oui,,530316
mâtures de vaisseau,0,not a medical product,oui,,530316
mâtures de vaisseau complète de 21 pièces chaque,0,not a medical product,oui,,530316
mâtures de vaisseau complètes de 21 pièces chaque,0,,oui,,1394
mâtures en 56 pièces,1,,non,,1394
maugrebine,49,not a medical product,non,40,530316
maune,1,not a medical product,non,,530316
maurelle,3,not a medical product,non,3,530316
mauris,1,not a medical product,non,1,530316
maurs,2,not a medical product,non,2,530316
mautes à mulets,1,not a medical product,non,1,530316
Mazamet,4,not a medical product,non,3,530316
mazon,1,not a medical product,non,1,530316
mèches,64,not a medical product,non,55,530316
mèches à canons,42,not a medical product,non,34,530316
mèches à chandelle,5,not a medical product,non,5,530316
mèches à flambeau,1,not a medical product,non,1,530316
mèches à mousquet,1,not a medical product,non,1,530316
mèches d'étoupes de chanvre ou de lin,4,not a medical product,non,4,530316
mèches d'étoupes de fil de chanvre ou en lin,2,not a medical product,non,2,530316
mèches de chandelles flambeaux et lampes,2,not a medical product,non,,530316
mèches de coton,1,not a medical product,non,1,530316
mèches de coton pour chandelle,1,not a medical product,non,1,530316
mèches de lampe,1,not a medical product,non,1,530316
mèches de souffre,1,not a medical product,non,,530316
mèches de tarière et herminettes,1,not a medical product,non,,530316
mèches et soufre,1,not a medical product,non,1,530316
mèches soufrées,50,not a medical product,non,42,530316
mechoacam,15,not a medical product,non,15,530316
médailles,3,not a medical product,non,3,530316
médailles antiques,1,not a medical product,non,1,530316
médailles d'argent,2,not a medical product,non,2,530316
médaillons de terre,2,not a medical product,non,1,530316
médicament composés,67,narrow medical product,non,67,24136
médicaments,289,narrow medical product,non,273,24136
médicaments composés,21,narrow medical product,non,21,24136
médicaments composés autre qu'eau distillée au poids,1,narrow medical product,non,1,24136
médicaments composés autres qu'eau distillée à la valeur,1,narrow medical product,non,1,24136
médicaments composés déclarés à la valeur,1,narrow medical product,non,1,24136
médicaments composés déclarés au poids,2,narrow medical product,non,2,24136
meffles,1,not a medical product,non,1,530316
megelanne,1,not a medical product,non,1,530316
mélangées,2,not a medical product,non,2,530316
mélasse,13,not a medical product,non,12,530316
mélasse des colonies françaises,1,not a medical product,non,1,530316
mélasse et sirop,1,not a medical product,non,1,530316
melle,1,not a medical product,non,,530316
melon,2,not a medical product,non,1,530316
melon d'eau,2,not a medical product,non,1,530316
membrures,2,not a medical product,non,,530316
membrures de 7 pieds,1,not a medical product,non,,530316
ménage,5,not a medical product,non,,530316
menie,1,not a medical product,non,1,530316
menottes de cuivre,3,not a medical product,non,1,530316
menottes de fer,1,not a medical product,non,1,530316
mentes à moulir,1,not a medical product,non,1,530316
mentes à taillandier,1,not a medical product,non,1,530316
menu charbon de terre,1,not a medical product,non,1,530316
menu charbon de terre dit sméegruys,1,not a medical product,non,1,530316
menuiserie,3,not a medical product,non,3,530316
menus grains,3,not a medical product,non,,530316
menus sommiers,1,not a medical product,non,1,530316
menutés,1,not a medical product,non,1,530316
mercerie,3606,not a medical product,non,3107,530316
mercerie ???,3,not a medical product,non,3,530316
mercerie à la valeur,5,not a medical product,non,5,530316
mercerie bimbeloterie,66,not a medical product,non,66,530316
mercerie commune,226,not a medical product,non,216,530316
mercerie cru,1,not a medical product,non,1,530316
mercerie d'Allemagne,1,not a medical product,non,,530316
mercerie d'étoupe de lin,1,,non,,1394
mercerie de bois,5,not a medical product,non,5,530316
mercerie de cordonnier à laine,1,not a medical product,non,1,530316
mercerie de crin,2,,non,,1394
mercerie de cuivre,7,not a medical product,non,7,530316
mercerie de Nuremberg,2,not a medical product,non,1,530316
mercerie de quincaille,1,not a medical product,non,,530316
mercerie de renvoi,2,not a medical product,non,,530316
mercerie en lignets et hameçons,1,not a medical product,non,1,530316
mercerie en peigne d'ivoire,1,not a medical product,non,2,530316
mercerie en peignes de bois,1,not a medical product,non,1,530316
mercerie épingles,2,not a medical product,non,2,530316
mercerie et quincaillerie,27,not a medical product,non,18,530316
mercerie étrangère,1,not a medical product,non,,530316
mercerie fine,295,not a medical product,non,241,530316
mercerie fort,1,not a medical product,non,,530316
mercerie grosse,8,not a medical product,non,,530316
mercerie grossière,62,not a medical product,non,68,530316
mercerie mêlée en lisière de drap,1,not a medical product,non,1,530316
mercerie ordinaire,36,not a medical product,non,27,530316
mercerie peignes de bois,1,not a medical product,non,1,530316
mercerie peignes de corne,1,not a medical product,non,1,530316
mercerie très commune,1,not a medical product,non,1,530316
mercerie très fine,1,not a medical product,non,1,530316
merciers,1,not a medical product,non,1,530316
mercure,600,not a medical product,non,550,530316
mercure corrosif,1,not a medical product,non,,530316
mercure coulant,2,not a medical product,non,2,530316
mercure doux,17,not a medical product,non,16,530316
mercure natif,5,not a medical product,non,5,530316
mercure précipité,7,not a medical product,non,7,530316
meriers,12,not a medical product,non,12,530316
meriers à faire échelles,1,not a medical product,non,1,530316
meriers petits,1,not a medical product,non,1,530316
meriezes,1,not a medical product,non,1,530316
merlan,2,not a medical product,non,2,530316
merlan salé,1,not a medical product,non,1,530316
merles,1,not a medical product,non,1,530316
merlin,1,not a medical product,non,1,530316
merluche,92,not a medical product,non,86,530316
merluche salée,1,not a medical product,non,1,530316
merlus,1,not a medical product,non,1,530316
merrains,794,not a medical product,non,640,530316
merrains ???,1,not a medical product,non,1,530316
merrains à barils,47,not a medical product,non,39,530316
merrains à barriques,472,not a medical product,non,398,530316
merrains à barriques bûches,1,not a medical product,non,,530316
merrains à barriques douves,1,not a medical product,non,1,530316
merrains à barriques et fonçaille,1,not a medical product,non,,530316
merrains à bœuf,2,not a medical product,non,2,530316
merrains à bottes,10,not a medical product,non,7,530316
merrains à boucaud,1,not a medical product,non,1,530316
merrains à buses,5,not a medical product,non,,530316
merrains à buses douelles,1,not a medical product,non,,530316
merrains à busses,0,not a medical product,oui,2,530316
merrains à fonçaille,13,not a medical product,non,6,530316
merrains à fond,93,not a medical product,non,78,530316
merrains à fonds,8,not a medical product,non,,530316
merrains à futailles,2,not a medical product,non,2,530316
merrains à muid,1,not a medical product,non,1,530316
merrains à pipes,298,not a medical product,non,241,530316
merrains à pipes bûches,1,not a medical product,non,,530316
merrains à pipes de 4 à 5 pieds à 1 pouce 1/2 d'épaisseur,1,not a medical product,non,,530316
merrains à pipes de 4 pieds,1,not a medical product,non,,530316
merrains à poinçon,1,not a medical product,non,1,530316
merrains à quart,49,not a medical product,non,45,530316
merrains à tierçons,23,not a medical product,non,15,530316
merrains à tonneaux,110,not a medical product,non,103,530316
merrains à tortue,2,not a medical product,non,2,530316
merrains au-dessous de 974 millimètres,2,not a medical product,non,2,530316
merrains autres que de chêne,2,not a medical product,non,2,530316
merrains autres que de chêne de toutes dimensions à la valeur,1,not a medical product,non,1,530316
merrains autres que de chêne de toutes dimensions au nombre,1,not a medical product,non,1,530316
merrains barillage,1,not a medical product,non,,530316
merrains barricages,4,,non,,1394
merrains barriques douelles,1,not a medical product,non,,530316
merrains bourdilles,2,not a medical product,non,2,530316
merrains bourdillons,1,not a medical product,non,1,530316
merrains cartage,1,not a medical product,non,,530316
merrains communs,1,not a medical product,non,1,530316
merrains de 1 mètre 299 millimètres de longueur et au-dessus,2,not a medical product,non,2,530316
merrains de 1299mm de longueur et au-dessus,1,not a medical product,non,1,530316
merrains de 1299mm exclus à 974 inclus,1,not a medical product,non,1,530316
merrains de 4 pieds,1,not a medical product,non,1,530316
merrains de 5 pieds,1,not a medical product,non,1,530316
merrains de chêne,7,not a medical product,non,4,530316
merrains de chêne au-dessous de 974 millimètres,2,not a medical product,non,2,530316
merrains de chêne de 1 mètre 299 millimètres de long et au-dessus,1,not a medical product,non,1,530316
merrains de chêne de 1 mètre 299 millimètres inclusivement à 974 exclusivement,1,not a medical product,non,1,530316
"merrains de chêne de 1,299 mètres à 974 millimètres de long",1,not a medical product,non,1,530316
"merrains de chêne de 1,299 mètres de long et au-dessus",1,not a medical product,non,1,530316
merrains de douves,1,not a medical product,non,1,530316
merrains de maille,1,not a medical product,non,1,530316
merrains de sapin,14,not a medical product,non,11,530316
merrains douelles,2,not a medical product,non,,530316
merrains en barriques,6,not a medical product,non,5,530316
merrains en fonçaille,3,not a medical product,non,2,530316
merrains en pipes,1,not a medical product,non,1,530316
merrains et feuillards,6,not a medical product,non,6,530316
merrains fonçaille,93,not a medical product,non,71,530316
merrains futaille,2,not a medical product,non,2,530316
merrains ganivelles,19,not a medical product,non,1,530316
merrains petits,1,not a medical product,non,1,530316
merrains pour faire des douves de fûts,1,not a medical product,non,1,530316
merrains pour ferraille,1,not a medical product,non,1,530316
merrains pour tonnellerie,3,not a medical product,non,,530316
merrains quartage douelles,1,not a medical product,non,,530316
merrains Scott,1,not a medical product,non,,530316
mervillon,44,not a medical product,non,36,530316
mesat de clocher,1,not a medical product,non,1,530316
mesures d'étain,2,not a medical product,non,1,530316
métal,101,not a medical product,non,100,530316
métal argenté doré vernissé etc.,2,not a medical product,non,2,530316
métal composé,1,not a medical product,non,1,530316
métal des Indes,1,not a medical product,non,1,530316
métal moulu,1,not a medical product,non,1,530316
métal ou ???,1,not a medical product,non,1,530316
métal pour horlogerie,1,not a medical product,non,1,530316
métaux,144,not a medical product,non,144,530316
methe,1,not a medical product,non,,530316
métiers,1,not a medical product,non,1,530316
métiers à faire bas,16,not a medical product,non,15,530316
métiers à faire tapisserie,1,not a medical product,non,1,530316
métiers à filer,1,not a medical product,non,1,530316
métiers de drapier,1,not a medical product,non,1,530316
métiers de tisserand,1,not a medical product,non,1,530316
métiers presse et bluteaux et cribles de moulin,2,not a medical product,non,1,530316
meubles,10,not a medical product,non,10,530316
meubles ???,1,not a medical product,non,1,530316
meubles à bijouterie,1,not a medical product,non,,530316
meubles à coutelier,1,not a medical product,non,1,530316
meubles à moulins,3,not a medical product,non,2,530316
meubles à taillandier,18,not a medical product,non,18,530316
meubles affiloires,1,not a medical product,non,1,530316
meubles de bois,9,not a medical product,non,9,530316
meubles et effets,3,not a medical product,non,3,530316
meubles et miroirs,130,not a medical product,non,130,530316
meubles et ornements,17,not a medical product,non,5,530316
meubles et pierres,32,not a medical product,non,32,530316
meubles glaces et miroirs,13,not a medical product,non,13,530316
meubles habits et bijoux,1,not a medical product,non,1,530316
meubles matelas,2,not a medical product,non,2,530316
meubles miroirs de toilettes,1,not a medical product,non,1,530316
meubles ornements,1,not a medical product,non,1,530316
meulardeaux,12,not a medical product,non,11,530316
meulardeaux à coutelier,1,not a medical product,non,1,530316
meulardes,2,not a medical product,non,,530316
meules,35,not a medical product,non,31,530316
meules à aiguiser,224,not a medical product,non,184,530316
meules à aiguiser au-dessus de 1218 millimètres en diamètre,1,not a medical product,non,1,530316
meules à aiguiser bâtardes,1,not a medical product,non,1,530316
meules à aiguiser de 1083 à 920 millimètres inclusivement en diamètre,2,not a medical product,non,2,530316
meules à aiguiser de 1218 à 1083 millimètres inclusivement en diamètre,2,not a medical product,non,2,530316
meules à aiguiser de 541 à 406 millimètres inclusivement en diamètre,3,not a medical product,non,3,530316
meules à aiguiser de 677 à 541 millimètres inclusivement en diamètre,3,not a medical product,non,3,530316
meules à aiguiser de 920 à 677 millimètres inclusivement en diamètre,3,not a medical product,non,3,530316
meules à aiguiser de moins de 406 millimètres inclusivement en diamètre,3,not a medical product,non,3,530316
meules à aiguiser grandes,1,not a medical product,non,1,530316
meules à aiguiser moyennes,1,not a medical product,non,1,530316
meules à aiguiser petites,1,not a medical product,non,1,530316
meules à callandre,2,not a medical product,non,2,530316
meules à coutelier,46,not a medical product,non,34,530316
meules à coutelier petites,1,not a medical product,non,1,530316
meules à Couteliers,1,not a medical product,non,1,530316
meules à couture,2,not a medical product,non,2,530316
meules à faire,22,not a medical product,non,4,530316
meules à faux,3,not a medical product,non,3,530316
meules à favre,33,not a medical product,non,33,530316
meules à gagne-petit,1,not a medical product,non,1,530316
meules à huile,2,not a medical product,non,2,530316
