goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
grains de cire,19,not a medical product,non,20,4,530318
grains de cire blanche,4,not a medical product,non,4,4,530318
grains de coton,1,not a medical product,non,1,2,530318
grains de la Corse,1,not a medical product,non,1,0a,530318
grains de lin,5,not a medical product,non,5,2,530318
grains de millet gros,1,not a medical product,non,1,0a,530318
grains de plomb,20,not a medical product,non,19,6j,530318
grains de prune,2,not a medical product,non,2,0a,530318
grains de Riga,2,not a medical product,non,1,0a,530318
grains de séné,1,not a medical product,non,1,2,530318
grains de trèfle,1,not a medical product,non,1,2,530318
grains de verre,29,not a medical product,non,28,6k,530318
grains de verre à chapelet,1,not a medical product,non,,,530318
grains divers,56,not a medical product,non,52,0a,530318
grains dur à tailler,2,not a medical product,non,2,2,530318
grains en advestures de toute espèce,1,not a medical product,non,,???,530318
grains épeautre,3,not a medical product,non,3,0a,530318
grains farine fromage etc.,1,not a medical product,non,1,0a,530318
grains froment,1796,not a medical product,non,1492,0a,530318
grains froment de la Corse,1,not a medical product,non,1,0a,530318
grains froment en gerbe,1,not a medical product,non,,0a,530318
grains froment et méteil,1,not a medical product,non,1,0a,530318
grains froment par Bayonne et Marseille,1,not a medical product,non,1,0a,530318
grains froment par Marseille,3,not a medical product,non,3,0a,530318
grains froment seigle,1,not a medical product,non,1,0a,530318
grains grenaille,2,not a medical product,non,2,0a,530318
grains maïs,113,not a medical product,non,108,0a,530318
grains maïs par Marseille,1,not a medical product,non,1,0a,530318
grains maïs seigle,2,not a medical product,non,2,0a,530318
grains menu,1,not a medical product,non,1,0a,530318
grains méteil,49,not a medical product,non,48,0a,530318
grains métillon,1,not a medical product,non,,0a,530318
grains métillon en gerbe,1,not a medical product,non,,0a,530318
grains millet,309,not a medical product,non,247,0a,530318
grains millet gros,3,not a medical product,non,3,0a,530318
grains millet ordinaire,1,,non,,,1431
grains mondé et perlé,8,not a medical product,non,8,0a,530318
grains orge,738,not a medical product,non,593,0a,530318
grains orge en gerbe,1,not a medical product,non,,0a,530318
grains orge et soucrion,2,not a medical product,non,,0a,530318
grains orge et soucrion en gerbe,1,not a medical product,non,,0a,530318
grains orge germé,14,not a medical product,non,11,0a,530318
grains orge paillarge,1,not a medical product,non,1,0a,530318
grains orge par Marseille,1,not a medical product,non,,,530318
grains orge perlé et mondé,31,not a medical product,non,30,0a,530318
grains petits,1,not a medical product,non,1,0a,530318
grains riz,2075,not a medical product,non,1772,0a,530318
grains sarrasin,53,not a medical product,non,30,0a,530318
grains seigle,600,not a medical product,non,530,0a,530318
grains seigle avarié,1,not a medical product,non,1,0a,530318
grains seigle en gerbe,1,not a medical product,non,1,0a,530318
grains seigle en gerbes,1,not a medical product,non,,0a,530318
grains seigle et blé,1,not a medical product,non,,0a,530318
grains seigle par Marseille,1,not a medical product,non,1,0a,530318
grains soucrillon,7,not a medical product,non,7,0a,530318
graisse,334,not a medical product,non,261,4,530318
graisse à chapeler,1,not a medical product,non,,,530318
graisse blanche,2,not a medical product,non,1,4,530318
graisse d'autruche,1,not a medical product,non,1,4,530318
graisse d'oint,1,not a medical product,non,1,4,530318
graisse d'ours,2,not a medical product,non,2,4,530318
graisse de baleine,1,not a medical product,non,1,4,530318
graisse de boucherie,51,not a medical product,non,49,4,530318
graisse de cacao,1,not a medical product,non,1,4,530318
graisse de chanvre,3,not a medical product,non,3,4,530318
graisse de cheval d'ours et de pied de bœuf,3,not a medical product,non,3,4,530318
graisse de cire,1,not a medical product,non,1,4,530318
graisse de cochon,6,not a medical product,non,5,4,530318
graisse de gras de peau,6,not a medical product,non,6,4,530318
graisse de jardin,1,not a medical product,non,1,4,530318
graisse de mouton,6,not a medical product,non,4,4,530318
graisse de pied de bœuf,1,not a medical product,non,1,4,530318
graisse de poisson,11,not a medical product,non,11,4,530318
graisse de poisson de pêche étrangère,1,not a medical product,non,1,4,530318
graisse de poisson de pêche française,2,not a medical product,non,1,4,530318
graisse de poisson des pays hors d'Europe,1,not a medical product,non,1,4,530318
graisse de porcs,110,not a medical product,non,89,4,530318
graisse de tasson et autres,1,not a medical product,non,1,4,530318
graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,2,not a medical product,non,2,4,530318
graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1,not a medical product,non,1,4,530318
graisse de toute sorte sauf gras de peau et suif brut,2,not a medical product,non,2,4,530318
graisse douce,3,not a medical product,non,1,4,530318
graisse douce de cochon,1,,non,,,1431
graisse et chair salée de porcs,1,not a medical product,non,1,4,530318
graisse et suif,2,not a medical product,non,,,530318
graisse fine,2,not a medical product,non,,,530318
graisse fondue,1,not a medical product,non,1,4,530318
graisse salée,1,not a medical product,non,1,4,530318
grande voile de vaisseaux,1,not a medical product,non,,,530318
granille de cochenille,44,not a medical product,non,31,2,530318
granit,1,not a medical product,non,1,2,530318
grannette de coton,1,not a medical product,non,1,2,530318
graphite,7,not a medical product,non,7,2,530318
grappins,4,not a medical product,non,3,6j,530318
grappins de fer,56,not a medical product,non,44,6j,530318
gras de tours,1,not a medical product,non,1,4,530318
gras rouge,1,not a medical product,non,1,4,530318
gras-double,7,not a medical product,non,3,0a,530318
grattes,1,not a medical product,non,1,6j,530318
grattes en fer,2,not a medical product,non,2,6j,530318
grattoirs,3,not a medical product,non,3,9c,530318
grattoirs de fer,1,,non,,,1431
gravelée,152,not a medical product,non,141,5,530318
gravelée potasse et védasse,139,not a medical product,non,139,5,530318
gravelle,17,not a medical product,non,17,2,530318
gravures,2,not a medical product,non,1,8,530318
gravures encadrées,1,not a medical product,non,1,8,530318
gravures et lithographies,2,not a medical product,non,2,8,530318
gravures noires ou coloriées,6,not a medical product,non,6,8,530318
gravures peintures et sculptures,54,not a medical product,non,54,8,530318
grèles,1,not a medical product,non,1,???,530318
grèles à café,1,not a medical product,non,1,???,530318
grelin,4,not a medical product,non,,,530318
grelots,52,not a medical product,non,44,8,530318
grelots de cuivre,60,not a medical product,non,45,8,530318
grelots de laiton,1,not a medical product,non,1,8,530318
grelots et sonnettes,1,,non,,,1431
grenade,37,not a medical product,non,33,0b,530318
grenade à feu,1,not a medical product,non,1,8,530318
grenade de coton,1,not a medical product,non,1,2,530318
grenade de fer,12,not a medical product,non,8,8,530318
grenade de Florence,1,not a medical product,non,1,0a,530318
grenade étoffe,2,not a medical product,non,2,6i,530318
grenade fruit,7,not a medical product,non,7,0a,530318
grenade pour la Compagnie des Indes,1,not a medical product,non,,,530318
grenades de fonte,1,not a medical product,non,,,530318
grenadier et laurier et jasmin etc,2,not a medical product,non,1,2,530318
grenaille,7,not a medical product,non,4,2,530318
grenaille d'acier et de fer,1,not a medical product,non,1,2,530318
grenaille de cochenille,3,not a medical product,non,2,2,530318
grenat,15,not a medical product,non,14,6k,530318
grenat et rubis,1,not a medical product,non,1,6k,530318
grenat faux,2,not a medical product,non,2,6k,530318
grenat faux et autres pierres fausses non montées,1,not a medical product,non,1,6k,530318
grenat fin,3,not a medical product,non,2,6k,530318
grenat fin monté,1,not a medical product,non,1,8,530318
grenat fin non monté,1,not a medical product,non,1,6k,530318
grès,1,not a medical product,non,1,2,530318
grès à laver,4,not a medical product,non,4,2,530318
grès en pavé,3,not a medical product,non,3,2,530318
grès rouge,1,not a medical product,non,1,2,530318
grignons,5,not a medical product,non,5,2,530318
grillages,1,not a medical product,non,1,6j,530318
grillages de fer,2,not a medical product,non,2,6j,530318
grillages en fer,1,not a medical product,non,1,6j,530318
grilles,1,not a medical product,non,1,6j,530318
grilles de fer,56,not a medical product,non,32,6j,530318
grilles de fer à moulins à sucre,1,,non,,,1431
grilles de fer de fonte,4,not a medical product,non,4,6j,530318
grilles de fer pour moulins à sucre,1,not a medical product,non,1,6j,530318
grilles et tambours de fer,1,not a medical product,non,1,6j,530318
grillons,1,not a medical product,non,1,0a,530318
grillons de fonte,1,not a medical product,non,1,6j,530318
grinza,1,not a medical product,non,1,???,530318
gris,3,not a medical product,non,3,5,530318
grisette,53,not a medical product,non,36,6i,530318
grisette de Flandre,1,not a medical product,non,1,6i,530318
grisette de laine,2,not a medical product,non,2,6i,530318
grisette de soie,10,not a medical product,non,9,6f,530318
grisons,2,not a medical product,non,1,0a,530318
grives,3,not a medical product,non,3,0a,530318
groisil,1,not a medical product,non,1,2,530318
groisil de verre,2,not a medical product,non,1,2,530318
groison,2,not a medical product,non,2,2,530318
gros de Naples,1,not a medical product,non,1,6f,530318
gros de Tours,5,not a medical product,non,2,6f,530318
gros rouge,5,not a medical product,non,5,5,530318
gros tors,2,not a medical product,non,2,???,530318
groseille,1,not a medical product,non,1,0a,530318
grosgrain,1,not a medical product,non,1,0a,530318
grosil,20,not a medical product,non,19,2,530318
grosse de soie,1,,non,,,1431
gruau,283,not a medical product,non,209,0a,530318
gruau d'avoine,1,not a medical product,non,1,0a,530318
gruau de grains comestible,2,not a medical product,non,1,0a,530318
gruau de grains sarrasin,1,not a medical product,non,,0a,530318
gruau de millet,1,not a medical product,non,1,0a,530318
gruau et fécule,6,not a medical product,non,6,0a,530318
gruyère,3,not a medical product,non,2,0a,530318
guajocum utilisé pour traiter la syphilis,1,narrow medical product,non,1,2,24146
guéridon,4,not a medical product,non,2,8,530318
guéridon de sapin,1,not a medical product,non,,,530318
guéridon et tables,1,,non,,,1431
guéridon peint,1,not a medical product,non,,,530318
guêtres,18,not a medical product,non,17,8,530318
guêtres de coton,1,not a medical product,non,1,8,530318
guêtres de cuir,3,not a medical product,non,2,8,530318
guêtres de toile,3,not a medical product,non,2,8,530318
gueuse de fer,2,not a medical product,non,,,530318
guftas,1,not a medical product,non,1,???,530318
guidive des prises,1,not a medical product,non,,,530318
guigan de Bengale,0,not a medical product,oui,,,530318
guignolet en ratafia,4,not a medical product,non,4,1,530318
guignolet en ratafia de cerise,3,not a medical product,non,3,1,530318
guildive,16,not a medical product,non,5,1,530318
guildive de prise,0,not a medical product,oui,,,530318
guin ???,1,not a medical product,non,1,???,530318
guina,1,not a medical product,non,1,???,530318
guincastafs,1,not a medical product,non,,,530318
guindeaux,2,not a medical product,non,,,530318
guinée,181,not a medical product,non,137,6g,530318
guinée blanche,91,not a medical product,non,35,6g,530318
guinée blanche des Indes,4,not a medical product,non,4,6g,530318
guinée blanche et bleue,1,not a medical product,non,1,6g,530318
guinée blanche et bleue des Indes,4,not a medical product,non,5,6g,530318
guinée blanche ordinaire,2,not a medical product,non,2,6g,530318
guinée bleue,186,not a medical product,non,102,6g,530318
guinée bleue de coton,1,not a medical product,non,1,6g,530318
guinée bleue des Indes,1,not a medical product,non,1,6g,530318
guinée bleue imitant celle des Indes,1,not a medical product,non,1,6g,530318
guinée de coton,2,not a medical product,non,2,6g,530318
guinée des Indes,1,not a medical product,non,1,6g,530318
guinée imitant celle des Indes,2,not a medical product,non,2,6g,530318
guinée masulipatan,1,not a medical product,non,1,6g,530318
guinée Sénégal,1,not a medical product,non,1,6g,530318
guinée tachée,1,not a medical product,non,1,6g,530318
guingan,580,not a medical product,non,365,6h,530318
guingan blanc,1,not a medical product,non,,,530318
guingan bleu,1,not a medical product,non,,,530318
guingan de Bengale,2,,non,,,1431
guingan de coton,1,not a medical product,non,1,6g,530318
guingan de fil,24,not a medical product,non,21,6d,530318
guingan de Grenade,1,,non,,,1431
guingan de lin,19,not a medical product,non,18,6d,530318
guingan de Madras,22,not a medical product,non,9,6g,530318
guingan de Masulipatan,1,not a medical product,non,1,6g,530318
guingan de Pondichéry,25,not a medical product,non,11,6g,530318
guingan de Pondichéry et de Madras,1,not a medical product,non,1,6g,530318
guingan de prises,0,not a medical product,oui,,,530318
guingan de Rouen,3,not a medical product,non,3,6h,530318
guingan des Indes,3,not a medical product,non,3,6g,530318
guingan des prises,1,not a medical product,non,,,530318
guingan du Bengale,7,not a medical product,non,2,6g,530318
guingan en Madras,1,not a medical product,non,,,530318
guingan peint,2,not a medical product,non,,,530318
guingan pièces,1,not a medical product,non,,,530318
guinimos,1,not a medical product,non,1,???,530318
guipon,6,not a medical product,non,4,???,530318
guisine,1,not a medical product,non,1,???,530318
guitare,8,not a medical product,non,7,8,530318
guitare de fer,3,not a medical product,non,2,8,530318
gullots,1,not a medical product,non,,,530318
habassis,5,not a medical product,non,1,???,530318
habillement de drap noir,1,not a medical product,non,,,530318
habillés,1,not a medical product,non,1,???,530318
habits,440,not a medical product,non,416,8,530318
habits à nègre,1,not a medical product,non,1,8,530318
habits brodés d'argent et d'or,1,not a medical product,non,1,8,530318
habits brodés d'or,15,not a medical product,non,14,8,530318
habits brodés de soie,6,not a medical product,non,5,8,530318
habits complets,3,not a medical product,non,1,8,530318
habits complets et neufs,2,not a medical product,non,2,8,530318
habits d'argent et d'or,1,not a medical product,non,1,8,530318
habits d'étamine,1,not a medical product,non,1,8,530318
habits d'homme,0,not a medical product,oui,1,8,530318
habits d'homme avec argent et or,0,not a medical product,oui,2,8,530318
habits d'or,3,not a medical product,non,3,8,530318
habits de camelot,1,not a medical product,non,1,8,530318
habits de camelot complet,1,,non,,,1431
habits de cour,1,not a medical product,non,1,8,530318
habits de drap,12,not a medical product,non,10,8,530318
habits de drap d'Elbeuf,1,not a medical product,non,1,8,530318
habits de drap galonné,1,not a medical product,non,,,530318
habits de drap galonnés d'argent et d'or,1,not a medical product,non,1,8,530318
habits de drap neuf,1,not a medical product,non,1,8,530318
habits de drap uni,2,not a medical product,non,1,8,530318
habits de droguet,1,not a medical product,non,,,530318
habits de droguet de soie,1,not a medical product,non,1,8,530318
habits de femme,0,not a medical product,oui,1,8,530318
habits de gogorans,2,not a medical product,non,,,530318
habits de laine,1,not a medical product,non,1,8,530318
habits de laine pour nègre,1,not a medical product,non,1,8,530318
habits de livrée,1,not a medical product,non,1,8,530318
habits de livrée et ornements d'église,2,not a medical product,non,2,8,530318
habits de nègre,1,not a medical product,non,1,8,530318
habits de nègre en étoffe,1,not a medical product,non,1,8,530318
habits de négresse,1,,non,,,1431
habits de peau,3,not a medical product,non,1,8,530318
habits de peau complets,1,not a medical product,non,1,8,530318
habits de peaux de mouton,1,not a medical product,non,,,530318
habits de Pékin brodés,1,not a medical product,non,,,530318
habits de pelleterie,1,not a medical product,non,1,8,530318
habits de pinchina,1,not a medical product,non,1,8,530318
habits de satin brodé,1,not a medical product,non,,,530318
habits de soie,38,not a medical product,non,31,8,530318
habits de soldat,2,not a medical product,non,2,8,530318
habits de toile,1,,non,,,1431
habits de toile de chanvre,1,not a medical product,non,1,8,530318
habits de troupes,2,not a medical product,non,1,8,530318
habits de velours,1,not a medical product,non,1,8,530318
habits divers,87,not a medical product,non,85,8,530318
habits enrichis,1,not a medical product,non,1,8,530318
habits et lingerie,581,not a medical product,non,580,8,530318
habits et lingerie et effets militaires,38,not a medical product,non,38,8,530318
habits et meubles,2,not a medical product,non,,,530318
habits et ornements d'Eglise,2,not a medical product,non,,,530318
habits et taffetas,1,not a medical product,non,1,8,530318
habits et vestes brodés,1,not a medical product,non,,,530318
habits et vestes vieux,1,not a medical product,non,1,8,530318
habits neufs,3,not a medical product,non,2,8,530318
habits pour femme,3,,non,,,1431
habits pour homme,6,not a medical product,non,2,8,530318
habits pour homme avec argent et or,2,,non,,,1431
habits pour homme brodés d'or,1,,non,,,1431
habits pour homme complets,1,not a medical product,non,1,8,530318
habits pour homme et pour femme,1,not a medical product,non,1,8,530318
habits pour nègre,3,not a medical product,non,2,8,530318
habits riches,1,not a medical product,non,1,8,530318
habits supportés,4,not a medical product,non,4,8,530318
habits supportés à la valeur,1,not a medical product,non,1,8,530318
habits supportés au kilogramme,2,not a medical product,non,2,8,530318
habits uniformes,1,not a medical product,non,1,8,530318
habits unis,1,not a medical product,non,1,8,530318
habits vieux,5,not a medical product,non,4,8,530318
haches,57,not a medical product,non,54,6j,530318
haches d'armes,1,not a medical product,non,1,6j,530318
haches de fer,25,not a medical product,non,13,6j,530318
haches de fer et d'acier,5,not a medical product,non,4,6j,530318
haches de fer et houes de fer et serpes de fer,3,not a medical product,non,3,6j,530318
haches et houe et serpes,1,,non,,,1431
haches et houes,4,not a medical product,non,2,6j,530318
haches et houes de fer,1,not a medical product,non,1,6j,530318
haches et houes et serpes,76,not a medical product,non,66,6j,530318
haches et serpes,2,not a medical product,non,1,6j,530318
haches paille,1,not a medical product,non,1,6j,530318
haillons de laine,2,not a medical product,non,2,2,530318
hallebardes,1,not a medical product,non,1,8,530318
haltsays,1,not a medical product,non,1,???,530318
hamacs,71,not a medical product,non,54,6i,530318
hamacs de coton,8,not a medical product,non,8,6g,530318
hamacs de retour faute de vente,1,not a medical product,non,1,6i,530318
hameçons,56,not a medical product,non,48,8,530318
hameçons cassés,1,not a medical product,non,1,8,530318
hampes de plumes,1,not a medical product,non,1,8,530318
harancades,22,not a medical product,non,21,0a,530318
haras,1,not a medical product,non,1,0a,530318
hardes,80,not a medical product,non,78,8,530318
hardes à usage,4,not a medical product,non,,,530318
hardes capillaire,1,not a medical product,non,1,8,530318
hardes et habits,4,not a medical product,non,4,8,530318
hardes neuves,17,not a medical product,non,16,8,530318
hardes perelle,1,not a medical product,non,1,8,530318
hardes pour nègre,2,not a medical product,non,2,8,530318
hardes vieilles,39,not a medical product,non,28,8,530318
harengs,76,not a medical product,non,57,0a,530318
harengs blancs,665,not a medical product,non,542,0a,530318
harengs blancs demi-feuillettes,2,not a medical product,non,,,530318
harengs blancs feuillettes,2,not a medical product,non,,,530318
harengs blancs marinés et salés,15,not a medical product,non,15,0a,530318
harengs blancs salés,1,not a medical product,non,4,0a,530318
harengs blancs salés et marinés,1,not a medical product,non,1,0a,530318
harengs bleus,1,,non,,,1431
harengs cades,2,not a medical product,non,2,0a,530318
harengs de la Baltique petits,1,not a medical product,non,1,0a,530318
harengs de la pêche nationale,1,not a medical product,non,1,0a,530318
harengs et maquereaux salés,4,not a medical product,non,4,0a,530318
harengs et saumons salés,1,not a medical product,non,1,0a,530318
harengs frais,5,not a medical product,non,4,0a,530318
harengs frais et merlan frais,1,not a medical product,non,1,0a,530318
harengs fumés,65,not a medical product,non,58,0a,530318
harengs marinés et salés,3,not a medical product,non,3,0a,530318
harengs marinés et salés et saurs,8,not a medical product,non,8,0a,530318
harengs pecks,0,not a medical product,oui,,,530318
harengs pecs,3,not a medical product,non,1,0a,530318
harengs salés,29,not a medical product,non,27,0a,530318
harengs salés et sardines salées,4,not a medical product,non,4,0a,530318
harengs salés et sardines salées et saumon salé,6,not a medical product,non,6,0a,530318
harengs saurs,411,not a medical product,non,369,0a,530318
harengs secs,11,not a medical product,non,11,0a,530318
haricots,66,not a medical product,non,61,0a,530318
haricots confits,2,not a medical product,non,1,0a,530318
haricots en fèves,1,not a medical product,non,1,0a,530318
haricots en fil,1,not a medical product,non,1,0a,530318
haricots et lentilles et pois secs,3,not a medical product,non,3,0a,530318
haricots marinés,1,not a medical product,non,,,530318
harmonica et orgues portatives,2,not a medical product,non,2,8,530318
harnais,83,not a medical product,non,73,7,530318
harnais de carrosses,1,not a medical product,non,1,7,530318
harnais de chaise,23,not a medical product,non,23,7,530318
harnais de chevaux,20,not a medical product,non,11,7,530318
harnais de chevaux de cuir,8,not a medical product,non,8,7,530318
harnais de cuir,2,not a medical product,non,2,7,530318
harnais de sellier,1,not a medical product,non,1,7,530318
harnais et chaises roulantes,1,not a medical product,non,1,7,530318
harnais et housses de chevaux,1,not a medical product,non,1,7,530318
harnais et housses de mulet,1,not a medical product,non,1,7,530318
harnais et phaéton,1,not a medical product,non,1,7,530318
harnais et selles,11,not a medical product,non,9,7,530318
harnais pour chaise de cuir,1,not a medical product,non,1,7,530318
harpes,9,not a medical product,non,8,8,530318
harpes et guitare,1,not a medical product,non,1,8,530318
harpes et guitare et psalterions,2,not a medical product,non,1,8,530318
harpes et orgues d'église,2,not a medical product,non,2,8,530318
harpins,1,not a medical product,non,1,8,530318
harpons de scies,1,,non,,,1431
hartreuse,1,not a medical product,non,1,???,530318
hautbois,3,not a medical product,non,3,8,530318
hebichets de fil de fer,1,not a medical product,non,1,6j,530318
helateas,2,not a medical product,non,,,530318
hellébore,1,narrow medical product,non,1,2,24146
hemitacortum,2,not a medical product,non,1,???,530318
herbages,81,not a medical product,non,67,2,530318
herbes,60,not a medical product,non,60,2,530318
herbes à charpentier,3,not a medical product,non,3,2,530318
herbes à col,1,not a medical product,non,1,2,530318
herbes à teindre,116,not a medical product,non,113,2,530318
herbes à teindre ou terre jaune,1,not a medical product,non,1,2,530318
herbes aromatiques,1,,non,,,1431
herbes d'absinthe,2,not a medical product,non,2,2,530318
herbes d'acacia,1,not a medical product,non,1,2,530318
herbes d'acacia à teindre,1,not a medical product,non,,,530318
herbes d'orseille,101,not a medical product,non,98,2,530318
herbes d'oseille,26,not a medical product,non,22,0a,530318
herbes de sarriette,2,not a medical product,non,,,530318
herbes de violette,1,not a medical product,non,1,2,530318
herbes émollientes,1,narrow medical product,non,,,24146
herbes et plantes et racines,6,not a medical product,non,6,2,530318
herbes et racines,1,not a medical product,non,1,2,530318
herbes et trèfle,2,not a medical product,non,1,2,530318
herbes gaude,72,not a medical product,non,68,2,530318
herbes mauves,1,,non,,,1431
herbes médicinales,12,narrow medical product,non,9,2,24146
herbes médicinales et plantes médicinales,58,narrow medical product,non,58,2,24146
herbes médicinales et plantes médicinales et racines médicinales,35,narrow medical product,non,35,2,24146
herbes pérelle,118,not a medical product,non,92,2,530318
herbes plantes racines fleurs etc.,14,not a medical product,non,14,2,530318
herbes qacrette,3,not a medical product,non,3,2,530318
herbes vaudes,28,not a medical product,non,28,2,530318
herbes véroniques,1,,non,,,1431
herbes vulnéraires,24,narrow medical product,non,22,2,24146
hermine,2,not a medical product,non,2,0a,530318
herminettes,2,not a medical product,non,2,6j,530318
hermodatte,51,not a medical product,non,46,2,530318
herse,1,not a medical product,non,1,6j,530318
hesses et hirondelles,1,not a medical product,non,1,0a,530318
hêtre en blocs,1,not a medical product,non,1,2,530318
hipocide,4,not a medical product,non,,,530318
hipouditte,1,not a medical product,non,1,???,530318
histoire naturelle,18,not a medical product,non,18,8,530318
histoire naturelle coquillages,1,not a medical product,non,,,530318
Hondschoote blanche,2,not a medical product,non,1,6i,530318
Hondschoote peinte,3,not a medical product,non,1,6i,530318
hôpitaux,2,not a medical product,non,2,???,530318
hôpitaux à café,1,not a medical product,non,,,530318
hôpitaux de cuivre,65,not a medical product,non,40,???,530318
horloge,46,not a medical product,non,42,8,530318
horloge à réveils,1,not a medical product,non,1,8,530318
horloge commune,5,not a medical product,non,5,8,530318
horloge d'église,1,not a medical product,non,1,8,530318
horloge de bois,28,not a medical product,non,26,8,530318
horloge de fer,1,not a medical product,non,1,8,530318
horloge de mer,1,not a medical product,non,1,8,530318
horloge de sable,23,not a medical product,non,15,8,530318
horloge de tables,4,not a medical product,non,4,8,530318
horloge neuve,1,not a medical product,non,1,8,530318
horlogerie,794,not a medical product,non,783,8,530318
horlogerie boîtes d'argent,6,not a medical product,non,6,8,530318
horlogerie boîtes d'or,4,not a medical product,non,4,8,530318
horlogerie boîtes de montre d'argent,1,not a medical product,non,1,8,530318
horlogerie boîtes de montre d'or,1,not a medical product,non,1,8,530318
horlogerie boîtes de pendule,3,not a medical product,non,3,8,530318
horlogerie cadrans,1,not a medical product,non,1,8,530318
horlogerie cadrans d'émail,1,not a medical product,non,1,8,530318
horlogerie carillon,1,not a medical product,non,1,8,530318
horlogerie carillon au-dessous d'une hectogramme,1,not a medical product,non,1,8,530318
horlogerie chaînes d'argent,1,not a medical product,non,1,8,530318
horlogerie chaînes d'or,3,not a medical product,non,3,8,530318
horlogerie chaînes de cuivre,1,not a medical product,non,1,8,530318
horlogerie clefs de montre,1,not a medical product,non,1,8,530318
horlogerie d'or,2,not a medical product,non,2,8,530318
horlogerie et carillon,4,not a medical product,non,4,8,530318
horlogerie fournitures,6,not a medical product,non,6,8,530318
horlogerie horloge de fer,12,not a medical product,non,12,8,530318
horlogerie monom à montre,1,not a medical product,non,1,8,530318
horlogerie monom à pendule,2,not a medical product,non,2,8,530318
horlogerie montres d'argent,12,not a medical product,non,12,8,530318
horlogerie montres d'or,14,not a medical product,non,14,8,530318
horlogerie montres de cuivre,3,not a medical product,non,3,8,530318
horlogerie montres de métal,1,not a medical product,non,1,8,530318
horlogerie montres maillées,1,not a medical product,non,1,8,530318
horlogerie mouvements de montre,7,not a medical product,non,7,8,530318
horlogerie mouvements de pendule,5,not a medical product,non,5,8,530318
horlogerie outils d'horloge,2,not a medical product,non,2,8,530318
horlogerie pendule,36,not a medical product,non,34,8,530318
horlogerie pendule de cuivre,2,not a medical product,non,1,8,530318
horlogerie pendule et réveils,2,not a medical product,non,1,8,530318
horlogerie ressorts de montre,2,not a medical product,non,2,8,530318
horlogerie ressorts de pendule,3,not a medical product,non,3,8,530318
horlogerie réveils,2,not a medical product,non,2,8,530318
horlogerie timbres,1,not a medical product,non,1,8,530318
hôtes,1,not a medical product,non,1,9c,530318
hôtes d'osier,4,not a medical product,non,4,8,530318
houblon,293,not a medical product,non,286,0a,530318
houes,12,not a medical product,non,7,6j,530318
houes de fer,17,not a medical product,non,4,6j,530318
houes et serpes,21,not a medical product,non,16,6j,530318
houes haches et serpes,2,not a medical product,non,,,530318
houille,4,not a medical product,non,4,3,530318
houille frontières,2,not a medical product,non,2,3,530318
houille par Ardennes et Meuse,2,not a medical product,non,2,3,530318
houille par mer,3,not a medical product,non,3,3,530318
houille par mer à Baisieux,2,not a medical product,non,2,3,530318
houille par terre,1,not a medical product,non,1,3,530318
houille par terre Ardennes et autre,2,not a medical product,non,2,3,530318
houppe de cygne,5,not a medical product,non,5,2,530318
housses,2,not a medical product,non,1,8,530318
housses de chevaux,25,not a medical product,non,17,7,530318
housses de chevaux enrichie,1,not a medical product,non,1,7,530318
housses de chevaux et faux,1,not a medical product,non,1,7,530318
housses de chevaux et faux et fourreaux garnis de soie,1,not a medical product,non,1,9b,530318
housses de chevaux garnies d'argent et d'or,1,not a medical product,non,1,7,530318
housses de drap,6,not a medical product,non,4,8,530318
housses de drap et de velours,2,not a medical product,non,2,8,530318
housses de lit,2,not a medical product,non,1,8,530318
housses de selles,1,not a medical product,non,1,7,530318
housses de velours,1,not a medical product,non,1,8,530318
housses et faux fourreaux,3,not a medical product,non,1,9b,530318
housses et faux fourreaux garnis d'argent,1,not a medical product,non,1,9b,530318
housses et selles de chevaux,1,not a medical product,non,1,7,530318
housses galonnées,2,not a medical product,non,2,8,530318
housses galonnées d'or,4,not a medical product,non,2,8,530318
housses galonnées d'or et d'argent,1,,non,,,1431
housses garnies d'or,2,,non,,,1431
housses garnies et d'or,0,not a medical product,oui,1,8,530318
hubalingue,1,not a medical product,non,1,???,530318
hubellimeus,1,not a medical product,non,,,530318
huide de codde,1,not a medical product,non,,,530318
huile,19,not a medical product,non,10,4,530318
huile à ???,1,not a medical product,non,1,4,530318
huile à brûler,48,not a medical product,non,40,3,530318
huile à brûler de graine,1,not a medical product,non,,,530318
huile à brûler et de poisson,12,not a medical product,non,12,9b,530318
huile ambrée,1,not a medical product,non,1,5,530318
huile antique et huile volatile ambrée,1,not a medical product,non,1,5,530318
huile blanche,1,not a medical product,non,,,530318
huile carabée,1,not a medical product,non,,,530318
huile chimique,1,not a medical product,non,1,4,530318
huile citron orange et leurs variétés,2,not a medical product,non,2,4,530318
huile commune,4,not a medical product,non,3,4,530318
huile commune d'olive,1,not a medical product,non,1,4,530318
huile concrète de cacao et de laurier,2,not a medical product,non,2,4,530318
huile d'absinthe,2,not a medical product,non,2,1,530318
huile d'Aix,2,not a medical product,non,2,4,530318
huile d'amandes,77,not a medical product,non,68,5,530318
huile d'amandes douces,14,not a medical product,non,13,5,530318
huile d'ambre,11,not a medical product,non,11,5,530318
