simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
guindeaux,2,non,not a medical product,,795416
guinée,186,non,not a medical product,137,795416
guinée blanche,106,non,not a medical product,35,795416
guinée blanche des Indes,3,non,not a medical product,4,795416
guinée blanche et bleue,1,non,not a medical product,1,795416
guinée blanche et bleue des Indes,3,non,not a medical product,5,795416
guinée blanche ordinaire,2,non,not a medical product,2,795416
guinée bleue,214,non,not a medical product,102,795416
guinée bleue de coton,1,non,not a medical product,1,795416
guinée bleue des Indes,0,non,not a medical product,1,795416
guinée bleue imitant celle des Indes,1,non,not a medical product,1,795416
guinée de coton,2,oui,not a medical product,2,795416
guinée des Indes,1,non,not a medical product,1,795416
guinée imitant celle des Indes,2,non,not a medical product,2,795416
guinée masulipatan,1,non,not a medical product,1,795416
guinée Sénégal,1,non,not a medical product,1,795416
guinée tachée,1,non,not a medical product,1,795416
guingans,10,oui,not a medical product,365,795416
guingans blanc,1,oui,not a medical product,,795416
guingans bleu,1,oui,not a medical product,,795416
guingans de Bengale,2,oui,,,42621
guingans de coton,1,oui,not a medical product,1,795416
guingans de fil,8,oui,not a medical product,21,795416
guingans de Grenade,2,oui,,,42621
guingans de lin,13,oui,not a medical product,18,795416
guingans de Madras,23,oui,not a medical product,9,795416
guingans de Masulipatan,1,oui,not a medical product,1,795416
guingans de Pondichéry,26,oui,not a medical product,11,795416
guingans de Pondichéry et de Madras,1,oui,not a medical product,1,795416
guingans de prises,0,oui,not a medical product,,795416
guingans de Rouen,3,oui,not a medical product,3,795416
guingans des Indes,1,oui,not a medical product,3,795416
guingans des prises,1,oui,not a medical product,,795416
guingans du Bengale,8,oui,not a medical product,2,795416
guingans en Madras,1,oui,not a medical product,,795416
guingans peint,2,oui,not a medical product,,795416
guingans pièces,1,oui,not a medical product,,795416
guinimos,1,non,not a medical product,1,795416
guipon,6,non,not a medical product,4,795416
guisine,1,non,not a medical product,1,795416
guitare,12,non,not a medical product,7,795416
guitare de fer,3,non,not a medical product,2,795416
gullots,1,non,not a medical product,,795416
habassis,5,non,not a medical product,1,795416
habillement de drap noir,1,non,not a medical product,,795416
habillés,1,non,not a medical product,1,795416
habits,560,non,not a medical product,416,795416
habits à nègre,1,non,not a medical product,1,795416
habits brodés d'argent et d'or,1,non,not a medical product,1,795416
habits brodés d'or,15,non,not a medical product,14,795416
habits brodés de soie,6,non,not a medical product,5,795416
habits complets,3,non,not a medical product,1,795416
habits complets et neufs,2,non,not a medical product,2,795416
habits d'argent et d'or,1,non,not a medical product,1,795416
habits d'étamine,1,non,not a medical product,1,795416
habits d'homme,0,oui,not a medical product,1,795416
habits d'homme avec argent et or,0,oui,not a medical product,2,795416
habits d'or,3,non,not a medical product,3,795416
habits d'un commissaire ordonateur,1,non,,,42621
habits de camelot,1,non,not a medical product,1,795416
habits de camelot complet,1,non,,,42621
habits de cour,1,non,not a medical product,1,795416
habits de drap,12,non,not a medical product,10,795416
habits de drap d'Elbeuf,1,non,not a medical product,1,795416
habits de drap galonné,1,non,not a medical product,,795416
habits de drap galonnés d'argent et d'or,1,non,not a medical product,1,795416
habits de drap neuf,1,non,not a medical product,1,795416
habits de drap uni,2,non,not a medical product,1,795416
habits de droguet,1,non,not a medical product,,795416
habits de droguet de soie,1,non,not a medical product,1,795416
habits de femme,0,oui,not a medical product,1,795416
habits de gogorans,2,oui,not a medical product,,795416
habits de gourgourans,2,non,,,42621
habits de la 11e 1/2 brigade d'infanterie,1,non,,,42621
habits de laine,1,non,not a medical product,1,795416
habits de laine pour nègre,1,non,not a medical product,1,795416
habits de livrée,1,non,not a medical product,1,795416
habits de livrée et ornements d'église,2,non,not a medical product,2,795416
habits de nègre,1,non,not a medical product,1,795416
habits de nègre en étoffe,1,non,not a medical product,1,795416
habits de négresse,1,non,,,42621
habits de peau,4,non,not a medical product,1,795416
habits de peau complets,1,non,not a medical product,1,795416
habits de peau de mouton,1,non,,,42621
habits de peaux de mouton,1,oui,not a medical product,,795416
habits de Pékin brodés,1,non,not a medical product,,795416
habits de pelleterie,1,non,not a medical product,1,795416
habits de pinchina,1,non,not a medical product,1,795416
habits de retour,1,non,,,42621
habits de satin brodé,1,non,not a medical product,,795416
habits de soie,38,non,not a medical product,31,795416
habits de soldat,2,non,not a medical product,2,795416
habits de toile,1,non,,,42621
habits de toile de chanvre,1,non,not a medical product,1,795416
habits de troupes,2,non,not a medical product,1,795416
habits de velours,1,non,not a medical product,1,795416
habits divers,93,non,not a medical product,85,795416
habits du régiment de l'Île de France,1,non,,,42621
habits enrichis,1,non,not a medical product,1,795416
habits et lingerie,581,non,not a medical product,580,795416
habits et lingerie et effets militaires,38,non,not a medical product,38,795416
habits et matériel de ménage,1,non,,,42621
habits et meubles,3,non,not a medical product,,795416
habits et ornements d'Eglise,1,non,not a medical product,,795416
habits et taffetas,1,non,not a medical product,1,795416
habits et vestes brodés,1,non,not a medical product,,795416
habits et vestes vieux,1,non,not a medical product,1,795416
habits militaires,4,non,,,42621
habits neufs,3,non,not a medical product,2,795416
habits pour femme,5,non,,,42621
habits pour homme,6,non,not a medical product,2,795416
habits pour homme avec argent et or,2,non,,,42621
habits pour homme brodés d'or,1,non,,,42621
habits pour homme complets,1,non,not a medical product,1,795416
habits pour homme et pour femme,1,non,not a medical product,1,795416
habits pour nègre,3,non,not a medical product,2,795416
habits provenant d'un naufrage,3,non,,,42621
habits riches,1,non,not a medical product,1,795416
habits supportés,4,non,not a medical product,4,795416
habits supportés à la valeur,1,non,not a medical product,1,795416
habits supportés au kilogramme,2,non,not a medical product,2,795416
habits uniformes,1,non,not a medical product,1,795416
habits unis,1,non,not a medical product,1,795416
habits vieux,5,non,not a medical product,4,795416
haches,58,non,not a medical product,54,795416
haches d'arme,1,oui,,,42621
haches d'armes,2,non,not a medical product,1,795416
haches de fer,25,non,not a medical product,13,795416
haches de fer et d'acier,5,non,not a medical product,4,795416
haches de fer et houes de fer et serpes de fer,3,non,not a medical product,3,795416
haches et houe et serpes,1,non,,,42621
haches et houes,4,non,not a medical product,2,795416
haches et houes de fer,1,non,not a medical product,1,795416
haches et houes et serpes,76,non,not a medical product,66,795416
haches et serpes,2,non,not a medical product,1,795416
haches paille,1,non,not a medical product,1,795416
haillons de laine,2,non,not a medical product,2,795416
hallebardes,8,non,not a medical product,1,795416
haltsays,1,non,not a medical product,1,795416
hamacs,169,non,not a medical product,54,795416
hamacs de coton,8,non,not a medical product,8,795416
hamacs de retour,0,non,,,42621
hamacs de retour faute de vente,0,oui,not a medical product,1,795416
hameçons,55,non,not a medical product,48,795416
hameçons cassés,1,non,not a medical product,1,795416
hameçons petits,1,non,,,42621
hamiracontans,1,non,,,42621
hampes de plumes,1,non,not a medical product,1,795416
harancades,38,non,not a medical product,21,795416
haras,1,non,not a medical product,1,795416
hardes,104,non,not a medical product,78,795416
hardes à usage,8,non,not a medical product,,795416
hardes capillaire,1,non,not a medical product,1,795416
hardes de gens de mer,8,non,,,42621
hardes diverses,6,oui,,,42621
hardes et habits,4,non,not a medical product,4,795416
hardes neuves,17,non,not a medical product,16,795416
hardes perelle,1,non,not a medical product,1,795416
hardes pour nègre,2,non,not a medical product,2,795416
hardes vieilles,39,non,not a medical product,28,795416
hareng de Nantes,1,oui,,,42621
harengs,157,non,not a medical product,57,795416
harengs blancs,684,non,not a medical product,542,795416
harengs blancs demi-feuillettes,2,non,not a medical product,,795416
harengs blancs feuillettes,2,non,not a medical product,,795416
harengs blancs marinés et salés,16,non,not a medical product,15,795416
harengs blancs salés,0,non,not a medical product,4,795416
harengs blancs salés et marinés,1,oui,not a medical product,1,795416
harengs bleus,1,non,,,42621
harengs cades,2,non,not a medical product,2,795416
harengs de la Baltique petits,1,non,not a medical product,1,795416
harengs de la pêche nationale,28,non,not a medical product,1,795416
harengs de Nantes,0,non,,,42621
harengs et maquereaux salés,4,non,not a medical product,4,795416
harengs et saumons salés,1,non,not a medical product,1,795416
harengs frais,20,non,not a medical product,4,795416
harengs frais et merlan frais,1,non,not a medical product,1,795416
harengs fumés,69,non,not a medical product,58,795416
harengs marinés et salés,3,non,not a medical product,3,795416
harengs marinés et salés et saurs,8,non,not a medical product,8,795416
harengs pecks,0,oui,not a medical product,,795416
harengs pecs,3,non,not a medical product,1,795416
harengs salés,161,non,not a medical product,27,795416
harengs salés et sardines salées,4,non,not a medical product,4,795416
harengs salés et sardines salées et saumon salé,6,non,not a medical product,6,795416
harengs salés et saurs,3,non,,,42621
harengs saurs,552,non,not a medical product,369,795416
harengs secs,11,non,not a medical product,11,795416
haricots,259,non,not a medical product,61,795416
haricots blancs,1,non,,,42621
haricots confits,2,non,not a medical product,1,795416
haricots en fèves,1,non,not a medical product,1,795416
haricots en fil,1,non,not a medical product,1,795416
haricots et lentilles et pois secs,3,non,not a medical product,3,795416
haricots marinés,1,non,not a medical product,,795416
harmonica et orgues portatives,2,non,not a medical product,2,795416
harnais,83,non,not a medical product,73,795416
harnais de carrosses,1,non,not a medical product,1,795416
harnais de chaise,23,non,not a medical product,23,795416
harnais de chevaux,21,non,not a medical product,11,795416
harnais de chevaux de cuir,8,non,not a medical product,8,795416
harnais de cuir,2,non,not a medical product,2,795416
harnais de cuir et cellerie,4,oui,,,42621
harnais de cuir et sellerie,4,non,,,42621
harnais de sellier,2,non,not a medical product,1,795416
harnais et chaises roulantes,1,non,not a medical product,1,795416
harnais et housses de chevaux,1,non,not a medical product,1,795416
harnais et housses de mulet,1,non,not a medical product,1,795416
harnais et phaéton,1,non,not a medical product,1,795416
harnais et selles,11,non,not a medical product,9,795416
harnais pour chaise de cuir,1,non,not a medical product,1,795416
harpe,1,non,,,42621
harpes,11,non,not a medical product,8,795416
harpes et guitare,51,non,not a medical product,1,795416
harpes et guitare et psalterions,3,non,not a medical product,1,795416
harpes et orgues d'église,2,non,not a medical product,2,795416
harpins,1,non,not a medical product,1,795416
harpons de scies,1,non,,,42621
hartreuse,1,non,not a medical product,1,795416
hautbois,3,non,not a medical product,3,795416
hebichets de fil de fer,1,non,not a medical product,1,795416
helateas,2,non,not a medical product,,795416
hellébore,1,oui,narrow medical product,1,26542
hemitacortum,2,non,not a medical product,1,795416
herbages,82,oui,not a medical product,67,795416
herbes,61,non,not a medical product,60,795416
herbes à charpentier,3,non,not a medical product,3,795416
herbes à col,1,non,not a medical product,1,795416
herbes à teindre,122,non,not a medical product,113,795416
herbes à teindre ou terre jaune,2,non,not a medical product,1,795416
herbes aromatiques,2,non,,,42621
herbes d'absinthe,2,non,not a medical product,2,795416
herbes d'acacia,1,non,not a medical product,1,795416
herbes d'acacia à teindre,1,non,not a medical product,,795416
herbes d'orseille,102,non,not a medical product,98,795416
herbes d'oseille,26,non,not a medical product,22,795416
herbes de sarriette,1,non,not a medical product,,795416
herbes de violette,1,non,not a medical product,1,795416
herbes émollientes,1,non,narrow medical product,,26542
herbes et plantes et racines,6,non,not a medical product,6,795416
herbes et racines,1,non,not a medical product,1,795416
herbes et trèfle,12,non,not a medical product,1,795416
herbes fleurs,1,oui,,,42621
herbes gaude,73,non,not a medical product,68,795416
herbes mauves,1,non,,,42621
herbes médicinales,15,non,narrow medical product,9,26542
herbes médicinales et plantes médicinales,58,non,narrow medical product,58,26542
herbes médicinales et plantes médicinales et racines médicinales,35,non,narrow medical product,35,26542
herbes pérelle,119,non,not a medical product,92,795416
herbes plantes racines fleurs etc.,14,non,not a medical product,14,795416
herbes qacrette,3,non,not a medical product,3,795416
herbes vaudes,28,non,not a medical product,28,795416
herbes véroniques,1,non,,,42621
herbes vulnéraires,24,non,narrow medical product,22,26542
hermine,37,non,not a medical product,2,795416
herminettes,2,non,not a medical product,2,795416
hermodatte,55,non,not a medical product,46,795416
herse,1,non,not a medical product,1,795416
hesses et hirondelles,1,non,not a medical product,1,795416
hêtre en blocs,1,non,not a medical product,1,795416
hipocide,4,non,not a medical product,,795416
hipouditte,1,non,not a medical product,1,795416
histoire naturelle,18,non,not a medical product,18,795416
histoire naturelle coquillages,1,non,not a medical product,,795416
homme d'équipage,7,non,,,42621
homme d'équipage hollandais,2,non,,,42621
homme d'équipage prisonnier suédois,1,non,,,42621
Hondschoote blanche,3,non,not a medical product,1,795416
Hondschoote peinte,5,non,not a medical product,1,795416
hôpitaux,2,non,not a medical product,2,795416
hôpitaux à café,1,non,not a medical product,,795416
hôpitaux de cuivre,65,non,not a medical product,40,795416
horloge,53,non,not a medical product,42,795416
horloge à réveils,1,non,not a medical product,1,795416
horloge commune,5,non,not a medical product,5,795416
horloge d'église,3,non,not a medical product,1,795416
horloge de bois,94,non,not a medical product,26,795416
horloge de fer,13,non,not a medical product,1,795416
horloge de mer,1,non,not a medical product,1,795416
horloge de sable,23,non,not a medical product,15,795416
horloge de tables,4,non,not a medical product,4,795416
horloge neuve,1,non,not a medical product,1,795416
horlogerie,815,non,not a medical product,783,795416
horlogerie boîtes d'argent,6,non,not a medical product,6,795416
horlogerie boîtes d'or,4,non,not a medical product,4,795416
horlogerie boîtes de montre d'argent,1,oui,not a medical product,1,795416
horlogerie boîtes de montre d'or,1,oui,not a medical product,1,795416
horlogerie boîtes de pendule,3,oui,not a medical product,3,795416
horlogerie cadrans,1,non,not a medical product,1,795416
horlogerie cadrans d'émail,1,non,not a medical product,1,795416
horlogerie carillon,1,non,not a medical product,1,795416
horlogerie carillon au-dessous d'une hectogramme,1,non,not a medical product,1,795416
horlogerie chaînes d'argent,1,non,not a medical product,1,795416
horlogerie chaînes d'or,3,non,not a medical product,3,795416
horlogerie chaînes de cuivre,1,non,not a medical product,1,795416
horlogerie clefs de montre,1,oui,not a medical product,1,795416
horlogerie d'or,2,non,not a medical product,2,795416
horlogerie et carillon,4,non,not a medical product,4,795416
horlogerie fournitures,6,non,not a medical product,6,795416
horlogerie horloge de fer,12,oui,not a medical product,12,795416
horlogerie monom à montre,1,oui,not a medical product,1,795416
horlogerie monom à pendule,2,oui,not a medical product,2,795416
horlogerie montres d'argent,12,oui,not a medical product,12,795416
horlogerie montres d'or,14,oui,not a medical product,14,795416
horlogerie montres de cuivre,3,oui,not a medical product,3,795416
horlogerie montres de métal,1,oui,not a medical product,1,795416
horlogerie montres maillées,1,oui,not a medical product,1,795416
horlogerie mouvements de montre,7,oui,not a medical product,7,795416
horlogerie mouvements de pendule,5,oui,not a medical product,5,795416
horlogerie outils d'horloge,2,oui,not a medical product,2,795416
horlogerie pendule,36,oui,not a medical product,34,795416
horlogerie pendule de cuivre,2,oui,not a medical product,1,795416
horlogerie pendule et réveils,259,oui,not a medical product,1,795416
horlogerie ressorts de montre,2,oui,not a medical product,2,795416
horlogerie ressorts de pendule,3,oui,not a medical product,3,795416
horlogerie réveils,2,oui,not a medical product,2,795416
horlogerie timbres,1,non,not a medical product,1,795416
hôtes,1,non,not a medical product,1,795416
hôtes d'osier,4,non,not a medical product,4,795416
houblon,443,non,not a medical product,286,795416
houes,12,non,not a medical product,7,795416
houes de fer,17,non,not a medical product,4,795416
houes et serpes,21,non,not a medical product,16,795416
houes haches et serpes,4,non,not a medical product,,795416
houille,4,non,not a medical product,4,795416
houille frontières,2,non,not a medical product,2,795416
houille par Ardennes et Meuse,2,non,not a medical product,2,795416
houille par mer,3,non,not a medical product,3,795416
houille par mer à Baisieux,2,non,not a medical product,2,795416
houille par terre,1,non,not a medical product,1,795416
houille par terre Ardennes et autre,2,non,not a medical product,2,795416
houppe de cygne,5,non,not a medical product,5,795416
housses,8,non,not a medical product,1,795416
housses de chevaux,26,non,not a medical product,17,795416
housses de chevaux enrichie,1,non,not a medical product,1,795416
housses de chevaux et faux,1,non,not a medical product,1,795416
housses de chevaux et faux et fourreaux garnis de soie,1,non,not a medical product,1,795416
housses de chevaux garnies d'argent et d'or,1,non,not a medical product,1,795416
housses de drap,10,non,not a medical product,4,795416
housses de drap et de velours,2,non,not a medical product,2,795416
housses de lit,2,non,not a medical product,1,795416
housses de selles,1,non,not a medical product,1,795416
housses de velours,1,non,not a medical product,1,795416
housses et faux fourreaux,3,non,not a medical product,1,795416
housses et faux fourreaux garnis d'argent,1,non,not a medical product,1,795416
housses et selles de chevaux,1,non,not a medical product,1,795416
housses galonnées,2,non,not a medical product,2,795416
housses galonnées d'or,4,non,not a medical product,2,795416
housses galonnées d'or et d'argent,1,non,,,42621
housses garnies d'or,2,non,,,42621
housses garnies et d'or,0,oui,not a medical product,1,795416
hubalingue,1,non,not a medical product,1,795416
hubellimeus,1,non,not a medical product,,795416
huide de codde,1,non,not a medical product,,795416
huile,4787,non,not a medical product,10,795416
huile à ???,1,non,not a medical product,1,795416
huile à brûler,58,non,not a medical product,40,795416
huile à brûler de graine,1,non,not a medical product,,795416
huile à brûler et de poisson,12,non,not a medical product,12,795416
huile ambrée,1,non,not a medical product,1,795416
huile antique et huile volatile ambrée,1,non,not a medical product,1,795416
huile blanche,1,non,not a medical product,,795416
huile carabée,1,non,not a medical product,,795416
huile chimique,1,non,not a medical product,1,795416
huile citron orange et leurs variétés,2,non,not a medical product,2,795416
huile commune,4,non,not a medical product,3,795416
huile commune d'olive,1,non,not a medical product,1,795416
huile concrète de cacao et de laurier,2,non,not a medical product,2,795416
huile d'absinthe,2,non,not a medical product,2,795416
huile d'Aix,2,non,not a medical product,2,795416
huile d'amande,4,oui,,,42621
huile d'amandes,81,non,not a medical product,68,795416
huile d'amandes douces,20,non,not a medical product,13,795416
huile d'ambre,12,non,not a medical product,11,795416
huile d'anis,56,non,not a medical product,25,795416
huile d'anis carvi et fenouil,1,non,not a medical product,1,795416
huile d'anis et fenouil,2,non,not a medical product,2,795416
huile d'aspic,59,non,not a medical product,52,795416
huile d'ébène,1,non,,,42621
huile d'élite dite keurolie,10,non,not a medical product,1,795416
huile d'enc,2,non,not a medical product,1,795416
huile d'étain,1,non,not a medical product,1,795416
huile d'œillette,31,oui,not a medical product,31,795416
huile d'œillette de noix de pavots,18,non,,,42621
huile d'œillette ou de pavot,13,non,,,42621
huile d'olive,3576,non,not a medical product,2680,795416
huile d'olive à manger,17,non,not a medical product,11,795416
huile d'olive blanche de Gênes,0,non,not a medical product,1,795416
huile d'olive comestible,7,non,not a medical product,3,795416
huile d'olive commune,18,non,not a medical product,14,795416
huile d'olive Corse pour la France,1,non,not a medical product,1,795416
huile d'olive de fèce ou fie d'huile,2,non,not a medical product,2,795416
huile d'olive et autres pour fabrique,21,non,not a medical product,21,795416
huile d'olive fine,144,non,not a medical product,120,795416
huile d'olive importée en grande partie à Marseille,1,non,not a medical product,1,795416
huile d'olive pour fabrique,249,non,not a medical product,245,795416
huile d'olive pour fabrique de la Corse,1,non,not a medical product,1,795416
huile d'ours,1,non,not a medical product,1,795416
huile de baleine,115,non,not a medical product,83,795416
huile de baleine et de morue,16,non,,,42621
huile de baleine et spirituelle,1,non,not a medical product,1,795416
huile de baume,1,non,narrow medical product,1,26542
huile de benedie,1,non,not a medical product,1,795416
huile de benjoin,1,non,narrow medical product,1,26542
huile de blanc de baleine,5,oui,,,42621
huile de brique,1,non,not a medical product,,795416
huile de cacao,2,non,not a medical product,2,795416
huile de cacao et palme,1,non,not a medical product,1,795416
huile de cachalot,1,non,,,42621
huile de cade,4,non,not a medical product,3,795416
huile de cahouanne,3,non,not a medical product,3,795416
huile de cannelle,17,non,narrow medical product,15,26542
huile de cannelle macis muscade de Rhodes et rose,2,non,not a medical product,2,795416
huile de carabe,8,non,narrow medical product,7,26542
huile de carde,3,non,not a medical product,3,795416
huile de casse cède cédrin genièvre,2,non,not a medical product,2,795416
huile de castor,1,non,not a medical product,,795416
huile de chanvre,12,non,not a medical product,11,795416
huile de chien de mer,2,non,not a medical product,2,795416
huile de chimie,1,non,not a medical product,1,795416
huile de chimie ?,1,non,,,42621
huile de citron bergamote et orange,1,non,not a medical product,1,795416
huile de coco,1,non,not a medical product,1,795416
huile de colza,0,non,,,42621
huile de copahu,55,non,narrow medical product,38,26542
huile de cordes,1,non,not a medical product,,795416
huile de corne de cerf,1,non,narrow medical product,1,26542
huile de crabette,1,non,not a medical product,1,795416
huile de crème,1,non,not a medical product,1,795416
huile de cumin,1,non,narrow medical product,1,26542
huile de dégras,0,non,not a medical product,1,795416
huile de faine et de noix,9,non,not a medical product,5,795416
huile de farde,1,non,not a medical product,1,795416
huile de farine,1,non,,,42621
huile de Flandre,1,non,not a medical product,1,795416
huile de flanelle,1,non,not a medical product,1,795416
huile de Florence,1,non,not a medical product,,795416
huile de gaïac,1,non,narrow medical product,1,26542
huile de Garonne,1,non,not a medical product,1,795416
huile de genièvre,18,non,narrow medical product,13,26542
huile de girofle,49,non,not a medical product,41,795416
huile de girofle à huile aromatique,1,non,,,42621
huile de girofle et sassafras,1,non,not a medical product,1,795416
huile de girofle et spirituelle,1,non,not a medical product,1,795416
huile de graine,635,non,not a medical product,587,795416
huile de graine autres que de lin d'oeillettes ou de pavots,2,non,,,42621
huile de graine d'anis,1,non,not a medical product,1,795416
huile de graine d'oeillettes ou de pavots,2,non,,,42621
huile de graine d'olive,1,non,not a medical product,1,795416
huile de graine de cannelle,1,non,not a medical product,1,795416
huile de graine de colza lin navette etc. et de noix,2,non,not a medical product,2,795416
huile de graine de girofle,1,non,not a medical product,1,795416
huile de graine de lin,5,non,not a medical product,2,795416
huile de graine de macis,1,non,not a medical product,1,795416
huile de graine de moutarde,1,non,not a medical product,1,795416
huile de graine de navette,1,non,not a medical product,1,795416
huile de graine de navette et de chanvre,0,non,not a medical product,2,795416
huile de graine de poisson,1,non,not a medical product,1,795416
huile de graine de Rhodes,1,non,not a medical product,1,795416
huile de graine de térébenthine,1,non,not a medical product,1,795416
huile de graine et de lin,6,non,not a medical product,6,795416
huile de graine et de noix,38,non,not a medical product,38,795416
huile de graine grasse,3,oui,not a medical product,3,795416
huile de graine oléagineuse,5,non,,,42621
huile de grains,11,non,not a medical product,4,795416
huile de grains à peinures,1,non,not a medical product,1,795416
huile de graisse,2,non,not a medical product,2,795416
huile de graisse de poisson,1,non,not a medical product,1,795416
huile de gras,1,non,not a medical product,1,795416
huile de gras et de traens pour tanneurs,8,non,not a medical product,,795416
huile de gras pour tanneurs,7,non,not a medical product,,795416
huile de Haarlem,23,non,not a medical product,1,795416
huile de hareng,1,non,not a medical product,1,795416
huile de jasmin,17,non,narrow medical product,14,26542
huile de jasmin et autres fleurs,3,non,not a medical product,3,795416
huile de jayet,1,non,not a medical product,1,795416
huile de laine,1,non,not a medical product,1,795416
huile de laurier,106,non,narrow medical product,72,26542
huile de lavande,7,non,not a medical product,5,795416
huile de lin,910,non,not a medical product,675,795416
huile de lin et de rabette,3,non,,,42621
huile de lin et spirituelle,6,non,not a medical product,6,795416
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,non,not a medical product,,795416
huile de loifon,0,non,not a medical product,9,795416
huile de loup marin,7,non,not a medical product,7,795416
huile de maïs,1,non,not a medical product,1,795416
huile de Majorque,1,non,not a medical product,1,795416
huile de marjolaine et sauge,1,non,not a medical product,1,795416
huile de menthe,1,non,not a medical product,1,795416
huile de morne,2,non,not a medical product,2,795416
huile de morue,98,non,not a medical product,56,795416
huile de morue de France,1,oui,,,42621
huile de morue étrangère,1,non,,,42621
huile de morue française,1,non,,,42621
huile de muscade,26,non,not a medical product,20,795416
huile de navette,186,non,not a medical product,162,795416
huile de noisettes,2,non,,,42621
huile de noix,254,non,not a medical product,207,795416
huile de Palma Christi,9,oui,not a medical product,5,795416
huile de palme,36,non,not a medical product,28,795416
huile de palmier,1,non,not a medical product,,795416
huile de parfum,4,non,not a medical product,3,795416
huile de peintures,1,non,not a medical product,1,795416
huile de pierre,4,non,not a medical product,1,795416
huile de pignon de palme,2,non,,,42621
huile de pignon et ricin,2,non,not a medical product,2,795416
huile de pin,1,non,not a medical product,1,795416
huile de plantes,1,non,not a medical product,1,795416
huile de poissen,2,non,,,42621
huile de poisson,2025,non,not a medical product,1470,795416
huile de poisson de France,5,non,,,42621
huile de poisson des Indes,1,non,not a medical product,1,795416
huile de poisson et de lin,1,non,not a medical product,1,795416
huile de poisson et poix,1,non,not a medical product,1,795416
huile de poisson étranger,3,non,,,42621
huile de poix,9,non,not a medical product,9,795416
huile de rabette,110,non,not a medical product,91,795416
huile de rave,2,non,not a medical product,2,795416
huile de Rhodes,14,non,not a medical product,14,795416
huile de rhue,1,non,narrow medical product,1,26542
huile de ricin,13,non,,,42621
huile de romarin,4,non,not a medical product,3,795416
huile de rose,4,non,not a medical product,4,795416
huile de salmus,1,non,not a medical product,1,795416
huile de sardines,2,non,,,42621
huile de sassafras,2,non,narrow medical product,1,26542
huile de saturne,1,non,not a medical product,,795416
huile de scorpion,6,non,narrow medical product,5,26542
huile de sein,1,non,not a medical product,1,795416
huile de semence,137,non,not a medical product,1,795416
huile de senteur,97,non,not a medical product,93,795416
huile de soldat,3,non,not a medical product,2,795416
huile de soufre,2,non,not a medical product,2,795416
huile de spermaceti,6,non,not a medical product,5,795416
huile de storax,8,non,narrow medical product,7,26542
huile de tamarin,2,non,narrow medical product,2,26542
huile de tartre,2,non,not a medical product,1,795416
huile de térébenthine,359,non,not a medical product,229,795416
huile de verre,2,non,not a medical product,1,795416
huile de vialle,2,non,not a medical product,2,795416
huile de vitriol,401,non,not a medical product,247,795416
huile de vitriol et vitriol,24,non,not a medical product,24,795416
huile dellevette,2,non,not a medical product,2,795416
huile diverse,41,non,not a medical product,40,795416
huile diverse à la valeur,1,non,not a medical product,1,795416
huile du Pérou,4,non,not a medical product,,795416
huile du Sénégal,1,non,,,42621
huile en bouteille,1,non,,,42621
huile en crasse,4,non,not a medical product,4,795416
huile en crasse ou degnes ???,0,non,not a medical product,2,795416
huile en crasse ou degras et ???,2,non,,,42621
huile en degens,1,non,,,42621
huile en dignar,1,non,not a medical product,1,795416
huile en zégnar,1,non,,,42621
huile essencée,1,non,not a medical product,,795416
huile essentielle ou volatile de citron girofle menthe rose etc.,2,non,not a medical product,2,795416
huile et essence de térébenthine,24,non,narrow medical product,24,26542
huile et provisions,5,non,not a medical product,1,795416
huile et rabete,1,non,not a medical product,,795416
huile et sirop,12,non,not a medical product,1,795416
huile fine,3,non,not a medical product,3,795416
huile grap indigo,1,non,not a medical product,1,795416
huile grasse d'amandes,4,oui,not a medical product,4,795416
huile grasse d'olive comestible,4,oui,not a medical product,4,795416
huile grasse d'olive pour fabrique,4,oui,not a medical product,4,795416
huile grasse de faine et noix,4,oui,not a medical product,4,795416
huile grasse de graines autres que lin œillette et pavot,2,oui,not a medical product,2,795416
huile grasse de graines d'œillette ou pavot,2,oui,not a medical product,2,795416
huile grasse de graines de lin,2,oui,not a medical product,2,795416
huile grasse de graines grasses,2,oui,not a medical product,2,795416
huile grasse de palme,2,oui,not a medical product,2,795416
huile grasse de palme et pignon,2,oui,not a medical product,2,795416
huile grasse de ricin,4,oui,not a medical product,4,795416
huile marc d'olive ou amurca,1,non,not a medical product,1,795416
huile médicinale,14,non,not a medical product,1,795416
huile pétrole,19,non,not a medical product,17,795416
huile pour étranger de poisson,1,oui,not a medical product,1,795416
huile pour France de poisson,3,oui,not a medical product,3,795416
huile pour lampe,1,non,not a medical product,1,795416
huile rabette,1,non,not a medical product,1,795416
huile spirituelle d'olive,8,non,not a medical product,8,795416
huile spirituelle de poisson,1,non,not a medical product,1,795416
huile stale,1,non,not a medical product,1,795416
huile succin,3,non,narrow medical product,3,26542
huile superfine,1,non,not a medical product,1,795416
huile térébenthine,12,oui,not a medical product,12,795416
huile vierge,1,non,not a medical product,1,795416
huile vitriol,3,non,not a medical product,1,795416
huile volatile,2,non,not a medical product,2,795416
huile volatile d'anis fenouil marjolaine romarin et sauge,2,non,not a medical product,2,795416
huile volatile de cade cèdre ou oxycèdre et gaïac,2,non,not a medical product,2,795416
