source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
Villes anseatiques,1,Villes hanséatiques,18,
villes anséatiques,1,Villes hanséatiques,18,
Villes anséatiques,1,Villes hanséatiques,18,
Villes Anséatiques,1,Villes hanséatiques,18,
"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",1,Villes hanséatiques,18,
Villes Anséatiques et Hollande,1,Villes hanséatiques-Hollande,1,
villes ansiatiq,1,Villes hanséatiques,18,
villes ansiatiques,1,Villes hanséatiques,18,
Villes auséatiques,1,Villes hanséatiques,18,
Villes Auséatiques,1,Villes hanséatiques,18,
Villes ausiatiques,1,Villes hanséatiques,18,
Villes hanséatiques,1,Villes hanséatiques,18,
Villes***,1,Villes ?,1,
Voitures diverses,2,Voitures diverses,2,
Ypres,1,Ypres,1,
