simplification,nbr_occurences_simpl,obsolete,luxe_dans_SITC,nbr_occurences_luxe_dans_SITC
huîtres à la daube ou marinée,1,non,,796571
huîtres à mariner,1,non,,796571
huîtres en écaille,20,non,,796571
huîtres en pierres,2,non,,796571
huîtres fraîches,15,non,,796571
huîtres fraîches et salées,18,non,,796571
huîtres marines,1,non,,796571
humains,24,non,,796571
humains de Guinée,18,non,,796571
humains de Sénégal,27,non,,796571
hydromel,123,non,,796571
hypochetia,1,non,,796571
hypocristis,1,non,,796571
igname,5,non,,796571
images,17,non,,796571
images à cadres dorés,1,non,,796571
images de cire,1,non,,796571
images de corne,1,non,,796571
images de livres,1,non,,796571
images de papier,38,non,,796571
images de papier et estampes et cartes géographiques,220,non,,796571
images de parchemin,73,non,,796571
images de parchemin de corne,2,non,,796571
images de vélin,6,non,,796571
images des Indes,1,non,,796571
images et cartes géographiques,2,non,,796571
images peintes,2,non,,796571
images sur papier,1,non,,796571
impériale,9,non,,796571
impériale de laine,1,non,,796571
inde,5,non,,796571
inde de Java,10,non,,796571
inde fine,28,non,,796571
inde florée,1,non,,796571
inde flottante,15,non,,796571
inde plate,120,non,,796571
indienne,861,non,milieu de gamme,43473
indienne ???,1,non,,796571
indienne commune,6,non,,796571
indienne de coton,21,non,haut de gamme,11978
indienne de coton et de fil,1,non,,796571
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,non,haut de gamme,11978
indienne de coton et siamoise de coton et toile de coton peinte,16,non,haut de gamme,11978
indienne de coton et toile de coton peinte,65,non,milieu de gamme,43473
indienne de coton peinte,2,non,,796571
indienne de différentes qualités,1,non,,796571
indienne de France,6,non,,796571
indienne de Suisse,1,non,,796571
indienne des Indes,4,non,,796571
indienne des Indes et toile peinte,5,non,,796571
indienne en coupon,1,non,,796571
indienne et sitz,143,non,,796571
indienne et toile perse,1,non,,796571
indienne étrangère,5,non,,796571
indienne étrangère et toile peinte,3,non,,796571
indienne française,1,non,,796571
indienne nationale et toile peinte,5,non,,796571
indienne peinte,30,non,milieu de gamme,43473
indigo,6595,non,,796571
indigo commun,2,non,,796571
indigo de Guatemala,6,non,,796571
indigo de retour,3,non,,796571
indigo des Îles françaises,1,non,,796571
indigo des Indes,1,non,,796571
indigo en gr ???,1,non,,796571
indigo en grabeau,105,non,,796571
indigo et sucre,1,non,,796571
indigo floré,13,non,,796571
indigo guatimalo,8,non,,796571
indigo inde-plate boules de bleu,1,non,,796571
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,non,,796571
injubes,3,non,,796571
insectes,4,non,,796571
instruments,110,non,,796571
instruments d'artillerie,1,non,,796571
instruments d'arts libéraux,7,non,,796571
instruments d'astronomie,5,non,,796571
instruments d'optique lunettier,1,non,,796571
instruments d'optiques,13,non,,796571
instruments d'optiques et ouvrages ditto,34,non,,796571
instruments d'orfèvrerie,1,non,,796571
instruments de b??? mêlés,1,non,,796571
instruments de chimie,3,non,,796571
instruments de chirurgie,48,non,,796571
instruments de jardinage,1,non,,796571
instruments de marine,17,non,,796571
instruments de mathématique,85,non,,796571
instruments de mathématique et de musique,9,non,,796571
instruments de mathématique et instruments de chirurgie,49,non,,796571
instruments de mécanique,3,non,,796571
instruments de mer,2,oui,,796571
instruments de mesure,1,non,,796571
instruments de musique,504,non,,796571
instruments de musique ???,1,non,,796571
instruments de musique et autres,11,non,,796571
instruments de navigation,3,non,,796571
instruments de physique,24,non,,796571
instruments de pilotage,4,non,,796571
instruments épinettes,1,non,,796571
instruments machine et mécanique,3,non,,796571
instruments machine et mécanique propres aux arts et aux sciences,11,non,,796571
instruments pour hôpitaux militaires,1,non,,796571
instruments pour la pêche,10,non,,796571
instruments pour les arts et les sciences,181,non,,796571
instruments propres aux arts libéraux,10,non,,796571
instruments propres aux science,2,non,,796571
ipécacuanha,311,non,,796571
iranis,1,non,,796571
iris,186,non,,796571
iris de citron,1,non,,796571
iris de Florence,60,non,,796571
irtaine,1,oui,,796571
isaris d'auf,1,non,,796571
isatis,5,non,,796571
issarions de palme,4,non,,796571
istarions d'espars,1,non,,796571
ita à planter,1,non,,796571
Itaine de laine,1,non,,796571
ivies,1,non,,796571
ivoire,87,non,,796571
ivoire brûlé,2,non,,796571
ivoire brut,81,non,,796571
ivoire de Dieppe,1,non,,796571
ivoire en grabeau,2,non,,796571
ivoire en morceaux,2,non,,796571
ivoire et or,10,non,,796571
ivoire noir,1,non,,796571
jaillet,2,non,,796571
jais,143,non,,796571
jais brut,1,non,,796571
jais de chêne,1,non,,796571
jais ou ouvrages de jais,1,non,,796571
jalap,489,non,,796571
jalap en grabeau,1,non,,796571
jamard,2,non,,796571
jamavar,21,non,,796571
jambon,1398,non,,796571
jambon de Bayonne,11,non,,796571
jambon de Mayence,6,non,,796571
jambon du pays,1,non,,796571
jambon et lard,1,non,,796571
jambon et lard salé,1,non,,796571
jambon et saucissons,1,non,,796571
jambon fumé,28,non,,796571
jambon lard et saucissons,1,non,,796571
jambon non fumé,2,non,,796571
jambon pour l'entrepôt de la Compagnie,1,non,,796571
jambon salé,100,non,,796571
jambons,8,oui,,796571
jantes,100,non,,796571
jantes et rais,5,non,,796571
japonis,1,non,,796571
jardinage divers,1,non,,796571
jardinage jasmin,2,non,,796571
jarres,232,non,,796571
jarres de grès,1,non,,796571
jarres de terre,27,non,,796571
jarres et dame-jeannes,61,non,,796571
jarres vides,1,non,,796571
jarretières,3,non,,796571
jarretières d'argent,4,non,,796571
jarretières d'argent et d'or,1,non,,796571
jarretières d'argent et d'or et de soie,1,non,,796571
jarretières de fil,3,non,,796571
jarretières de filoselle,2,non,,796571
jarretières de fleuret,12,non,,796571
jarretières de laine,11,non,,796571
jarretières de soie,23,non,,796571
jarretières et ruban de laine,1,non,,796571
jarretières et tresse de laine,1,non,,796571
jas,1,non,,796571
jaspe,3,non,,796571
jatape,1,non,,796571
jattes de bois,3,non,,796571
jaune commun,64,non,,796571
jaune de Cassel,1,non,,796571
jaune de chrome,2,non,,796571
jaune de Naples,87,non,,796571
jaune doré,7,non,,796571
jaune gros,1,non,,796571
jaune paille,2,non,,796571
jaune royal,2,non,,796571
jeanette de laine,1,non,,796571
jeanne,1,non,,796571
jeanne gros,1,non,,796571
jet de bière,10,non,,796571
jet et lie de bière,136,non,,796571
jetons d'argent,1,non,,796571
jetons de cuivre,2,non,,796571
jets de canettes,2,non,,796571
jets de canettes de grès,3,non,,796571
jets de cannes,3,non,,796571
jets de cannes à poignée d'ambre,1,non,,796571
jets de creusets,2,non,,796571
jets de grès,1,non,,796571
jets de terre,1,non,,796571
jets de voile,43,oui,,796571
jeux d'échecs,1,non,,796571
jeux d'écrevisse,1,non,,796571
jeux d'orgues,1,non,,796571
jeux de camagnolle,2,non,,796571
jeux de moulins,19,non,,796571
jeux de moulins à sucre,10,non,,796571
jeux de quadrilles,1,non,,796571
jeux de voile,107,non,,796571
jeux de voile en toile de Bretagne,1,non,,796571
joaillerie,1,non,,796571
jolités de cristal garnis de cuivre,2,non,,796571
jolités en pinsbeck,3,non,,796571
jolités mêlées,135,non,,796571
joncs,78,non,,796571
joncs à faire des cannes,4,non,,796571
joncs à joncher les volailles,3,non,,796571
joncs communs,4,non,,796571
joncs de cannes,1,non,,796571
joncs des Indes,1,non,,796571
joncs des marais,3,non,,796571
joncs en blocs,1,non,,796571
joncs en herbes,1,non,,796571
joncs entés,17,non,,796571
joncs et roseaux,32,non,,796571
joncs et roseaux des jardins,2,non,,796571
joncs et roseaux des marais d'Europe Presle et Sparte brut,2,non,,796571
joncs et roseaux exotiques bambous et joncs forts à cannes,2,non,,796571
joncs et roseaux exotiques rotins de petit calibre,3,non,,796571
joncs odorants,2,non,,796571
joncs ou auf,3,non,,796571
joncs pour cannes,1,non,,796571
joncs pour cannes et bambou et rotin,19,non,,796571
joncs pour cannes et bambou et ruban,8,non,,796571
joncs pour chaises,4,non,,796571
joncs pour couvrir,87,non,,796571
joncs pour couvrir bottes,2,non,,796571
joncs pour couvrir toits,85,non,,796571
joncs pour faire ???,2,non,,796571
joncs pour faire chaises,50,non,,796571
joncs pour faire des vertugadins,3,non,,796571
joncs pour faire les chaises des Indes,1,non,,796571
joncs pour faire voile,1,non,,796571
joncs pour joncher les volailles,1,non,,796571
joncs pour joncher voiles,2,non,,796571
joncs pour voile,25,non,,796571
joncs rotin,3,non,,796571
joncs Sparte brut et autres communs,1,non,,796571
joncs travaillés et paille travaillée,92,non,,796571
joncs vernis,1,non,,796571
jonquilles,1,non,,796571
jonquine,16,non,,796571
Joséphine de laine et de soie,1,non,,796571
jouets,6,non,,796571
jouets d'enfance,1,non,,796571
jouets d'enfant,12,non,,796571
jougs de bœuf,5,non,,796571
joujoux d'enfants,9,non,,796571
juifs qui payent le droit corporel à la sortie,64,non,,796571
jujubes,98,non,,796571
julaux,1,non,,796571
julienne,2,non,,796571
juments,41,non,,796571
juments de somme,3,non,,796571
juments et poulains,8,non,,796571
juments ou mulets,1,non,,796571
jupes,7,non,,796571
jupes d'indiennes,1,non,,796571
jupes de basin brodée en soie,1,non,,796571
jupes de calmande,1,non,,796571
jupes de cirsaca,1,non,,796571
jupes de coton,2,non,,796571
jupes de laine et de soie,1,non,,796571
jupes de molleton,2,non,,796571
jupes de satin brodée,1,non,,796571
jupes de toile peinte,5,non,,796571
jupes et tabliers de toile peinte,1,non,,796571
jupes peintes,1,non,,796571
jupes piquées,5,non,,796571
jupons,24,non,,796571
jupons brodés,2,non,,796571
jupons d'étoffe et soie brodés,1,non,,796571
jupons de basin brodés,1,non,,796571
jupons de Pékin brodé en soie or et argent,1,non,,796571
jupons de satin,2,non,,796571
jupons de taffetas,3,non,,796571
jupons de toile,1,non,,796571
jupons de toile peinte,2,non,,796571
jupons peints,1,non,,796571
jupons piqués,5,non,,796571
jus,2,non,,796571
jus d'orange,2,non,,796571
jus de cerise,1,non,,796571
jus de citrate calcaire,1,non,,796571
jus de citron,405,non,,796571
jus de citron et de limon,10,non,,796571
jus de citron et de limonade,2,non,,796571
jus de Florence,1,non,,796571
jus de griotte,1,non,,796571
jus de limon,36,non,,796571
jus de réglisse,854,non,,796571
jus et sirop de cerise et de grenade,7,non,,796571
jus et sirop de cerise et de grenade avec nourritures,69,non,,796571
kalmouk,10,non,,796571
kalmouk de mauvaise qualité,1,non,,796571
kalmouk de Sedan 20 lignes,1,non,,796571
kalmouk de Sedan 350 lignes,1,non,,796571
kichorchais,8,non,,796571
kicoutis,2,non,,796571
kirschwasser,6,non,,796571
korola des Indes,2,non,,796571
l? de fer,1,non,,796571
labdanum,3,non,,796571
lac commun,57,non,,796571
lacets,6,non,,796571
lacets d'argent et de soie,1,non,,796571
lacets de fil,30,non,,796571
lacets de filoselle,14,non,,796571
lacets de filoselle et de soie,1,non,,796571
lacets de fleuret,19,non,,796571
lacets de laine,2,non,,796571
lacets de peau,3,non,,796571
lacets de soie,21,non,,796571
lackière,1,non,,796571
lacoris,1,non,,796571
ladanum,1,non,,796571
lagias,12,non,,796571
laimes,1,non,,796571
laimois,1,non,,796571
lain,1,non,,796571
lainage couvertures,53,oui,milieu de gamme,43473
laine,1102,non,,796571
laine à broder,19,non,,796571
laine à laver,1,non,,796571
laine à lisières,2,non,,796571
laine à matelas,3,non,,796571
laine à tapis fine,1,non,,796571
laine à tapisserie,111,non,,796571
laine à tricoter,1,non,,796571
laine apprêtée pour perruques,10,non,,796571
laine bâtarde,5,non,,796571
laine blanche,4,non,,796571
laine blanche et fine et filée et teinte,13,non,milieu de gamme,43473
laine blanche non filée,1,non,,796571
laine bourre et déchets de laine,2,non,,796571
laine brute,520,non,,796571
laine brute fine,6,non,,796571
laine brute surfine,5,non,,796571
laine cardée,4,non,,796571
laine chevron,8,oui,,796571
laine commune,127,non,,796571
laine commune brute,6,non,,796571
laine commune d'Espagne,2,non,,796571
laine commune épurée,1,non,,796571
laine commune et lavée et en suint,8,non,,796571
laine commune lavée à chaud,4,non,,796571
laine commune lavée à froid,6,non,,796571
laine commune sans distinction,1,non,,796571
laine crottelins,1,non,,796571
laine crue,2,non,,796571
laine d'agnelin,111,non,,796571
laine d'agnelin en suint,2,non,,796571
laine d'Allemagne,103,non,,796571
laine d'alpaca,2,non,,796571
laine d'Angleterre,2,non,,796571
laine d'Ardenny,2,non,,796571
laine d'Arles,1,non,,796571
laine d'Arménie,1,non,,796571
laine d'Autriche,32,non,,796571
laine d'Écosse,2,non,,796571
laine d'écrue,5,non,,796571
laine d'Espagne,651,non,,796571
laine d'Espagne fine,2,non,,796571
laine d'Espagne fine par Rouen et Marseille,1,non,,796571
laine d'Espagne grossière,1,non,,796571
laine d'Espagne lavée,1,non,,796571
laine d'Espagne non filée,2,non,,796571
laine d'Estrémadure lavée,2,non,,796571
laine d'Italie,17,non,,796571
laine de ???,1,non,,796571
laine de Barbarie,11,non,,796571
laine de Bayonne,1,non,,796571
laine de Bologne,3,non,,796571
laine de Brême,2,non,,796571
laine de Carmenie,40,non,,796571
laine de chamois,1,non,,796571
laine de chèvre,395,non,,796571
laine de chèvre et poil de chameau,43,non,,796571
laine de chèvre et poil de chameau et vigogne,24,non,,796571
laine de chèvre et poil de lapin,5,non,,796571
laine de chèvre non filée,1,non,,796571
laine de chevron,363,oui,,796571
laine de chevrons et poil de chameau,43,oui,,796571
laine de chevrons et poil de chameau et vigogne,24,oui,,796571
laine de chevrons et poil de lapin,5,oui,,796571
laine de chevrons non filée,1,oui,,796571
laine de Constantinople,2,non,,796571
laine de farumie,2,non,,796571
laine de fer,1,non,,796571
laine de fil,1,non,,796571
laine de France,1,non,,796571
laine de Hollande,7,non,,796571
laine de Moscou,1,non,,796571
laine de pelade,1,non,,796571
laine de Perse,10,non,,796571
laine de Pologne,34,non,,796571
laine de Pologne et autre laine étrangère,7,non,,796571
laine de Poméranie,2,non,,796571
laine de Prusse,2,non,,796571
laine de Smyrne,1,non,,796571
laine de Suède,1,non,,796571
laine de surge,2,oui,,796571
laine de tan,1,non,,796571
laine de vigogne,146,non,,796571
laine demi fine,1,non,,796571
laine demi lavée,14,non,,796571
laine du Béarn,19,non,,796571
laine du Brabant,1,non,,796571
laine du Danemark,11,non,,796571
laine du Levant,20,non,,796571
laine du Nord,22,non,,796571
laine du pays,8,non,,796571
laine du Portugal,42,non,,796571
laine écrue,5,non,,796571
laine écrue lavée,1,non,,796571
laine en ???,2,non,,796571
laine en boules,2,non,,796571
laine en côtes,6,non,,796571
laine en crin,2,non,,796571
laine en flotte,1,non,,796571
laine en lain,2,non,,796571
laine en masses,4,non,,796571
laine en pelote,1,non,,796571
laine en poil de chameau,8,non,,796571
laine en rames,38,non,,796571
laine en Renne,1,non,,796571
laine en ronces,1,non,,796571
laine en suint,101,non,,796571
laine en toison,35,non,,796571
laine épurée surfine,1,non,,796571
laine et filoselle,1,non,,796571
laine fine,38,non,,796571
laine fine de Rome,1,non,,796571
laine fine en rames,3,non,,796571
laine fine en suint,1,non,,796571
laine fine épurée,1,non,,796571
laine fine et de chèvre,9,non,,796571
laine fine et de chevron,9,oui,,796571
laine fine lavée,1,non,,796571
laine fine lavée à chaud,4,non,,796571
laine fine lavée à froid,6,non,,796571
laine fine mérinos en suint,10,non,,796571
laine fine mérinos lavée,14,non,,796571
laine grasse,506,non,,796571
laine grasse de Barbarie,2,non,,796571
laine grasse et fil de laine,2,non,,796571
laine grasse ou en suin,4,oui,,796571
laine gromures,1,non,,796571
laine grosse,35,non,,796571
laine l'ance,1,non,,796571
laine lavée,753,non,,796571
laine lavée à chaud surfine,4,non,,796571
laine lavée à froid surfine,4,non,,796571
laine lavée et grasse,1,non,,796571
laine lavée mérinos et métis,1,non,,796571
laine lavée pelade,1,non,,796571
laine lavée surge,1,oui,,796571
laine mêlée,1,non,,796571
laine menue,3,non,,796571
laine mérinos en suint,6,non,,796571
laine mérinos et lavée et en suint,28,non,,796571
laine mérinos lavée,23,non,,796571
laine noire,3,non,,796571
laine non filée,56,non,,796571
laine non filée lavée,5,non,,796571
laine non peignée,49,non,,796571
laine ordinaire,69,non,,796571
laine ordinaire en masse,30,non,,796571
laine panorme,1,non,,796571
laine par Abbeville,1,non,,796571
laine par Cherbourg et Granville et Morlaix,1,non,,796571
laine par Marseille,1,non,,796571
laine peignée,286,non,,796571
laine peignée et filée,1,non,,796571
laine pelade,134,non,,796571
laine pelade et grasse,1,non,,796571
laine pelade et serge,1,oui,,796571
laine pelleterie,1,non,,796571
laine petite,1,non,,796571
laine place,2,non,,796571
laine pour chapeliers,11,non,,796571
laine pour navire de Hollande avec certificats de consul,1,non,,796571
laine pour tapisserie,2,non,,796571
laine rousse,3,non,,796571
laine seconde,1,non,,796571
laine suin,2,non,,796571
laine tannée,1,non,,796571
laine teinte,18,non,,796571
laine toison,3,non,,796571
laine tressée,1,non,,796571
laine vivante,1,non,,796571
lainerie,1,non,,796571
lait battu,11,non,,796571
lait de Virginie,1,non,,796571
lait doux,20,non,,796571
laiton,261,non,,796571
laiton battu,1,non,,796571
laiton battu ou coulé ou laminé,2,non,,796571
laiton battu ou laminé,5,non,,796571
laiton braisé,5,non,,796571
laiton brun,3,non,,796571
laiton brut,4,non,,796571
laiton coulé en barres ou plaques,1,non,,796571
laiton coulé en barres ou plaques régulières,1,non,,796571
laiton coulé en masses brutes,3,non,,796571
laiton cuivré,2,non,,796571
laiton en barres ou plaques régulières,2,non,,796571
laiton en feuilles,67,non,,796571
laiton en masses brutes,3,non,,796571
laiton en planches pour les fabrique,1,non,,796571
laiton en rouleau,1,non,,796571
laiton et cuivre,6,non,,796571
laiton gratté,69,non,,796571
laiton gravé,2,non,,796571
laiton gravé ou gratté,2,non,,796571
laiton neuf,3,non,,796571
laiton noir,1,non,,796571
laiton non gratté,1,non,,796571
laiton vieux,18,non,,796571
lakmoes,130,non,,796571
lakuires,0,non,,796571
lama,1,non,,796571
lambris,1,non,,796571
lames,1,non,,796571
lames d'acier,5,non,,796571
lames d'argent,2,non,,796571
lames d'épée,70,non,,796571
lames d'épée et de fleuret,4,non,,796571
lames d'épée et de sabres,102,non,,796571
lames d'or,1,non,,796571
lames d'or par Marseille,1,non,,796571
lames de couteaux,1,non,,796571
lames de couteaux de chasse,2,non,,796571
lames de coutelas,2,non,,796571
lames de cuivre,2,non,,796571
lames de fer,1,non,,796571
lames de fleuret,7,non,,796571
lames de rasoirs,1,non,,796571
lames de sabre,27,non,,796571
lames de sabres,4,non,,796571
lames en fer,45,non,,796571
lampareille de laine,3,non,,796571
lampareille de Lille,2,non,,796571
lampareille de poil,88,non,milieu de gamme,43473
lampareille et polimi,13,non,,796571
lampas,0,non,,796571
lampas de soie,1,non,,796571
lampas pièces larges,3,non,,796571
lampes,55,non,,796571
lampes à air en cuivre de la manufacture royale à Versoix,1,non,,796571
lampes à la quinpot,1,non,,796571
lampes d'argent,2,non,,796571
lampes de cristal,1,non,,796571
lampes de cuivre,3,non,,796571
lampes de fer,10,non,,796571
lampes de fer-blanc,4,non,,796571
lampes de laiton,1,non,,796571
lampes de terre,1,non,,796571
lampes de verre,2,non,,796571
lampes de verres,1,non,,796571
lampes économiques,1,non,,796571
lampions de fer,1,non,,796571
lamproies,72,non,,796571
lances,865,non,,796571
lances et beauprés,1,non,,796571
lances et mâts,2,non,,796571
lancets à arroser voile,1,non,,796571
lanchez,1,non,,796571
langues,27,non,,796571
langues de bœuf,82,non,,796571
langues de bœuf en saumure,1,non,,796571
langues de bœuf et langues de vache,101,non,,796571
langues de bœuf fourrées,14,non,,796571
langues de bœuf salées,30,non,,796571
langues de cabillaud,5,non,,796571
langues de cochon,2,non,,796571
langues de morue,55,non,,796571
langues de mouton,12,non,,796571
langues de porcs,2,non,,796571
langues de porcs saléses,5,non,,796571
langues et noix de morue,5,oui,,796571
langues et noves,1,oui,,796571
langues et noves de morue,13,non,,796571
langues et têtes de morue,1,non,,796571
langues et yeux de cerf,1,non,,796571
langues fumées,71,non,,796571
langues salées,221,non,,796571
lanières de cuirs de bœuf,1,non,,796571
lanillas,25,non,,796571
lanillas de laine,1,non,,796571
lanillas de poil,20,non,,796571
lanis à cacheter,0,non,,796571
lanternes,129,non,,796571
lanternes d'escalier,1,non,,796571
lanternes de corne,1,non,,796571
lanternes de cristal,2,non,,796571
lanternes de fer-blanc,2,non,,796571
lanternes de verre,8,non,,796571
lanternes de verre décoré,1,non,,796571
lanternes magiques,1,non,,796571
lapereaux,1,non,,796571
lapines,1,non,,796571
lapins,19,non,,796571
lapis,2,non,,796571
lapis lazuli,6,non,,796571
laque,13,non,,796571
laque de Florence,58,non,,796571
laque de Venise,13,non,,796571
laque en bois,5,non,,796571
laque en feuilles,4,non,,796571
laque en graine,2,non,,796571
laque en poudre,1,non,,796571
laque fausse,1,non,,796571
laque fine,1,non,,796571
laque naturelle,7,non,,796571
laque pale,1,non,,796571
laque plane,3,non,,796571
laque plate,162,non,,796571
laque préparée,5,non,,796571
laque ronde,7,non,,796571
laque rouge,2,non,,796571
laque sans bois,4,non,,796571
lard,1126,non,,796571
lard à larder,2,non,,796571
lard du pays,1,non,,796571
lard et petit salé,1,non,,796571
lard et porcs salés,2,non,,796571
lard fumé,3,non,,796571
lard grillé,2,non,,796571
lard pour l'entrepôt,1,non,,796571
lard salé,198,non,,796571
lardoires de fer,1,non,,796571
lattes,171,non,,796571
lattes à ardoise,2,non,,796571
lattes de bois,4,non,,796571
lattes de bois pour couvrir,1,non,,796571
lattes de chêne,1,non,,796571
lattes de hêtre,6,non,,796571
lattes de hêtre façonnées,3,non,,796571
lattes de hêtre non sciées,5,non,,796571
lattes de sapin,7,non,,796571
lattes dites du nord,6,non,,796571
lattes dites Solververen,60,non,,796571
lattes doubles,2,non,,796571
lattes et perches,1,non,,796571
lattes pour couvreurs de paille et plâtreurs,66,non,,796571
lattes pour couvreurs de tuile,84,non,,796571
lattes pour cuve,1,non,,796571
lattes pour cuve de brassage,1,non,,796571
lattes sciées,100,non,,796571
lattes sciées en planches,6,non,,796571
laudanum,2,non,,796571
laurier,6,non,,796571
lauroi de fléaux de fer,1,non,,796571
lauze,7,non,,796571
lavande,1,non,,796571
lavande et hysope,2,non,,796571
lave-place,12,non,,796571
lèchefrite,3,non,,796571
lèchefrite de fer,4,non,,796571
legatine sur coton,1,non,,796571
legatine sur laine,1,non,,796571
légumes,2486,non,,796571
légumes confits et secs,2,non,,796571
légumes en adobe,108,non,,796571
légumes marinés,1,non,,796571
légumes pois,33,non,,796571
légumes salés ou confits,7,non,,796571
légumes secs,59,non,,796571
légumes secs et racine d'igname,2,oui,,796571
légumes secs et racines d'igname,2,non,,796571
légumes verts,7,non,,796571
légumes verts et secs,25,non,,796571
lelarge,0,non,,796571
lemeneas,1,oui,,796571
lentilles,173,non,,796571
leole,1,non,,796571
lerfage de laine,1,non,,796571
lessive grasse,3,non,,796571
lest,9925,non,,796571
lest de cuir,8,oui,,796571
lest en fer,0,oui,,796571
lest pour la pêche à la morue,0,non,,796571
lest pour la pêche aux moule,3,oui,,796571
lest pour la pêche aux moules,3,non,,796571
lettres de changes imprimées,1,non,,796571
letz en planches,1,oui,,796571
leviers,3,non,,796571
leviers ferrés,2,non,,796571
levure de bière,6,non,,796571
Li ???,1,non,,796571
liagne,1,non,,796571
liatte,12,non,,796571
liatte départ,1,non,,796571
libans,3,non,,796571
libar,1,non,,796571
librairie,2170,non,,796571
librairie brochée,13,non,,796571
librairie commune,2,non,,796571
librairie en blanc,3,non,,796571
librairie en brochures,0,non,,796571
librairie reliée,13,non,,796571
lic,1,non,,796571
licanias,3,non,,796571
lichens,2,non,,796571
lichens autres que pour la teinture,3,non,,796571
lichens médicinaux,42,non,,796571
lichens tinctoriaux,6,non,,796571
licols,3,non,,796571
licols de cuirs,1,non,,796571
licols en sangles,1,non,,796571
licols et sangles,2,non,,796571
licopodes,1,non,,796571
lie d'huile,3,non,,796571
lie de bière,2,non,,796571
lie de vin,124,non,,796571
liège,905,non,,796571
liège commun,1,non,,796571
liège d'Espagne et du Portugal,30,non,,796571
liège en bois,94,non,,796571
liège en bouchons,1339,non,,796571
liège en bouchons et en planches,18,non,,796571
liège en catalant,1,non,,796571
liège en feuilles,27,non,,796571
liège en manches,10,non,,796571
liège en planches,341,non,,796571
liège en table,1,non,,796571
liège et provisions,17,non,,796571
liège fin,6,non,,796571
liège grossier,1,non,,796571
liens de chanvre,5,non,,796571
liens de fer,2,non,,796571
liens de fil,28,non,,796571
liens et fil,1,non,,796571
lier,1,non,,796571
liettus,1,non,,796571
lièvres,11,non,,796571
ligature,33,non,,796571
ligature de fil et soie,4,non,,796571
ligature de poil,0,non,,796571
ligature de soie,2,non,,796571
ligature ou droguet de fil et laine,3,non,,796571
lignes,6,non,,796571
lignes à pêcher,125,non,,796571
lignes à pêcher pour l'entrepôt,1,non,,796571
lignes d'acier,1,non,,796571
lignes d'Allemagne,1,non,,796571
lignum,1,non,,796571
lillas,11,non,,796571
limaces et sangsues et vipères,2,non,,796571
limaille,4,non,,796571
limaille d'argent,2,non,,796571
limaille de cuivre,9,non,,796571
limaille de cuivre et vieux cuivre brisé,1,non,,796571
limaille de fer,2,non,,796571
limaille de laiton,2,non,,796571
limaille et paille de fer,1,non,,796571
limaille mâche-fer et paille,2,non,,796571
limancais,15,non,,796571
limburis,1,non,,796571
limea,3,non,,796571
limeneas,304,non,haut de gamme,11978
limeneas bleues,1,non,,796571
limeneas des Indes,2,non,,796571
limeneas larges,1,non,,796571
limes,239,non,,796571
limes d'acier,95,non,,796571
limes d'acier et de fer,2,non,,796571
limes d'acier et fer,4,non,,796571
limes d'Autriche,1,non,,796571
limes de fer,79,non,,796571
limes de fer pour l'entrepôt de la Compagnie des Indes,1,non,,796571
limes en feuilles,1,non,,796571
limes et râpes à polir dites fines,1,non,,796571
limes et râpes communes,6,non,,796571
limes et râpes empaillées,1,non,,796571
limes et râpes fines,7,non,,796571
limes grosses,1,non,,796571
limes petites,1,non,,796571
limon,63,non,,796571
limon frais,7,non,,796571
limon ou citron,5,oui,,796571
limon salé,47,non,,796571
limon salés,47,oui,,796571
lin,1495,non,,796571
lin ???,2,non,,796571
lin à filer,1,non,,796571
lin apprêté,13,non,,796571
lin brut,1,non,,796571
lin commun,9,non,,796571
lin cru,624,non,,796571
lin de Hollande,1,non,,796571
lin divers,16,non,,796571
lin du Béarn,5,non,,796571
lin écru,17,non,,796571
lin en bottes,4,non,,796571
lin en car,1,non,,796571
lin en grosse pliure,1,non,,796571
lin en pierre,14,non,,796571
lin en tiges roulées sèches et vertes,3,non,,796571
lin et pierres,1,non,,796571
lin et son étoupes,1,non,,796571
lin non apprêté,4,non,,796571
lin non battu et vert,56,non,,796571
lin peigné,635,non,,796571
lin peigné commun,1,non,,796571
lin peigné en laine,1,non,,796571
lin préparé,2,non,,796571
lin prêt à filer,2,non,,796571
lin sans paille et en potasse,1,non,,796571
lin sec non roui,23,non,,796571
lin taillé et étoupes,8,non,,796571
lin vert roui et non roui,71,non,,796571
lina,1,non,,796571
linceuls,5,non,,796571
linceuls vieux,4,non,,796571
linge,25,non,,796571
linge ???,1,non,,796571
linge à pansements,1,non,,796571
linge à pansements vieux,5,non,,796571
linge à papier vieux,3,non,,796571
linge à serviettes,1,non,,796571
linge à tapisserie,1,non,,796571
linge commun à visage d'homme,1,non,,796571
linge damassé,2,non,,796571
linge damassé ouvragé et uni,2,non,,796571
linge de chanvre et de lin damassé en pièce et de table,1,non,,796571
linge de chanvre et de lin damassé en pièce et de table admis au droit de 5 p. c/o de la valeur par autorisation,1,non,,796571
linge de chanvre et de lin ouvragé en pièce et de table,2,non,,796571
linge de lin,1,non,,796571
linge de lin fin,1,non,,796571
linge de table,516,non,,796571
linge de table à nappes,5,non,,796571
linge de table à serviettes,14,non,,796571
linge de table canapés,4,non,,796571
