exportsimports,pays_grouping,direction,marchandises_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Imports,Espagne,,vin d'Espagne,pipe,pipe,litres,411.327,
Exports,Colonies françaises,Nantes,vin de Barcelone,pipe,pipe,litres,411.327,
Imports,Allemagne et Pologne (par terre),Châlons,vin de Hongrie,pipe,pipe,litres,411.327,
Imports,Portugal,,vin de Madère,pipe,pipe,litres,411.327,
Imports,Espagne,Bayonne,vin de Malaga,pipe,pipe,litres,411.327,
Imports,Portugal,,vin de Portugal,pipe,pipe,litres,411.327,
Imports,Espagne,Rennes,vin de Xérès,pipe,pipe,litres,411.327,
Imports,Flandre et autres états de l'Empereur,,vin de liqueurs,pipe,pipe,litres,411.327,
Imports,Angleterre,Rennes,vin des Canaries,pipe,pipe,litres,411.327,
Exports,Nord,Nantes,vin hors,pipe,pipe,litres,411.327,
Exports,Afrique,Rouen,vin ordinaire,pipe,pipe,litres,411.327,
Exports,Suisse,,vinaigre,pipe,pipe,litres,411.327,
Imports,Italie,Marseille,fèves,pot,,,,
Exports,Colonies françaises,Marseille,anchois,pots,,,,
Exports,Colonies françaises,La Rochelle,anisette,pots,,,,
Exports,Colonies françaises,Rouen,anisette de Bordeaux,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Colonies françaises,La Rochelle,assiette,pots,,,,
Imports,Angleterre,La Rochelle,beurre,pots,,,,
Exports,Nord,Rouen,bière,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Hollande,Marseille,bière de Hollande,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Imports,Hollande,Rouen,bière de Lubek,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Hollande,Rouen,bière de Lubek pour médecine,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Colonies françaises,Nantes,cervelas,pots,,,,
Exports,Angleterre,Rouen,cidre,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Angleterre,Lille,clarifiant,pots,,,,
Exports,Flandre et autres états de l'Empereur,Bourgogne,confection d'hyacinthe,pots,,,,
Exports,Colonies françaises,Nantes,confitures,pots,,,,
Imports,Italie,Marseille,conserve de rose,pots,,,,
Exports,Indes,La Rochelle,cornichons,pots,,,,
Exports,Indes,La Rochelle,cornichons confits,pots,,,,
Imports,Flandre et autres états de l'Empereur,Lille,coutellerie commune,pots,,,,
Imports,Hollande,La Rochelle,creusets,pots,,,,
Exports,Colonies françaises,Dunkerque,cruches de grès,pots,,,,
Exports,Colonies françaises,Bayonne,cuisses d'oie,pots,,,,
Exports,Nord,Nantes,câpres,pots,,,,
Imports,Angleterre,Rouen,eau d'arc,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Italie,Marseille,eau de cèdre,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Imports,Italie,Rouen,eau de cédrat,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Flandre et autres états de l'Empereur,,eau de genièvre,pots,pots,litres,1.8626,"Doursther page 451 : 1 pot de liquide de Paris = 1,8626 L"
Exports,Indes,Bordeaux,eau de senteur,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Hollande,Bordeaux,eau de senteur de la reine de Hongrie,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Afrique,,eau ocgeniente,pots,pots,litres,1.8626,"Doursther page 451 : 1 pot de liquide de Paris = 1,8626 L"
Exports,Colonies françaises,Rouen,eau royale,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Angleterre,Caen,eau-de-vie,pots,,,,
Imports,Espagne,Lille,eau-de-vie d'Espagne,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Imports,Espagne,Nantes,eau-de-vie d'Hendaye,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Imports,Hollande,Rouen,eau-de-vie de Dantzig,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Colonies françaises,Rouen,eau-de-vie de cidre,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Hollande,Rennes,eau-de-vie de genièvre,pots,,,,
Exports,Colonies françaises,Rouen,encre à écrire,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Angleterre,Rouen,esprit-de-vin,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Flandre et autres états de l'Empereur,Lille,farine en déchet,pots,,,,
Exports,Afrique,Nantes,faïence,pots,,,,
Exports,Colonies françaises,La Rochelle,fenouil,pots,,,,
Exports,Colonies françaises,Bordeaux,frais à l'eau-de-vie,pots,,,,
Exports,Colonies françaises,Rouen,fruits confits,pots,,,,
Exports,Espagne,,fruits confits à l'eau de vie,pots,,,,
Exports,Colonies françaises,Nantes,fruits confits à l'eau-de-vie,pots,,,,
Exports,Colonies françaises,La Rochelle,fruits secs,pots,,,,
Exports,Afrique,Rennes,fèves,pots,,,,
Exports,Angleterre,Rennes,guildive,pots,,,,
Exports,Flandre et autres états de l'Empereur,Flandre,huile d'olive,pots,,,,
Imports,Hollande,Rennes,huile de baleine,pots,,,,
Exports,Flandre et autres états de l'Empereur,Lille,huile de graine,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Imports,Hollande,Rennes,huile de lin,pots,,,,
Imports,Hollande,Rennes,huile de navette,pots,,,,
Imports,Angleterre,Caen,huile de poisson,pots,,,,
Imports,Angleterre,Rouen,huile de rabette,pots,,,,
Exports,Colonies françaises,Bordeaux,huile vierge,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Afrique,Bordeaux,jus de citron,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Angleterre,Bordeaux,liqueurs,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Colonies françaises,Bordeaux,liqueurs de ville,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Colonies françaises,Nantes,liqueurs à boire,pots,,,,
Imports,France,Rouen,marbre brut,pots,,,,
Exports,Nord,Rouen,moutarde,pots,,,,
Exports,Flandre et autres états de l'Empereur,Lille,mélasse,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Exports,Colonies françaises,Bordeaux,olives,pots,,,,
Exports,Flandre et autres états de l'Empereur,Saint-Quentin,opiats,pots,,,,
Imports,Hollande,Nantes,ouvrages d'étain,pots,,,,
Exports,Hollande,Nantes,poisson de mersalé sardine,pots,,,,
Exports,Nord,Nantes,pommade,pots,,,,
Imports,Hollande,La Rochelle,poterie de grès,pots,,,,
Exports,Colonies françaises,,poterie de terre,pots,,,,
Exports,Flandre et autres états de l'Empereur,Lille,quincaillerie de fer,pots,,,,
Exports,Nord,Nantes,raisin,pots,,,,
Exports,Colonies françaises,Bordeaux,ratafia,pots,,,,
Imports,Italie,Rouen,rossoly,pots,,,,
Exports,Colonies françaises,Nantes,sardines à l'huile,pots,,,,
Imports,Flandre et autres états de l'Empereur,Lille,saumon d'Ecosse,pots,,,,
Imports,Angleterre,La Rochelle,saumure,pots,,,,
Imports,Colonies françaises,,taffes,pots,,,,
Exports,Angleterre,,tafia,pots,,,,
Imports,Nord,La Rochelle,tin canarie,pots,,,,
Exports,Colonies françaises,Rouen,vestes brodées,pots,,,,
Imports,Portugal,Nantes,vin,pots,,,,
Imports,Flandre et autres états de l'Empereur,,vin blanc,pots,pots,litres,1.8626,"Doursther page 451 : 1 pot de liquide de Paris = 1,8626 L"
Imports,Espagne,Rouen,vin d'Alicante,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Espagne,Lille,vin d'Espagne,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Exports,Nord,Rouen,vin d'Orléans,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Flandre et autres états de l'Empereur,Lille,vin de Bayonne,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Exports,Espagne,Amiens,vin de Bordeaux,pots,,,,
Exports,Colonies françaises,La Rochelle,vin de Bordeaux de ville,pots,,,,
Exports,Angleterre,Rouen,vin de Bourgogne,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Flandre et autres états de l'Empereur,Lille,vin de Bretagne,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Exports,Nord,Rouen,vin de Champagne,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Levant et Barbarie,Marseille,vin de Chypre,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Imports,Italie,Rouen,vin de Florence,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Espagne,Bayonne,vin de France,pots,,,,
Exports,Colonies françaises,Bordeaux,vin de Frontignan,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Imports,Flandre et autres états de l'Empereur,,vin de Hongrie,pots,pots,litres,1.8626,"Doursther page 451 : 1 pot de liquide de Paris = 1,8626 L"
Exports,Colonies françaises,La Rochelle,vin de Languedoc,pots,,,,
Exports,Suisse,Lyon,vin de Lyonnais,pots,pots,litres,0.9313,"Doursther page 450 : 1 pot de liquide de Lyon = 0,9313 L"
Imports,Angleterre,Caen,vin de Madère,pots,,,,
Imports,Nord,Bordeaux,vin de Malaga,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Imports,Espagne,Nantes,vin de Malaga de Rancio,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Imports,Espagne,Bordeaux,vin de Malvoisie,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Imports,Espagne,La Rochelle,vin de Navarre,pots,,,,
Imports,Angleterre,Rouen,vin de Pacaret,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Portugal,Nantes,vin de Portugal,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Imports,Colonies françaises,Nantes,vin de Provence,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Imports,Espagne,Nantes,vin de Rancio,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Imports,Hollande,La Rochelle,vin de Rhin,pots,,,,
Imports,Espagne,Rouen,vin de Rota,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Imports,Espagne,Bordeaux,vin de Xérès,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Imports,Espagne,Lille,vin de liqueurs,pots,pots,litres,2.0920,"Doursther page 450 : 1 pot de liquide de Lille = 2,0920 L"
Exports,Colonies françaises,La Rochelle,vin de ville,pots,,,,
Exports,Colonies françaises,Bordeaux,vin des Canaries,pots,pots,litres,2.1640,"Doursther page 449 : 1 pot de liquide de Bordeaux = 2,1640 L"
Exports,Nord,Rouen,vin français,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Nord,Nantes,vin hors,pots,pots,litres,2,Doursther page 450 : 1 pot de vin ou eau-de-vie de Nantes = 2 L
Exports,Colonies françaises,La Rochelle,vin muscat,pots,,,,
Exports,Colonies françaises,Rouen,vin muscat ordinaire,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Angleterre,,vin ordinaire,pots,pots,litres,1.8626,"Doursther page 451 : 1 pot de liquide de Paris = 1,8626 L"
Exports,Angleterre,Marseille,vin rouge,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Exports,Italie,Marseille,vin rouge commun,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Imports,Angleterre,Rouen,vin verdé de Florence,pots,pots,litres,1.6464,"Doursther page 451 : 1 pot de liquide de Rouen = 1,6464 L"
Exports,Italie,Marseille,vinaigre,pots,pots,litres,1.9667,"Doursther page 450 : 1 pot de liquide de Marseille = 1,9667 L"
Imports,Nord,La Rochelle,maquereaux,quart de barils,,,,
Exports,Suisse,Marseille,artichauts frais,quart de charge,charges,kg,36.7125025,D'après Doursther (France). Aussi la valeure choisie par Werner
Exports,Italie,La Rochelle,cuirs de bœuf tannés,quartiers,,,,
Exports,Espagne,Bordeaux,fèves,quartiers,,,,
Exports,Hollande,La Rochelle,grain d'Espagne,quartiers,,,,
Imports,Angleterre,Bordeaux,grain froment,quartiers,,,,
Exports,Hollande,La Rochelle,grain méteil,quartiers,,,,
Imports,Angleterre,Rennes,grain orge,quartiers,,,,
Imports,Angleterre,Rennes,grain seigle,quartiers,,,,
Exports,Espagne,Narbonne,noix,quartiers,,,,
Exports,Hollande,Bordeaux,oie,quartiers,,,,
Imports,Hollande,Bordeaux,grain froment,quartiers mesure de blaye,,,,
Imports,France,Montpellier,Inde plate,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,acier,quintal,livres,kg,48.949999,
Imports,France,Lorient,acier brut,quintal,livres,kg,48.949999,
Imports,Italie,Toulon,ails,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,allumettes soufrées,quintal,livres,kg,48.949999,
Imports,France,Montpellier,aloès,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,alquifoux,quintal,livres,kg,48.949999,
Imports,France,Montpellier,alun,quintal,livres,kg,48.949999,
Imports,Nord,Bordeaux,alun de roche,quintal,livres,kg,48.949999,
Imports,Italie,Montpellier,amadou,quintal,livres,kg,48.949999,
Imports,France,Montpellier,amandes,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,amandes cassée,quintal,livres,kg,48.949999,
Imports,Espagne,Montpellier,amandes en coque,quintal,livres,kg,48.949999,
Imports,France,Narbonne,amidon,quintal,livres,kg,48.949999,
Imports,France,Montpellier,amidon en grains,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,ammoniac,quintal,livres,kg,48.949999,
Imports,États-Unis d'Amérique,Bordeaux,ancres de fer,quintal,livres,kg,48.949999,
Exports,Nord,Bordeaux,anis vert,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,antimoine,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,arsenic,quintal,livres,kg,48.949999,
Exports,Hollande,Bordeaux,azur,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,baleine,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,baleine en fanon,quintal,livres,kg,48.949999,
Imports,Nord,Montpellier,barres de fer,quintal,livres,kg,48.949999,
Imports,France,Lorient,barres et verges de fer,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,bas de coton,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,bas de fil,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,baume,quintal,livres,kg,48.949999,
Imports,Flandre et autres états de l'Empereur,Marseille,benjoin,quintal,livres,kg,48.949999,
Exports,Espagne,Auch,beurre,quintal,livres,kg,48.949999,
Exports,Espagne,Bordeaux,biscuit,quintal,livres,kg,48.949999,
Exports,France,Marseille,bière,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bleu de Prusse,quintal,livres,kg,48.949999,
Imports,France,Marseille,bois d'ébène,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,bois de Brésil,quintal,livres,kg,48.949999,
Exports,Levant et Barbarie,Marseille,bois de Campêche,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois de Campêche pour teinture,quintal,livres,kg,48.949999,
Exports,Levant et Barbarie,Marseille,bois de Pernambouc,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois de Pernambouc à teindre,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,bois de Sainte-Marthe,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois de Sainte-Marthe pour teinture,quintal,livres,kg,48.949999,
Imports,Italie,Grenoble,bois de bruyère,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,bois de fustel,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois de fustel pour teinture,quintal,livres,kg,48.949999,
Exports,France,Bordeaux,bois de gaiac,quintal,livres,kg,48.949999,
Imports,France,Bordeaux,bois de réglisse,quintal,livres,kg,48.949999,
Imports,France,Narbonne,bois de santal,quintal,livres,kg,48.949999,
Imports,France,Narbonne,bois de santal ???,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,bois de santal moulu,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,bois de santal mouton,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois de santal pour teinture,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,bois des Indes jaune,quintal,livres,kg,48.949999,
Imports,France,Narbonne,bois des Indes pour teinture,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,bois jaune,quintal,livres,kg,48.949999,
Exports,France,Marseille,bois pour brûler,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bois pour peinture et teinture,quintal,livres,kg,48.949999,
Exports,France,Marseille,bois à travailler,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,bonnets de coton,quintal,livres,kg,48.949999,
Imports,Hollande,Marseille,borax,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,bouchons de liège,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,bougie de cire,quintal,livres,kg,48.949999,
Imports,France,Montpellier,bougie de cire jaunne,quintal,livres,kg,48.949999,
Imports,Italie,Grenoble,bourre de chureaux,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,bourre de fil,quintal,livres,kg,48.949999,
Imports,Italie,Grenoble,bourre à bâtier,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,bourses de bœuf,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,boyaux salés,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,brai,quintal,livres,kg,48.949999,
Imports,France,Toulon,brai ???,quintal,livres,kg,48.949999,
Imports,France,Montpellier,brai ??? brai,quintal,livres,kg,48.949999,
Imports,France,Montpellier,brai ??? goudron,quintal,livres,kg,48.949999,
Imports,France,Narbonne,brai ??? goudron résines,quintal,livres,kg,48.949999,
Imports,Espagne,Narbonne,brai ??? pox noire,quintal,livres,kg,48.949999,
Imports,Nord,Bordeaux,brai de goudron,quintal,livres,kg,48.949999,
Exports,France,Marseille,brai de poix,quintal,livres,kg,48.949999,
Exports,France,Marseille,brai de poix noire,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,brai eau de raze,quintal,livres,kg,48.949999,
Imports,Suisse,Grenoble,brai et poix blanche,quintal,livres,kg,48.949999,
Imports,France,Toulon,brai goudron ???,quintal,livres,kg,48.949999,
Imports,Hollande,Lorient,brai gras,quintal,livres,kg,48.949999,
Exports,Nord,Bordeaux,brai gros et goudron,quintal,livres,kg,48.949999,
Imports,France,Lorient,brai résine,quintal,livres,kg,48.949999,
Imports,France,Lorient,brai sec,quintal,livres,kg,48.949999,
Exports,Hollande,Bordeaux,brai sec et résines,quintal,livres,kg,48.949999,
Imports,Nord,Marseille,brun rouge,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,bœuf salé,quintal,livres,kg,48.949999,
Imports,France,Narbonne,cacao,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,cachou,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,cafetières de cuivre,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,cantharides,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,capots de laine,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,caroubier,quintal,livres,kg,48.949999,
Exports,Espagne,Auch,carpes,quintal,livres,kg,48.949999,
Imports,Italie,Montpellier,carrabe,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,cauris,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,cendre,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,cendre barille,quintal,livres,kg,48.949999,
Imports,Espagne,Toulon,cendre barille de pierre,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,cendre bourde,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cendre de Sicile,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,cendre de grignon,quintal,livres,kg,48.949999,
Imports,France,Lorient,cendre de lessive,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cendre de potasse,quintal,livres,kg,48.949999,
Imports,France,Bordeaux,cendre gravelée,quintal,livres,kg,48.949999,
Imports,Angleterre,Bordeaux,cendre salicor,quintal,livres,kg,48.949999,
Exports,France,Marseille,cendre soudes,quintal,livres,kg,48.949999,
Imports,France,Toulon,cercles de fer,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cercles de fers,quintal,livres,kg,48.949999,
Imports,Italie,Toulon,chair de porc,quintal,livres,kg,48.949999,
Imports,France,Narbonne,chair salée,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,chandelle de suif,quintal,livres,kg,48.949999,
Imports,Nord,Bordeaux,chanvre,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,chanvre brut,quintal,livres,kg,48.949999,
Imports,Italie,Toulon,chanvre cru,quintal,livres,kg,48.949999,
Imports,Italie,Toulon,chanvre en masse,quintal,livres,kg,48.949999,
Exports,France,Marseille,chanvre peigné,quintal,livres,kg,48.949999,
Imports,Espagne,Montpellier,chanvre écru,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,chapeaux de paille,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,charbon de bois,quintal,livres,kg,48.949999,
Exports,Levant et Barbarie,Marseille,charbon de pierre,quintal,livres,kg,48.949999,
Imports,France,Lorient,charbon de terre,quintal,livres,kg,48.949999,
Imports,France,Lorient,chaux,quintal,livres,kg,48.949999,
Imports,Espagne,Narbonne,chaux à bâtir,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,chocolat,quintal,livres,kg,48.949999,
Imports,Italie,Toulon,châtaignes confites,quintal,livres,kg,48.949999,
Exports,Levant et Barbarie,Marseille,châtaignes fraîches,quintal,livres,kg,48.949999,
Imports,Italie,Montpellier,châtaignes sèche,quintal,livres,kg,48.949999,
Imports,États-Unis d'Amérique,Montpellier,cire jaune,quintal,livres,kg,48.949999,
Imports,Flandre et autres états de l'Empereur,Bordeaux,clous de fer,quintal,livres,kg,48.949999,
Imports,Espagne,Narbonne,cochenille,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,colle,quintal,livres,kg,48.949999,
Imports,Hollande,Bordeaux,colle de Flandre,quintal,livres,kg,48.949999,
Imports,France,Montpellier,colle forte,quintal,livres,kg,48.949999,
Imports,France,Montpellier,colle forte de poisson,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,coloquinte,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,confitures,quintal,livres,kg,48.949999,
Exports,Espagne,Auch,congres,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,coque du Levant,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,corail brut,quintal,livres,kg,48.949999,
Imports,France,Marseille,coraline,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,cordage,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cordage d'auf,quintal,livres,kg,48.949999,
Exports,France,Marseille,cordage de chanvre,quintal,livres,kg,48.949999,
Imports,France,Toulon,cordage herbe,quintal,livres,kg,48.949999,
Exports,Angleterre,Amiens,cordage neuf,quintal,livres,kg,48.949999,
Imports,France,Toulon,cordage vieux,quintal,livres,kg,48.949999,
Imports,France,Narbonne,cordes de jonc,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,corne fine,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cornes de bœuf,quintal,livres,kg,48.949999,
Exports,Angleterre,Marseille,coton de laine du Levant,quintal,livres,kg,48.949999,
Exports,Espagne,Auch,coton filé,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,couperose,quintal,livres,kg,48.949999,
Imports,Angleterre,Bordeaux,couperose verte,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,couvertures de laine,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,craie,quintal,livres,kg,48.949999,
Exports,Espagne,Auch,crasse de cire,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,crin,quintal,livres,kg,48.949999,
Imports,Nord,Bordeaux,crin frisé,quintal,livres,kg,48.949999,
Exports,Espagne,Marseille,crise,quintal,livres,kg,48.949999,
Exports,Flandre et autres états de l'Empereur,Marseille,crème de tartre,quintal,livres,kg,48.949999,
Imports,France,Toulon,cuirs de buffle en poil,quintal,livres,kg,48.949999,
Imports,France,Narbonne,cuirs de bœuf,quintal,livres,kg,48.949999,
Exports,Italie,Marseille,cuirs de bœuf en poil,quintal,livres,kg,48.949999,
Exports,Levant et Barbarie,Marseille,cuirs de bœuf tannés,quintal,livres,kg,48.949999,
Exports,France,Marseille,cuirs tannés,quintal,livres,kg,48.949999,
Exports,France,Marseille,cuirs tannés de vache,quintal,livres,kg,48.949999,
Imports,France,Narbonne,cuivre brut,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,cuivre en pain,quintal,livres,kg,48.949999,
Imports,France,Montpellier,cuivre jaune,quintal,livres,kg,48.949999,
Imports,Italie,Marseille,cuivre vieux,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,cumin,quintal,livres,kg,48.949999,
Exports,France,Marseille,câpres communes confits,quintal,livres,kg,48.949999,
Exports,France,Marseille,câpres confits,quintal,livres,kg,48.949999,
Imports,Espagne,Marseille,câpres confits au vinaigre,quintal,livres,kg,48.949999,
Imports,Hollande,Marseille,céruse,quintal,livres,kg,48.949999,
Imports,France,Montpellier,dattes,quintal,livres,kg,48.949999,
Exports,Angleterre,Bordeaux,dattes secs et prunes sèches,quintal,livres,kg,48.949999,
Imports,France,Montpellier,dattes sèches,quintal,livres,kg,48.949999,
Exports,France,Marseille,drogues,quintal,livres,kg,48.949999,
Imports,France,Montpellier,drogues pour peintures et teinture ???,quintal,livres,kg,48.949999,
Imports,Italie,Grenoble,eau de cerise,quintal,livres,kg,48.949999,
Imports,France,Montpellier,eau de feuilles d'orange,quintal,livres,kg,48.949999,
Imports,Levant et Barbarie,Marseille,eau de fleurs d'orange,quintal,livres,kg,48.949999,
Exports,Flandre et autres états de l'Empereur,Marseille,eau de senteur,quintal,livres,kg,48.949999,
Imports,France,Toulon,eau-forte,quintal,livres,kg,48.949999,
