marchandises,marchandises_norm_ortho,mériteplusdetravail
Noix de gales,noix de galle,
Noix de galle,noix de galle,
Noix de Galle,noix de galle,
Noix de galle ; légères,,
Noix de galle ; pesantes,,
Noix de galle ; pesantes ; des entrepôts,,
Noix de galle et galles légères,noix de galle et galle légère,
noix de galles,noix de galle,
Noix de galles,noix de galle,
Noix de Galles,noix de galle,
Noix de marons,noix de marrons,
noix de pipes,noix de pipes,
Noix de pipes,noix de pipes,
Noix de Ravensara,,
noix empoissonné,noix empoisonnées,x
noix épillées,noix épillées,x
Noix et noisettes,noix et noisettes,
Noix et riz,noix et riz,
Noix muscade,noix muscade,
Noix muscades,noix muscade,
Noix pour peinture,noix pour peintures,
noix venimeux,noix venimeuses,
Noix vomique,noix vomiques,
Noix vomique ou vornique,noix vomiques,
noix vomiques,noix vomiques,
Noix vomiques,noix vomiques,
Noix vonaques,noix vomiques,
"Noix, amandes, noisettes, arachis, olives, noyaux",,
"noix, noisettes et avelines",,
"Noix, noisettes, avelines et faînes",,
Noix. - Noisettes et avelines,,
Noixettes,noisettes,
Noizette,noisettes,
Noizettes,noisettes,
Nom flou,???,
Non indiqué,???,
Noronges,noronges,x
Not a product,???,
Notes et langues de morue,nots et langues de morue,x
Nots de morues,nots de morue,x
Nots et langues ; de morue,nots et langues de morue,x
Nots et langues ; de morue ; des Isles,nots et langues de morue des Îles,x
Nots et langues de morue,nots et langues de morue,
Nots et langues de morüe,nots et langues de morue,
Nougat,,
Nousouque,nousouque,x
Noves de morue,,
Noyaux,noyaux,
Noyaux ; de paisches,noyaux de pêches,
Noyaux d'olives,,
Noyaux de pesche,noyaux de pêches,
noyer et cerisier,noyer et cerisier,
Numéraire en assignats,numéraire en assignats,
Numéraire en assignats ; par la Cure,numéraire en assignats par la Cure,
Objets ; divers,objets divers,
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 Livres,objets divers dont la valeur du plus fort n'excède pas 25000 livres,
Objets à la valeur,objets à la valeur,
Objets d'arts,objets d'arts,
Objets d'arts et d'histoire naturelle,objets d'arts et d'histoire naturelle,
"Objets d'arts, histoire naturelle, peinture et grav.",objets d'arts histoire naturelle peintures et gravures,
"Objets d'arts, histoire naturelle, peinture et gravue",objets d'arts histoire naturelle peintures et gravures,
"Objets d'arts, histoire naturelle, peinture et gravure",objets d'arts histoire naturelle peintures et gravures,
"Objets d'arts, histoire naturelle, tableaux et grav.s",objets d'arts histoire naturelle tableaux et gravures,
Objets d'histoire naturelle,,
Objets d'industrie,objets d'industrie,
Objets d'industrie ; divers,objets d'industrie divers,
"Objets de collection ; peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,
"Objets de collection en peinture, sculpture, gravure et histoire naturelle",objets de collection en peintures sculpture gravures et histoire naturelle,
"Objets de collection, hors de commerce",,
"Objets de collection, peinture, sculpture, gravure et histoire naturelle",objets de collection peintures sculpture gravures et histoire naturelle,
Objets de collections,,
Objets de moindre valeur,objets de moindre valeur,
Objets de peu d'importance,objets de moindre valeur,
Objets de peu de valeur,objets de peu d'importance,
Objets divers,objets de peu de valeur,
Objets divers a la Valeur,objets divers à la valeur,
Objets divers de moindre valeur,objets divers de moindre valeur,
Objets divers de moindre Valeur,objets divers de moindre valeur,
Objets divers dont le plus fort article n'excède pas 10000 liv.,objets divers dont les plus forts articles n'excèdent pas 10000 livres,
Objets divers dont le plus fort article n'excede pas 10000 livres,objets divers dont les plus forts articles n'excèdent pas 10000 livres,
Objets manufacturés réunis,objets manufacturés réunis,
Obliques,obliques,
Obusiers ; de fonte,obusiers de fonte,
ocre,ocre,
Ocre,ocre,
Ocre ; jaune,ocre jaune,
Ocre ; rouge,ocre rouge,
ocre brun,ocre brun,
"Ocre brun, jaune ou rouge",,
ocre de toute espèce,ocre de toute espèce,
Ocre en pierre,ocre en pierre,
Ocre en poudre,ocre en poudre,
ocre jaune,ocre jaune,
ocre Jaune,ocre jaune,
Ocre jaune,ocre jaune,
Ocre Jaune,ocre jaune,
Ocre jeanne,ocre jaune,x
ocre noir,ocre noir,
ocre rouge,ocre rouge,
ocre Rouge,ocre rouge,
Ocre rouge,ocre rouge,
Ocre Rouge,ocre rouge,
Ocres,ocre,
Ocres et brun rouge,ocre et brun rouge,
Octante,octante,x
Oculi Cancri,oculi cancri,x
Odautes,odautes,x
Odeure,odeure,x
Œil de beuf,œil de bœuf,
Oeillards,œillards,
Œillet,œillets,
Œillets,œillets,
œuf,œufs,
Œuf,œufs,
Oeufs,œufs,
œufs,œufs,
Œufs,œufs,
Œufs ; de perdrix ; rouge,œufs de perdrix rouge,
Œufs ; de phaisants,œufs de faisans,
Œufs ; de poulles,œufs de poules,
Oeufs (15 ou 16 au kilogramme),,
Œufs de composition,œufs de composition,
Oeufs de volaille et de gibier,,
Oeufs de volailles,,
Œufs et volailles,œufs et volailles,
oeuil de bœuf,œuil de bœuf,
oeuil de bœuf garnis de cuivre,œuil de bœuf garni de cuivre,
Oeüillards ; de brie,œillards de Brie,
Ofevrerie ; argent,orfèvrerie argent,
Ofevrerie ; chandeliers ; d'église,orfèvrerie chandeliers d'église,
Ofévrerie ; d'or ou de vermeil,,
Ognons,oignons,
Ognons de fleurs,ognons de fleurs,
oies,oies,
Oignon,oignons,
Oignon ; de fleur,oignons de fleurs,
Oignon ; de fleurs,oignons de fleurs,
Oignon de fleur,,
Oignon de Fleur,oignons de fleurs,
Oignon de fleurs,,
Oignon de Narcisses,oignons de narcisse,
Oignon ordinaire,oignons ordinaires,
oignons,oignons,
Oignons,oignons,
Oignons ; communs,oignons communs,
Oignons ; de fleur,oignons de fleurs,
Oignons ; de fleurs,oignons de fleurs,
Oignons ; de squille,oignons de squille,x
Oignons ; oignons,oignons oignons,
Oignons ;de fleur,oignons de fleurs,
Oignons a fleur,,
oignons commnuns,oignons communs,
Oignons d'Aubereufes,oignons de tubéreuse,x
Oignons d'Esquilles,oignons d'esquilles,
Oignons d'esquine,,
Oignons d'hyacinthe,,
oignons d'hyacrite,oignons d'hyacinte,x
oignons de barbarie,oignons de Barbarie,
Oignons de Barbarie,,
Oignons de felurs,,
oignons de fleur,oignons de fleurs,
Oignons de fleur,oignons de fleurs,
Oignons de Fleur,oignons de fleurs,
oignons de fleurs,oignons de fleurs,
oignons de Fleurs,oignons de fleurs,
Oignons de fleurs,oignons de fleurs,
Oignons de fleurs jonquilles,oignons de fleurs jonquilles,
Oignons de narcisse,,
Oignons de narcisses,oignons de narcisses,
Oignons de squine,,
Oignons de tubereuse,oignons de tubéreuse,
Oignons de tubereuses,,
Oignons de tuberuse,oignons de tubéreuse,
Oing,oint,x
Oing vieux,oint vieux,x
Oiseaux,oiseaux,
Oiseaux ; petits,oiseaux petits,
Oiseaux de proye,oiseaux de proie,x
oleane ou roucou,oleane ou rocou,x
Oliban,oliban,x
Oliban ou encens,,
Olibans,oliban,
Olive,olive,
"Olive, Capres, Anchois &c.",,
olives,olive,
Olives,olive,
Olives et câpres,olive et câpres,
Olives fraîches et arachis,,
Olives marinées,olive marinée,
Olivettes,olivettes,
Olivier,olivier,
Olivres,olive,
Ollive,olive,
Ollives,olive,
Onerie de dieppe,onerie de Dieppe,x
Onetes de coton,onetes de coton,x
Ongles ; de beuf,ongles de bœuf,
Ongles ; de carres,ongles de caret,x
Ongles d'ecaille de tortue,ongles d'écaille de tortue,
Ongles d'Ecaille de tortue,ongles d'écaille de tortue,
ongles de caret,ongles de caret,
Ongles de caret,ongles de caret,
Ongles de carret,ongles de caret,
Onglons ; de beuf,onglons de bœuf,
Onglons ; de bœuf,onglons de bœuf,
Onglons ; de bœufs,onglons de bœuf,
onglons de beuf,onglons de bœuf,
Onglons de beuf,onglons de bœuf,
onglons de bœuf,onglons de bœuf,
Onglons de bœuf,,
Onguent ; de laurier,onguent de laurier,
Onguents,onguent,
Onions,oignons,
Opiats,opiats,
opium,opium,
Opium,opium,
opopanax,opoponax,x
opoponas,opoponax,x
Opoponas,,
opoponax,opoponax,x
Opoponax,opoponax,x
Opponax,opoponax,x
Oppoponax,opoponax,x
Optiques,optiques,
Or ; battu,or battu,
Or ; battu en feuilles,,
"Or ; brut en masses, lingots, barres, poudre, bijoux cassés",,
"Or ; brut, en masse, lingots et brisé",,
Or ; en baissette,or en baissette,
Or ; en bijouterie,,
Or ; en coquilles,or en coquilles,
Or ; en lingot,or en lingots,
Or ; en lingots,or en lingots,
Or ; en orfévrerie,,
Or ; en poudre,,
Or ; et arg. ; en feuilles,or et argent en feuilles,
Or ; et argent ; battû,or et argent battu,
Or ; et argent ; faux,or et argent faux,
Or ; et argent ; trail,or et argent trait,x
Or ; et argt ; faux,or et argent faux,
Or ; et argt. Faux,or et argent faux,
Or ; faux,or faux,
Or ; faux ; battu,or faux battu,
Or ; filé sur soie,,
Or ; monnayé,,
Or ; tiré ou laminé,,
Or ; trait ; filé,or vrai filé,
or battu,or battu,
Or battu,or battu,
Or battu en feuilles,or battu en feuilles,
Or batu,or battu,
Or en feuilles,or en feuilles,
Or en lames,or en lames,
"Or en lames, par Marseill",or en lames par Marseille,
or en lingots,or en lingots,
Or en lingots,or en lingots,
Or en vaisselle,or en vaisselle,
Or et argent,or et argent,
Or et argent ; balles,or et argent balles,
Or et argent ; battu,or et argent battu,
Or et argent ; en lingot,or et argent en lingots,
Or et argent ; faulx,or et argent faux,
Or et argent ; faux,or et argent faux,
Or et argent ; fin,or et argent fin,
Or et argent battu,or et argent battu,
or et argent en barres et lingots,or et argent en barres et lingots,
Or et argent en feuilles,,
or et argent en fil,or et argent en fil,
Or et argent en lingots,or et argent en lingots,
or et argent en piastres,or et argent en piastres,
Or et argent faux,or et argent faux,
Or et Argent faux,or et argent faux,
or et argent faux battu en livrets de 24 feuilles,or et argent faux battu en livret de 24 feuilles,
"or et argent faux en fil, cantilles, etc.",or et argent faux en fil cantilles etc.,
or et argent faux en fil. cantilles. etc.,,
Or et argent faux traits,or et argent faux traits,
or et argent fin battu en livrets de 24 feuilles,or et argent fin battu en livret de 24 feuilles,
or et argent fin en livrets,or et argent fin en livret,
"or et argent fin, en fil, cantilles, paillettes",or et argent fin en fil cantilles paillettes,
or et argent fin. en fil. cantilles. paillettes,,
Or et argent monnayés,or et argent monnayés,
or et argent monnoyé,or et argent monnayés,
Or et argent monnoyé en piastre,or et argent monnayés en piastres,
Or et argents faux,or et argents faux,
Or et argt ; battu,or et argent battu,
Or et argt ; en lingots,or et argent en lingots,
Or et argt ; faux,or et argent faux,
Or et argt ; fin,or et argent fin,
Or faux,or faux,
Or filé,or filé,
Or fin ; En feuille,or fin en feuilles,
Or fin ; En Lingot,or fin en lingots,
Or fin ; En paillette et paillous,or fin en paillettes et paillous,x
Or fin ; Monnoyé en pièce d'Espagne,or fin monnayé en pièces d'Espagne,
Or fin battu,or fin battu,
Or fin en feuilles,or fin en feuilles,
or massif,or massif,
Or monnoyé,or monnayé,
Or monnoyé ; par Calais,or monnayé par Calais,
Or monnoyé en sequins,or monnayé en sequins,
"Or monnoyé en sequins, par Marseille",or monnayé en sequins par Marseille,
Or monnoyé et en lingots ; venant de Francfort par Strasbourg,or monnayé en lingots venant de Francfort par Strasbourg,
or travaillé,or travaillé,
orange,orange,
Orange,orange,
Orange Aigre,orange aigre,
Orange aigres,orange aigre,
Orange de Malte,orange de Malte,
Orange douce,orange douce,
Orange Douce,orange douce,
Orange Douces,orange douce,
orangelets,orangelets,
Orangelets,orangelets,
orangelets secs,orangelets secs,
Orangelets secs,orangelets secs,
orangers,orangers,
Orangers,orangers,
Orangers a planter,,
orangers petits,orangers petits,
Orangers petits,,
oranges,orange,
Oranges,orange,
Oranges ; aigres,orange aigres,
Oranges ; douces,orange douce,
Oranges ; en caisses,orange en caisses,
Oranges ; séchées ; à faire chapelet,orange séchée à faire chapelets,
Oranges Aigre,orange aigre,
oranges aigres,orange aigre,
Oranges aigres,orange aigre,
Oranges de Portugal,,
oranges douces,orange douce,
Oranges douces,orange douce,
Oranges Douces,orange douce,
oranges et citrons,orange et citrons,
Oranges petits,,
Oranges seches,,
Oranges seiches,,
Orcanette,orcanette,x
Orcanettes,orcanette,x
Orcillons ; à faire colle,orcillons à faire colle,x
Orcre,orcre,
Oregan,origan,x
orego,origan,x
oreilles et oreillons à faire colle,oreilles et oreillons à faire colle,
Oreillons,oreillons,
Oreillons --------,oreillons ???,
Oreillons ; à f. colle,oreillons à faire colle,
Oreillons ; à faire colle,oreillons à faire colle,
Oreillons ; à faire folle,oreillons à faire colle,
Oreillons à f. colle,oreillons à faire colle,
Oreillons à faire colle,oreillons à faire colle,
Oreillons à fre. Colle,oreillons à faire colle,
Oreillons a fre.colle,oreillons à faire colle,
Orfeverie,orfèvrerie,
Orfeverie ; en vaisselle ; d'argent,orfèvrerie en vaisselle d'argent,
orfeverie en argent,orfèvrerie en argent,
orfeverie en argenterie,orfèvrerie en argenterie,
Orfeverie en argenterie,orfèvrerie en argenterie,
Orfeverie en or,orfèvrerie en or,
Orfeverie en vaisselle d'argent,,
Orfeverie et argenterie,orfèvrerie et argenterie,
Orfeveries ; En argent ; Diverses,orfèvrerie en argent diverse,
Orfeveries ; En argent ; Vesselle d'argent,orfèvrerie en argent vaisselle d'argent,
Orfeveries ; En argents ; Divers,orfèvrerie en argent diverse,
Orfeveries ; En argents ; Vesselles d'argents,orfèvrerie en argent vaisselle d'argent,
Orfeveries ; En or,orfèvrerie en or,
Orfeveries ; En or et argent,orfèvrerie en or et argent,
Orfevrerie,orfèvrerie,
Orfévrerie,orfèvrerie,
Orfèvrerie,orfèvrerie,
Orfevrerie ; boucles ; d'argent,orfèvrerie boucles d'argent,
Orfévrerie ; d'argent,,
Orfèvrerie ; d'argent,,
Orfèvrerie ; d'or ou de vermeil,,
Orfèvrerie ; de platine,,
Orfevrerie ; Diverse,orfèvrerie diverse,
Orfèvrerie ; en argent,orfèvrerie en argent,
Orfevrerie ; en boucles ; d'argent,orfèvrerie en boucles d'argent,
Orfevrerie ; En or,orfèvrerie en or,
Orfevrerie ; En or et argent,orfèvrerie en or et argent,
Orfevrerie ; en vaisselle,orfèvrerie en vaisselle,
Orfèvrerie ; en vaisselle,orfèvrerie en vaisselle,
Orfevrerie ; Vaisselle d'agent,orfèvrerie vaisselle d'argent,
Orfevrerie ; Vaisselle d'argent,orfèvrerie vaisselle d'argent,
Orfèvrerie (déjeuné de vermeil),orfèvrerie déjeuner de vermeil,
Orfèvrerie bijouterie ; bijouterie,orfèvrerie bijouterie bijouterie,
Orfèvrerie bijouterie ; vaisselle d'argent,orfèvrerie bijouterie vaisselle d'argent,
Orfèvrerie d'argent,orfèvrerie d'argent,
Orfevrerie diverse,orfèvrerie diverse,
Orfevrerie en argent,orfèvrerie en argent,
Orfèvrerie en argenterie,orfèvrerie en argenterie,
Orfèvrerie en cafetière,orfèvrerie en cafetière,
Orfevrerie en vaisselle d'argent,orfevrerie en vaisselle d'argent,
Orfèvrerie en vaisselle d'argent,orfèvrerie en vaisselle d'argent,
Orfèvrerie en vases d'église,orfèvrerie en vase d'église,
Orfèvrerie et bijouterie,orfèvrerie et bijouterie,
Orfèvrerie vaisselle d'argent,orfèvrerie vaisselle d'argent,
Organdis,organdis,x
Organeaux,organeaux,x
Organette,,
orge,orge,
Orge,orge,
Orge ; ...,orge ???,
Orge ; en grain,orge en grains,
Orge ; en graines,orge en graine,
Orge ; en grains,orge en grains,
Orge ; germé,orge germé,
Orge ; germée,orge germé,
Orge ; mondé,orge mondé,
Orge ; mondée,orge mondé,
Orge ; montée,orge mondé,x
Orge ; moudé,orge mondé,x
Orge ; perlée,orge perlé,
Orge : mondée,orge mondé,
orge commun en jarbes,orge commun en gerbes,
orge en grain,orge en grains,
Orge en grain,orge en grains,
Orge germé,orge germé,
Orge monde,orge mondé,
orge mondé,orge mondé,
Orge mondé,orge mondé,
orge mondé et perlé,orge mondé et perlé,
Orge mondé et perlé,orge mondé et perlé,
orge mondée,orge mondé,
orge Mondée,orge mondé,
Orge mondée,orge mondé,
Orge moude,orge mondé,x
Orge Moudé,orge mondé,x
Orge moudeé,orge mondé,x
orge moudée,orge mondé,x
Orge moudée,orge mondé,x
Orge Moudée,orge mondé,x
orge moulu,orge moulu,
Orge ordinaire,orge ordinaire,
orge ou soucrion,orge ou soucrion,
orge ou soucrion en jarbes,orge ou soucrillon en gerbes,
Orge paillarge,orge paillarge,x
Orge perlé et mondé,orge perlé et mondé,
orge soucrion,orge soucrillon,
orge;mondé,orge mondé,
Orges,orges,
orges en grain,orge en grains,
orges jaune,orge jaune,
Orges perlés,orge perlé,
Orgne d'Allemagne,orgne d'Allemagne,x
orgues,orgues,
Orgues de Bois,,
orgues de savoyard,orgues de savoyard,
"orgues, clavescins, epinettes",orgues clavecin épinettes,
orgues. clavescins. epinettes,,
Orgueur de Bois,orgueur de bois,x
Origanum,origan,x
Origine Inconnue,???,x
orloge à Sable,horloge à sable,
Orloge de table,horloge de tables,
ormeaux a planter,ormeaux à planter,
Ornemens ; d'eglise,ornements d'église,
ornemens d'eglise,ornements d'église,
Ornemens d'eglise,ornements d'église,
Ornemens d'Eglise,ornements d'église,
Ornement ; d'église,ornements d'église,
Ornement d'eglise,ornements d'église,
Ornements ; d'Eglise,ornements d'église,
Ornements ; d'église,ornements d'église,
Ornements ; d'église et habits de livrée,ornements d'église et habits de livrée,
Ornements ; d'églises,ornements d'église,
Ornements d'eglise,ornements d'église,
Ornements d'église,ornements d'église,
Ornements de table,ornements de tables,
Orobes,orobes,x
Orpheverie,,
Orpheverie ; vaisselle ; d'argent,orfèvrerie vaisselle d'argent,
Orpheverie en argent,,
Orpheverie en or,,
Orpheverie en or et argent,,
Orphevrerie,orfèvrerie,
Orphevrerie ; d'or et d'argent,orfèvrerie d'or et d'argent,
Orphevrerie ; en or et argent,orfèvrerie en or et argent,
Orphevrerie ; fil ; d'or,orfèvrerie fil d'or,
Orphevrerie ; vaisselle,orfèvrerie vaisselle,
Orphevrerie ; vaisselle ; d'argent,orfèvrerie vaisselle d'argent,
Orphevrerie diverse,,
Orphevrerie en argent,,
Orphevrerie vaisselle d'argent,orfèvrerie vaisselle d'argent,
orpimen,orpiment,
Orpimen,orpiment,
Orpimens,orpiment,
orpiment,orpiment,
Orpiment,orpiment,
Orpiment ; broyé,orpiment broyé,
Orpiment broyé,orpiment broyé,
Orpimente,orpiment,
Orpiments,orpiment,
orpin,orpin,x
Orpin,orpin,x
Orpin Broyé,orpin broyé,x
Orpinem,orpiment,x
Orpinente,orpiment,x
orpint,orpin,x
Orpis ; rouge,orpis rouge,x
Orranges aigres,orange aigre,
orseille,orseille,
Orseille,orseille,
Orseille ; aprêté,orseille apprêtée,
Orseille ; aprêtée,orseille apprêtée,
Orseille ; bleu cendré (tournesol en pâte),,
Orseille ; bleu cendré ou tournseol en pâte,,
Orseille ; en drapeau,orseille en drapeaux,
Orseille ; en herbe,orseille en herbes,
Orseille ; violette ou cudbéar,,
orseille ; violette ou cudbéard,,
Orseille appretée,orseille apprêtée,
Orseille apresté,orseille apprêtée,
orseille aprestée,orseille apprêtée,
Orseille aprêtée,orseille apprêtée,
Orseille en herbe,,
orseille seche,orseille sèche,
Ortites ; de menuisier,ortites de menuisier,x
Orvietan,orviétan,
Os ; de beuf,os de bœuf,
Os ; de beuf et vache,os de bœuf et vache,
Os ; de bœuf,os de bœuf,
Os ; de cœur ; de beuf,os de cœur de bœuf,
Os ; de mouton,os de mouton,
Os ; de seche,os de seiche,
Os de beuf,os de bœuf,
Os de bœuf,os de bœuf,
os de bœufs,os de bœuf,
os de seche,os de seiche,
Os de seche,os de seiche,
os de seché,os de seiche,
Os de sèche (serpia officinalis),os de seiche serpia officinalis,
Os de seches,,
Os de seiche,,
Os deseché,,
Os desséchés,os desséchés,
Os et sabots de bétail,,
Oseille,oseille,
Oseille ; aprestée,oseille apprêtée,
Osier,osier,
Osier ; pelé ou fendu,,
Osier ; Torches,osier torches,
Osier en bottes ; brut,,
Osier en bottes ; pelé ou fendu,,
Osier Torches,osier torches,
Osserie ; de Diepe,osserie de Dieppe,x
Osserie ; de Dieppe,osserie de Dieppe,x
Osserie de dieppe,osserie de Dieppe,x
Osserie de Dieppe,osserie de Dieppe,x
Osseries ; de Dieppe,osserie de Dieppe,
Osseries de Dieppe,osserie de Dieppe,
Ostancilles ; de marine,ostancilles de marine,x
Ostancilles ; de pecheurs,ostancilles de pêcheur,x
Ostancilles d'imprimerie,ostancilles d'imprimerie,x
Ostaneilles ; de marine,ostancilles de marine,x
Ostaneilles ; de pecheurs,ostancilles de pêcheur,x
Ouate,ouate,
oüate,,
Oüate,ouate,
Ouate de cotton,ouate de coton,
Oüate de cotton,oüate de coton,
Oüate de soye,ouate de soie,
Ouates,,
oüates,,
Oüates,,
ouatte,ouate,
Ouatte,ouate,
Oüatte,ouate,
Ouatte de soye,ouate de soie,
Ouattes,ouate,
oudres vuides,outres vides,
Ouetes de coton,,
Ouette,ouate,
Oüette de cotton,ouate de coton,
Ouettes,ouate,x
Ouseaux,ouseaux,x
outil de menuziers,outils de menuisiers,
outils,outils,
Outils,outils,
Outils ; à batre l'or,outils à battre l'or,
Outils ; a soutirer ; le vin,outils à soutirer le vin,
Outils ; à soutirer le vin,outils à soutirer le vin,
Outils ; d'horloger,outils d'horloger,
Outils ; d'orloger,outils d'horloger,
Outils ; de charpentiers,outils de charpentier,
Outils ; de cuivre ou de laiton,,
Outils ; de cuivre ou laiton,,
Outils ; de fer rechargé d'acier,,
Outils ; de lapidaire,outils de lapidaire,
Outils ; de menuisier,outils de menuisier,
Outils ; de menuisiers,outils de menuisier,
Outils ; de mesuiserie,outils de menuiserie,
Outils ; de pur acier,,
Outils ; de pur fer,,
Outils ; divers,outils divers,
Outils ; menuisier,outils menuisier,
outils à faire cartes et moules,outils à faire cartes et moules,
Outils à sucre,outils à sucre,
Outils d'horlogerie,outils d'horlogerie,
outils d'imprimerie,outils d'imprimerie,
Outils d'orfevre,outils d'orfèvre,
Outils d'ouvriers,outils d'ouvriers,
outils de charpamtier,outils de charpentier,
outils de charpentier,outils de charpentier,
Outils de charpentier,outils de charpentier,
outils de fer,outils de fer,
Outils de fer,outils de fer,
Outils de fer de forgeron,outils de fer de forgeron,
Outils de fer et acier,outils de fer et acier,
Outils de fer et assier,outils de fer et acier,
outils de frecatage,outils de frecatage,x
Outils de labourage,outils de labourage,
outils de menuisier,outils de menuisier,
Outils de menuisier,outils de menuisier,
Outils divers,outils divers,
Outils en fer,outils en fer,
outils et atirails pour laboureurs,outils et attirails pour laboureurs,
outils et ustencilles pour moulin à papier,outils et ustensiles pour moulins à papier,
outils et ustencils pour différens metiers,outils et ustensiles pour différents métiers,
outils pour charpentier,outils pour charpentier,
outils pour ferblanctier,outils pour ferblantier,
outils pour marchans de vin,outils pour marchands de vin,
outils pour miroitier,outils pour miroitier,
outils pour orphèvres,outils pour orfèvres,
outils pour tisserands,outils pour tisserand,
Ouverage de cuivre argenté,ouvrages de cuivre argenté,
Ouvrage ; d'auffe,ouvrages d'auf,
Ouvrage ; d'horlogerie,ouvrages d'horlogerie,
Ouvrage ; d'ivoire,ouvrages d'ivoire,
Ouvrage ; d'yvoire,ouvrages d'ivoire,
Ouvrage ; de bois,ouvrages de bois,
Ouvrage ; de bois ; verni,ouvrages de bois verni,
Ouvrage ; de bois en aviron,ouvrages de bois en aviron,
Ouvrage ; de buis,ouvrages de buis,
Ouvrage ; de charronnage,ouvrages de charronnage,
Ouvrage ; de cordonnier,ouvrages de cordonnier,
Ouvrage ; de cuir ; ??? en soye pour femmes,ouvrages de cuir ???? en soie pour femme,
Ouvrage ; de cuir ; bottes,ouvrages de cuir bottes,
Ouvrage ; de cuir ; harnais de chevaux,ouvrages de cuir harnais de chevaux,
Ouvrage ; de cuir ; sellerie,ouvrages de cuir sellerie,
Ouvrage ; de cuir ; souliers d'homme,ouvrages de cuir souliers d'homme,
Ouvrage ; de cuivre ; argenté,ouvrages de cuivre argenté,
Ouvrage ; de cuivre ; doré et argenté,ouvrages de cuivre doré et argenté,
Ouvrage ; de cuivre doré et argenté,ouvrages de cuivre doré et argenté,
Ouvrage ; de fayance,ouvrages de faïence,
Ouvrage ; de fayence,ouvrages de faïence,
ouvrage ; de fleuret,ouvrages de fleuret,
Ouvrage ; de fleuret,ouvrages de fleuret,
Ouvrage ; de laine,ouvrages de laine,
Ouvrage ; de marbre,ouvrages de marbre,
Ouvrage ; de menuisier,ouvrages de menuisier,
Ouvrage ; de mode,ouvrages de modes,
Ouvrage ; de palme,ouvrages de palmes,
Ouvrage ; de soye,ouvrages de soie,
Ouvrage ; de sparterie,ouvrages de sparterie,
Ouvrage ; de terre,ouvrages de terre,
Ouvrage ; de terre cuite,ouvrages de terre cuite,
Ouvrage ; de terre cuite en thuiles,,
Ouvrage ; de tonnelier en futaille,,
Ouvrage ; de tonnellier ; en feuilles,ouvrages de tonnelier en feuilles,
Ouvrage ; de verre,ouvrages de verre,
Ouvrage ; de verre ; en rasade,ouvrages de verre en rasade,
Ouvrage ; détain,ouvrages d'étain,
Ouvrage ; divers,ouvrages divers,
Ouvrage argent et soye,ouvrages argent et soie,
Ouvrage carreaux de marbre,ouvrages carreaux de marbre,
Ouvrage d'horlogerie,,
Ouvrage d'or,ouvrages d'or,
Ouvrage d'or faux,,
"Ouvrage d'or, argent et Soye",,
Ouvrage d'orpheverrie,,
Ouvrage d'ozier en panier,ouvrages d'osier en paniers,
Ouvrage de bois,ouvrages de bois,
Ouvrage de Bois,ouvrages de bois,
Ouvrage de bois doré,ouvrages de bois doré,
Ouvrage de bois peint,ouvrages de bois peint,
ouvrage de bronse,ouvrages de bronze,
Ouvrage de cordonniers en souliers pour hommes,ouvrages de cordonnier en souliers pour homme,
Ouvrage de cuir,ouvrages de cuir,
Ouvrage de cuir en soulier,,
Ouvrage de Cuivre,,
Ouvrage de cuivre doré et argenté,ouvrages de cuivre doré et argenté,
Ouvrage de fil,ouvrages de fil,
Ouvrage de fil en filozelle,ouvrages de fil en filoselle,
Ouvrage de fil en galon,ouvrages de fil en galon,
Ouvrage de filoselle en rubans,ouvrages de filoselle en ruban,
Ouvrage de filozelle,,
Ouvrage de fleures,ouvrages de fleures,x
Ouvrage de fleuret,ouvrages de fleuret,
Ouvrage de marbre,ouvrages de marbre,
Ouvrage de mécanique,ouvrages de mécanique,
Ouvrage de mode,ouvrages de modes,
Ouvrage de modes,ouvrages de modes,
Ouvrage de passementerie en argent de soye,,
Ouvrage de peaux,,
Ouvrage de peaux en gants,ouvrages de peau en gants,
Ouvrage de phisique,,
Ouvrage de platre,ouvrages de plâtre,
Ouvrage de sellier,ouvrages de sellier,
Ouvrage de sellier harnois,ouvrages de sellier harnais,
ouvrage de soye,ouvrages de soie,
Ouvrage de soye,ouvrages de soie,
Ouvrage de Soye,ouvrages de soie,
Ouvrage de soye divers,ouvrages de soie divers,
Ouvrage de soye en galons,ouvrages de soie en galon,
Ouvrage de Soye et argent,ouvrages de soie et argent,
Ouvrage de soye or et argent,ouvrages de soie or et argent,
"Ouvrage de soye, or et argent",ouvrages de soie or et argent,
Ouvrage de terre cuite pipe,ouvrages de terre cuite pipes,
Ouvrage de tonnelier en futaille,,
Ouvrage de tourneur,,
Ouvrage divers,ouvrages divers,
Ouvrage divers en terre cuite,ouvrages divers en terre cuite,
Ouvrage en cuir,ouvrages en cuir,
Ouvrage en dorure et argenture,,
Ouvrage en fleur artificielles,ouvrages en fleurs artificielles,
Ouvrage en panne à couvrir,ouvrages en panne à couvrir,
Ouvrage en pierres ; Autres,,
Ouvrage en pierres ; chiques,,
