numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportimport,direction,sheet,marchandises,pays,value,quantit,quantity_unit,,Remarques
5264,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bois merrain ; a bariques doüelles,Isles Françoises de l'Amerique,0,"10 200,00",En nombre,"0,1400000",
5265,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bois merrain ; a busses doüelles,Isles Françoises de l'Amerique,0,"7 600,00",En nombre,"0,2000000",
5266,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bombres de cuivre a thé,Isles Françoises de l'Amerique,0,"40,00",Livres,"1,9000000",
5267,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bottes fortes,Isles Françoises de l'Amerique,0,"18,00",paires,"15,0000000",
5268,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bottines,Isles Françoises de l'Amerique,0,"59,00",Paires,"12,0000000",
5269,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bouchons de liege,Isles Françoises de l'Amerique,0,"27 000,00",En nombre,"0,0050000",
5270,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bougie blanche,Isles Françoises de l'Amerique,0,"9 621,00",Livres,"2,2500000",
5271,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bougie jaune,Isles Françoises de l'Amerique,0,"380,00",Livres,"35,0000000",
5272,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bourre,Isles Françoises de l'Amerique,0,"50,00",Livres,"0,4000000",
5273,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bouteilles de verre,Isles Françoises de l'Amerique,0,"2 920,00",En nombre,"0,2000000",
5274,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Boutons d'or,Isles Françoises de l'Amerique,0,"28,50",Livres,"120,0000000",
5275,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Boutons d'or et d'argent,Isles Françoises de l'Amerique,0,"3,00",Livres,"80,0000000",
5276,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Brancards,Isles Françoises de l'Amerique,0,"6,00",En nombre,"50,0000000",
5277,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Braule,Isles Françoises de l'Amerique,0,"133,00",Pièces,"22,0000000",
5278,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Bray gras ,Isles Françoises de l'Amerique,0,"51,00",Barils,"25,0000000",
5279,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Brule-caffé de fer,Isles Françoises de l'Amerique,0,"12,00",En nombre,"3,0000000",
5280,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Briques,Isles Françoises de l'Amerique,0,"30 000,00",En nombre,"0,0140000",
5281,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Brouettes,Isles Françoises de l'Amerique,0,"198,00",En nombre,"4,0000000",
5282,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Buffets,Isles Françoises de l'Amerique,0,"2,00",En nombre,"60,0000000",
5283,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cabarets vernis,Isles Françoises de l'Amerique,0,"32,00",En nombre,"10,0000000",
5284,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cabarets vernis,Isles Françoises de l'Amerique,0,"1,00",Valeur,"200,0000000",
5285,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cabriolets,Isles Françoises de l'Amerique,0,"6,00",En nombre,"300,0000000",
5286,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Callemande,Isles Françoises de l'Amerique,0,"190,00",Livres,"2,5000000",
5287,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Camelot de laine,Isles Françoises de l'Amerique,0,"265,00",Livres,"3,0000000",
5288,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Canapé,Isles Françoises de l'Amerique,0,"1,00",Nombre,"48,0000000",
5289,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Carosse,Isles Françoises de l'Amerique,0,"1,00",Nombre,"3 000,0000000",
5290,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Carreaux de terre,Isles Françoises de l'Amerique,0,"1 205 550,00",Nombre,"0,0160000",
5291,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cartes a jouer,Isles Françoises de l'Amerique,0,"210,00",Livres,"1,5000000",
5292,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cartes a jouer,Isles Françoises de l'Amerique,0,"3,00",Grosses,"18,0000000",
5293,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Cartes géographiques,Isles Françoises de l'Amerique,0,"5,00",En nombre,"3,0000000",
5294,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Carton,Isles Françoises de l'Amerique,0,"60,00",Livres,"0,2500000",
5295,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Casaques a negres,Isles Françoises de l'Amerique,0,"61,00",En nombre,"1,5000000",
5296,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,19,Caves de 6 flacons,Isles Françoises de l'Amerique,0,"95,00",En nombre,"6,0000000",
5297,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Dragées de Keyser,Isles Françoises de l'Amerique,0,"20,00",Livres,"14,0000000",
5298,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drap de Carcassonne,Isles Françoises de l'Amerique,0,"411,00",Livres,"10,0000000",
5299,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drap d'Elbeuf,Isles Françoises de l'Amerique,0,"677,00",Livres,"12,0000000",
5300,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drap d'Elbeuf,Isles Françoises de l'Amerique,0,"25,00",Aunes,"15,0000000",
5301,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drap de Sedan,Isles Françoises de l'Amerique,0,"210,00",Aunes,"22,0000000",
5302,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Draperie,Isles Françoises de l'Amerique,0,"180,00",Livres,"10,0000000",
5303,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Draperie,Isles Françoises de l'Amerique,0,"140,00",Aunes,"12,0000000",
5304,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drogueries,Isles Françoises de l'Amerique,0,"3 915,00",Livres,"2,0000000",
5305,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Drogueries,Isles Françoises de l'Amerique,0,"1,00",Valeur,"600,0000000",
5306,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eau medicinale,Isles Françoises de l'Amerique,0,"18,00",Bouteilles,"3,0000000",
5307,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eau de senteur,Isles Françoises de l'Amerique,0,"395,00",Livres,"1,5000000",
5308,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eau de vie,Isles Françoises de l'Amerique,0,"805,00",Veltes,"3,4500000",
5309,Loïc Charles,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eau de vie,Isles Françoises de l'Amerique,0,"118,00",Pots,"0,9000000",
5310,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eau vulneraire,Isles Françoises de l'Amerique,0,"68,00",Livres,"4,0000000",
5311,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Ecorce de Gayac,Isles Françoises de l'Amerique,0,"1 200,00",Livres,"0,6000000",
5312,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Egrette de soye,Isles Françoises de l'Amerique,0,"30,00",Livres,"30,0000000",
5313,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Elixir,Isles Françoises de l'Amerique,0,"1,00",valeur,"610,0000000",
5314,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Encre a ecrire,Isles Françoises de l'Amerique,0,"3,00",Pots,"1,5000000",
5315,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Encre a ecrire,Isles Françoises de l'Amerique,0,"36,00",Livres,"0,5000000",
5316,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Epicerie,Isles Françoises de l'Amerique,0,"1 580,00",Livres,"2,0000000",
5317,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Espagnolette,Isles Françoises de l'Amerique,0,"50,00",Livres,"2,2500000",
5318,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Estampes,Isles Françoises de l'Amerique,0,"55,00",Livres,"8,0000000",
5319,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Etain ouvré,Isles Françoises de l'Amerique,0,"935,00",Livres,"2,0000000",
5320,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Etammine de laine,Isles Françoises de l'Amerique,0,"5 485,00",Livres,"6,0000000",
5321,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Etoffe de soye,Isles Françoises de l'Amerique,0,"1 474,56",Livres,"40,0000000",1474 livres  et 9+ onces
5322,Loïc Charles,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Etoffe de soye,Isles Françoises de l'Amerique,720,"1,00",Valeur,"720,0000000",
5323,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Etoupes,Isles Françoises de l'Amerique,0,"7 600,00",Livres,"0,1000000",
5324,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Eventailes fins,Isles Françoises de l'Amerique,0,"40,00",En nombre,"5,0000000",
5325,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Farine,Isles Françoises de l'Amerique,0,"3 304,00",Barils,"28,0000000",
5326,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Farine,Isles Françoises de l'Amerique,0,"818 310,00",Livres,"0,1500000",
5327,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Farine,Isles Françoises de l'Amerique,0,"390,00",Quarts,"28,0000000",
5328,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Fayance,Isles Françoises de l'Amerique,0,"1 989,00",Douzaines,"4,0000000",
5329,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Fayance,Isles Françoises de l'Amerique,0,"10 250,00",Livres,"0,2000000",
5330,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Fayoles,Isles Françoises de l'Amerique,0,"28,00",Bariques,"8,0000000",
5331,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,20,Fer ; en ancres,Isles Françoises de l'Amerique,0,"1 865,00",Livres,"0,3300000",
5332,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en bandes,Isles Françoises de l'Amerique,0,"1 814,00",Livres,"0,2500000",
5333,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en barres,Isles Françoises de l'Amerique,0,"120 560,00",Livres,"0,1600000",
5334,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; blanc,Isles Françoises de l'Amerique,0,"3 465,00",Livres,"0,6000000",
5335,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; blanc ouvré,Isles Françoises de l'Amerique,0,"550,00",Livres,"0,7500000",
5336,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en cercles,Isles Françoises de l'Amerique,0,"2 937,00",Livres,"0,2500000",
5337,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en casserolles,Isles Françoises de l'Amerique,0,"50,00",Livres,"0,2500000",
5338,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en chaines,Isles Françoises de l'Amerique,0,"284,00",Livres,"0,3000000",
5339,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en chaudière,Isles Françoises de l'Amerique,0,"114 350,00",Livres,"0,1250000",
5340,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,fer ; en crapaudinne,Isles Françoises de l'Amerique,0,"850,00",Livres,"0,1300000",
5341,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en essieux,Isles Françoises de l'Amerique,0,"27 895,00",Livres,"0,3000000",
5342,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en etaux,Isles Françoises de l'Amerique,0,"45,00",Livres,"2,0000000",
5343,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en fleaux,Isles Françoises de l'Amerique,0,"3,00",En nombre,"60,0000000",
5344,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en fleaux,Isles Françoises de l'Amerique,0,"1 400,00",Livres,"0,3600000",
5345,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en grapins,Isles Françoises de l'Amerique,0,"7 678,00",Livres,"0,3000000",
5346,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en grilles,Isles Françoises de l'Amerique,0,"109 708,00",Livres,"3,0000000",
5347,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en marmites,Isles Françoises de l'Amerique,0,"60,00",En nombre,"2,0000000",
5348,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en marmites,Isles Françoises de l'Amerique,0,"138 349,00",Livres,"0,2000000",
5349,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en outils,Isles Françoises de l'Amerique,0,"400,00",Livres,"0,5000000",
5350,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ouvré,Isles Françoises de l'Amerique,0,"2 223,00",Livres,"0,2500000",
5351,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en plaques,Isles Françoises de l'Amerique,0,"100,00",Livres,"0,2500000",
5352,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en platines,Isles Françoises de l'Amerique,0,"2 000,00",Livres,"0,2500000",
5353,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en poeles a frire,Isles Françoises de l'Amerique,0,"950,00",Livres,"0,5000000",
5354,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en pelles,Isles Françoises de l'Amerique,0,"6,00",En nombre,"3,0000000",
5355,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en pinces,Isles Françoises de l'Amerique,0,"12,00",En nombre,"3,0000000",
5356,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en poids,Isles Françoises de l'Amerique,0,"23 800,00",Livres,"0,1500000",
5357,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en serrure,Isles Françoises de l'Amerique,0,"24,00",En nombre,"3,0000000",
5358,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en tambour,Isles Françoises de l'Amerique,0,"2 900,00",Livres,"0,2000000",
5359,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en taule,Isles Françoises de l'Amerique,0,"100,00",Livres,"0,5000000",
5360,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer ; en vergues,Isles Françoises de l'Amerique,0,"9 000,00",Livres,"0,1500000",
5361,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fer vieux,Isles Françoises de l'Amerique,0,"65 475,00",Livres,"0,0750000",
5362,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Ferrements,Isles Françoises de l'Amerique,0,"21 185,00",Livres,"0,3000000",
5363,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Ficelle,Isles Françoises de l'Amerique,0,"70,00",Livres,"1,0000000",
5364,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Figres de platre,Isles Françoises de l'Amerique,0,"300,00",Livres,"2,0000000",
5365,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Sel de Bretagne,Isles Françoises de l'Amerique,0,"3 410,00",Livres,"1,5000000",
5366,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,21,Fil blanc a coudre,Isles Françoises de l'Amerique,0,"40,00",Livres,"2,5000000",
5367,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fil de Renne,Isles Françoises de l'Amerique,0,"1 910,00",Livres,"1,5000000",
5368,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fil a voile,Isles Françoises de l'Amerique,0,"1 000,00",Livres,"0,9000000",
5369,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fil de fer,Isles Françoises de l'Amerique,0,"8 638,00",Livres,"0,8500000",
5370,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fil de leton,Isles Françoises de l'Amerique,0,"40,00",Livres,"1,0000000",
5371,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fontaine ; de fayance,Isles Françoises de l'Amerique,0,"1,00",Nombre,"6,0000000",
5372,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fontaine ; de fer blanc,Isles Françoises de l'Amerique,0,"6,00",Nombre,"2,0000000",
5373,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Formes a sucre,Isles Françoises de l'Amerique,0,"34 934,00",En nombre,"1,0000000",
5374,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fromage de Comté,Isles Françoises de l'Amerique,0,"41 850,00",Livres,"0,4500000",
5375,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fromage de gruyere,Isles Françoises de l'Amerique,0,"53 268,00",Livres,"0,5000000",
5376,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fromage de hollande,Isles Françoises de l'Amerique,0,"6 255,00",Livres,"0,3500000",
5377,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fruit cuit,Isles Françoises de l'Amerique,0,"2 975,00",Livres,"0,3000000",
5378,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Fruit a l'eau de vie,Isles Françoises de l'Amerique,0,"46,00",Livres,"2,0000000",
5379,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Galoches,Isles Françoises de l'Amerique,0,"130,00",Livres,"0,2500000",
5380,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Galons d'or faux,Isles Françoises de l'Amerique,0,"1,75",Livres,"20,0000000",
5381,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Galon d'or fin,Isles Françoises de l'Amerique,0,"67,13",Livres,"168,0000000",67 livres deux onces
5382,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Galon or et argent,Isles Françoises de l'Amerique,0,"42,50",Livres,"128,0000000",
5383,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gans de chamois,Isles Françoises de l'Amerique,0,"216,00",Paires,"1,0000000",
5384,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gans communs,Isles Françoises de l'Amerique,0,"216,00",Douzaines,"8,0000000",
5385,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gans communs,Isles Françoises de l'Amerique,0,"477,00",Livres,"16,0000000",
5386,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gans de femme,Isles Françoises de l'Amerique,0,"27,00",Paires,"0,7500000",
5387,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gaze de soye,Isles Françoises de l'Amerique,0,"39,75",Livres,"50,0000000",
5388,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Gilets de laine,Isles Françoises de l'Amerique,0,"110,00",Livres,"5,0000000",
5389,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Girouettes,Isles Françoises de l'Amerique,0,"150,00",Livres,"0,3000000",
5390,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Glaces de miroir,Isles Françoises de l'Amerique,0,"2,00",En nombre,"150,0000000",
5391,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Glaces de miroir ; de 13 pouces,Isles Françoises de l'Amerique,0,"6,00",Nombre,"26,0000000",
5392,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Graines diverses,Isles Françoises de l'Amerique,0,"840,00",Livres,"1,5000000",
5393,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Graine de jardin,Isles Françoises de l'Amerique,0,"1 741,00",Livres,"1,0000000",
5394,Pascal Fontaine,AD 44 C717,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1765,Export,Nantes,22,Guinée,Isles Françoises de l'Amerique,0,"500,00",Pièces,"32,0000000",
