marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
Noir ; commun	Noir	5	5				
Noisette		0	0a				
Noisettes	Noisettes	0	0a				
Noisettes ou avelinnes	Noisettes	0	0a	noisettes et avelennes	0	0a	noisettes et avelennes
Noix	Noix	0	0a				
Noix ; de Galle	Noix ; de Galle	0	0a				
Noix ; de coco		0	0b				noix de cocq
Noix ; grosses		0	0a				
Noix ; venimeux		2	2				
Noix ; vomiques	Noix ; vomiques	2	2				
Noix ; épillées		0	0a				
Noix ; de coco	Noix ; de coco	0	0b	noix de cocq	0	0b	noix de cocq
Noix ; grosses	Noix ; grosses	0	0a				
Noix ; venimeux	Noix ; venimeux	2	2				
Noix ; vomiques	Noix ; vomiques	2	2				
Noix ; épillées	Noix ; épillées	0	0a		0	0a	
Noronges	Noronges	…	…				
Nougat	Nougat	0	0a				
Nousouque	Nousouque	…	…				
Noyaux	Noyaux	2	2				
Noyaux ; de pêche	Noyaux	2	2				
Noyer et cerisier	Arbre	2	2		2	2	
Nœuds d'épées et cordons de montres	Nœuds d'épées et cordons de montres	8	8		8	8	
Objets ; manufacturés ; réunis	Marchandises ; manufacturés ; réunis	8	8				
Objets divers de peu de valeur	Marchandises	8	8				
Ocre	Ocre	5	5				
Ocre ; jaune	Ocre	5	5				
Ocre ; rouge	Ocre	5	5		5	5	
Ocre ; brun	Ocre	5	5		5	5	
Ocre ; de toute espèce	Ocre	5	5	ocre de toute sorte de couleur	5	5	ocre de toute sorte de couleur
Ocre ; noir	Ocre	5	5		5	5	
Odeure	Odeure	…	…				
Oies	Volaille	0	0a		0	0a	
Oignon		0	0a				
Oignons	Oignons	0	0a		0	0a	
Oignons ; communs	Oignons	0	0a				
Oignons ; de fleurs	Oignons ; de fleurs	2	2				
Oiseaux ; de proie	Oiseaux ; de proie	0	0a				
Oiseaux ; petits	Oiseaux ; petits	0	0a				
Oiseaux, petits, grives, etc.	Oiseaux ; petits	0	0a		0	0a	
Oiseaux ; petits ; grives, etc.		0	0a				
Olives	Olives	0	0a				
Ongles ; de bœuf	Ongles ; de bœuf	2	2				
Ongles ; de carres	Ongles ; de carres	2	2				
Onglons ; de bœuf	Ongles ; de bœuf	2	2				
Opium	Opium	2	2				
Opoponax	Opoponax	…	…				
Optiques	Instruments ; Optiques	…	…				
Or		6	6				
Or ; battu		6	6				
Or ; batty	Or	6	6				
Or ; caissette		6	6				
Or ; en baissette	Or	6	6				
Or ; en coquilles	Or	6	6				
Or ; en feuille		6	6				
Or ; en feuilles		6	6				
Or ; en lingot		6	6				
Or ; en paillette		6	6				
Or ; faux	Or ; faux	6	6				
Or ; faux ; battu		6	6				
Or ; fin , en feuille	Or	6	6				
Or ; fin ; en lingot	Or	6	6				
Or ; fin ; en paillette	Or	6	6				
Or ; massif		6	6				
Or ; paillettes		6	6				
Or ; travaillé		6	6				
Or en lingots	Or	9	9a				
Or et argent		6	6				
Or et argent ;  en fil, cantilles, paillettes		6	6				
Or et argent ; balles	Or et argent	6	6				
Or et argent ; battu	Or et argent	6	6				
Or et argent ; en barres et lingots		6	6				
Or et argent ; en feuille		6	6				
Or et argent ; en fil		6	6				
Or et argent ; en lingots	Or et argent	6	6				
Or et argent ; faux	Or et argent ; faux	6	6				
Or et argent ; faux battu en livrets de 24 feuilles	Or et argent ; faux	6	6		6	6	
Or et argent ; faux en fil, cantilles, etc.	Or et argent ; faux	6	6		6	6	
Or et argent ; faux ; en feuille		6	6				
Or et argent ; faux ; en fil, cantilles, etc.		6	6				
Or et argent ; fin	Or et argent	6	6				
Or et argent ; fin battu en livrets de 24 feuilles	Or et argent	8	8		8	8	
Or et argent ; fin en livrets	Or et argent	6	6				
Or et argent ; fin, en fil, cantilles, paillettes	Or et argent	6	6		6	6	
Or et argent ; paillettes		6	6				
Or et argent ; trail	Or et argent	6	6				
Or et argent ; en barres et lingots	Or et argent	6	6				
Or et argent ; en fil	Or et argent	8	8		8	8	
Or et argent ; paillettes	Or et argent	6	6				
Or fin en feuilles	Or	6	6				
Oranges	Fruits	0	0a				
Oranges ; aigres	Fruits	0	0a				
Oranges ; douces	Fruits	0	0a				
Oranges et citrons	Fruits	0	0a		0	0a	
Orcanettes	Orcanettes	…	…				
Orego	Orego	5	5		5	5	
Oreillons	Oreillons	2	2	Oreillons ou orillons : chute de peaux et cuirs pour faire de la colle			
Oreillons ; à faire colle	Oreillons	2	2	Oreillons ou orillons : chute de peaux et cuirs pour faire de la colle			
Orfèvrerie	Orfèvrerie	8	8				
Orfèvrerie ; chandelier	Orfèvrerie	8	8				
Orfèvrerie ; d'argent	Orfèvrerie	8	8				
Orfèvrerie ; d'or	Orfèvrerie	8	8				
Orfèvrerie ; d'or et d'argent	Orfèvrerie	8	8				
Orfèvrerie ; diverse	Orfèvrerie	8	8				
Orfèvrerie ; en argent ; diverse	Orfèvrerie	8	8				
Orfèvrerie ; en argent ; vaisselle d'argent	Orfèvrerie	8	8				
Orfèvrerie ; en or	Orfèvrerie	8	8				
Orfèvrerie ; en or et argent	Orfèvrerie	8	8				
Orfèvrerie ; vaisselle	Orfèvrerie	8	8				
Orfèvrerie ; vaisselle ; d'argent	Orfèvrerie	8	8				
Orfèvrerie ; vaisselle d'agent	Orfèvrerie	8	8				
Orfèvrerie ; vaisselle d'argent	Orfèvrerie	8	8				
Orfèvrerie ; boucles ; d'argent	Orfèvrerie	8	8				
Organdis	Toile ; Organdis	6	6d	Sorte de mousseline ou toile de coton, syn.: Betille (Savary)			
Orge	Orge	0	0a				
Orge ; ?	Orge	0	0a				
Orge ; commun en jarbes	Orge	0	0a		0	0a	
Orge ; en graines	Orge	0	0a				
Orge ; germé		0	0a				
Orge ; germée	Orge	0	0a				
Orge ; mondé	Orge	0	0a				
Orge ; mondé et perlé	Orge	0	0a		0	0a	
Orge ; mondée	Orge	0	0a				
Orge ; ou soucrion	Orge	0	0a		0	0a	
Orge ; ou soucrion en jarbes	Orge	0	0a				
Orge ; perlée	Orge	0	0a				
Orge ; soucrion	Orge	0	0a	orge commun soucrion	0	0a	orge commun soucrion
Orge et soucrion ; en gerbe	Orge	0	0a				
Orge ; en gerbe	Orge	0	0a				
Orge et avoine	Orge	0	0a				
Orge et soucrion	Orge	0	0a				orge commun soucrion
Orgue	Instruments ; de musique	8	8	orgues pour eglise	8	8	orgues pour eglise
Orgue ; clavecins et épinettes	Instruments ; de musique	8	8				
Orgue ; de savoyard	Instruments ; de musique	8	8				
Orgue ; clavecins et épinettes	Instruments ; de musique	8	8		8	8	
Orgue ; de savoyard	Instruments ; de musique	8	8		8	8	
Origan	Origan	0	0a				
Ornements ; d'Eglise	Ornements	8	8				
Ornements ; d'église	Ornements	8	8				
Ornements ; de table	Ornements	8	8				
Orobes	Drogues ; Médicinales	2	2	Plante médicinale			
Orphies		…	…				
Orpiments	Orpiments	5	5		5	5	
Orpin	Drogues ; Médicinales	2	2	Plante médicinale			
Ortites ; de menuisier	Ortites ; de menuisier	…	…				
Or ; en lingots	Or	6	6				
Or ; massif	Or	6	6		8	8	
Or ; paillettes	Or	6	6				
Or ; travaillé	Or ; ouvré	8	8		8	8	
Os ; de bœuf	Os ; de bœuf	2	2				
Os ; de cœur ; de bœuf	Os ; de bœuf	2	2				
Os ; de sèche	Os ; de sèche	2	2				
Osier	Osier	2	2				
Osier ; d'en dessous de 7 paumes	Osier	2	2				
Osier ; de 10 à 11 paumes	Osier	2	2				
Osier ; de 12 à 14 paumes	Osier	2	2		2	2	
Osier ; de 7 à 9 paumes	Osier	2	2		2	2	
Osier ; en dessous de 10 paumes	Osier	2	2		2	2	
Osier ; ouvrés	Osier ; ouvrés	6	6	ouvrage d'ozier	2	2	ouvrage d'ozier
Osserie ; de Dieppe	Osserie ; de Dieppe	…	…				
Os ; de baleine		2	2				
Ouate	Ouate	6	6		6	6	
Ouate ; d'etouppes	Ouate	6	6a		6	6a	
Ouate ; d'étoupe		6	6a				
Ouate ; de coton		6	6d				
Ouate ; de cotton	Ouate	6	6d		6	6d	
Ouate ; de laine	Ouate	6	6b		6	6b	
Ouate ; de soie		6	6c				
Ouate ; de soye	Ouate	6	6c		6	6c	
Outils	Outils	6	6				
Outils ; d'horloger	Outils	6	6				
Outils ; d'imprimerie	Outils	6	6				
Outils ; d'ouvriers	Outils	6	6				
Outils ; de charpentier	Outils	6	6				
Outils ; de ferblanctier	Outils	6	6		6	6	
Outils ; de ferblantier	Outils	6	6				
Outils ; de laboureurs	Outils	6	6		6	6	
Outils ; de marchands de vin	Outils	6	6		6	6	
Outils ; de miroitier	Outils	6	6		6	6	
Outils ; de moulin à papier	Outils	6	6		6	6	
Outils ; de orfèvres	Outils	6	6		6	6	
Outils ; de tisserands	Outils	6	6		6	6	
Outils ; divers	Outils	6	6		6	6	
Outils ; menuisier	Outils	6	6				
Outils ; à battre l'or	Outils	6	6				
Outils ; à faire cartes et moules	Outils	6	6				
Outils ; à soutirer le vin	Outils	6	6				
Outils ; d'imprimerie	Outils	6	6		6	6	
Outils ; de charpentier	Outils	6	6				
Outils ; en fer	Outils	6	6				
Outils ; pour la pêche	Outils	6	6				
Outils ; à faire cartes et moules	Outils	6	6		6	6	
Outil ; de bois	Outils	6	6				
Ouvrage		6	6				
Ouvrage ; ancres		7	7				
Ouvrage ; d'airain		6	6				
Ouvrage ; d'albâtre		6	6				
Ouvrage ; d'ambre ; jaune		6	6				
Ouvrage ; d'opium		5	5				
Ouvrage ; d'optique		8	8				
Ouvrage ; d'osier		6	6				
Ouvrage ; d'étain		6	6				
Ouvrage ; damier		8	8				
Ouvrage ; de Pierre		6	6				
Ouvrage ; de Plume		6	6				
Ouvrage ; de bois		6	6				
Ouvrage ; de bois ; aviron		7	7				
Ouvrage ; de bois ; doré		8	8				
Ouvrage ; de bois ; menu		6	6				
Ouvrage ; de bois ; navires		7	7				
Ouvrage ; de bois sculpté et doré		8	8				
Ouvrage ; de bois vernis de Spa		8	8				ouvrages de Spa et vernis
Ouvrage ; de boissellerie		8	8				
Ouvrage ; de bronze		6	6				
Ouvrage ; de carton		6	6				
Ouvrage ; de charron		7	7				
Ouvrage ; de cire		6	6				
Ouvrage ; de coudriers		6	6				
Ouvrage ; de cristal		6	6				
Ouvrage ; de cuir		6	6				
Ouvrage ; de cuir ; cordonnerie et sellerie		7	7				
Ouvrage ; de cuivre		6	6				
Ouvrage ; de cuivre ; Doré et argenté		6	6				
Ouvrage ; de cuivre et argent		6	6				
Ouvrage ; de cuivre rouge		6	6				
Ouvrage ; de drap		8	8				
Ouvrage ; de faïence		6	6				
Ouvrage ; de faïence ; carreaux		6	6				
Ouvrage ; de faïence ; commune		6	6				
Ouvrage ; de faïence ; diverse		6	6				
Ouvrage ; de faïence ; gobelets		6	6				
Ouvrage ; de faïence ; poêles		6	6				
Ouvrage ; de faïence ; sucriers		6	6				
Ouvrage ; de faïence ; tasse		6	6				
Ouvrage ; de fer		6	6				
Ouvrage ; de fer ; ancre		7	7				
Ouvrage ; de fer ; ancres		7	7				
Ouvrage ; de fer ; blanc		6	6				
Ouvrage ; de fer ; carillon		8	8				
Ouvrage ; de fer ; cricks		7	7				
Ouvrage ; de fer ; de plomb		6	6				
Ouvrage ; de fer ; enclumes		6	6				
Ouvrage ; de fer ; fonte		6	6				
Ouvrage ; de fer ; à nègres		6	6				
Ouvrage ; de fer ; à repasser		6	6				
Ouvrage ; de fer pour maréchal		7	7				
Ouvrage ; de fer ; lampes		8	8				
Ouvrage ; de fleuret		8	8				
Ouvrage ; de fournisseur		…	…				
Ouvrage ; de jonc		6	6				
Ouvrage ; de laine		8	8				
Ouvrage ; de laiton		6	6b				
Ouvrage ; de mandriers		6	6				
Ouvrage ; de marbre et cuivre ; doré		8	8				
Ouvrage ; de marqueterie		8	8				
Ouvrage ; de menuiserie		8	8				
Ouvrage ; de mode		8	8				
Ouvrage ; de mode ; fleurs artificielles		8	8				
Ouvrage ; de mécanique		7	7				
Ouvrage ; de métal		6	6				
Ouvrage ; de pierre		6	6				
Ouvrage ; de plomb		6	6				
Ouvrage ; de plomb ; caractères d'imprimerie		7	7				
Ouvrage ; de plâtre		6	6a				
Ouvrage ; de plâtre en figures		8	8				ouvrage de platre
Ouvrage ; de porcelaine		6	6				ouvrages de porcelaine fine
Ouvrage ; de porcelaine et faïence		6	6				
Ouvrage ; de porcelaine, faïence et poterie		6	6				
Ouvrage ; de poterie et faïence		6	6				
Ouvrage ; de pâte		6	6	Poterie ?			
Ouvrage ; de selliers de toutes sortes		7	7				ouvrages de sellier, harnois, brides et autres ouvrages semblables
Ouvrage ; de serrurerie		8	8				
Ouvrage ; de serrurerie ; fer		8	8				
Ouvrage ; de serrurerie ; ressort de voiture		7	7				
Ouvrage ; de soie		6	6c				
Ouvrage ; de soie et dorure		6	6c				
Ouvrage ; de spa		…	…				
Ouvrage ; de tabletterie		8	8				
Ouvrage ; de taillandier		7	7				
Ouvrage ; de terre		6	6				
Ouvrage ; de terre cuite		6	6				
Ouvrage ; de terre cuite ; Moules		6	6				
Ouvrage ; de terre en postures		6	6				
Ouvrage ; de tonneliers		6	6				
Ouvrage ; de tonnellerie		6	6				
Ouvrage ; de tourneur		6	6				
Ouvrage ; de verre		6	6				
Ouvrage ; de verre ; Dame Jeanne		6	6				
Ouvrage ; de verre ; bouteille		6	6				
Ouvrage ; de verre ; bouteilles		6	6				
Ouvrage ; de verre ; en table		8	8				
Ouvrage ; de verre ; gobelets		6	6				
Ouvrage ; de verre ; verres et gobelets		6	6				
Ouvrage ; de verre ; flacons		6	6				
Ouvrage ; divers		…	…				
Ouvrage ; divers ; en bois et futailles vides		6	6				
Ouvrage ; en bois		6	6				
Ouvrage ; en dorure		8	8				
Ouvrage ; en dorure ; Fausse		8	8				
Ouvrage ; en dorure ; Fine		8	8				
Ouvrage ; en dorure ; argent ; faux		8	8				
Ouvrage ; en dorure ; fil ; d'argent		6	6				
Ouvrage ; en esparballe		…	…				
Ouvrage ; en ivoire et Écailles		6	6				
Ouvrage ; en lames ; à couvrir		6	6				
Ouvrage ; en marbre		6	6				
Ouvrage ; en métal		6	6				
Ouvrage ; en nacre de perle		8	8				
Ouvrage ; panneaux ; à couvrir ; de terre cuite		6	6				
Ouvrage ; sculpture		8	8				
Ouvrage ; sellerie		7	7				
Ouvrage ; tricot ; vestes, camisoles et culottes		8	8				
Ouvrages ; Passementerie	Ouvrages ; Passementerie	8	8				
Ouvrages ; d'airain	Ouvrages ; d'airain	6	6				
Ouvrages ; d'albâtre	Ouvrages ; d'albâtre	6	6				
Ouvrages ; d'osier	Ouvrages ; d'osier	6	6				
Ouvrages ; de bois	Ouvrages ; de bois	6	6				
Ouvrages ; de bois ; doré	Ouvrages ; de bois	6	6				
Ouvrages ; de bois sculpté et doré	Ouvrages ; de bois	6	6		6	6	
Ouvrages ; de bois simple	Ouvrages ; de bois	6	6				
Ouvrages ; de bois simple ; Aviron	Ouvrages ; de bois	7	7				
Ouvrages ; de bois simple ; Divers	Ouvrages ; de bois	6	6				
Ouvrages ; de bois simple ; En bateaux	Ouvrages ; de bois	7	7				
Ouvrages ; de bois simple ; En grilles de sapin	Ouvrages ; de bois	6	6				
Ouvrages ; de bois simple ; En horloge	Ouvrages ; de bois	8	8				
Ouvrages ; de bois vernis de Spa	Ouvrages ; de bois	6	6	ouvrages de Spa et vernis	6	6	ouvrages de Spa et vernis
Ouvrages ; de boissellerie	Ouvrages ; de boissellerie	6	6				
Ouvrages ; de bois ; gros	Ouvrages ; de bois	6	6				
Ouvrages ; de bronze	Ouvrages ; de bronze	6	6				
Ouvrages ; de buis	Ouvrages ; de bois	6	6				
Ouvrages ; de carton	Ouvrages ; de carton	6	6				
Ouvrages ; de charpentier	Ouvrages ; de charpentier	6	6	bois préparée pour charpente	6	6	bois préparée pour charpente
Ouvrages ; de charpentiers	Ouvrages ; de charpentiers	6	6	bois préparée pour charpente	6	6	bois préparée pour charpente
Ouvrages ; de charron	Ouvrages ; de charron	6	6				
Ouvrages ; de cire	Ouvrages ; de cire	6	6				
Ouvrages ; de cordonnier ; en souliers	Ouvrages ; de cordonnier ; en souliers	8	8				
Ouvrages ; de coudriers	Ouvrages ; de coudriers	6	6				
Ouvrages ; de cristal	Ouvrages ; de cristal	6	6				
Ouvrages ; de cuir	Ouvrages ; de cuir	6	6				
Ouvrages ; de cuir ; en cordonnerie et sellerie	Ouvrages ; de cuir	8	8				
Ouvrages ; de cuivre ; Divers	Ouvrages ; de cuivre	6	6				
Ouvrages ; de cuivre ; Doré et argenté	Ouvrages ; de cuivre	6	6				
Ouvrages ; de cuivre ; Simples	Ouvrages ; de cuivre	6	6				
Ouvrages ; de drap	Ouvrages ; de drap	6	6b		6	6b	
Ouvrages ; de faïence	Ouvrages ; de faïence	6	6				
Ouvrages ; de faïence ; carreaux	Ouvrages ; de faïence	6	6				
Ouvrages ; de faïence ; gobelets	Ouvrages ; de faïence	6	6				
Ouvrages ; de faïence ; poêles	Ouvrages ; de faïence	6	6				
Ouvrages ; de faïence ; sucriers	Ouvrages ; de faïence	6	6				
Ouvrages ; de faïence ; tasse	Ouvrages ; de faïence	6	6				
Ouvrages ; de fer ; ancres	Ouvrages ; de fer	7	7				
Ouvrages ; de fer ; blanc	Ouvrages ; de fer	6	6				
Ouvrages ; de fer ; cricks	Ouvrages ; de fer	6	6				
Ouvrages ; de fer ; divers	Ouvrages ; de fer	6	6				
Ouvrages ; de fer ; enclumes	Ouvrages ; de fer	6	6				
Ouvrages ; de fleuret	Ouvrages ; de fleuret	6	6c				
Ouvrages ; de fournisseur	Ouvrages ; de fournisseur	6	6				
Ouvrages ; de joncs	Ouvrages ; de joncs	6	6				
Ouvrages ; de laine	Ouvrages ; de laine	6	6b				
Ouvrages ; de laiton	Ouvrages ; de laiton	6	6				
Ouvrages ; de mandriers	Ouvrages ; de mandriers	6	6		8	8	
Ouvrages ; de marqueterie	Ouvrages ; de marqueterie	6	6				
Ouvrages ; de menuiserie	Ouvrages ; de menuiserie	6	6		6	6	
Ouvrages ; de menuiserie simple	Ouvrages ; de menuiserie	6	6		6	6	
Ouvrages ; de mi soie	Ouvrages ; de mi soie	6	6c				
Ouvrages ; de modes ; Divers	Ouvrages ; de modes	8	8				
Ouvrages ; de modes ; En fleurs artificielles	Ouvrages ; de modes	8	8				
Ouvrages ; de mécanique	Ouvrages ; de mécanique	8	8				
Ouvrages ; de métal	Ouvrages ; de métal	6	6				
Ouvrages ; de passementerie	Ouvrages ; de passementerie	8	8				
Ouvrages ; de pattes	Ouvrages ; de pattes	6	6				
Ouvrages ; de peaux	Ouvrages ; de peaux	6	6				
Ouvrages ; de pelleteries	Ouvrages ; de pelleteries	6	6		6	6	
Ouvrages ; de pierre	Ouvrages ; de pierre	6	6		6	6	
Ouvrages ; de pierres	Ouvrages ; de pierres	6	6				
Ouvrages ; de plomb	Ouvrages ; de plomb	6	6				
Ouvrages ; de plumes	Ouvrages ; de plumes	6	6				
Ouvrages ; de plâtre	Ouvrages ; de plâtre	6	6				
Ouvrages ; de plâtre en figures	Ouvrages ; de plâtre en figures	6	6	ouvrage de platre	6	6	ouvrage de platre
Ouvrages ; de porcelaine	Ouvrages ; de porcelaine	6	6				
Ouvrages ; de porcelaine et faïence	Ouvrages ; de porcelaine	6	6		6	6	
Ouvrages ; de porcelaine, faïence et poterie	Ouvrages ; de porcelaine, faïence et poterie	6	6				
Ouvrages ; de poterie et faïence	Ouvrages ; de poterie et faïence	6	6				
Ouvrages ; de sculpteur	Ouvrages ; de sculpteur	6	6		6	6	
Ouvrages ; de sculpture	Ouvrages ; de sculpture	8	8				
Ouvrages ; de sellerie	Ouvrages ; de sellerie	7	7				
Ouvrages ; de selliers de toutes sortes	Ouvrages ; de selliers de toutes sortes	7	7	ouvrages de sellier, harnois, brides et autres ouvrages semblables	7	7	ouvrages de sellier, harnois, brides et autres ouvrages semblables
Ouvrages ; de serrurerie	Ouvrages ; de serrurerie	6	6				
Ouvrages ; de serrurerie ; en ressorts de voitures	Ouvrages ; de serrurerie	6	6				
Ouvrages ; de serrurerie ; fer	Ouvrages ; de serrurerie	6	6				
Ouvrages ; de soie	Ouvrages ; de soie	6	6				
Ouvrages ; de soie et dorure	Ouvrages ; de soie et dorure	6	6c				
Ouvrages ; de spa	Ouvrages ; de spa	6	6				
Ouvrages ; de tableterrie	Ouvrages ; de tableterrie	8	8				
Ouvrages ; de taillaudier	Ouvrages ; de taillaudier	6	6				
Ouvrages ; de terre ; cuite	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite		6	6				
Ouvrages ; de terre cuite ; Briques	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Carreaux	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Chuiles	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Creusets	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Divers	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Moules	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre cuite ; Pipes à fumer	Ouvrages ; de terre cuite	6	6				
Ouvrages ; de terre en postures	Ouvrages ; de terre cuite	6	6		6	6	
Ouvrages ; de terre et de pierre en potteries	Ouvrages ; de terre cuite	6	6	service de cuisine	6	6	service de cuisine
Ouvrages ; de tonneliers	Ouvrages ; de tonneliers	6	6		6	6	
Ouvrages ; de tonnellerie	Ouvrages ; de tonneliers	6	6				
Ouvrages ; de tourneur	Ouvrages ; de tourneur	6	6		6	6	
Ouvrages ; de vannier	Ouvrages ; de vannier	6	6				
Ouvrages ; de verre	Ouvrages ; de verre	6	6				
Ouvrages ; de verre ; en bossades	Ouvrages ; de verre	6	6				
Ouvrages ; de verre pour desserts	Ouvrages ; de verre	6	6		6	6	
Ouvrages ; de verts	Ouvrages ; de verts	6	6				
Ouvrages ; divers	Ouvrages ; divers	6	6				
Ouvrages ; divers ; en bois et futailles vides	Ouvrages ; divers ; en bois et futailles vides	6	6				
Ouvrages ; en dorure ; Fausse	Ouvrages ; en dorure ; Fausse	8	8				
Ouvrages ; en dorure ; Fine	Ouvrages ; en dorure ; Fine	8	8				
Ouvrages ; en esparballe	Ouvrages ; en esparballe	6	6				
Ouvrages ; en ivoire et ecailles	Ouvrages ; en ivoire et ecailles	8	8				
Ouvrages ; en nacre de perle	Ouvrages ; en nacre de perle	8	8				
Ouvrages ; rassade	Ouvrages ; en rassade	6	6	Espèce de petites perles de verre, ou d'émail, dont on fait diverses sortes d'ornements, et dont se parent les nègres d'Afrique.			
Ouvrages ; rassade ; en verre	Ouvrages ; de verre	6	6	Espèce de petites perles de verre, ou d'émail, dont on fait diverses sortes d'ornements, et dont se parent les nègres d'Afrique.			
Ouvrages ; tricotés pour vestes, camisolles et culottes	Ouvrages ; tricotés pour vestes, camisolles et culottes	8	8		8	8	
Ouvrages ; de bois	Ouvrages ; de bois	6	6		2	2	
Ouvrages ; de bois ; Gros	Ouvrages ; de bois	6	6				
Ouvrages ; de bois ; menu	Ouvrages ; de bois	6	6		6	6	
Ouvrages ; de fer		6	6				
Ouvrage : de bois ; aviron		7	7				
Ouvrage ; bois ; pour fusil		9	9				
Ouvrage ; de cuivre		6	6				
Ouvrage ; divers		…	…				
Ouvrage ; en corne		6	6				
Ouvrage ; en cuir		6	6				
Ouvrage ; en laiton		6	6				
Ouvrage ; en étain		6	6				
Oxyde de plomb		5	5				
Padoue	Padoue	6	6				
Padoue ; de fil	Padoue	6	6a				
Padoue ; de fleurs et soie	Padoue	6	6c				
Pagne	Pagne	6	6				
Paillasses	Paillasses	2	2				
Paillassons		6	6				
Paillassons ; en fibres		6	6				
Paille	Paille	2	2				
Paille ; diverse	Paille	2	2				
Paille ; hachée		2	2				paille hachée d'avoine et de chanvre pour alumettes
Paille ; à couvrir toits		2	2				
Paillettes d'	Paillettes d'	2	2				
Paille ; dite channe à couvrir toits	Paille	2	2		2	2	
Paille ; hachée	Paille	2	2	paille hachée d'avoine et de chanvre pour alumettes	2	2	paille hachée d'avoine et de chanvre pour alumettes
Pain	Pain	0	0a	pain de farine	0	0a	pain de farine
Pain ; Graine de lime et de morelle	Pain ; Graine de lime et de morelle	0	0a				
Pain ; Graine de lin et de navelle		0	0a				
Pain ; d'épice	Pain ; d'épice	0	0a				
Pain ; de Grains ; seigle		0	0a				
Pain ; de graine ; de lin		0	0a				
Pain ; de graines de lin et de navelle	Pain ; de graines de lin et de navelle	0	0a				
Pain ; de navette	Pain ; de navette	0	0a		0	0a	
Pain ; de navette en poudre	Pain ; de navette en poudre	0	0a	pain de navette en poudre ou brisé	0	0a	pain de navette en poudre ou brisé
Pain ; divers	Pain ; divers	0	0a				
Pain ; à cacheter	Pain ; à cacheter	8	8				
Pains ; de navette	Pains ; de navette	0	0a				
Pain ; de Grains ; froment		0	0a				
Pain ; de sucre		0	0b				
Palan		7	7				
Palangres	Filets	8	8	Linges ou filets			
Palatine	Palatine	8	8				
Palatine ; de soie	Palatine	8	8				
Palins	Palins	…	…				
Palmes	Palmes	2	2				
Palmes ; en feuilles	Palmes ; en feuilles	2	2				
Palmier		0	0b				
Palun	Palun	…	...				
Panier		6	6				
Panier ; d'habit		8	8				
Panier ; d'osier		6	6				
Panier ; de caudré		6	6				
Panier ; de coudre		6	6				
Panier ; de jonc		6	6				
Paniers	Paniers	6	6				
Paniers ; d'habit	Paniers	8	8				
Paniers ; d'osier	Paniers	6	6				
Paniers ; de caudré	Paniers	6	6				
Paniers ; de coudre	Paniers	6	6				
Paniers ; de joncs	Paniers	6	6				
Panier ; d'osier		6	6				
Panne	Panne	6	6	Étoffe (de laine, soie, coton) travaillée comme le velours, dont le poil plus long et moins serré est couché, et qui sert dans la confection de vêtements ou dans l'ameublement. 			
Panne ; ordinaire	Panne	6	6	Étoffe (de laine, soie, coton) travaillée comme le velours, dont le poil plus long et moins serré est couché, et qui sert dans la confection de vêtements ou dans l'ameublement. 			
Panne ; écarlatte	Panne	6	6	Étoffe (de laine, soie, coton) travaillée comme le velours, dont le poil plus long et moins serré est couché, et qui sert dans la confection de vêtements ou dans l'ameublement. 			
Panne, pluche et trippe	Panne, pluche et trippe	6	6		6	6	
Panneaux	Panneaux	6	6	Plusieurs significations, pièces de cuir ou de bois.			
Pannine	Pannine	6	6b				
Pannine ; en soie	Pannine	6	6c				
Pantalon		8	8				
Pantalons	Pantalons	8	8				
Pantalon ; en laine		8	8				
Paons	Paons	0	0a		9	9	
Papeline	Papeline	…	…				
Papeterie		6	6				
Papeteries ; diverses	Papeteries ; diverses	6	6				
Papier	Papier	6	6				
Papier ; ?	Papier	6	6				
Papier ; Gros dit carton		6	6				
Papier ; argenté et doré	Papier	6	6		6	6	
Papier ; blanc	Papier	6	6				
Papier ; blanc grand forma	Papier	6	6		6	6	
Papier ; blanc petit		6	6				
Papier ; blanc petit forma	Papier	6	6		6	6	
Papier ; blanc à écrire	Papier	6	6		6	6	
Papier ; bleu	Papier	6	6		6	6	
Papier ; bleu petit forma	Papier	6	6		6	6	
Papier ; bleu à couvrir	Papier	6	6		6	6	
Papier ; brouillard	Papier	6	6				
Papier ; brun	Papier	6	6				
Papier ; buvard		6	6				
Papier ; buvard ; commun	Papier	6	6				
Papier ; buvard ; fin	Papier	6	6				
Papier ; bâtard	Papier	6	6				
Papier ; bâtard ; commun	Papier	6	6				
Papier ; bâtard ; fin	Papier	6	6				
Papier ; collé	Papier	6	6		6	6	
Papier ; commun	Papier	6	6				
Papier ; contisse	Papier	6	6				
Papier ; d'emballage	Papier	6	6				
Papier ; d'etrasse	Papier	6	6				
Papier ; d'éventail	Papier	6	6				
Papier ; de Gênes ; commun	Papier	6	6				
