marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Laine ; peignée"		""	""	"crude wool"	"2"	"2"	""
"Laine ; pelade"		""	""	""	""	""	""
"Laine ; pelluche"		""	""	""	""	""	""
"Laine ; pellude"		""	""	"crude wool"	"2"	"2"	""
"Laine ; serge"		""	""	""	""	""	""
"Laine ; surge"		""	""	"crude wool"	"2"	"2"	""
"Laine ; teinte"		""	""	""	""	""	""
"Laine ; à broder"		""	""	""	""	""	""
"Laine ; à matelas"		""	""	""	""	""	""
"Laine ; à tapisserie"		""	""	""	""	""	""
"Laine ; apprêtée ; pour perruques"	6	"6"	""	""	""	""	""
"Laine ; brute ou non lavée"	2	"2"	""	""	""	""	""
"Laine ; d'Allemagne"	2	"2"	""	""	""	""	""
"Laine ; d'Espagne"		""	""	""	""	""	""
"Laine ; de Brême"	2	"2"	""	""	""	""	""
"Laine ; de Pologne"	2	"2"	""	""	""	""	""
"Laine ; de Pologne et autres laines étrangères"	2	"2"	""	""	""	""	""
"Laine ; de Pomnéranie"	2	"2"	""	""	""	""	""
"Laine ; de Prusse"	2	"2"	""	""	""	""	""
"Laine ; de Vigogne"		""	""	""	""	""	""
"Laine ; grasse et filée"	6	"6"	""	""	""	""	""
"Laine ; lavée"	2	"2"	""	""	""	""	""
"Laine ; non peignée"	2	"2"	""	""	""	""	""
"Laine ; peignée"	2	"2"	""	""	""	""	""
"Laine ; pour chapeliers"	6	"6"	""	""	""	""	""
"Lait, doux"	0	"0a"	""	""	""	""	""
"Laiton"		""	""	""	""	""	""
"Laiton ; Divers"		""	""	""	""	""	""
"Laiton ; brun"		""	""	""	""	""	""
"Laiton ; en feuilles"		""	""	""	""	""	""
"Laiton ; en planches"		""	""	""	""	""	""
"Laiton ; fil de laiton"		""	""	""	""	""	""
"Laiton ; gouté"		""	""	""	""	""	""
"Laiton ; gratté"		""	""	""	""	""	""
"Laiton ; gravé"		""	""	""	""	""	""
"Laiton ; gravé ou gratté"		""	""	""	""	""	""
"Laiton ; ouvré"		""	""	""	""	""	""
"Laiton ; vieux"		""	""	""	""	""	""
"Lait ; battu"	0	"0a"	""	""	""	""	""
"Lama"		""	""	""	""	""	""
"Lames ; d'épées"		""	""	""	""	""	""
"Lames ; d'épées et de fleuret"	9	"9"	""	""	""	""	""
"Lames ; d'épées et de sabre"	9	"9"	""	""	""	""	""
"Lames ; de couteaux de chasse"		""	""	""	""	""	""
"Lames ; de fleuret"		""	""	""	""	""	""
"Lames ; de sabres"		""	""	""	""	""	""
"Lampareille"		""	""	""	""	""	""
"Lampes"		""	""	""	""	""	""
"Lampes ; de cuivre"		""	""	""	""	""	""
"Lampes ; de fer"		""	""	""	""	""	""
"Lampes ; de laiton"		""	""	"..."	"8"	"8"	""
"Lampes ; de verre"		""	""	""	""	""	""
"Lamproie"		""	""	"..."	"0"	"0a"	""
"Langue ; de bœuf"		""	""	""	""	""	""
"Langue ; de bœuf et vache"	0	"0a"	"langues de boeufs"	""	""	""	""
"Langue ; de mouton"	0	"0a"	""	""	""	""	""
"Langue ; salées"		""	""	""	""	""	""
"Langues"		""	""	""	""	""	""
"Langues ; de bœuf"		""	""	"..."	"0"	"0a"	""
"Langues ; de morüe"		""	""	"..."	"0"	"0a"	""
"Langues ; salées"		""	""	""	""	""	""
"Lanillas"		""	""	""	""	""	""
"Lanternes"		""	""	""	""	""	""
"Lapereaux"		""	""	""	""	""	""
"Lapin"	0	"0a"	""	""	""	""	""
"Lapins"		""	""	"..."	"0"	"0a"	""
"Lapis ; lazule"		""	""	"..."	"2"	"2"	""
"Laque ; en bois"		""	""	""	""	""	""
"Laque ; plane"		""	""	"..."	"5"	"5"	""
"Laque ; platte"		""	""	"..."	"5"	"5"	""
"Laque ; ronde"		""	""	""	""	""	""
"Laque ; de Florence"	5	"5"	""	""	""	""	""
"Lard"		""	""	""	""	""	""
"Larque place"		""	""	""	""	""	""
"Lattes"		""	""	""	""	""	""
"Lattes ; d'hêtre"	2	"2"	""	""	""	""	""
"Lattes ; d'hêtre façonnées"	2	"2"	""	""	""	""	""
"Lattes ; d'hêtre non sciées"	2	"2"	""	""	""	""	""
"Lattes ; de sapin"	2	"2"	""	""	""	""	""
"Lattes ; dites Solververen"		""	""	""	""	""	""
"Lattes ; dites du Nord"	2	"2"	""	""	""	""	""
"Lattes ; divers"	2	"2"	""	""	""	""	""
"Lattes ; doubles"	2	"2"	""	""	""	""	""
"Lattes ; pour couvreurs de paille et plâteurs"	2	"2"	""	""	""	""	""
"Lattes ; pour couvreurs de tuiles"		""	""	""	""	""	""
"Lattes ; pour cuves"	2	"2"	""	""	""	""	""
"Lattes ; pour cuves de brassage"		""	""	""	""	""	""
"Lattes ; sciées"	2	"2"	"bois scié en lattes"	""	""	""	""
"Lattes ; sciées en planche"	2	"2"	""	""	""	""	""
"Laurier"		""	""	""	""	""	""
"Lauzes"		""	""	""	""	""	""
"Lavande"		""	""	""	""	""	""
"Lavande et hysope"	5	"5"	""	""	""	""	""
"Lelarge"	5	"5"	""	""	""	""	""
"Lentilles"		""	""	""	""	""	""
"Lessive ; grasse"		""	""	""	""	""	""
"Leviers ferrés"		""	""	""	""	""	""
"Levure de bierre"		""	""	"..."	"0"	"0a"	""
"Levure de bière"		""	""	""	""	""	""
"Librairie"		""	""	""	""	""	""
"Lie d'huile"	0	"0a"	""	""	""	""	""
"Lie de Vin"		""	""	"..."	"2"	"2"	""
"Lie de bière"	0	"0a"	""	""	""	""	""
"Liens ; de fil"		""	""	""	""	""	""
"Ligatures"		""	""	"..."	"6"	"6"	""
"Lignes ; à pêcher"		""	""	""	""	""	""
"Lilarge"		""	""	""	""	""	""
"Lillas"		""	""	""	""	""	""
"Limaille"		""	""	""	""	""	""
"Limaille ; d'argent"	6	"6"	""	""	""	""	""
"Limaille ; de cuivre"		""	""	""	""	""	""
"Limas"		""	""	""	""	""	""
"Limeneas"		""	""	""	""	""	""
"Limes"		""	""	""	""	""	""
"Limes ; d'acier"		""	""	""	""	""	""
"Limes ; de fer"		""	""	"..."	"6"	"6"	""
"Limons ou citrons"	0	"0a"	""	""	""	""	""
"Limons ; salées"	0	"0a"	""	""	""	""	""
"Lin"		""	""	""	""	""	""
"Lin ; ?"		""	""	""	""	""	""
"Lin ; cru"		""	""	""	""	""	""
"Lin ; divers"		""	""	""	""	""	""
"Lin ; en bottes"		""	""	""	""	""	""
"Lin ; en gerbe"		""	""	""	""	""	""
"Lin ; en gerbes"		""	""	""	""	""	""
"Lin ; en masses"		""	""	""	""	""	""
"Lin ; en pelottes"		""	""	""	""	""	""
"Lin ; en pierres"		""	""	""	""	""	""
"Lin ; en rames"		""	""	""	""	""	""
"Lin ; peigné"	2	"2"	""	""	""	""	""
"Lin; cru en masse"	2	"2"	""	""	""	""	""
"Lina"		""	""	""	""	""	""
"Linge ; de table"		""	""	""	""	""	""
"Linge ; vieux"		""	""	""	""	""	""
"Lingerie"		""	""	""	""	""	""
"Lingerie ; de toile ; de lin"		""	""	"..."	"6"	"6a"	""
"Linge ; travaillé"	6	"6"	""	""	""	""	""
"Linnieuse"		""	""	"..."	"..."	"..."	""
"Lin ; sec ; non roui"	2	"2"	""	""	""	""	""
"Lin ; vert ; non battu"		""	""	""	""	""	""
"Lin ; vert ; roui et non roui"	2	"2"	""	""	""	""	""
"Liqueurs"		""	""	""	""	""	""
"Liqueurs ; Diverses"		""	""	""	""	""	""
"Liqueurs ; Rhum"		""	""	""	""	""	""
"Liqueurs ; Sirops"		""	""	""	""	""	""
"Liqueurs ; Sirops ; Fins"		""	""	""	""	""	""
"Liqueurs ; Sirops ; Melasse"		""	""	"..."	"1"	"1"	""
"Liqueurs ; Sirops ; Melasse étranger"		""	""	"..."	"1"	"1"	""
"Liqueurs ; Sirops ; Mélasse"		""	""	""	""	""	""
"Liqueurs ; Sirops ; Mélasse étranger"		""	""	""	""	""	""
"Liqueurs ; Taffia"		""	""	"..."	"1"	"1"	""
"Liqueurs ; Tafia"		""	""	""	""	""	""
"Liqueurs ; distillées"	1	"1"	""	""	""	""	""
"Lisière"	7	"7"	""	""	""	""	""
"Lisière ; de drap"		""	""	""	""	""	""
"Lisière ; de velours"		""	""	""	""	""	""
"Lisières et rognures ; de drap"	6	"6b"	"rognure et lisière de drap"	""	""	""	""
"Lissoirs de verre"		""	""	""	""	""	""
"Lit ; garny"		""	""	"..."	"8"	"8"	""
"Litarge"	5	"5"	"letarge"	""	""	""	""
"Lits ; de Bourre"		""	""	""	""	""	""
"Lits ; de Bourre de chèvre"		""	""	""	""	""	""
"Lits ; de fer"		""	""	"..."	"8"	"8"	""
"Lits ; de plumes"		""	""	""	""	""	""
"Livre ; en blanc"		""	""	""	""	""	""
"Livre ; relié"	8	"8"	""	""	""	""	""
"Livres ; en blanc"		""	""	"..."	"6"	"6"	""
"Livre ; non relié"	8	"8"	""	""	""	""	""
"Lizières ; de drap"		""	""	"..."	"6"	"6b"	""
"Lizières ; de velours"		""	""	"..."	"6"	"6"	""
"Liège"		""	""	"..."	"2"	"2"	""
"Liège ; Divers"		""	""	"..."	"2"	"2"	""
"Liège ; En bouchons"	6	"6"	""	""	""	""	""
"Liège ; En planches"		""	""	"..."	"2"	"2"	""
"Lièvres"		""	""	"…"	"0"	"0a"	""
"Locque"	2	"2"	"locques à faire papier"	""	""	""	""
"Loupins"		""	""	"..."	"0"	"0a"	""
"Lunettes"		""	""	""	""	""	""
"Lustre"		""	""	""	""	""	""
"Lustre ; de Venise"		""	""	""	""	""	""
"Lustres"		""	""	"…"	"8"	"8"	""
"Lustres ; de Venise"		""	""	"…"	"8"	"8"	""
"Lustre ; de cristal et verre"	8	"8"	"lustres de cristal"	""	""	""	""
"Lustrine"		""	""	""	""	""	""
"Luzes"		""	""	""	""	""	""
"Légume"		""	""	""	""	""	""
"Légume ; divers"		""	""	""	""	""	""
"Légume ; sec"	0	"0a"	""	""	""	""	""
"Légumes"		""	""	""	""	""	""
"Légumes ; divers"		""	""	"..."	"0"	"0a"	""
"Légume ; mêlé"	0	"0a"	""	""	""	""	""
"Légume ; à la daube"	0	"0a"	""	""	""	""	""
"Machicot"		""	""	""	""	""	""
"Macis"		""	""	"..."	"0"	"0b"	"Arille de la noix muscade, surtout utilisé comme aromate ou condiment."
"Maganaise"		""	""	"..."	"2"	"2"	""
"Maiclais"		""	""	""	""	""	""
"Maillicot"	5	"5"	""	""	""	""	""
"Malbroug"		""	""	""	""	""	""
"Malemole"		""	""	""	""	""	""
"Malles"		""	""	""	""	""	""
"Malles ; de cuir"		""	""	""	""	""	""
"Malles ; travaillées"		""	""	""	""	""	""
"Malles ; valises et coffres"	8	"8"	""	""	""	""	""
"Malles ; vides"		""	""	""	""	""	""
"Mallettes ; travaillées"	8	"8"	""	""	""	""	""
"Manches ; d'alaisnes"		""	""	""	""	""	""
"Manches ; de balai"		""	""	""	""	""	""
"Manches ; de balain"		""	""	"..."	"6"	"6"	""
"Manches ; de fourches et de balais"	6	"6"	""	""	""	""	""
"Manches ; de gaffe"		""	""	""	""	""	""
"Manches ; de mail"		""	""	""	""	""	""
"Manches ; de pioche"		""	""	""	""	""	""
"Manches ; à lave place"		""	""	""	""	""	""
"Manchettes"		""	""	""	""	""	""
"Manchettes ; brodées"		""	""	"..."	"6"	"6"	""
"Manchettes ; de dentelles"	8	"8"	""	""	""	""	""
"Manchettes et mouchoirs ; brodées"	8	"8"	""	""	""	""	""
"Manchettes et mouchoirs ; de mousseline"	8	"8"	""	""	""	""	""
"Manchons"		""	""	"..."	"6"	"6"	""
"Manchons ; communs"		""	""	""	""	""	""
"Manchons ; de martre"	8	"8"	""	""	""	""	""
"Manchons ; de peux de loup et d'ours"	8	"8"	""	""	""	""	""
"Manchons ; de plumes"	8	"8"	""	""	""	""	""
"Manchons ; de renard"	8	"8"	""	""	""	""	""
"Manchons ; de tigre"		""	""	""	""	""	""
"Manchons ; fins"		""	""	"..."	"6"	"6"	""
"Manchons ; laine"	8	"8"	""	""	""	""	""
"Mandarins"		""	""	""	""	""	""
"Mandes et berces ; d'osier"	8	"8"	"mandes, panniers et berses/mandes d'ozier"	""	""	""	""
"Manganèse"		""	""	""	""	""	""
"Manicot"		""	""	""	""	""	""
"Manille"		""	""	"..."	"6"	"6"	"Anneau de fer ou fibre végétale ?"
"Maniquette"		""	""	""	""	""	""
"Manne"	5	"5"	""	""	""	""	""
"Manne ; de Calabre"		""	""	""	""	""	""
"Manteaux"		""	""	""	""	""	""
"Manteaux ; vieux"		""	""	""	""	""	""
"Manteaux ; courts"	8	"8"	""	""	""	""	""
"Mantelets"		""	""	""	""	""	""
"Mantelets ; courts"		""	""	""	""	""	""
"Mantelets ; de soie"	8	"8"	""	""	""	""	""
"Maquereau"	0	"0a"	""	""	""	""	""
"Maquereaux"		""	""	""	""	""	""
"Maquereaux ; salés"		""	""	"..."	"0"	"0a"	""
"Maquet"		""	""	""	""	""	""
"Marbre"		""	""	""	""	""	""
"Marbre ; blanc"	2	"2"	""	""	""	""	""
"Marbre ; brun"		""	""	""	""	""	""
"Marbre ; brut"		""	""	"..."	"2"	"2"	""
"Marbre ; divers"		""	""	"..."	"2"	"2"	""
"Marbre ; en bloc"	2	"2"	"marbre en bloc ou brut"	""	""	""	""
"Marbre ; en pierres"		""	""	"..."	"6"	"6"	""
"Marbre ; noir ; travaillé"	6	"6"	""	""	""	""	""
"Marbre ; ouvré"		""	""	"..."	"6"	"6"	""
"Marbre ; ouvré ; divers"		""	""	"..."	"6"	"6"	""
"Marbre ; ouvré ; en carreaux"		""	""	""	""	""	""
"Marbre ; ouvré ; en mortier"		""	""	""	""	""	""
"Marbre ; ouvré ; en tables"		""	""	""	""	""	""
"Marbre ; ouvré ; à jouer"		""	""	""	""	""	""
"Marbre ; rouge et gris"	2	"2"	""	""	""	""	""
"Marbre ; travaillé"	6	"6"	""	""	""	""	""
"Marbre ; à jouer"		""	""	""	""	""	""
"Marc"		""	""	""	""	""	""
"Marc ; divers"		""	""	""	""	""	""
"Marc d'olive"		""	""	""	""	""	""
"Marc de raisin"		""	""	""	""	""	""
"Marcassin"	0	"0a"	""	""	""	""	""
"Marcassite"		""	""	"..."	"2"	"2"	"Sulfure de fer"
"Marchandises"		""	""	""	""	""	""
"Marchandises ; blanches"		""	""	""	""	""	""
"Marchandises ; de Montauban"		""	""	""	""	""	""
"Marchandises ; de la cote"		""	""	""	""	""	""
"Marchandises ; de modes"		""	""	""	""	""	""
"Marchandises ; des Indes"		""	""	""	""	""	""
"Marchandises ; diverses"		""	""	""	""	""	""
"Marchandises ; en meubles"		""	""	""	""	""	""
"Marchandises ; mêlées"		""	""	""	""	""	""
"Marchandises ; à l'estimation"		""	""	""	""	""	""
"Marechauderie"		""	""	""	""	""	""
"Mareule"		""	""	""	""	""	""
"Marmites"		""	""	""	""	""	""
"Marmites ; de fer"		""	""	""	""	""	""
"Marmites ; de fonte"		""	""	""	""	""	""
"Marne"	2	"2"	""	""	""	""	""
"Maroc"		""	""	"..."	"6"	"6"	""
"Marons"		""	""	"..."	"0"	"0a"	""
"Marquise"		""	""	""	""	""	""
"Marron"		""	""	""	""	""	""
"Marron et châtaigne"	0	"0a"	""	""	""	""	""
"Marsoin"		""	""	""	""	""	""
"Marteau de forge"	6	"6"	""	""	""	""	""
"Marée ; fraiche"		""	""	""	""	""	""
"Marègue"		""	""	""	""	""	""
"Masque"	8	"8"	""	""	""	""	""
"Masque ; de Venise"		""	""	""	""	""	""
"Masques"		""	""	"..."	"8"	"8"	""
"Masques ; de Venise"		""	""	"..."	"8"	"8"	""
"Masque ; commun"	8	"8"	""	""	""	""	""
"Masque ; communs"	8	"8"	""	""	""	""	""
"Masse ; de mail"		""	""	""	""	""	""
"Masses ; de mail"		""	""	"..."	"8"	"8"	"Masse marteau. De mail ?"
"Massicot"		""	""	"..."	"2"	"2"	"Protoxyde naturel du plomb pour teintures"
"Mastic"		""	""	""	""	""	""
"Mastic ; en larmes"		""	""	"..."	"2"	"2"	""
"Matelas"		""	""	""	""	""	""
"Matelas ; de crin"		""	""	""	""	""	""
"Matelas ; de crin et noppes"	8	"8"	""	""	""	""	""
"Matelas ; de laine"		""	""	""	""	""	""
"Matelas ; vieux"		""	""	""	""	""	""
"Matereaux"		""	""	""	""	""	""
"Matereaux ; ou petits mats"		""	""	"..."	"7"	"7"	""
"Matereaux ; ou petits mâts"		""	""	""	""	""	""
"Mats"		""	""	"..."	"7"	"7"	""
"Mats ; de vaisseaux"		""	""	"..."	"7"	"7"	""
"Mats ; divers"		""	""	"..."	"7"	"7"	""
"Mats ; matures"		""	""	"..."	"7"	"7"	""
"Mats ; petits"		""	""	"..."	"7"	"7"	""
"Matures"		""	""	"..."	"7"	"7"	"BD"
"Maugrebine"		""	""	""	""	""	""
"Maïs"		""	""	"…"	"0"	"0a"	""
"Mecoacam"		""	""	""	""	""	""
"Medailles ; antiques"		""	""	"…"	"8"	"8"	""
"Meffles"	0	"0a"	"guindes"	""	""	""	""
"Melon"	0	"0a"	""	""	""	""	""
"Menages"		""	""	"..."	"8"	"8"	"Petits ustensils de ménage ?"
"Menie"	5	"5"	""	""	""	""	""
"Mentes ; à moulir"		""	""	""	""	""	""
"Mentes ; à taillandier"		""	""	""	""	""	""
"Menuiserie"		""	""	""	""	""	""
"Menuté"	8	"8"	"menutés reprises et non reprises"	""	""	""	""
"Mercerie"		""	""	""	""	""	""
"Mercerie ; Commune"		""	""	"..."	"6"	"6"	""
"Mercerie ; Fine"		""	""	""	""	""	""
"Mercerie ; Fine ; Aiguille"		""	""	""	""	""	""
"Mercerie ; Fine ; Aiguille à coudre"		""	""	"..."	"6"	"6"	""
"Mercerie ; Fine ; Aiguille à voile"		""	""	"..."	"6"	"6"	""
"Mercerie ; Fine ; Diverse"		""	""	""	""	""	""
"Mercerie ; Fine ; Epingles"		""	""	""	""	""	""
"Mercerie ; Melée"		""	""	"..."	"6"	"6"	""
"Mercerie ; Mêlée"		""	""	"..."	"6"	"6"	""
"Mercerie ; Ordinaire"		""	""	""	""	""	""
"Mercerie et jolité ; Mêlée"	8	"8"	""	""	""	""	""
"Mercerie ; de Nuremberg"	8	"8"	"mercerie de Nuremberg"	""	""	""	""
"Mercure"	5	"5"	""	""	""	""	""
"Mercure ; doux"		""	""	"..."	"2"	"2"	""
"Meriers"		""	""	""	""	""	""
"Merlans"	0	"0a"	"merlins dits bollinck, la mande de 100 pieces"	""	""	""	""
"Merlus"		""	""	""	""	""	""
"Merrain ; à barriques"		""	""	""	""	""	""
"Merriers"		""	""	"..."	"..."	"..."	""
"Mervillons"		""	""	""	""	""	""
"Meslus"		""	""	"..."	"..."	"..."	""
"Mesures ; d'étain"		""	""	""	""	""	""
"Metal ; de cloche"		""	""	"..."	"6"	"6"	""
"Meuble"	8	"8"	""	""	""	""	""
"Meuble et miroir"		""	""	""	""	""	""
"Meubles"		""	""	""	""	""	""
"Meubles et miroirs"		""	""	""	""	""	""
"Meules ; ?"		""	""	""	""	""	""
"Meules ; batardes"		""	""	"..."	"7"	"7"	""
"Meules ; bâtardes"		""	""	""	""	""	""
"Meules ; à callandre"		""	""	""	""	""	""
"Meules ; à favre"		""	""	""	""	""	""
"Meules ; à huile"		""	""	""	""	""	""
"Meules ; à moulin"		""	""	""	""	""	""
"Meules ; à taillandes"		""	""	""	""	""	""
"Meules ; à tannerie"		""	""	""	""	""	""
"Meules ; à éguiser"		""	""	""	""	""	""
"Meuniers"	0	"0a"	""	""	""	""	""
"Miel"		""	""	""	""	""	""
"Miel ; cru"		""	""	"..."	"0"	"0a"	""
"Miel ; façonnée"		""	""	""	""	""	""
"Miel ; blanc"	0	"0a"	""	""	""	""	""
"Miel ; brouche"	0	"0a"	""	""	""	""	""
"Miel ; brun"	0	"0a"	""	""	""	""	""
"Mignonnette"		""	""	""	""	""	""
"Migon"		""	""	"..."	"6"	"6"	""
"Milleret et agréments"	8	"8"	""	""	""	""	""
"Milleret et agréments ; de soie"	8	"8"	""	""	""	""	""
"Millet"	0	"0a"	"fenegré et millet"	""	""	""	""
"Millet ; gros"		""	""	""	""	""	""
"Mine ; d'antimoine"		""	""	""	""	""	""
"Mine ; de fer"		""	""	""	""	""	""
"Mine ; de plomb"		""	""	""	""	""	""
"Mine ; de roche"		""	""	""	""	""	""
"Minerai ; de plomb"	2	"2"	""	""	""	""	""
"Mine ; de cuivre rouge"	2	"2"	""	""	""	""	""
"Mini"		""	""	"..."	"..."	"..."	""
"Minium"		""	""	""	""	""	""
"Mirche"		""	""	""	""	""	""
"Mirke"		""	""	""	""	""	""
"Mirobolans"		""	""	""	""	""	""
"Miroirs"		""	""	"..."	"6"	"6"	""
"Miroirs ; divers"		""	""	"..."	"6"	"6"	""
"Miroirs ; glaces"		""	""	"..."	"6"	"6"	""
"Miroirs, petits"	6	"6"	""	""	""	""	""
"Mirrhe"		""	""	""	""	""	""
"Mitaines"		""	""	""	""	""	""
"Mitaines ; brodées"		""	""	"…"	"6"	"6"	""
"Mitaines ; de peau"	8	"8"	""	""	""	""	""
"Mitaines ; garnies de soie"		""	""	""	""	""	""
"Mitaines ; garnies de soye"		""	""	"…"	"6"	"6c"	""
"Mitaines ; liserées"		""	""	""	""	""	""
"Mitaines ; lizerées"		""	""	"…"	"6"	"6"	""
"Mites"		""	""	""	""	""	""
"Mites ; de soie"		""	""	""	""	""	""
"Mitraille ; de cuivre"	6	"6"	"vieux cuivre mitraille"	""	""	""	""
"Mittes"		""	""	"…"	"6"	"6"	""
"Mittes ; de soie"		""	""	"…"	"6"	"6c"	""
"Moelle"		""	""	""	""	""	""
"Moelle ; de bœuf"		""	""	""	""	""	""
"Molenaers"	0	"0a"	"meuniers dits molenaers"	""	""	""	""
"Molton"	6	"6b"	"molton et Camaroux"	""	""	""	""
"Molton ; de laine"		""	""	""	""	""	""
"Momade"		""	""	""	""	""	""
"Momie"		""	""	""	""	""	""
"Moncayard"		""	""	""	""	""	""
"Mongette"		""	""	""	""	""	""
"Mongistere"		""	""	""	""	""	""
"Monnaie ; étrangère"		""	""	""	""	""	""
"Monnaie ; étrangère ou lingot"		""	""	""	""	""	""
"Monnaies ; étrangères"		""	""	"…"	"9"	"9"	""
"Monnaies ; étrangères ou lingots"		""	""	"…"	"9"	"9"	""
"Monnaie ; Piastres"		""	""	""	""	""	""
"Monnaie ; argent"		""	""	""	""	""	""
"Monnaie ; argent ; piastres"		""	""	""	""	""	""
"Monnaie ; argent ; piastres; d'Espagne"		""	""	""	""	""	""
"Monnaie ; argent ; piastres ; du Grand Seigneur"		""	""	""	""	""	""
"Monnaie ; cuivre"		""	""	""	""	""	""
"Monnaie ; or"		""	""	""	""	""	""
"Monnaie ; or et argent"	9	"9"	""	""	""	""	""
"Monnaie ; or et argent ; en piastres"	9	"9"	""	""	""	""	""
"Montres ; d'argent"		""	""	""	""	""	""
"Montres ; d'or"		""	""	""	""	""	""
"Montres ; de cuivre"		""	""	""	""	""	""
"Montres ; de poche"	8	"8"	""	""	""	""	""
"Montres ; de poche ; à caisse d'argent"	8	"8"	"montres de poche en argent"	""	""	""	""
"Montres ; de poche ; à caisse d'or"	8	"8"	"montres de poche en or"	""	""	""	""
"Montres ; de poche ; à caisse de Pinsbeck"	8	"8"	""	""	""	""	""
"Moquette"		""	""	""	""	""	""
"Mords ; de brides"		""	""	"..."	"6"	"6"	""
"Morilles"		""	""	""	""	""	""
"Mors ; de brides"	9	"9"	""	""	""	""	""
"Mortiers ; de marbre"		""	""	""	""	""	""
"Mortiers ; de métal"		""	""	"..."	"6"	"6"	""
"Mortiers ; de pierre"		""	""	""	""	""	""
"Morue"		""	""	"..."	"0"	"0a"	""
"Morue ; note alang"		""	""	"..."	"0"	"0a"	""
"Morue ; sèche"		""	""	"..."	"0"	"0a"	""
"Morue ; têtes"		""	""	"..."	"0"	"0a"	""
"Morue ; verte"		""	""	"..."	"0"	"0a"	""
"Moucade"	6	"6"	""	""	""	""	""
"Mouches ; cantardes"		""	""	""	""	""	""
"Mouches ; cantarides"		""	""	"..."	"6"	"6"	""
"Mouches ; de soie"		""	""	""	""	""	""
"Mouches ; de taffetas"	8	"8"	""	""	""	""	""
"Mouches à miel"		""	""	""	""	""	""
"Mouchoirs"		""	""	"..."	"6"	"6a"	""
"Mouchoirs ; Komel et Renis"		""	""	""	""	""	""
"Mouchoirs ; communs"		""	""	"..."	"6"	"6a"	""
"Mouchoirs ; d'aleph"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; d'indienne"		""	""	""	""	""	""
"Mouchoirs ; de Bearn"		""	""	"..."	"6"	"6a"	""
"Mouchoirs ; de Bengal"		""	""	""	""	""	""
"Mouchoirs ; de Betton"		""	""	""	""	""	""
"Mouchoirs ; de Béarn"		""	""	""	""	""	""
"Mouchoirs ; de Cholet"		""	""	""	""	""	""
"Mouchoirs ; de Madras"		""	""	""	""	""	""
"Mouchoirs ; de Pondichery"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; de Pondichéry"		""	""	""	""	""	""
"Mouchoirs ; de Romald"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; de Rouen"		""	""	""	""	""	""
"Mouchoirs ; de Saumur"		""	""	""	""	""	""
"Mouchoirs ; de Zurich"		""	""	""	""	""	""
"Mouchoirs ; de Zurick"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; de coton"		""	""	""	""	""	""
"Mouchoirs ; de coton et soie"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; de coton peints"		""	""	""	""	""	""
"Mouchoirs ; de fil"		""	""	""	""	""	""
"Mouchoirs ; de fil et coton"		""	""	""	""	""	""
"Mouchoirs ; de foulard"		""	""	""	""	""	""
"Mouchoirs ; de gaze"		""	""	""	""	""	""
"Mouchoirs ; de guinguan"		""	""	""	""	""	""
"Mouchoirs ; de l'hotes"		""	""	""	""	""	""
"Mouchoirs ; de laine"		""	""	""	""	""	""
"Mouchoirs ; de masulipatan"		""	""	""	""	""	""
"Mouchoirs ; de mousseline"		""	""	"cotton"	"6"	"6d"	""
"Mouchoirs ; de paliacatte"		""	""	""	""	""	""
"Mouchoirs ; de siamoise"		""	""	""	""	""	""
"Mouchoirs ; de soie"		""	""	""	""	""	""
"Mouchoirs ; de souey"		""	""	"silk fabrics"	"6"	"6c"	""
"Mouchoirs ; de toile cholet"		""	""	"linens"	"6"	"6a"	""
"Mouchoirs ; de toile ; de Cholet"		""	""	""	""	""	""
"Mouchoirs ; des Indes"		""	""	""	""	""	""
"Mouchoirs ; des Indes ; de coton"		""	""	""	""	""	""
"Mouchoirs ; des Indes ; de soie"		""	""	""	""	""	""
"Mouchoirs ; des Indes ; dit bandanas"		""	""	""	""	""	""
"Mouchoirs ; des Indes ; dit bandannais"		""	""	"..."	"6"	"6"	""
"Mouchoirs ; divers"		""	""	""	""	""	""
"Mouchoirs ; du Levant"		""	""	""	""	""	""
"Mouchoirs ; en soie"		""	""	""	""	""	""
"Mouchoirs ; fins"		""	""	"…"	"6"	"6a"	""
"Mouchoirs ; peints"		""	""	""	""	""	""
"Mouchoirs ; points"		""	""	""	""	""	""
"Mouchoirs ; à peu de soie"		""	""	""	""	""	""
"Mouchoirs ; à vignettes"		""	""	""	""	""	""
"Mouchoirs brodées"	8	"8"	""	""	""	""	""
"Mouchoirs d'Indienne"	8	"8"	""	""	""	""	""
"Mouchoirs de coton"	8	"8"	""	""	""	""	""
"Mouchoirs de coton découpés"	8	"8"	""	""	""	""	""
"Mouchoirs de fil et coton"	8	"8"	""	""	""	""	""
"Mouchoirs de fil et coton découpés"	8	"8"	""	""	""	""	""
"Mouchoirs de mousseline"	8	"8"	""	""	""	""	""
