marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Tambours ; de fer"	"Tambours"	"8"	"8"	""		""	""	""	"Tambourgs ; de fer"	"Tambours ; de fer"	""	""	""	""	0	0	1	"matched (3)"
"Tambours ; à sucre"	"Tambours"	"8"	"8"	""		""	""	""	"Tambours ; à sucre"	"Tambours ; à sucre"	""	""	""	""	0	0	1	"matched (3)"
"Tamis"	"Tamis"	"6"	"6"	""		""	""	""	"Tamis"	"Tamis"	""	""	""	""	0	0	1	"matched (3)"
"Tamis ; de crin"	"Tamis"	"6"	"6"	""		""	""	""	"Tamis de crin"	"Tamis ; de crin"	""	""	""	""	0	0	1	"matched (3)"
"Tamis ; à tabac"	"Tamis"	"6"	"6"	""		""	""	""	"Tamis ; à tabac"	"Tamis ; à tabac"	""	""	""	""	0	0	1	"matched (3)"
"Tamis ; faits et à faire"	"Tamis"	"6"	"6"	""	6	"6"	""	""	"tamis faits et à faire"	"Tamis ; faits et à faire"	""	"zeven (gemaakt en nog te maken)"	"sieves"	"pieces"	1	1	0	"matched (3)"
"Tanche"	"Tanche"	"0"	"0a"	""	0	"0a"	""	""	"tanches"	"Tanche"	""	"zeelt"	"tench"	"pieces"	1	0	0	"matched (3)"
"Tanelles"	"Tanelles"	"…"	"…"	""		""	""	""	"Tanelles"	"Tanelles"	""	""	""	""	0	0	1	"matched (3)"
"Tapette"	"Tapette"	"8"	"8"	""	8	"8"	""	""	"tapettes"	"Tapette"	""	"vliegenmeppers"	"flyswatters"	"guilders"	1	0	0	"matched (3)"
"Tapette à mouches"	"Tapette à mouches"	"8"	"8"	""		""	""	""	"tapette à mouches"	"Tapette à mouches"	""	""	""	""	0	0	0	"matched (3)"
"Tapis"	"Tapis"	"6"	"6"	""		""	""	""	"Marchandises provenant du commerce français dans l'Inde ; Tapis"	"Tapis"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; d'Aubusson"	"Tapis"	"6"	"6"	""		""	""	"..."	"Tapis ; d'aubusson"	"Tapis ; d'Aubusson"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; d'Auvergne"	"Tapis"	"6"	"6"	""		""	""	""	"Tapis ; d'Auvergne"	"Tapis ; d'Auvergne"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; d'indienne"	"Tapis"	"6"	"6d"	""		""	""	"..."	"Tapis ; d'indienne"	"Tapis ; d'indienne"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; de Turquie"	"Tapis"	"6"	"6d"	""		""	""	"..."	"tapis de Turquie"	"Tapis ; de Turquie"	""	"tapijtwerk (Turkije)"	"tapestry from Turkey"	"ell"	1	0	0	"matched (3)"
"Tapis ; de laine"	"Tapis"	"6"	"6b"	""		""	""	""	"Tapis; de lame"	"Tapis ; de laine"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; de moquette"	"Tapis"	"6"	"6"	""		""	""	"..."	"Tapis ; de moquette"	"Tapis ; de moquette"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; de toile cirée"	"Tapis"	"6"	"6d"	""		""	""	""	"Tapis ; de toile cirée"	"Tapis ; de toile cirée"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; de toile peinte"	"Tapis"	"6"	"6d"	""		""	""	""	"Tapis ; de toile peinte"	"Tapis ; de toile peinte"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; divers"	"Tapis"	"6"	"6"	""		""	""	""	"Tapis divers"	"Tapis ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; fil et coton"	"Tapis"	"6"	"6a"	""		""	""	""	"Tapis ; fil et coton"	"Tapis ; fil et coton"	""	""	""	""	0	0	1	"matched (3)"
"Tapis ; fil teint"	"Tapis"	"6"	"6a"	""		""	""	"..."	"Tapis ; fil teint"	"Tapis ; fil teint"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie"	"Tapisserie"	"6"	"6"	""	6	"6"	""	""	"Tapisserie"	"Tapisserie"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; commune"	"Tapisserie"	"6"	"6"	""	6	"6"	""	""	"tapisseries communes"	"Tapisserie ; commune"	""	"tapijtwerk (gewoon)"	"regular tapestry"	"pounds"	1	1	0	"matched (3)"
"Tapisserie ; d'Amiens"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; d'amiens"	"Tapisserie ; d'Amiens"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; d'Aubusson"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisseries ; d'Aubusson"	"Tapisserie ; d'Aubusson"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; d'Auvergne"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisseries ; d'Auvergne"	"Tapisserie ; d'Auvergne"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; d'Elbeuf"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; d'Elbeuf"	"Tapisserie ; d'Elbeuf"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; d'Hautelisse"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; d'Hautelisse"	"Tapisserie ; d'Hautelisse"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; d'Oudenarde"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; d'oudenarde"	"Tapisserie ; d'Oudenarde"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Beauvais"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de Beauvais"	"Tapisserie ; de Beauvais"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Bergame"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de Bergames"	"Tapisserie ; de Bergame"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Bergames"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de bergame"	"Tapisserie ; de Bergames"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Bruxelles"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de Bruxelles"	"Tapisserie ; de Bruxelles"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Dauphiné"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de Dauphiné"	"Tapisserie ; de Dauphiné"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Flandres"	"Tapisserie"	"6"	"6a"	""		""	""	""	"Tapisserie ; de flandres"	"Tapisserie ; de Flandres"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de Rouen"	"Tapisserie"	"6"	"6b"	""		""	""	""	"Tapisserie ; de Roüen"	"Tapisserie ; de Rouen"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de cuir doré"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; de cuir doré"	"Tapisserie ; de cuir doré"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de fil ; teint"	"Tapisserie"	"6"	"6a"	""		""	""	""	"Tapisserie ; fil teint"	"Tapisserie ; de fil ; teint"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de fil et laine"	"Tapisserie"	"6"	"6a"	""		""	""	""	"Tapisserie ; fil et laine"	"Tapisserie ; de fil et laine"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de filoselle"	"Tapisserie"	"6"	"6c"	""		""	""	""	"Tapisserie ; de filozelle"	"Tapisserie ; de filoselle"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de la Marche"	"Tapisserie"	"6"	"6a"	""		""	""	""	"Tapisserie ; de la Marche"	"Tapisserie ; de la Marche"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; de laine"	"Tapisserie"	"6"	"6"	""		""	""	"..."	"tapisseries de laine"	"Tapisserie ; de laine"	""	"wollen tapijten"	"woollen carpets"	"ell"	1	0	0	"matched (3)"
"Tapisserie ; de moquette"	"Tapisserie"	"6"	"6b"	""		""	""	""	"Tapisserie ; de moquette"	"Tapisserie ; de moquette"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; des Gobelins"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; des Gobelins"	"Tapisserie ; des Gobelins"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; diverses"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie diverses"	"Tapisserie ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; peinte"	"Tapisserie"	"6"	"6d"	""		""	""	""	"Tapisserie ; peint"	"Tapisserie ; peinte"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; point d'Hongrie"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; point d'Hongrie"	"Tapisserie ; point d'Hongrie"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; tantisse"	"Tapisserie"	"6"	"6"	""		""	""	"..."	"Tapisserie ; tantisse"	"Tapisserie ; tantisse"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; verdure"	"Tapisserie"	"6"	"6"	""		""	""	"..."	"Tapisserie ; verdure"	"Tapisserie ; verdure"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; vieille"	"Tapisserie"	"6"	"6"	""		""	""	""	"Tapisserie ; vieilles"	"Tapisserie ; vieille"	""	""	""	""	0	0	1	"matched (3)"
"Tapisseries ; de haute lice"	"Tapisserie"	"6"	"6"	""	6	"6"	""	""	"tapisseries de haute lice, en tentures"	"Tapisseries ; de haute lice ; en tentures"	""	"tapijtwerk (haute lice) per 'tenture'"	"tapestry (haute lice) per 'tenture'"	"pieces"	1	0	0	"matched (3)"
"Tapisserie ; de coton imprimé"	"Tapisserie"	"6"	"6d"	""	6	"6d"	""	""	"tapisseries de coton imprimé"	"Tapisserie ; de coton imprimé"	""	"tapijtwerk van gedrukt katoen"	"tapestry of printed cotton"	"guilders"	1	0	0	"matched (3)"
"Tapisserie ; de toile cirée"	"Tapisserie"	"6"	"6d"	""		""	""	""	"Tapisserie; de toile cirée"	"Tapisserie ; de toile cirée"	""	""	""	""	0	0	1	"matched (3)"
"Tapisserie ; simples"	"Tapisserie"	"6"	"6"	""	6	"6"	""	""	"tapisseries simples"	"Tapisserie ; simples"	""	"tapijtwerk (eenvoudig)"	"plain tapestry"	"pounds"	1	0	0	"matched (3)"
"Tapisserie ; vieille"	"Tapisserie"	"6"	"6"	""	6	"6"	""	""	"tapisseries vielles"	"Tapisserie ; vieille"	""	"tapijtwerk (oud)"	"old tapestry"	"guilders"	1	0	0	"matched (3)"
"Tapis ; d'Angleterre"	"Tapis"	"6"	"6"	""	6	"6"	""	""	"tapis d'Angleterre"	"Tapis ; d'Angleterre"	""	"tapijtwerk (Engeland)"	"tapestry from England"	"guilders"	1	0	0	"matched (3)"
"Tapis ; de laine"	"Tapis"	"6"	"6b"	""		""	""	""	"tapis de table / pièce"	"Tapis ; de laine"	""	"tafelkleden (per stuk)"	"table cloth (per piece)"	"pieces"	1	1	0	"matched (3)"
"Tapis ; fabrique de Tournais"	"Tapis"	"6"	"6"	""	6	"6"	""	""	"tapis fabrique de Tournai"	"Tapis ; fabrique de Tournais"	""	"tapijtwerk (Doornik)"	"tapestry from Tournai"	"pieces"	1	0	0	"matched (3)"
"Tapsel"	"Tapsel"	"…"	"…"	""		""	""	""	"Tapsel"	"Tapsel"	""	""	""	""	0	0	1	"matched (3)"
"Tartre"	"Tartre"	"5"	"5"	""		""	""	""	"Tartre"	"Tartre"	""	""	""	""	0	0	1	"matched (3)"
"Taupine ; de soie et coton"	"Taupine ; de soie et coton"	"…"	"…"	""		""	""	""	"Taupine ; soye et coton"	"Taupine ; de soie et coton"	""	""	""	""	0	0	1	"matched (3)"
"Taureaux"	"Taureaux"	"0"	"0a"	""		""	""	"..."	"Taureaux"	"Taureaux"	""	""	""	""	0	0	1	"matched (3)"
"Tavelle"	"Tavelle"	"…"	"…"	""		""	""	""	"Tavette"	"Tavelle"	""	""	""	""	0	0	1	"matched (3)"
"Tavelle ; de laine"	"Tavelle ; de laine"	"6"	"6b"	""		""	""	""	"Tavelle ; de laine"	"Tavelle ; de laine"	""	""	""	""	0	0	1	"matched (3)"
"Tayolles"	"Tayolles"	"…"	"…"	""		""	""	""	"Tayolle"	"Tayolles"	""	""	""	""	0	0	1	"matched (3)"
"Teinture"	"Teinture"	"5"	"5"	""	5	"5"	""	""	"teintures mellées"	"Teintures ; mêlées"	""	"kleurstoffen (gemengd)"	"mixed dyestuffs"	"guilders"	1	1	0	"matched (3)"
"Tendeurs de voiles"	"Tendeurs de voiles"	"6"	"6"	""	6	"6"	""	""	"tendeurs de voile"	"Tendeurs de voiles"	""	""	""	""	0	0	0	"matched (3)"
"Tentes"	"Tentes et voiles"	"6"	"6"	""	6	"6"	""	""	"tentes"	"Tentes"	""	"tenten"	"tents"	"pieces"	1	0	0	"matched (3)"
"Tentes et voiles"	"Tentes et voiles"	"6"	"6"	""		""	""	""	"tentes et voiles"	"Tentes et voiles"	""	"tenten en zeilen"	"tents and sails"	""	1	1	0	"matched (3)"
"Tentes et voiles (en rolles ou pièces)"	"Tentes et voiles"	"6"	"6"	""	6	"6"	""	""	"tentes et voiles (en rolles ou pièces)"	"Tentes et voiles (en rolles ou pièces)"	""	"tenten en zeilen (in rollen of per stuk)"	"tents and sails in rolls and pieces"	"pieces"	1	0	0	"matched (3)"
"Tercq"	"Tercq"	"…"	"…"	""		""	""	""	"Tercq"	"Tercq"	""	""	""	""	0	0	1	"matched (3)"
"Terramerita"	"Terramerita"	"…"	"…"	""		""	""	""	"Terra merita"	"Terramerita"	""	""	""	""	0	0	1	"matched (3)"
"Terre"	"Terre"	"2"	"2"	""		""	""	""	"Terres"	"Terre"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; Pozolane"	"Terre"	"2"	"2"	""		""	""	"..."	"Terres ; Pozolane"	"Terre ; Pozolane"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; Séguillée"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; Séguillée"	"Terre ; Séguillée"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; blanche"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; blanche"	"Terre ; blanche"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; commune"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre commune"	"Terre ; commune"	""	"gewone aarde"	"regular earth"	"guilders"	1	0	0	"matched (3)"
"Terre ; d'emery"	"Terre"	"5"	"5"	""		""	""	""	"Terre ; d'emery"	"Terre ; d'emery"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; d'ombre"	"Terre"	"5"	"5"	""	5	"5"	""	"..."	"Terre ; d'ombre"	"Terre ; d'ombre"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; d'ombre de Cologne et de Roucou"	"Terre"	"5"	"5"	""	5	"5"	""	""	"terre d'ombre de Cologne et de Roucou"	"Terre ; d'ombre de Cologne et de Roucou"	""	"kleurstoffen (omber- en keulse aarde)"	"Cologne umber"	"pounds"	1	0	0	"matched (3)"
"Terre ; de Bologne"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de Bologne"	"Terre ; de Bologne"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de Cologne"	"Terre"	"2"	"2"	""		""	""	"..."	"terre de cologne"	"Terre ; de cologne"	""	"kleurstoffen (Keulse aarde)"	"Cologne earth"	"pounds"	1	1	0	"matched (3)"
"Terre ; de Rome"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre de Rome"	"Terre ; de Rome"	""	"aarde (romeinse klei)"	"Roman earth"	"last"	1	0	0	"matched (3)"
"Terre ; de Rouen"	"Terre"	"5"	"5"	""	5	"5"	""	""	"terre de Rouen"	"Terre ; de Rouen"	""	"kleurstoffen (aarde van rouen)"	"Earth from Rouen"	"last"	1	1	0	"matched (3)"
"Terre ; de Satine"	"Terre"	"2"	"2"	""		""	""	""	"Terre; de Satine"	"Terre; de Satine"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de Vérone"	"Terre"	"2"	"2"	""		""	""	""	"Terre; de Veronne"	"Terre ; de Vérone"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de ciment"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de ciment"	"Terre ; de ciment"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de faïence"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de fayance"	"Terre ; de faïence"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de grès"	"Terre"	"2"	"2"	""		""	""	""	"Terre; de grez"	"Terre ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de monnaie"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de monnoye"	"Terre ; de monnaie"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de mulardeau"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre de mulardeau"	"Terre ; de mulardeau"	""	"terre de mulardeau"	"terre de mulardeau"	"pounds"	1	0	0	"matched (3)"
"Terre ; de plomb"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de plomb"	"Terre ; de plomb"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de porcelaine"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; de porcelaine"	"Terre ; de porcelaine"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de rocou"	"Terre"	"5"	"5"	""		""	""	""	"Terre ; de rocou"	"Terre ; de rocou"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; de verrerie"	"Terre"	"2"	"2"	""		""	""	"..."	"Terre ; de verrerie"	"Terre ; de verrerie"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; dite souda"	"Terre"	"5"	"5"	""	5	"5"	""	""	"terre dite souda"	"Terre ; dite souda"	"soda"	"kleurstoffen (soda)"	"soda"	"pounds"	1	1	0	"matched (3)"
"Terre ; diverses"	"Terre"	"2"	"2"	""		""	""	""	"Terres diverses"	"Terre ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; glaise"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; glaise"	"Terre ; glaise"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; grasse"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; grasse"	"Terre ; grasse"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; houille"	"Terre"	"3"	"3"	""	3	"3"	""	""	"terre houille"	"Terre ; houille"	""	"steenkool (terre houille)"	"coal (terre houille)"	"quarter"	1	1	0	"matched (3)"
"Terre ; jaune"	"Terre"	"2"	"2"	""		""	""	""	"terre jaune"	"Terre ; jaune"	""	"kleurstoffen (gele aarde)"	"yellow earth"	"charretée"	1	0	0	"matched (3)"
"Terre ; jaune ou herbe à teindre"	"Terre"	"2"	"2"	"terre jaune"	5	"5"	"terre jaune"	""	"terre jaune ou herbe à teindre"	"Terre ; jaune ou herbe à teindre"	""	"gele aarde"	"yellow earth"	"guilders"	1	0	0	"matched (3)"
"Terre ; manganèse"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; maganaise"	"Terre ; manganèse"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; pour verreries"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre pour verreries"	"Terre ; pour verreries"	""	"aarde (voor de glasblazerij)"	"earth for glass blowers"	"pounds"	1	0	0	"matched (3)"
"Terre ; pourrie"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; pourie"	"Terre ; pourrie"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; rouge"	"Terre"	"2"	"2"	""		""	""	""	"terre rouge"	"Terre ; rouge"	""	"kleurstoffen (rode aarde)"	"red earth"	"pounds"	1	0	0	"matched (3)"
"Terre ; verte"	"Terre"	"5"	"5"	""	5	"5"	""	""	"Terre; verte"	"Terre ; verte"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à bâtir"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; à batir"	"Terre ; à bâtir"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à ciment"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; à ciment"	"Terre ; à ciment"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à faire pippes"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre à faire pippes"	"Terre ; à faire pippes"	""	"aarde (klei voor pijpen)"	"pipe clay"	"last"	1	1	0	"matched (3)"
"Terre ; à faïence"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; à fayance"	"Terre ; à faïence"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à fouler"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre à fouler"	"Terre ; à fouler"	""	"aarde (klei à fouler)"	"press clay"	"last"	1	1	0	"matched (3)"
"Terre ; à foulon"	"Terre"	"2"	"2"	""		""	""	"..."	"Terre ; à Toulon"	"Terre ; à foulon"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à pipes"	"Terre"	"2"	"2"	""		""	""	"..."	"Terre; à pipes"	"Terre ; à pipes"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à potier"	"Terre"	"2"	"2"	""		""	""	""	"Terre; à pouier"	"Terre ; à potier"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; à pottier"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre à pottier"	"Terre ; à pottier"	""	"aarde (pottebakkersklei)"	"potter's clay"	"last"	1	1	0	"matched (3)"
"Terre ; à pottier et à faire pipes"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre à pottier et à faire pipes"	"Terre ; à pottier et à faire pipes"	""	"aarde (pottebakkers- en pijpklei)"	"potter's and pipe clay"	"last"	1	1	0	"matched (3)"
"Terre ; à pottier et à fouler"	"Terre"	"2"	"2"	""	2	"2"	""	""	"terre à pottier et à fouler"	"Terre ; à pottier et à fouler"	""	"aarde (pottebakkersklei & à fouler))"	"potter's and press clay"	"last"	1	0	0	"matched (3)"
"Terre ; à sucre"	"Terre"	"0"	"0b"	""		""	""	""	"Terre ; a sucre"	"Terre ; à sucre"	""	""	""	""	0	0	1	"matched (3)"
"Terrerie"	"Terrerie"	"2"	"2"	""		""	""	"..."	"Terrerie"	"Terrerie"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; noire"	"Terre"	"2"	"2"	""		""	""	""	"Terre ; noire"	"Terre ; noire"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; pourrie"	"Terre"	"2"	"2"	""		""	""	""	"Poucrie ; de terre"	"Terre ; pourrie"	""	""	""	""	0	0	1	"matched (3)"
"Terre ; segillé"	"Terre"	"2"	"2"	""		""	""	""	"Terre; segillé"	"Terre ; segillé"	""	""	""	""	0	0	1	"matched (3)"
"Terriers ; de fer"	"Terriers ; de fer"	"…"	"…"	""		""	""	""	"Terriers ; de fer"	"Terriers ; de fer"	""	""	""	""	0	0	1	"matched (3)"
"Thermomètre"	"Thermomètre"	"8"	"8"	""		""	""	""	"Termometre"	"Thermomètre"	""	""	""	""	0	0	1	"matched (3)"
"Thon"	"Poisson"	"0"	"0a"	""		""	""	""	"Thome"	"Thon"	""	""	""	""	0	0	1	"matched (3)"
"Thon ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Thon ; frais"	"Thon ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Thon ; mariné"	"Poisson"	"0"	"0a"	""		""	""	""	"Thon ; mariné"	"Thon ; mariné"	""	""	""	""	0	0	1	"matched (3)"
"Thon ; salé"	"Poisson"	"0"	"0a"	""		""	""	""	"Thon ; salé"	"Thon ; salé"	""	""	""	""	0	0	1	"matched (3)"
"Thon ; thonine"	"Poisson"	"0"	"0a"	""		""	""	""	"Thon; marinée"	"Thon ; thonine"	""	""	""	""	0	0	1	"matched (3)"
"Thé"	"Thér"	"0"	"0b"	""		""	""	""	"Thés"	"Thé"	""	""	""	""	0	0	1	"matched (3)"
"Théières"	"Théières"	"6"	"6"	""		""	""	""	"Theyeres"	"Théœères"	""	""	""	""	0	0	1	"matched (3)"
"Théières ; de métal"	"Théières ; de métal"	"6"	"6"	""		""	""	""	"Theyères ; de métal"	"Théœères ; de métal"	""	""	""	""	0	0	1	"matched (3)"
"Thépays"	"Thépays"	"0"	"0b"	""		""	""	""	"Thépays"	"Thépays"	""	""	""	""	0	0	1	"matched (3)"
"Thérebentine"	"Thérebentine"	"5"	"5"	""	5	"5"	""	""	"therebentinne"	"Thérebentine"	""	"terpentijn"	"terpentine"	"pounds"	1	1	0	"matched (3)"
"Thériaque"	"Thériaque"	"5"	"5"	""		""	""	""	"theriaque"	"Thériaque"	""	"triakel"	"theriac"	"guilders"	1	1	0	"matched (3)"
"Tiers ; à tonneaux"	"Tiers ; à tonneaux"	"6"	"6"	""		""	""	"…"	"Tiers à tonneaux"	"Tiers ; à tonneaux"	""	""	""	""	0	0	1	"matched (3)"
"Tiretaine"	"Tiretaine"	"6"	"6b"	"Etoffe de laine et fils (Savary)"		""	""	"..."	"Tirtaine"	"Tiretaine"	""	""	""	""	0	0	1	"matched (3)"
"Tiretaine et miselaine"	"Tiretaine"	"6"	"6b"	""	6	"6b"	""	""	"tiretaine et miselaine / aune"	"Tiretaine et miselaine"	""	"tirentein en messolaan / el"	"tiretaine and miselaine"	"guilders"	1	1	0	"matched (3)"
"Toile"	"Toile"	"6"	"6"	""		""	""	""	"Marchandises provenant du commerce français dans l'Inde ; Toiles"	"Toile"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Bem ; A voile"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; Bem ; A voile"	"Toile ; Bem ; A voile"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Bem ; De Vimoutiers"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; Bem ; De Vimoutiers"	"Toile ; Bem ; De Vimoutiers"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Cholet"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Cholet"	"Toile ; Cholet"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Idem ; d'Olonne"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; de Bretagne ; d'Ottone"	"Toile ; Idem ; d'Ollonne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Idem ; de Marigny"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de lin ; de Marigny"	"Toile ; de lin ; de Marigny"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Killis"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; kittis"	"Toile ; Killis"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Linon"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Linon"	"Toile ; Linon"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Manouf"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Manouf"	"Toile ; Manouf"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Nankin"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; mankin"	"Toile ; Nankin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Potonnoise"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Polounoise"	"Toile ; Potonnoise"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Royale"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; royale"	"Toile ; Royale"	""	""	""	""	0	0	1	"matched (3)"
