marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
Ligneul		…	…				1
Lilarge	Lilarge	…	…				
Lilas		2	2				3
Lillas	Lillas	2	2				
Limaille	Limaille	2	2				3
Limaille ; d'argent	Limaille	2	2		6	6	1
Limaille ; de cuivre	Limaille	2	2				1
Limande		0	0a				7
Limas	Limas	…	…				21
Limeneas	Toile ; de coton	6	6d	Sorte d'indienne			55
Limes	Limes	8	8				1
Limes ; d'acier	Limes	8	8				2
Limons ; salées		0	0a				1
Limons ou citrons	Limons ou citrons	0	0a		0	0a	7
Lin	Lin	2	2				113
Lin ; ?	Lin	2	2				
Lin ; apprêté		6	6a				1
Lin ; cru	Lin	2	2				11
Lin ; divers	Lin	2	2				
Lin ; en bottes	Lin	2	2				
Lin ; en gerbe	Lin	2	2				
Lin ; en gerbes	Lin	2	2				
Lin ; en masses	Lin	2	2				
Lin ; en pelottes	Lin	2	2				
Lin ; en Pierre		2	2				2
Lin ; en pierres	Lin	2	2				
Lin ; en rames	Lin	2	2				1
Lin ; peigné	Lin	2	2				66
Lin ; pour paillasson		2	2				3
Lin ; sans paille et en potasse		2	2				3
Lin ; sec ; non roui	Lin	2	2		2	2	0
Lin ; tressé		2	2				0
Lin ; vert ; non battu	Lin	2	2				
Lin ; vert ; roui et non roui		2	2				1
Lin; cru		2	2				1
Lin; cru en masse	Lin	2	2		2	2	
Lina	Lina	…	…				13
Linge		6	6				9
Linge ; de table	Linge	6	6				1
Linge ; de table ; chemises		6	6				4
Linge ; de table ; neuf		8	8				13
Linge ; de table ; ouvré		8	8				1
Linge ; travaillé		8	8				11
Linge ; vieux	Linge ; vieux	6	6				28
Lingerie	Lingerie	6	6				12
Lingerie ; chemise		8	8				3
Lingerie ; de toile ; de lin	Lingerie ; de toile ; de lin	6	6a				1
Lingerie ; en chanvre		8	8				2
Lingerie ; ouvrée		8	8				5
Linnieuse	Linnieuse	…	...				15
Liqueur		1	1				310
Liqueur ; distillées		1	1				1
Liqueur ; Rhum		1	1				4
Liqueur ; Sirops		1	1				35
Liqueur ; Sirops ; Fins		1	1				2
Liqueur ; Sirops ; Mélasse		1	1				16
Liqueur ; Tafia		1	1				3
Liqueur : Rhum, arak, anis, etc.		1	1				1
Liqueurs	Liqueurs	1	1				
Liqueurs ; distillées	Liqueurs ; distillées	1	1		1	1	
Liqueurs ; Diverses	Liqueurs ; Diverses	1	1				
Liqueurs ; Rhum	Liqueurs ; Rhum	1	1				
Liqueurs ; Sirops	Liqueurs ; Sirops	1	1				
Liqueurs ; Sirops ; Fins	Liqueurs ; Sirops ; Fins	1	1				
Liqueurs ; Sirops ; Mélasse	Liqueurs ; Sirops ; Mélasse	1	1				
Liqueurs ; Sirops ; Mélasse étranger	Liqueurs ; Sirops ; Mélasse étranger	1	1				
Liqueurs ; Tafia	Liqueurs ; Tafia	1	1				
Lisière	Lisière	6	6		7	7	2
Lisière ; de drap	Lisière	6	6b				34
Lisière ; de velours	Lisière	6	6c				1
Lisières et rognures ; de drap	Lisières et rognures ; de drap	6	6b	rognure et lisière de drap	6	6b	1
Lissoirs de verre	Lissoirs de verre	…	…				3
Lit ; garny	Lit	8	8				
Litarge	Litarge	…	…				
Literie		8	8				5
Lits ; de Bourre	Lit	8	8				3
Lits ; de Bourre de chèvre	Lit	8	8				13
Lits ; de fer	Lit	8	8				5
Lits ; de Plume		8	8				18
Lits ; de plumes	Lit	8	8				
Livre		8	8				2
Livre ; en blanc	Livre	8	8				26
Livre ; non relié		8	8				3
Livre ; relié	Livre	8	8		8	8	5
Locque	Locque	2	2	locques à faire papier	2	2	
Longs ; vieux		…	…				1
Loupins	Loupins	0	0a				1
Lunettes	Lunettes	8	8				8
Lustre	Lustre	8	8				3
Lustre ; de cristal et verre	Lustre	8	8	lustres de cristal	8	8	3
Lustre ; de Venise	Lustre	8	8				5
Lustrine	Lustrine	…	…				1
Luzes	Luzes	…	…				1
Lystre		…	…				13
Machicot	Machicot	6	6				
Machine ; à feu		7	7				1
Machine ; pour fabriquer le tabac		7	7				1
Macis	Macis	0	0b	Arille de la noix muscade, surtout utilisé comme aromate ou condiment.			5
Madrier ; de bois		6	6				32
Maiclais	Maiclais	…	…				6
Maillicot	Maillicot	5	5		5	5	1
maïs	maïs	0	0a				
Malbroug	Malbroug	…	…				1
Malemole	Malemole	…	…				2
Malles	Malles	8	8				2
Malles ; de cuir	Malles	8	8				1
Malles ; travaillées	Malles	8	8				2
Malles ; valises et coffres	Malles	8	8		8	8	1
Malles ; vides	Malles	8	8				14
Mallettes ; travaillées	Mallettes ; travaillées	8	8		8	8	1
Malt		0	0a				13
Manches ; à lave place	Manches	6	6				6
Manches ; d'alaisnes	Manches	6	6				14
Manches ; de balai	Manches	6	6				2
Manches ; de fourches et de balais	Manches	6	6		6	6	
Manches ; de gaffe	Manches	6	6				16
Manches ; de mail	Manches	6	6				3
Manches ; de pioche	Manches	6	6				
Manches ; pour jardinage		6	6				26
Manchettes	Manchettes	8	8				0
Manchettes ; brodées	Manchettes	8	8		8	8	35
Manchettes ; de dentelles	Manchettes	8	8				2
Manchettes et Mouchoir ; brodées		8	8				1
Manchettes et Mouchoir ; de mousseline		8	8				1
Manchettes et mouchoirs ; brodées	Manchettes	8	8		8	8	
Manchettes et mouchoirs ; de mousseline	Manchettes	8	8		8	8	
Manchons	Manchons	6	6				0
Manchons ; communs	Manchons	8	8		8	8	27
Manchons ; de martre	Manchons	8	8		8	8	1
Manchons ; de peux de loup et d'ours	Manchons	8	8		8	8	43
Manchons ; de Plume		8	8				1
Manchons ; de plumes	Manchons	8	8		8	8	
Manchons ; de renard	Manchons	8	8		8	8	108
Manchons ; de tigre	Manchons	8	8		8	8	12
Manchons ; fins	Manchons	8	8				1
Manchons ; laine	Manchons	8	8		8	8	1
Mandarins	Mandarins	…	…				1
Mandes et berces ; d'osier	Mandes et berces ; d'osier	8	8	mandes, panniers et berses/mandes d'ozier	8	8	25
Manganèse	Manganèse	2	2				2
Manicot	Manicot	…	…				3
Maniguette		…	…				1
Manille	Manille	6	6	Anneau de fer ou fibre végétale ?			4
Maniquette	Maniquette	…	…				10
Manne	Drogue ; médicinale	2	2	Exsudation sucrée provenant de plusieurs végétaux			62
Manne ; de Calabre	Drogue ; médicinale	2	2	Exsudation sucrée provenant de plusieurs végétaux			1
Manteaux	Manteaux	8	8				17
Manteaux ; courts	Manteaux	8	8		8	8	2
Manteaux ; de fourrure d'agneau		8	8				5
Manteaux ; vieux	Manteaux	8	8				19
Mantelets	Mantelets	8	8				3
Mantelets ; courts		8	8				1
Mantelets ; de soie		8	8				1
Maquereau	Poisson	0	0a		0	0a	
Maquereaux	Poisson	0	0a				
Maquereaux ; salés	Poisson	0	0a				
Maquet	Maquet	…	…				0
Marbre	Marbre	2	2				4
Marbre ; à jouer	Marbre ; ouvré	6	6	merbels à jouer	6	6	1
Marbre ; blanc	Marbre	2	2		2	2	1
Marbre ; brun	Marbre	2	2				3
Marbre ; brut	Marbre	2	2				12
Marbre ; divers	Marbre	2	2				1
Marbre ; en bloc	Marbre	2	2	marbre en bloc ou brut	2	2	1
Marbre ; en Pierre		2	2				1
Marbre ; en pierres	Marbre ; ouvré	6	6				
Marbre ; noir ; travaillé		6	6				2
Marbre ; ouvré	Marbre ; ouvré	6	6				41
Marbre ; ouvré ; à jouer	Marbre ; ouvré	8	8				5
Marbre ; ouvré ; divers	Marbre ; ouvré	6	6				3
Marbre ; ouvré ; en carreaux	Marbre ; ouvré	6	6				3
Marbre ; ouvré ; en mortier	Marbre ; ouvré	6	6				1
Marbre ; ouvré ; en Table		8	8				1
Marbre ; ouvré ; en tables	Marbre ; ouvré	8	8				
Marbre ; rouge et gris	Marbre ; ouvré	6	6		2	2	1
Marbre ; travaillé	Marbre ; ouvré	6	6		6	6	4
Marc	Marc	5	5				1
Marc ; divers	Marc	5	5				1
Marc d'olive	Marc	5	5				10
Marc de raisin	Marc	5	5				1
Marcassin	Marcassin	0	0a				6
Marcassite	Marcassite	2	2	Sulfure de fer			1
Marchandise ; d'Islande		…	…				6
Marchandise ; de Chine ; et des Indes orientales		…	…				
Marchandise ; de Chine et des Indes orientales		…	…				145
Marchandise ; des Antilles		…	…				0
Marchandise ; des colonies		…	…				1
Marchandise ; des îles Féroé		…	…				1
Marchandise ; divers		…	…				0
Marchandise ; du Groenland		…	…				0
Marchandise ; prohibée		…	…				15
Marchandises	Marchandises	…	…				107
Marchandises ; à l'estimation	Marchandises	…	…				
Marchandises ; blanches	Marchandises ; blanches	…	…				15
Marchandises ; de la cote	Marchandises ; de la cote	…	…				3
Marchandises ; de modes	Marchandises ; de modes	8	8				6
Marchandises ; de Montauban	Marchandises ; de Montauban	…	…				6
Marchandises ; des Indes	Marchandises ; des Indes	…	…				21
Marchandises ; diverses	Marchandises	…	…				
Marchandises ; en fer		6	6				9
Marchandises ; en meubles	Marchandises ; en meubles	8	8				
Marchandises ; mêlées	Marchandises	…	…				
Marchandises ; sèches		…	…				7
Marechauderie	Poisson	0	0a				1
Marée ; fraiche	Poisson	…	…				8
Marègue	Drap ; de laine	6	6b	Marègue : Gros tissu de laine de diverses natures originaire du sud ouest (Pyrénnée ou Languedoc).			7
Mareule	Mareule	…	…				10
Marmelade		0	0a				3
Marmites	Marmites	6	6				1
Marmites ; de cuivre		6	6				4
Marmites ; de fer	Marmites	6	6				6
Marmites ; de fonte	Marmites	6	6				1
Marne	Marne	2	2		2	2	4
Maroc	Maroc	6	6				
Marquise	Marquise	8	8	Meuble ?			1
Marron	Marron	0	0a				5
Marron ; et châtaigne		0	0a				
Marron et châtaigne	Marron	0	0a		0	0a	
Marsoin	Marsoin	0	0a				
Marsouin		0	0a				9
Marteau ; de forge		6	6				2
Marteau ; en fer		6	6				1
Marteau de forge	Marteau de forge	6	6		6	6	
Masque	Masque	8	8				16
Masque ; commun		8	8				1
Masque ; communs		8	8				1
Masque ; de Venise	Masque	8	8				17
Masse ; de mail	Masse ; de mail	…	…				14
Masses ; en fer		6	6				7
Massicot	Massicot	2	2	Protoxyde naturel du plomb pour teintures			84
Mastic	Mastic	2	2				111
Mastic ; en lArme		2	2				15
Mastic ; en larmes	Mastic ; en larmes	2	2				
Mât	Mât	7	7				82
Mat ; beaupré		7	7				1
Mât ; de sapin		7	7				4
Mât ; de vaisseau	Mât	7	7				
Mât ; diver	Mât	7	7				
Mât ; divers	Mât	7	7				
Mât ; façonné		7	7				31
Mât ; mâture	Mât	7	7				
Mât ; petit		7	7				1
Matelas	Matelas	8	8		8	8	5
Matelas ; de crin	Matelas	8	8				1
Matelas ; de crin et noppes	Matelas	8	8		8	8	1
Matelas ; de laine	Matelas	8	8		8	8	8
Matelas ; vieux		8	8				2
Matereaux	Mât	7	7				
Matereaux ; ou petits mâts	Mât	7	7				
Matériaux		2	2				2
Matériaux ; de bois		2	2				1
Matière tannante		5	5				1
Matières grasses		4	4				1
Matières premières		2	2				37
Mâts		7	7				88
Mâts ; de navire		7	7				25
Mâts ; de sapin		7	7				42
Mâts ; divers	Mâts ; divers	7	7				
Mâts ; grands		7	7				2
Mâts ; petits		7	7				4
Mâture	Mâture	7	7				13
Maugrebine	Toile ; de coton	6	6d				1
Mèche	Mèche	6	6				8
Mèche ; à canon	Mèche	6	6				15
Mèche ; à chandelle	Mèche	6	6				44
Mèche ; à flambeaux	Mèche	6	6				4
Mèche ; flambeaux, Chandelle et lampes		6	6				3
Mèche ; flambeaux, chandelles et lampes	Mèche	6	6	meches et flambeaux/meches pour flambeaux	6	6	
Mèche ; soufrée	Mèche	6	6a				105
Mecoacam	Mecoacam	…	…				1
Médailles ; antiques	Médailles ; antiques	8	8				1
Médicaments	Drogues ; Médicaments	5	5				13
Meffles	Meffles	0	0a	guindes	0	0a	20
Melon	Melon	0	0a		0	0a	3
Ménages	Toiles ; de lin	6	6a	Probablement « toiles de ménage » qui sont des toiles de chanvre ou de lin (Savary)			1
Menie	Menie	5	5		5	5	1
Mentes ; à moulir	Mentes ; à moulir	0	0a				1
Mentes ; à taillandier	Mentes ; à taillandier	0	0a				3
Menuiserie	Menuiserie	6	6				4
Menuté	Menuté	8	8	menutés reprises et non reprises	8	8	1
Mercerie	Mercerie	6	6				277
Mercerie ; Aiguille		6	6				22
Mercerie ; aiguilles		6	6				40
Mercerie ; bouton		8	8				6
Mercerie ; Commune	Mercerie	6	6				
Mercerie ; de Nuremberg	Mercerie	6	6	mercerie de Nuremberg	8	8	
Mercerie ; en bouton ; de crin		8	8				1
Mercerie ; en lignets et hameçons		8	8				1
Mercerie ; épingle		6	6				12
Mercerie ; épingles		6	6				1
Mercerie ; et bibelots		8	8				
Mercerie ; Fine	Mercerie	6	6				
Mercerie ; fine		6	6				9
Mercerie ; Fine ; Aiguille	Mercerie	6	6				
Mercerie ; Fine ; Aiguille à coudre	Mercerie	6	6				
Mercerie ; Fine ; Aiguille à voile	Mercerie	6	6				
Mercerie ; Fine ; Diverse	Mercerie	6	6				
Mercerie ; Fine ; Epingles	Mercerie	6	6				
Mercerie ; fine ; Epingles		6	6				2
Mercerie ; Mêlée	Mercerie	6	6				
Mercerie ; Ordinaire	Mercerie	6	6				
Mercerie ; peigne ; de bois		8	8				2
Mercerie ; peigne ; de corne		8	8				8
Mercerie ; tabatière ; corne		8	8				1
Mercerie et bibelots		8	8				1
Mercerie et jolité ; Mêlée	Mercerie	8	8		8	8	
Mercure	Mercure	5	5		5	5	50
Mercure ; doux	Mercure	5	5				2
Meriers	Meriers	0	0a	Murier			
Merlans	Merlans	0	0a	merlins dits bollinck, la mande de 100 pieces	0	0a	
Merlus	Merlus	0	0a				91
Merrain		2	2				300
Merrain ; à barriques	Merrain ; à barriques	2	2				
Mervillons	Mervillons	…	…				17
Mesures ; d'étain	Mesures ; d'étain	6	6				5
Métal	Métal	6	6				89
Métal ; ?	Métal	6	6				
Métal ; d'horloger	Métal	6	6				
Métal ; de cloche	Métal	6	6				98
Métal ; divers	Métal	6	6		6	6	
Métal ; et bronze ; moulé		6	6				
Métal ; frappé, ouvré et moulé	Métal ; ouvré	6	6	metail frappé	6	6	6
Métal ; moulé	Métal	6	6		6	6	7
Métal ; pour horlogerie		6	6				1
Métal et bronze ; moulé	Métal	6	6		6	6	111
Métaux ; autres	Métal	6	6				
Métaux ; divers		6	6				16
Métier	Métier	7	7				4
Métier ; à faire bas		7	7				14
Métier ; à faire tapisserie		7	7				1
Métier ; à filer		7	7				2
Métier ; de drapier	Métier	7	7		6	6	2
Métier ; de tisserand		7	7				1
Métier, presses, cribles, bulteaux ; de moulin	Métier	7	7		6	6	1
Métillon	Métillon	0	0a		0	0a	1
Métillon ; en gerbe		0	0a				1
Métillon ; en jarbe	Métillon ; en jarbe	0	0a		0	0a	
Meuble	Meuble	8	8				1
Meuble ; et miroir		8	8				
Meuble et miroir		8	8				13
meuble et miroir		8	8				14
Meubles	Meubles	8	8				
Meubles et effets		8	8				4
Meubles et miroirs	Meubles et miroirs	8	8				
Meule		7	7				22
Meule ; à aiguiser		7	7				89
Meule ; à callandre		7	7				2
Meule ; à favre		7	7				45
Meule ; à huile		7	7				1
Meule ; à moudre		7	7				1
Meule ; à moulin		7	7				140
Meule ; à taillandiers		7	7				138
Meule ; à tannerie		7	7				11
Meule ; bâtardes		7	7				4
Meules ; ?	Meules	7	7				
Meules ; à callandre	Meules	7	7				
Meules ; à éguiser	Meules	7	7				
Meules ; à favre	Meules	7	7				
Meules ; à huile	Meules	7	7				
Meules ; à moulin	Meules	7	7				
Meules ; à taillandes	Meules	7	7				
Meules ; à tannerie	Meules	7	7				
Meules ; bâtardes	Meules	7	7				
Meuniers	Meuniers	0	0a		0	0a	2
Miel	Miel	0	0a				61
Miel ; blanc	Miel	0	0a		0	0a	
Miel ; brouche	Miel	0	0a		0	0a	
Miel ; brun	Miel	0	0a		0	0a	
Miel ; cru	Miel	0	0a				
Miel ; façonnée	Miel	0	0a				
Mignonnette	Mignonnette	6	6a	Sorte de dentelle			2
Migon	Migon	6	6				1
Milleret et Agrément		8	8				1
Milleret et Agrément ; de soie		8	8				4
Milleret et agréments	Milleret et agréments	8	8		8	8	
Milleret et agréments ; de soie	Milleret et agréments ; de soie	8	8		8	8	
Millet	Millet	0	0a	fenegré et millet	0	0a	65
Millet ; gros	Millet ; gros	0	0a				
Mine ; d'antimoine	Mine	2	2				
Mine ; de cuivre rouge		2	2				7
Mine ; de fer	Mine	2	2	minne de fer/mine de fer à 1600 livres la charée	2	2	77
Mine ; de plomb	Mine	2	2				7
Mine ; de roche	Mine	2	2				10
Minerai ; de plomb	Mine	2	2		2	2	6
Minéraux		2	2				120
Mini	Mini	…	...				27
Minium	Drogue ; pour la peinture et la teinture	5	5	Pigment rouge à rouge orangé constitué par un oxyde de plomb			
Mirche	Mirche	2	2	Mirrhe			2
Mirke	Mirke	2	2	Mirrhe			6
Mirobolans	Drogue ; médicinale	2	2	Aussi noix du Bengale, utilisé pour ses vertus purgatives.			4
Miroir		8	8				36
Miroirs, petits	Miroirs, petits	8	8		6	6	
Mirrhe	Mirrhe	2	2				28
Mise à feu		…	…				2
Mitaines	Mitaines	8	8				0
Mitaines ; brodées	Mitaines	8	8				0
Mitaines ; de peau	Mitaines	8	8		8	8	0
Mitaines ; garnies de soie	Mitaines	8	8				0
Mitaines ; liserées	Mitaines	8	8				0
Mites	Mites	8	8				0
Mites ; de soie	Mites	8	8				0
Mitraille ; de cuivre	Mitraille ; de cuivre	2	2	vieux cuivre mitraille	6	6	0
Mobilier		8	8				33
Mobilier ; et miroir		8	8				
Mobilier ; vieux		8	8				2
Mobilier et miroir		8	8				4
Moelle	Moelle	0	0a				0
Moelle ; de bœuf	Moelle ; de bœuf	0	0a				0
Molenaers	Molenaers	0	0a	meuniers dits molenaers	0	0a	0
Molton	Molton	6	6b	molton et Camaroux	6	6b	
Molton ; de laine	Molton ; de laine	6	6b				
Momade	Momade	…	…				0
Momie	Momie	…	…				0
Moncayard	Moncayard	…	…				0
Mongette	Légume	0	0a	Mongette : nom donné aux haricots (blancs) dans le midi de la France.			0
Mongistere	Mongistere	…	…				0
Monnaie ; argent	Monnaie	9	9a		9	9	47
Monnaie ; argent ; piastres		9	9a				79
Monnaie ; argent ; piastres ; du Grand Seigneur	Monnaie	9	9a				1
Monnaie ; argent ; piastres; d'Espagne	Monnaie	9	9a				15
Monnaie ; cuivre	Monnaie	9	9a				21
Monnaie ; de cuivre		9	9a				11
Monnaie ; étrangère	Monnaie	9	9a				4
Monnaie ; étrangère ou lingot	Monnaie	9	9a				
Monnaie ; or		9	9a				4
Monnaie ; or et argent		9	9a				5
Monnaie ; or et argent ; en piastres		9	9a				17
Monnaie ; or et argent ; et lingot		9	9a				
Monnaie ; or et argent et lingot		9	9a				67
Monnaie ; pataque		9	9a				1
Monnaie ; Piastres		9	9a				2
Monnaie ; pièces de		9	9a				5
Monnaie ; Sequin		9	9a				5
Montres ; d'argent	Montres	9	9a				0
Montres ; d'or	Montres	8	8				0
Montres ; de cuivre	Montres	8	8				0
Montres ; de poche	Montres	8	8		8	8	0
Montres ; de poche ; à caisse d'argent	Montres	8	8	montres de poche en argent	8	8	0
Montres ; de poche ; à caisse d'or		8	8				0
Montres ; de poche ; à caisse de Pinsbeck	Montres	8	8		8	8	0
Moquette	Moquette	6	6				0
Morilles	Morilles	0	0a				6
Mors ; de brides	Mors ; de brides	7	7		9	9	0
Mortiers ; de marbre	Mortiers ; de marbre	6	6				6
Mortiers ; de métal	Mortiers ; de métal	6	6				2
Mortiers ; de pierre	Mortiers ; de pierre	6	6				15
Moucade	Étoffe	6	6	Moquette ou Mocade ou Moucade : sorte d'étoffe de lin et coton ou lin et lain ou tout de laine (Savary)			60
Mouches ; cantardes	Mouches	8	8				8
Mouches ; de soie	Mouches	8	8				10
Mouches ; de taffetas		8	8				10
Mouches à miel		0	0a				4
Mouchoir		8	8				48
Mouchoir ; à peu de soie		8	8				1
Mouchoir ; à vignettes		8	8				1
Mouchoir ; blanc		8	8				0
Mouchoir ; communs		8	8				14
Mouchoir ; d'aleph		8	8				10
Mouchoir ; d'indienne		8	8				1
Mouchoir ; de Bearn		8	8				8
Mouchoir ; de Béarn		8	8				1
Mouchoir ; de Bengal		8	8				44
Mouchoir ; de Betton		8	8				6
Mouchoir ; de Cholet		8	8				3
Mouchoir ; de coton		8	8				8
Mouchoir ; de coton et soie		8	8				9
Mouchoir ; de coton peints		8	8				4
Mouchoir ; de fil		8	8				108
Mouchoir ; de fil et coton		8	8				26
Mouchoir ; de foulard		8	8				1
Mouchoir ; de gaze		8	8				4
Mouchoir ; de Guinguamp		8	8				2
Mouchoir ; de l'hotes		8	8				1
Mouchoir ; de laine		8	8				1
Mouchoir ; de Madras		8	8				6
Mouchoir ; de masulipatan		8	8				9
Mouchoir ; de mousseline		8	8				12
Mouchoir ; de paliacatte		8	8				3
Mouchoir ; de Pondichéry		8	8				8
Mouchoir ; de Romald		8	8				44
Mouchoir ; de Rouen		8	8				0
Mouchoir ; de Saumur		8	8				1
Mouchoir ; de siamoise		8	8				1
Mouchoir ; de soie		8	8				45
Mouchoir ; de toile ; de Cholet		8	8				3
Mouchoir ; de Zurich		8	8				1
Mouchoir ; des Indes		8	8				3
Mouchoir ; des Indes ; de coton		8	8				5
Mouchoir ; des Indes ; de soie		8	8				31
Mouchoir ; des Indes ; dit bandanas		8	8				1
Mouchoir ; divers		8	8				10
Mouchoir ; du Levant		8	8				1
Mouchoir ; en soie		8	8				14
Mouchoir ; fins		8	8				1
Mouchoir ; imprimé		8	8				12
Mouchoir ; Komel et Renis		8	8				11
Mouchoir ; peints		8	8				2
Mouchoir ; points		8	8				6
Mouchoir brodées		8	8				1
Mouchoir d'Indienne		8	8				5
Mouchoir de coton		8	8				1
Mouchoir de coton découpés		8	8				1
Mouchoir de fil et coton		8	8				5
Mouchoir de fil et coton découpés		8	8				1
Mouchoir de mousseline		8	8				1
Mouchoir de soie		8	8				1
Mouchoir de toile		8	8				23
Mouchoir de toile découpés		8	8				4
Mouchoir demi soie		8	8				3
Mouchoir et cravates de mousseline		8	8				2
Mouchoir et cravates de soie mêlée		8	8				5
Mouchoir, gaze et ruban ; étoffe ; soie		8	8				89
Mouchoirs	Mouchoirs	8	8				0
Mouchoirs ; à peu de soie	Mouchoirs	8	8				
Mouchoirs ; à vignettes	Mouchoirs	8	8				
Mouchoirs ; communs	Mouchoirs	8	8				
Mouchoirs ; d'aleph	Mouchoirs	8	8				
Mouchoirs ; d'indienne	Mouchoirs	8	8				
Mouchoirs ; de ?		8	8				1
Mouchoirs ; de Bearn	Mouchoirs	8	8				
Mouchoirs ; de Béarn	Mouchoirs	8	8				
Mouchoirs ; de Bengal	Mouchoirs	8	8				
Mouchoirs ; de Betton	Mouchoirs	8	8				
Mouchoirs ; de Cholet	Mouchoirs	8	8	D'après le dictionnaire de commerce portatif (1770), les manufactures de Cholet, Poitou et alentours sonr réputés pour leur mouchoirs de coton.			
Mouchoirs ; de coton	Mouchoirs	8	8				
Mouchoirs ; de coton et soie	Mouchoirs	8	8				
Mouchoirs ; de coton peints	Mouchoirs	8	8				
Mouchoirs ; de fil	Mouchoirs	8	8				
Mouchoirs ; de fil et coton	Mouchoirs	8	8				
Mouchoirs ; de foulard	Mouchoirs	8	8				
Mouchoirs ; de gaze	Mouchoirs	8	8				
Mouchoirs ; de guinguan	Mouchoirs	8	8				
Mouchoirs ; de l'hotes	Mouchoirs	8	8				
Mouchoirs ; de laine	Mouchoirs	8	8				
Mouchoirs ; de Madras	Mouchoirs	8	8				
Mouchoirs ; de masulipatan	Mouchoirs	8	8				
Mouchoirs ; de mousseline	Mouchoirs	8	8				
Mouchoirs ; de paliacatte	Mouchoirs	8	8				
Mouchoirs ; de Pondichéry	Mouchoirs	8	8				
Mouchoirs ; de Romald	Mouchoirs	8	8				
Mouchoirs ; de Rouen	Mouchoirs	8	8	Idem que pour les mouchoirs de Cholet, même source			
Mouchoirs ; de Saumur	Mouchoirs	8	8				
Mouchoirs ; de siamoise	Mouchoirs	8	8				
Mouchoirs ; de soie	Mouchoirs	8	8				
Mouchoirs ; de toile ; de Cholet	Mouchoirs	8	8				
Mouchoirs ; de Zurich	Mouchoirs	8	8				
Mouchoirs ; des Indes	Mouchoirs	8	8				
Mouchoirs ; des Indes ; de coton	Mouchoirs	8	8				
Mouchoirs ; des Indes ; de soie	Mouchoirs	8	8				
Mouchoirs ; des Indes ; dit bandanas	Mouchoirs	8	8				
Mouchoirs ; divers	Mouchoirs	8	8				
Mouchoirs ; du Levant	Mouchoirs	8	8				
Mouchoirs ; en soie	Mouchoirs	8	8				
Mouchoirs ; fins	Mouchoirs	8	8				
Mouchoirs ; Komel et Renis	Mouchoirs	8	8				
Mouchoirs ; peints	Mouchoirs	8	8				
Mouchoirs ; points	Mouchoirs	8	8				
Mouchoirs brodées	Mouchoirs	8	8		8	8	
Mouchoirs d'Indienne	Mouchoirs	8	8		8	8	
Mouchoirs de coton	Mouchoirs	8	8		8	8	
Mouchoirs de coton découpés	Mouchoirs	8	8		8	8	
Mouchoirs de fil et coton	Mouchoirs	8	8		8	8	
Mouchoirs de fil et coton découpés	Mouchoirs	8	8		8	8	
Mouchoirs de mousseline	Mouchoirs	8	8		8	8	
Mouchoirs de soie	Mouchoirs	8	8		8	8	
Mouchoirs de toile	Mouchoirs	8	8				
Mouchoirs de toile découpés	Mouchoirs	8	8		8	8	
Mouchoirs demi soie	Mouchoirs	8	8		8	8	
Mouchoirs et cravates de mousseline	Mouchoirs	8	8		8	8	
Mouchoirs et cravates de soie mêlée	Mouchoirs	8	8		8	8	
Moufles		8	8				1
Moules	Moules	0	0a				36
Moules ; pour chandelle		6	6				1
Moules ; pour chandelles	Moules ; pour chandelles	6	6		6	6	
Moulin ; à café		7	7				2
Moulinets ; à filer		7	7				2
Moulins ; à bras	Moulins	7	7		6	6	1
Moulins ; à café	Moulins	7	7		6	6	17
Moulins ; à dessécher	Moulins	7	7				2
Moulins ; à filer		7	7				1
Moulins ; à grains	Moulins	7	7				1
Moulins ; à Grains ; maïs		7	7				26
Moulins ; à lapidaire	Moulins	7	7				2
Moulins ; à maïs	Moulins	7	7				
Moulins ; à moudre grain	Moulins	7	7		6	6	1
Moulins ; à moutarde	Moulins	7	7				2
Moulins ; à poivre	Moulins	7	7				1
Moulins ; à sucre	Moulins	7	7				7
Moulins ; à tabac	Moulins	7	7				3
Moulins ; à tordre fil	Moulins	7	7		6	6	2
Moulins ; de bois	Moulins	7	7		6	6	6
Moulins ; de fer	Moulins	7	7		6	6	3
Moulons	Moulons	2	2				4
Moulons ; à faire chaux		2	2				1
Moulons et kibbelinck		2	2				3
Moulures		6	6				2
Mouquette	Mouquette	6	6		6	6	2
Moureaux	Panier	6	6a	Moreaux (provençal) ou Moureaux (gascon) : panier de corde (lin ou chanvre) destiné à mettre la paille pour que les animaux de trait puisse manger en marchant.			4
Moureaux ; de mulets		7	7				1
Moureaux de mulets	Moureaux de mulets	7	7				
Mousse	Mousse	2	2				2
Mousse ; de bois	Mousse	2	2				1
Mousse ; de roche		2	2				1
Mousseline	Mousseline	6	6d				32
Mousseline ; de Suisse et siamoise à ligne de soie	Mousseline	6	6c		6	6c	3
Mousseline et toile de coton blanc	Mousseline	6	6d		6	6d	1
Mousserons	Mousserons	0	0a	Champignon destiné à la consommation			45
Moût		5	5				2
Moutarde	Moutarde	0	0a		0	0a	6
Moutarde ; feuille		0	0a				0
Moutarde ; fleur		0	0a				1
Moutarde ; graine		0	0a				18
Moutarde ; semence		2	2				
mouton		0	0a				2
mouton et brebis		0	0a				1
Moutons	Moutons	0	0a				
Moutons et brebis	Bétail	0	0a		0	0a	
