simplification,categorization,note
fruit ; au vinaigre,,
fruit ; amande,,
fruit,fruits,
grain ; froment ; en gerbe,,
fromage et souffre,,
fromage et plomb,,
fromage ; en jambon,fromage,
fromage ; du pays,,
fromage ; de lait doux,,
fromage ; de chèvre,fromage,
fromage ; de Suisse,fromage,
fromage ; de Sassenage,fromage,
fromage ; de Sardaigne,,
fromage ; de Roquefort,fromage,
fromage ; de Parmesan,,
fromage ; de Parme,,
fromage ; de Normandie,,
fromage ; de Milan,fromage,
fromage ; de Marottes,fromage,
fromage ; de Karolles,fromage,
fromage ; de Hollande et doux,,
fromage ; de Hollande,fromage,
fromage ; de Gruyère,fromage,
fromage ; de Comté,fromage,
fromage ; de Chester,fromage,
fromage ; de Brie,fromage,
fromage ; d'Auvergne,,
fromage ; d'Angleterre,,
fromage ; cru,fromage,
fromage ; commun,fromage,
fromage,fromage,
froc de laine,,
froc de Bolbec,froc de bolbec,
frise ; étoffe,,
frise ; à la Gode,,
frise ; sèche,,
frise,frise,
frisade ; teinte,,
frisade et bergopzoom,,
frisade ; blanche,,
frisade,,
friperie,friperie,
frions,,
frange ; or et argent ; faux,frange,
frange ; or et argent,frange,
frange ; or,frange,
frange ; de soie,frange,
frange ; or ; faux,frange,
fraisset ; de vermillon,fraisset ; de vermillon,
fourré,,
fourrure et grande peau,,
fourrure ; morceau,,
fourrure ; de soie,fourrure,
fourrure ; de phoque,,
fourrure ; de petit gris,fourrure,
fourrure ; de martre,,
fourrure ; de léopard,,
fourrure ; de lynx,,
fourrure ; de lapin,,
fourrure ; de chèvre,,
fourrure ; de chevreuil,,
fourrure ; de chaton,,
fourrure ; de chat,,
fourrure ; de Russie,,
fourrure ; d'agneau,,
fourrure,,
foureau ; de bajonette,,
foureau ; d'épée et de sabre,,
foureau ; d'épée de toute espece,,
fourreau ; d'épée,,
fourrage et patûrage,,
fourrage ; vesse,fourrages,
fourrage ; son,fourrages,
"fourrage ; paille, son, foin",,
fourrage ; paille,fourrages,
fourrage ; herbe et trèfle,,
fourrage ; gland de chêne,fourrages,
fourrage ; foin,fourrages,
fourrage ; divers,fourrages,
fourrage,,
fourniment,fourniments,
fourneau ; de terre,fourneaux,
fourneau ; de fer,fourneaux,
fourneau ; de brique,,
fourchette,,
four,,
foulerie,,
foulas,foulas,
foulard ; pour femme en tissu très fin,,
foulard ; en soie,,
foulard,foulard,
fouet,fouets,
fotas,fotas,
fotail,,
fort ; en diable,fort ; en diable,
forme ; à sucre,,
forme ; à soulier,formes ; à souliers,
forme ; à cordonnier,,
forme ; de chapeau,formes ; de chapeaux,
force ; à tondre,,
force ; à drapier,forces ; à drapier,
fonte ; de pistolet,,
fonte,,
fontaine de fer blanc ; avec lève cuvette,,
fontaine de fer blanc,fontaines de fer blanc,
fond à meule ; blanc,,
fond ; de bateau/navire ?,,
fond ; de bassin,fonds ; de bassins,
fond ; ?,,
folium ; geriofilalum,folicule,
folium,folicule,
foin,foin,
flûte ; douce,,
flûte,instruments ; de musique,
poisson ; flétan ; salé,,
poisson ; flétan,,
fléau ; de fer,,
flèche ; marine,flèches ; marines,
flèche,,
flotteur ; en écorce,,
fleuret et lame de fleuret,,
fleuret,fleuret,
fleur de muscade,,
fleur ; de violette,fleurs,
fleur ; de souffre,fleur ; de soufre,
fleur ; de rose,fleurs,
fleur ; de romarin,,
fleur ; de poix,,
fleur ; de pin,,
épicerie ; muscade ; fleur,épicerie,
moutarde ; fleur,moutarde,
fleur ; de lavande,fleurs,
fleur ; de jasmin,fleurs,
fleur ; de jardin,fleurs,
fleur ; de dictame,,
fleur ; de cannelle,,
fleur ; de bouquet,,
fleur ; de Chine,fleurs,
fleur ; d'oranger et de lavande,,
fleur ; d'oranger,fleurs,
fleur ; d'orange,,
fleur ; d'estima,fleurs,
fleur ; d'esquinante,fleurs,
fleur ; d'avoine,,
fleur ; d'aspic,fleurs,
fleur ; artificielle,fleurs,
fleur ; aromatique,fleurs,
fleur,,
poisson ; flet et carrelet,,
flanelle et Bergopzoom,,
étoffe ; de laine ; flanelle ; rayée,,
étoffe ; de laine ; flanelle ; peint,,
étoffe ; de laine ; flanelle ; blanche,,
étoffe ; de laine ; flanelle,étoffe,
flambeau ; d'harpoise,,
flambeau ; argenté,flambeaux,
flambeau,flambeaux,
flacon ; vide,,
flacon de verre,flacons de verre,
flacon ; de crème,,
flacon,,
fiole pour apothicaire,,
finette,finette,
fine et biscuit,,
"filoselle, fleuret et bourre de soie",,
filoselle et bourre de soie,,
filoselle,filoselle,
filoers ou safran sauvage,,
filin,filin,
filet ; à sennes,filets,
filet ; à sardine,,
filet ; pour la pêche,filets,
filet ; de verre,,
filet ; de patine,filets,
filet ; de palme,filets,
filet ; de lin tord cru et simple cru,,
filet ; de lin cru pour toile,,
filet ; de lin cru pour dentelle,,
filet ; de lin cru haut prix,,
filet ; de lin cru de bas prix,,
filet ; de lin cru de 10 à 12 florins la livre,,
filet ; de lin blanc pour dentelle,,
filet ; de lin blanc et cru pour dentelle,,
filet ; de lin blanc de 5 à 8 florins la livre,,
filet ; de lin blanc de 10 à 12 florins la livre,,
filet ; de lin blanc ; non tordu,,
filet ; de laine pour tenture,,
filet ; de laine ou sayette teinte,,
filet ; de laine ou sayette blanche,,
filet ; de filoselle,,
filet ; de Turquie teint,,
filet ; de Turquie cru,,
filet ; de Turquie blanc,,
filet ; d'auf,filets,
filet ; cru pour toile,,
filet ; blanc haut prix,,
filet ; blanc bas prix,,
filet,,
filasse,filasse,
filage,,
fil ; écru,,
fil ; à voile,fil,
fil ; à tricoter,,
fil ; à toile,,
fil ; à tisserand ; divers,fil,
fil ; à tisserand ; de chenette,fil,
fil ; à senne,fil,
fil ; à rez,fil,
fil ; à papillon,fil,
fil ; à marquer,fil,
fil ; à ligne,,
fil ; à forme,,
fil ; à fondre,,
fil ; à folle,fil,
fil ; à faire toile cru,,
fil ; à esturgeon,,
fil ; à dentelle ; sain,,
fil ; à dentelle ; moyen,,
fil ; à dentelle ; mi fin,fil,
fil ; à dentelle ; fin,fil,
fil ; à dentelle ; cru,fil,
fil ; à dentelle ; commun,fil,
fil ; à dentelle ; blanc,fil,
fil ; à dentelle,fil,
fil ; à coudre ; à voile,fil,
fil ; à coudre ; moyen,fil,
fil ; à coudre ; en poignée,fil,
fil ; à coudre ; en masse,fil,
fil ; à coudre ; du fin,fil,
fil ; à coudre ; divers,fil,
fil ; à coudre ; de ritte,fil,
fil ; à coudre ; de ménage,fil,
fil ; à coudre ; de couteau,fil,
fil ; à coudre ; de couleur,fil,
fil ; à coudre ; de chanvre,fil,
fil ; à coudre ; de Rennes,fil,
fil ; à coudre ; de Piedmont,fil,
fil ; à coudre ; de Bretagne,fil,
fil ; à coudre ; commun,fil,
fil ; blanc ; à coudre,,
fil ; à coudre,fil,
fil ; à cordonnier,fil,
fil ; à broder,fil,
fil ; à brocher,,
fil ; à Sennes,,
fil ; tord,fil,
fil ; teint,fil,
fil ; single,fil,
fil ; retord,fil,
fil ; pour dentelle ?,,
fil ; plat,fil,
fil ; or et argent ; fin,,
fil ; or et argent,fil,
fil ; non retord,,
fil ; long,,
fil ; gros,,
fil ; gris single,fil,
fil ; gris ; simple,,
fil ; gris,fil,
fil ; fin,,
fil ; everda,fil,
fil ; en poignée,fil,
fil ; en masse,fil,
fil ; en gueule,,
fil ; double,,
fil ; dorure ; or et argent ; fin,fil,
fil ; dorure ; or et argent faux,fil,
fil ; dorure ; or et argent,fil,
fil ; dorure ; d'or et d'argent ; faux,fil,
fil ; dorure ; d'or ; fin,fil,
fil ; dorure ; d'or,fil,
fil ; dorure ; d'argent,fil,
fil ; divers de lin et de chanvre,fil,
fil ; divers,,
fil ; de ville,,
fil ; de soie,,
fil ; de ritte,fil,
fil ; de poil ; de chèvre,,
fil ; de palangre,fil,
fil ; de ménage,fil,
fil ; de loupe,fil,
fil ; de lin teint,,
fil ; de lin et de chanvre,,
fil ; de lin ; écru ; audelis,,
fil ; de lin ; écru,,
fil ; de lin ; à coudre,,
fil ; de lin ; teint ; à coudre,,
fil ; de lin ; teint ; retord,,
fil ; de lin ; simple ; commun,,
fil ; de lin ; simple,,
fil ; de lin ; retord,fil,
fil ; de lin ; non retord,,
fil ; de lin ; gris ; simple,,
fil ; de lin ; gris ; retord,,
fil ; de lin ; fin ; retord,,
fil ; de lin ; divers,fil,
fil ; de lin ; de couleur,,
fil ; de lin ; crû ; simple,,
fil ; de lin ; crû,fil,
fil ; de lin ; blanc ; simple,,
fil ; de lin ; blanc ; retord,,
fil ; de lin ; blanc,fil,
fil ; de lin ; bis ; simple,,
fil ; de lin ; bis ; retord,,
fil ; de lin ; bis ; blanc,,
fil ; de lin ; bis,fil,
fil ; de lin,,
fil ; de laiton ; argenté,,
fil ; de laiton,fil,
fil ; de laine ; à coudre,,
fil ; de laine ; teint,,
fil ; de laine ; blanc,,
fil ; de laine,,
fil ; de fleuret,fil,
fil ; de fer ; à carde,,
quincaillerie ; de fer ; fil,quincaillerie ; de fer,
fil ; de cuivre,,
fil ; de crin,fil,
fil ; de couleur,,
fil ; de coton ; teint,,
fil ; de coton ; blanc,,
fil ; de coton,,
fil ; de corailleur,fil,
fil ; de chèvre,fil,
fil ; de chevrette,fil,
fil ; de chenette,fil,
fil ; de charrette,fil,
fil ; de chanvre,fil,
fil ; de caret,fil,
fil ; de Turquie,,
fil ; de Silésie,fil,
fil ; de Rennes,fil,
fil ; de Piémont,fil,
fil ; de Niort,fil,
fil ; de mulquinerie,,
fil ; de Morlaix,,
fil ; de Flandre ; fin,,
fil ; de Bretagne,fil,
fil ; de Bourgogne,,
fil ; de Bieustons,fil,
fil ; d'étoupe,fil,
fil ; d'épreuve,,
fil ; d'or et d'argent,fil,
fil ; d'or ; fin,fil,
fil ; d'or ; faux,fil,
fil ; d'or,fil,
fil ; d'argent,fil,
fil ; d'archal,,
fil ; d'arbalète,fil,
fil ; d'acier,,
fil ; d'Espinay,,
fil ; cru ; à toile,fil,
fil ; cru ; simple,,
fil ; cru,fil,
fil ; cardé,,
fil ; blanc et couleur,,
fil ; à coudre ; blanc,fil,
fil ; blanc ; retord,,
fil ; blanc,,
fil ; auville,,
fil ; à tisserand,fil,
fil,fil,
figure ; en plâtre,,
figure ; de cire habillée,,
figure ; de bronze,figure ; de bronze,
figure,,
figue et sumac,,
figue et raisin,,
figue,figues,
fideau,fideau,
fichu,,
ficelle,ficelle,
fiasque,fiasques,
feutre,,
feuille et herbe ; à teindre,,
feuille a poing,,
feuille ; de laurier,,
feuillard ; en bois,,
feuillard ; de fer,,
feuillard ; de bois,,
feuillard,,
feu ; argenté,flambeaux,
fert ; ouvré,,
ferré,,
ferronnerie,,
ferrement ; à sucre,outil ; de fer,
ferrement,,
ferrandine,,
ferraille ; vieille,,
feraille,,
ferblanterie,,
fer et canon de fer,,
fer et acier,fer et acier,
fer ; écuré avec de l'acier,,
fer ; à sculpter,,
ouvrage ; de fer ; à repasser,ouvrage ; de fer,
ouvrage ; de fer ; à nègre,ouvrage ; de fer,
fer ; à moulin,fer,
fer ; à lame,fer,
fer ; à la valeur,,
fer ; à friser,fer,
fer ; à coiffure,,
fer ; à cheval,fer,
fer ; vieux,fer ; vieux,
fer ; tôle,,
fer ; suédois,,
fer ; spatté,fer,
fer ; roue,,
fer ; rond,fer,
fer ; raille,,
fer ; quarré,fer,
fer ; pour foyer,fer,
fer ; plat,fer,
ouvrage ; de fer pour maréchal,,
fer ; ouvré et battu,,
fer ; ouvré en son et vesse,,
ouvrage ; de fer ; de plomb,ouvrage ; de fer,
ouvrage ; de fer,ouvrage ; de fer,
fer ; noir ; en feuille,,
fer ; noir et en tôle,fer,
fer ; noir ; simple,,
fer ; noir,fer,
fer ; neuf,,
fer ; marth,fer,
fer ; marchand,,
fer ; maqua,fer,
fer ; malléable,,
fer ; forgé,,
fer ; fondu et coulé,,
fer ; figuré,,
fer ; ferrement,fer,
fer ; en étrille,fer,
fer ; en étau,fer,
fer ; en écope,fer,
fer ; en verge et Latte,,
fer ; en verge,fer,
fer ; en tôle et en feuille,,
fer ; en tôle,fer,
fer ; en tuyau,fer,
fer ; en truffe,fer,
fer ; en taillanderie,fer,
fer ; en suc,fer,
ouvrage ; de serrurerie ; fer,ouvrage ; de serrurerie,
fer ; en scie,,
fer ; en rechaux,fer,
fer ; en rampe,fer,
fer ; en poêle à frire,fer,
fer ; en poterie,fer,
fer ; en poids,fer,
fer ; en plature,fer,
fer ; en platine,fer,
fer ; en plate,fer,
fer ; en plaque,fer,
fer ; en plançon,fer,
fer ; en pivot,fer,
fer ; en pierrier,fer,
fer ; en pelle,fer,
fer ; en paquet,,
fer ; en palme,fer,
outil ; en fer,outils,
fer ; en mitraille,fer,
fer ; en mine,,
fer ; en metume,,
fer ; en masse,fer,
fer ; en marmite,fer,
fer ; en lèchefrite,,
fer ; en limaille,fer,
fer ; en lame,fer,
fer ; en gueuse,,
fer ; en grillon,fer,
fer ; en grille,fer,
fer ; en grillage,fer,
fer ; en grenaille,fer,
fer ; en gratte,,
fer ; en grappin,fer,
fer ; en fléau,fer,
fer ; en figure,fer,
"fer ; en feuille, feuillard et tôle",,
fer ; en feuille double,,
fer ; en feuille,fer,
fer ; en feuillard et en cercle,,
fer ; en feuillard,,
ferraille,,
fer ; en fafion,,
fer ; en essieu,fer,
ouvrage ; de fer ; enclume et étau,ouvrage ; de fer,
fer ; en culture,fer,
fer ; en crapaudine,,
fer ; en couvercle,fer,
fer ; en compas,fer,
fer ; en coffre,,
fer ; en clou,,
fer ; en cloche,fer,
fer ; en cierge,,
fer ; en chou,fer,
fer ; en chaudronnerie,fer,
fer ; en chaudière,fer,
fer ; en charrue,,
fer ; en chape,fer,
fer ; en cercle,,
fer ; en caverge,,
fer ; en casse,fer,
ouvrage ; de fer ; carillon,ouvrage ; de fer,
fer ; en brancard,fer,
fer ; en boue,fer,
fer ; en botte,fer,
fer ; en bombe,fer,
fer ; en boite,fer,
fer ; en bocage,fer,
fer ; en batterie,fer,
fer ; en bassin,fer,
fer ; en barre et verge,,
fer ; en bande,fer,
fer ; en ballon,fer,
fer ; en balance,fer,
fer ; en Guéné,,
fer ; en ?,fer,
fer ; de tête,,
fer ; de traite,,
fer ; de lin Cierge,,
fer ; de fonte ; ouvré,,
fer ; de fonte,fer,
fer ; de charrue,,
fer ; courbe,fer,
fer ; caverge,fer,
fer ; blanc ; vieux,fer,
fer ; blanc simple,,
ouvrage ; de fer ; blanc,ouvrage ; de fer,
fer ; blanc en tôle,,
fer ; blanc ; en feuille,fer,
fer ; blanc ; en barre,,
fer ; blanc,fer,
fer ; battu et fondu,,
poêle ; de fer,,
fer ; battu,fer,
fer ; argenté,,
fer ; Dhipsium,,
fer,fer,
fenugrec,,
fenouil,fenouil,
"faïence, poterie et verrerie",,
"faïence, poterie ; de grès et de terre",,
faïence et poterie,,
faïence ; en carreau,,
faïence ; diverse,,
faïence ; de Rouen,,
faïence ; commune,,
faïence,,
fayotte,fayottes,
favelotte ; en gerbe,,
favelotte,,
faux et faucille,faux,
faux ; à faucher,faux,
faux,faux,
fauteuil de tapisserie,,
faute,,
fautas,fautas,
faucon,,
faucille,faucilles,
fataille vidée,,
fasoche,,
fascine ; de bois,,
"farine, pâte et vermicelle",,
"farine, gruau, biscuit et pâte",,
"farine, gruau et pâte",,
"farine, gruau et biscuit",,
"farine, biscuit de mer et pâte d'Italie","farine, biscuits de mer et pâtes d'italie",
"farine, biscuit et pâte",,
farine et pâte ; d'Italie,,
farine et biscuit de mer,"farine, biscuits de mer et pâtes d'italie",
farine ; ordinaire,farine,
farine ; en tonneau,,
farine ; en sac,,
farine ; en fleure,,
farine ; en déchet,,
farine ; diverse,,
farine ; en gruau,,
farine ; de grain ; seigle,,
farine ; de grain ; sarrasin,,
farine ; de grain ; froment ; fleur,poisson,
farine ; de grain ; froment,,
farine ; de fleur,,
farine ; de bouquette,farine,
farine ; de grain ; blé,,
farine et gruau ; d'orge,,
farine ; d'orge,,
farine ; d'avoine,,
farine,farine,
farce a drapier,farces a drapier,
fanon ; de baleine,,
fanon,,
fange ; de soie,,
fanal de vaisseau,,
fanal ; de verre,,
fanaile,fanailes,
faltranck suisse,,
falquiere de mulet,plante,
faisan,,
faille de laine,,
drogue ; médicinale ; quinquina ; extrait,drogue ; médicinale,
extrait ; de lavande,extrait ; de lavande,
extrait ; de genièvre,extrait ; de genièvre,
extrait ; de citron,,
extrait ; d'odaw,,
euphorbe,euphorbe,
etoffe ; mélangée ; diverse,,
etoffe ; mélangée,,
étoffe ; de soie en dorure,étoffe,
étoffe ; de soie ; brodée,étoffe,
etoffe ; brodée et brochée,,
etoffe ; bourrée ; de soie,,
étoffe ; au 1/4 de soie,étoffe,
etendelle,etendelles,
etaya,etaya,
etave,,
estère de jonc,estère de jonc,
esturgeon ; salé,,
esturgeon ; mariné,,
esturgeon ; en daube,,
estrasse ; de soie,estrasse ; de soie,
estrasse ; de Savoie,estrasse ; de savoie,
estampe et gravure,estampes et gravures,
estampe et carte géographique,,
estampe ; en feuille,,
estampe,estampes,
estagnon,,
essieu ; de fer,essieux,
essieu,,
essence ; de thym,,
essence ; de rose,,
essence ; de paruce,,
épicerie ; muscade ; essence,épicerie,
essence ; de jasmin,,
essence ; de girofle,essence,
essence ; de citron,essence,
essence ; de cendre de bois,,
essence ; de cannelle,essence,
essence ; de bergamote,essence,
essence ; d'anis,,
essence ; au bruit ; aromatique,,
essence,essence,
esquine,,
esprots fumé,,
esprit ; de vitriol,,
esprit ; de vin,esprit,
esprit ; de souffre,,
esprit ; de sel,esprit,
esprit ; de romarin,,
esprit ; de nitre,esprit,
esprit ; de myrrhe,,
esprit ; de lavande,,
esprit ; de fleur d'orange,esprit,
esprit ; de fil,,
esprit ; de cèdre,esprit,
esprit ; de coton,,
esprit ; de corne de cerf,esprit,
esprit ; de coclearia,esprit,
esprit ; de citron,esprit,
esprit ; de bergamote,esprit,
esprit ; d'absinthe,,
esprit,,
étoffe ; espagnolette,étoffe,
espadrille,,
espadon,,
escot ; de fer,escots ; de fer,
escortine,escortines,
escope,,
esco,esco,
esclephins ; salé,,
esclephins,,
escayolle,escayolle,
escargot,escargots,
escarbille,,
escarasse,escarasse,
escamite,toile ; de coton,
ergot ; de bœuf,ergots,
equine,,
equeurs,,
entenolle,,
engrais ; gru,,
engrais ; divers,,
engrais,engrais,
endive,,
encre ; à écrire et à imprimer,,
encre ; à écrire,encre,
encre ; rouge,encre,
encre ; de la chine,encre,
encre ; d'imprimerie,encre,
encre ; commune,,
encre,encre,
ouvrage ; de fer ; enclume,ouvrage ; de fer,
encens et savon,,
encens,encens,
empeigne ; peinte pour soulier,,
empeigne et talon de cuir coupé,,
empeigne ; de toille,,
empeigne ; de soulier,empeignes,
empeigne ; couppé pour empeigne ;,,
empeigne ; brodée pour soulier,,
empeigne,empeignes,
embarcation et autre objet de marine,,
embarcation ; avec agrès,,
elegias,,
elbot ; salé,,
elbot,,
efforce à tondre,,
effilé ; de soie,effilé,
effilé ; de fil,effilé,
effet ; à déménager,,
echaussillon,,
ecart de bœuf,ecarts de bœuf,
écaille ; diverse,écaille,
eau et huile spiritueuse,eau et huiles spiritueuses,
eau ; vulnéraire,eau ; vulnéraire,
eau ; spiritueuse,,
eau ; sans pareille,eau ; sans pareille,
eau ; rose,eau ; rose,
eau ; remède,,
eau ; puante,,
eau ; octaze,eau ; octaze,
eau ; ocgeniente,eau ; ocgeniente,
eau ; médicinale et minérale,,
eau ;médicinale ; vulnéraire,eau ; médicinale,
eau ; médicinale ; des Carmes,eau ; médicinale,
eau ; médicinale ; de raisin,eau ; médicinale,
eau ; médicinale ; de pin,eau ; médicinale,
eau ; médicinale ; de marquette,,
eau ; médicinale ; de genièvre,eau ; médicinale,
eau ; médicinale ; de fleur d'oranger,eau ; médicinale,
eau ; médicinale ; de coclearia,eau ; médicinale,
eau ; médicinale ; de cannelle,eau ; médicinale,
eau ; médicinale ; de Chypre,,
eau ; médicinale ; cordiale,eau ; médicinale,
eau ; médicinale,,
eau ; minérale,eau,
eau ; gazeuse,eau,
eau ; forte,eau ; forte,
eau ; ferrée,eau ; ferrée,
eau ; divine,eau ; divine,
eau ; diverse,eau,
eau ; distillée,eau ; distillée,
eau ; des caverne,,
eau ; de vie ; triple,eau ; de vie,
eau ; de vie ; simple,eau ; de vie,
eau ; de vie ; rectifiée,eau ; de vie,
eau ; de vie ; et rhum et tafia,,
eau ; de vie ; et rhum,,
eau ; de vie ; et liqueur,,
eau ; de vie ; double,eau ; de vie,
eau ; de vie ; diverse,eau ; de vie,
eau ; de vie ; de vin,eau ; de vie,
eau ; de vie ; de grain,eau ; de vie,
eau ; de vie ; de genièvre,eau ; de vie,
eau ; de vie ; de grain ; blé,,
eau ; de vie ; de Rochefort,eau ; de vie,
eau ; de vie ; de Rez,eau ; de vie,
eau ; de vie ; de Marennes,eau ; de vie,
eau ; de vie ; de Cognac,eau ; de vie,
eau ; de vie ; de Charente,eau ; de vie,
eau ; de vie ; d'oléron,eau ; de vie,
eau ; de vie ; d'Espagne,eau ; de vie,
eau ; de vie ; d'Andaye,eau ; de vie,
eau ; de vie,eau ; de vie,
eau ; de toilette,,
eau ; de tartre,eau ; de tartre,
eau ; de senteur et quintessence,,
eau ; de senteur ; sans pareille,eau ; de senteur,
eau ; de senteur ; rose,eau ; de senteur,
eau ; de senteur ; diverse,eau ; de senteur,
eau ; de senteur ; de nard,eau ; de senteur,
eau ; de senteur ; de lavande,eau ; de senteur,
eau ; de senteur ; de citron,eau ; de senteur,
eau ; de senteur ; de bergamote,eau ; de senteur,
eau ; de senteur,eau ; de senteur,
eau ; de sel,eau,
eau ; de rose,eau,
eau ; de raisin,eau,
eau ; de pin,eau,
eau ; de nard,eau,
eau ; de mélisse,eau,
eau ; de miel,,
eau ; de mer,,
eau ; de lavande,eau,
eau ; de la reine d'Hongrie,,
eau ; de senteur ; de la reine de Hongrie,eau ; de senteur,
eau ; de genièvre,eau,
eau ; de cuivre,,
eau ; de composition,eau,
eau ; de coclearia,,
eau ; de citron,eau,
eau ; de cerise,eau,
eau ; de cannelle,eau,
eau ; de bouleau,eau,
eau ; de bergamote,eau,
eau ; de Spa,eau,
eau ; de Philipine,,
eau ; de Marquette,,
eau ; de Cologne,eau,
eau ; des carmes,eau ; des carmes,
eau ; de Bussingne,eau,
eau ; de Bussing,eau,
eau ; de Bristol,eau,
eau ; d'arquebusade,eau,
eau ; d'anis,eau,
eau ; cordiale,eau,
eau ; citronnelle,,
eau,eau,
dégrau,dégrau,
déchet ; de pierre,,
debris de vaisseau et vieux ouvrage de charpente,,
dé ; à jouer,dés,
dé ; à coudre,dés,
dé ; de laiton,dés,
dé ; de fer,dés,
dé ; de cuivre,,
dé,dés,
duyvelsterck,,
duvet,,
duffel ; teint,,
duffel,,
duc-d'Albe ; de terre,,
duc-d'Albe ; de grés,,
duc-d'Albe,,
droguet et Maroc,,
droguet ; de fil et laine,,
étoffe ; droguet,étoffe,
droguerie,drogues,
drogue d'apothicaire ; commune,drogues,
drogue a peindre,drogues,
drogue ; émeri,drogues,
drogue ; verdet,drogues,
drogue ; térébenthine,drogues,
drogue ; tripoli,drogues,
drogue ; séné,drogues,
drogue ; soux ; en feuille,drogues,
drogue ; soux ; de grabanite,drogues,
drogue ; soie et laine,drogues,
drogue ; sel ; de saturne,drogues,
drogue ; salsepareille,drogues,
drogue ; rhubarbe,drogues,
drogue ; quinquina,drogues,
drogue ; pour la peinture et la teinture ; garonne,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; laque plate,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; laque fausse,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; laque en poudre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; laque de Venise,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et teinture ; gande,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; alizari,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; vitriol ; de Chypre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; poudre et teinture ; verte,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; tournesol et d'acmail,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; tournesol,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; terre ; d'ombre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; tartre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; sumac,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; semence,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; rouge ; minéral,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; rocou,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; pérelle,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; perle ; bleue,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; pastel ; à teindre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; orseille,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; orpin,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; orbe,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; ocre ; rouge,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; ocre ; jaune,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; ocre ; en pierre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; noix ; de galles,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; noir de fumée,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; noir d'ivoire,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; noir,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; mine de plomb ; rouge,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; mine de plomb ; noire,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; mine de plomb,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; mastie,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; marron,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; laque,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; lacque ; platte,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; lackmoir,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; lackière,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; iris,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; indigo ; gatimalo,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; indigo,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; herbe à teindre,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; gris,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; graine d'Avignon,,
drogue ; pour la peinture et la teinture ; graine ; jaune,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; gatte ; noire,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; garance,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; galles ; en sorte,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; galle,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; fris,drogue ; pour la peinture et la teinture,
