source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Oignons,oignons,oignons,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Subsistances diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,10,6
Oranges,orange,orange,0a,,Hors Canada,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,16,2,0
Orge,orge,grains orge,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,26,16,12
Orges,orges,grains orge,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,5,0,0
Osier,osier,osier,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,0,4,0
Outres vieux,outres vieilles,outres vieilles,6a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Pacotille,pacotille,pacotille,,,,,,,,,,,,Ouvrages divers et mélangés,,,,,,,,Industrie française et étrangère,Manufactures,Produits manufacturés,0,0,2
Paiche des moules [pêche des moules],pêche des moules,pêche aux moules,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Paniers,paniers,paniers,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Papier,papier,papier,6c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Papier,No link with beaver,,,,Papier,Paper products,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,9,12,0
Papiers,papier,papier,6c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Papier,No link with beaver,,,,Papier,Paper products,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Paquets,paquets,paquets,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Parfumerie,parfumerie,parfumerie,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Parfumerie et toilette,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,7,0,0
Particuliers français [passagers],particuliers français,particuliers français,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Êtres humains,Human beings,Other,Divers,Unknown,Inconnus,0,1,0
Partie de son chargement pour Cherbourg,Partie de son chargement pour Cherbourg,restant de sa cargaison pour Cherbourg,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Pasager,passagers,passagers,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Êtres humains,No link with beaver,,,,Êtres humains,Human beings,Other,,,,1,0,0
Pasagers,passagers,passagers,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Êtres humains,No link with beaver,,,,Êtres humains,Human beings,Other,,,,1,0,0
Passager,passagers,passagers,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Êtres humains,No link with beaver,,,,Êtres humains,Human beings,Other,,,,446,0,0
Passagers,passagers,passagers,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Êtres humains,No link with beaver,,,,Êtres humains,Human beings,Other,,,,895,387,2
Passagers algériens,passagers algériens,passagers algériens,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,No link with beaver,,,,Êtres humains,Human beings,Other,Divers,Unknown,Inconnus,1,0,0
Pate de reglisse,pâte de réglisse,réglisse en pâte,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Réglisse,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues,Manufactures,Produits manufacturés,1,0,0
Pate de térebenthine,pâte dite térébenthine,térébenthine en pâte,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Thérébenthine,Pas grain (0),not raw cotton,turpentine,Not coffee,Sans lien avec la porcelaine,out,Térébenthine,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Manufactures,Produits manufacturés,0,1,0
Pavés,pavé,pavé,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,9,0
Peau de cacao,peaux de cacao,écorce de cacao,0b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cacao et chocolat,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,Subsistances,Agriculture,Produits agricoles,0,4,0
Peau de chevreuil,peaux de chevreuil,peaux de chevreuil,6a,,Exclusivement Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peau de chèvre,peaux de chèvre,peaux de chèvre,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peau de lapin,peaux de lapin,peaux de lapin,6a,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peaux,peaux,peaux,6a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,12,1,0
Peaux d'agneau,peaux d'agneau,peaux d'agneau,6a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Peaux de boeuf,peaux de bœuf,peaux de bœuf,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Peaux de bœuf,peaux de bœuf,peaux de bœuf,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,0,3
Peaux de chevraux,peaux de chevreau,peaux de chevreau,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peaux de chevre,peaux de chèvre,peaux de chèvre,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,6,0,0
Peaux de chevres,peaux de chèvre,peaux de chèvre,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,6,0,0
Peaux de chevreuil,peaux de chevreuil,peaux de chevreuil,6a,,Exclusivement Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,3,0,0
Peaux de chèvres,peaux de chèvre,peaux de chèvre,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Peaux de lievre,peaux de lièvre,peaux de lièvre,6a,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peaux de lievres,peaux de lièvre,peaux de lièvre,6a,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Peaux de mouton,peaux de mouton,peaux de mouton,6a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Peaux sèches,peaux sèches,peaux sèches,6a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Peaux vertes,peaux vertes,peaux vertes,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Cuirs, peaux et pelleterie",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Peche,pêche (poisson),pêche (poisson),0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,99,0
Peche au poisson frais,pêche au poisson frais,pêche au poisson frais,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Peche du poisson [frais],pêche du poisson frais,pêche au poisson frais,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,1
Peignes,peignes,peignes,6j,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Mercerie,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Pelleteries,pelleterie,pelleterie,6a,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,1,0
Perche à faire des chaises,perches à faire des chaises,perches pour faire des chaises,6b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Perches pour faire des chaises,perches pour faire des chaises,perches pour faire des chaises,6b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Personnes,personnes,particuliers,9d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Êtres humains,Human beings,Other,Divers,Unknown,Inconnus,1,0,0
Petit millet,petit millet,millet petit,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Menus grains (3),,,,,,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,19,1,0
Petit reste de marchandise,petit reste de marchandise,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,0,2
Pierre,pierres,pierres,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,5,52,6
Pierre a batisse,pierres à bâtisse,pierres à bâtir,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Pierre a eguiser,pierres à aiguiser,pierres à aiguiser,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Pierre ardoise,pierres ardoise,ardoises,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,Not coffee,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierre de jays,pierres de jais,pierres de jais,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Pierre de taille,pierres de taille,pierres de taille,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,6
Pierre de tailles,pierres de taille,pierres de taille,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Pierre à aiguiser,pierres à aiguiser,pierres à aiguiser,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Pierre à bâtir,pierres à bâtir,pierres à bâtir,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,0,7,0
Pierre à chaux,pierres à chaux,pierres à chaux,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Pierres,pierres,pierres,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,50,10
Pierres [pour la rade],pierres pour la rade,pierres pour la rade,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,6,0
Pierres ardoises,pierres ardoise,ardoises,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,Not coffee,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,0,3
Pierres calcaires,pierres calcaires,pierres calcaires,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierres de chaux,pierres de chaux,pierres à chaux,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Pierres de construction,pierres de construction,pierres à bâtir,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierres de marbre,pierres de marbre,pierres de marbre,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Marbre brut et ouvré,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierres de taille,pierres de taille,pierres de taille,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,2
Pierres ponces,pierres ponce,pierres ponces,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Pierres pour la fortification de la rade,pierres pour la fortification de la rade,pierres pour la fortification de la rade,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierres pour la rade,pierres pour la rade,pierres pour la rade,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,133,0
Pierres pour les fortifications,pierres pour les fortifications,pierres pour les fortifications,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Pierres pour les travaux du havre,pierres pour les travaux du havre,pierres pour la rade,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,3,0
Pierres pour les travaux du roi,pierres pour les travaux du roi,pierres pour les travaux du roi,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Pierres taillandiere,pierres taillandières,pierres à taillandier,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierres à bâtir,pierres à bâtir,pierres à bâtir,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,0,3,0
Pierres à chaux,pierres à chaux,pierres à chaux,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,118,0
Pierres à faire chaux,pierres à éviers,pierres à éviers,6k,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Pierret à taillandier,pierres à taillandier,pierres à taillandier,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
