numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,total,prix_unitaire,remarks
6770,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Angleterre,812.5,19182.5,812.833333333,
6771,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Danemark,200.0,19182.5,200.0,
6772,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Genève,1162.0,19182.5,1162.0,
6773,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Hollande,7320.0,19182.5,7320.0,
6774,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Isles,240.0,19182.5,240.0,
6775,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Nord,8520.0,19182.5,8520.0,
6776,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne,Portugal,360.0,19182.5,360.0,
6777,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Chalons,Allemagne,48403.25,48403.25,48403.4166667,
6778,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Allemagne,19440.0,47172.25,19440.0,
6779,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Espagne,876.75,47172.25,877.25,
6780,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Flandre,1260.0,47172.25,1260.0,
6781,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Hollande,19801.25,47172.25,19801.4166667,
6782,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Italie,2065.0,47172.25,2065.0,
6783,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Portugal,866.25,47172.25,866.416666667,
6784,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Savoye,1631.0,47172.25,1631.0,
6785,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de Reims,Suisse,1232.0,47172.25,1232.0,
6786,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de montagne,Allemagne,196844.75,367363.0,196845.25,
6787,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de montagne,Flandre,170298.25,367363.0,170298.416667,
6788,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de montagne,Hollande,220.0,367363.0,220.0,
6789,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de rivière,Allemagne,8328.75,25428.75,8329.25,
6790,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Champagne ; de rivière,Flandre,17100.0,25428.75,17100.0,
6791,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Charente,Hollande,1400.0,1400.0,1400.0,
6792,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Chipre,Gènes,160.0,160.0,160.0,
6793,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Cognac,Hollande,13750.0,22762.5,13750.0,
6794,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Cognac,Nord,9012.5,22762.5,9012.83333333,
6795,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Comté,Allemagne,81860.0,120580.0,81860.0,
6796,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,131,Vin ; de Comté,Suisse,38720.0,120580.0,38720.0,
6810,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Danemark,15730.0,645727.0,15730.0,
6811,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Espagne,84608.0,645727.0,84608.0,
6812,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Flandre,156960.0,645727.0,156960.0,
6813,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Hollande,166140.0,645727.0,166140.0,
6814,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Isles,22458.0,645727.0,22458.0,
6815,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Nord,188550.0,645727.0,188550.0,
6816,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Russie,87.0,645727.0,87.0,
6817,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de France,Suède,11194.0,645727.0,11194.0,
6818,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Frontignan,Isles,650.0,650.0,650.0,
6819,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de La Rochelle,Isles,41090.0,41090.0,41090.0,
6820,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Langres,Allemagne,6650.0,7932.5,6650.0,
6821,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Langres,Flandre,1260.0,7932.5,1260.0,
6822,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Langres,Italie,22.5,7932.5,22.8333333333,
6823,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Languedoc,Espagne,4060.0,595442.5,4060.0,
6824,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Languedoc,Hollande,417680.0,595442.5,417680.0,
6825,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Languedoc,Isles,1190.0,595442.5,1190.0,
6826,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Languedoc,Italie,151112.5,595442.5,151112.833333,
6827,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Languedoc,Nord,21400.0,595442.5,21400.0,
6828,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Lyon,Allemagne,816.0,78116.75,816.0,
6829,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Lyon,Genève,5268.75,78116.75,5269.25,
6830,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Lyon,Savoye,72032.0,78116.75,72032.0,
6831,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de Madère,Portugal,1500.0,1500.0,1500.0,
6832,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; de liqueur,Allemagne,75.0,75.0,75.0,
6833,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; jauge ; Gros bard,Allemagne,8995.0,9145.0,8995.0,
6834,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; jauge ; Gros bard,Flandre,150.0,9145.0,150.0,
6835,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; jauge ; Paris,Flandre,75.0,75.0,75.0,
6836,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Danemark,48.0,21431.1,48.0,
6837,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Espagne,2807.1,21431.1,2807.16666667,
6838,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Gènes,3456.0,21431.1,3456.0,
6839,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Hollande,684.0,21431.1,684.0,
6840,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Italie,5004.0,21431.1,5004.0,
6841,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Levant,4680.0,21431.1,4680.0,
6842,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Naples,1152.0,21431.1,1152.0,
6843,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Russie,72.0,21431.1,72.0,
6844,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,132,Vin ; muscat,Savoye,3528.0,21431.1,3528.0,
6864,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Danemark,90.0,218722.5,90.0,
6865,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Flandre,103905.0,218722.5,103905.0,
6866,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Hollande,4410.0,218722.5,4410.0,
6867,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Isles,6840.0,218722.5,6840.0,
6868,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Nord,92700.0,218722.5,92700.0,
6869,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; Nantois,Suède,10777.5,218722.5,10777.8333333,
6870,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; d'Orléans,Allemagne,2400.0,26755.0,2400.0,
6871,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; d'Orléans,Flandre,24355.0,26755.0,24355.0,
6872,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; de Quercy,Isles,5400.0,5400.0,5400.0,
6873,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; de Rez,Hollande,7140.0,18550.0,7140.0,Vin de l'île de Ré
6874,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; de Rez,Nord,11410.0,18550.0,11410.0,
6875,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; de Saint Jean,Nord,145.0,145.0,145.0,
6876,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; de Saintonges,Isles,5500.0,5500.0,5500.0,
6877,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; ordinaire,Portugal,240.0,240.0,240.0,
6878,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Allemagne,2138.5,2028192.4,2138.83333333,
6879,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Angleterre,466.0,2028192.4,466.0,
6880,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Espagne,15654.15,2028192.4,15654.25,
6881,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Genève,6.0,2028192.4,6.0,
6882,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Gènes,583537.75,2028192.4,583538.25,
6883,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Hollande,4280.0,2028192.4,4280.0,
6884,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Isles,1197728.0,2028192.4,1197728.0,
6885,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Italie,76251.0,2028192.4,76251.0,
6886,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Levant,26792.0,2028192.4,26792.0,
6887,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Naples,3341.0,2028192.4,3341.0,
6888,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Nord,792.0,2028192.4,792.0,
6889,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Portugal,56.0,2028192.4,56.0,
6890,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Russie,32.0,2028192.4,32.0,
6891,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vin ; rouge,Savoye,117118.0,2028192.4,117118.0,
6892,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Allemagne,1052.0,155503.5,1052.0,
6893,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Angleterre,267.0,155503.5,267.0,
6894,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Danemark,21096.0,155503.5,21096.0,
6895,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Espagne,20812.25,155503.5,20812.4166667,
6896,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Flandre,2025.0,155503.5,2025.0,
6897,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Gènes,490.0,155503.5,490.0,
6898,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Hollande,50167.5,155503.5,50167.8333333,
6899,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Isles,1860.0,155503.5,1860.0,
6900,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,133,Vinaigre,Levant,90.0,155503.5,90.0,
6920,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Nord,36930.0,155503.5,36930.0,
6921,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Portugal,13140.0,155503.5,13140.0,
6922,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Russie,1302.0,155503.5,1302.0,
6923,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Savoye,2536.75,155503.5,2537.25,
6924,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Suisse,135.0,155503.5,135.0,
6925,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vinaigre,Suède,3600.0,155503.5,3600.0,
6926,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vipères,Flandre,9.0,9.0,9.0,
6927,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Virez,Espagne,36.0,36.0,36.0,
6928,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vitriol,Espagne,778.8,2293.8,779.333333333,
6929,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,134,Vitriol,Genève,948.0,2293.8,948.0,
