numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
680,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Housses de drap,La Guadeloupe,150,,Guyenne,,,,0,3339
681,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de poisson,St Domingue,1520,3800,Guyenne,livres,,,0,
682,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de poisson,St Domingue,1450,2900,Pêches françaises,livres,,,0,
683,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de lin,St Domingue,32715,65430,Étranger,livres,,,0,42537
684,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de lin,La Martinique,7022,14045,Étranger,livres,,,0,42537
685,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de lin,La Guadeloupe,2800,5600,Étranger,livres,,,0,42537
686,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile de lin,Sénégal et Guinée,2048,4097,Étranger,livres,,,0,
687,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile d'olive,St Domingue,153656,192070,Provence,livres,,Erreur de calcul pour le total (résultat du pdf : 218152),0,218549
688,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile d'olive,La Martinique,44636,55795,Provence,livres,,Erreur de calcul pour le total (résultat du pdf : 218152),0,218549
689,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile d'olive,La Guadeloupe,18270,22838,Provence,livres,,Erreur de calcul pour le total (résultat du pdf : 218152),0,218549
690,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile d'olive,Cayenne et Guyanne,1987,1590,Provence,livres,,Erreur de calcul pour le total (résultat du pdf : 218152),0,218549
691,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Huile d'olive,Sénégal et Guinée,6852,8565,Provence,livres,,,0,
692,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Instruments divers,St Domingue,7502,,,,,Pas de quantité indiquée,0,8902
693,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Instruments divers,La Martinique,600,,,,,Pas de quantité indiquée,0,8902
694,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Instruments divers,La Guadeloupe,800,,,,,Pas de quantité indiquée,0,8902
695,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Instruments divers,Sénégal et Guinée,920,,,,,,0,
696,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Joncs,St Domingue,750,,Bretagne,,,,0,
697,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Jus de citron,Sénégal et Guinée,320,160,Provence,pots,,Doute sur l'unité,0,
698,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Laine filée,Sénégal et Guinée,1000,250,Étranger,livres,,,0,
699,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Laine filée,St Domingue,2187,1215,Guyenne,livres,,,0,
700,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,St Domingue,1650,,,,,Pas de quantité indiquée,0,1914
701,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,La Guadeloupe,264,,,,,Pas de quantité indiquée,0,1914
702,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,St Domingue,34400,344000,Guyenne,livres,,,0,48576
703,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,La Martinique,8064,80640,Guyenne,livres,,,0,48576
704,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,La Guadeloupe,4662,46625,Guyenne,livres,,,0,48576
705,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,Cayenne et Guyanne,1450,14500,Guyenne,livres,,,0,48576
706,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes divers,Sénégal et Guinée,28765,287650,Guyenne,livres,,,0,
707,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,St Domingue,3780,28980,Étranger,livres,,,0,4530
708,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,La Guadeloupe,750,5750,Étranger,livres,,,0,4530
709,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,Sénégal et Guinée,67950,520950,Étranger,livres,,,0,
710,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,St Domingue,780,5980,Guyenne,livres,,,0,
711,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,St Domingue,600,4600,Bretagne,livres,,,0,
712,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes fèves,Sénégal et Guinée,16200,124200,Bretagne,livres,,,0,
713,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Légumes pois verts,Sénégal et Guinée,1500,6500,Étranger,livres,,,0,
714,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Librairie,St Domingue,2916,2916,Guyenne,volumes,,,0,
715,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Liège en bouchons,St Domingue,55117,7349,Guyenne,milliers,,,0,64395
716,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Liège en bouchons,La Martinique,5408,721,Guyenne,milliers,,,0,64395
717,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Liège en bouchons,La Guadeloupe,3660,488,Guyenne,milliers,,,0,64395
718,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Liège en bouchons,Cayenne et Guyanne,210,28,Guyenne,milliers,,,0,64395
719,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Liège en bouchons,Sénégal et Guinée,112,15,Guyenne,,,,0,
720,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,76170,7617,Maine,en nombre,,,0,78940
721,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Martinique,2590,259,Maine,en nombre,,,0,78940
722,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Guadeloupe,60,6,Maine,en nombre,,,0,78940
723,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,Cayenne et Guyanne,120,12,Maine,en nombre,,,0,78940
724,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,Sénégal et Guinée,2860,286,Maine,en nombre,,,0,
725,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,52850,5285,Flandres,en nombre,,,0,
726,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Guadeloupe,1200,120,Flandres,en nombre,,,0,
727,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,Sénégal et Guinée,2720,272,Flandres,en nombre,,,0,
728,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,21350,2135,Bretagne,en nombre,,,0,27530
729,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Martinique,3720,372,Bretagne,en nombre,,,0,27530
730,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Guadeloupe,2460,246,Bretagne,en nombre,,,0,27530
731,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,390,39,Guyenne,en nombre,,,0,1110
732,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Martinique,720,72,Guyenne,en nombre,,,0,1110
733,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,3140,314,Poitou,en nombre,,,0,4460
734,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,La Guadeloupe,1320,132,Poitou,en nombre,,,0,4460
735,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,Sénégal et Guinée,770,77,Poitou,en nombre,,,0,
736,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,9,Lingerie en chemises garnies,St Domingue,4220,422,Angoumois,en nombre,,,0,
737,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises unies,St Domingue,2580,430,Guyenne,en nombre,,,0,
738,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises unies,St Domingue,8982,1497,Flandres,en nombre,,,0,10182
739,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises unies,La Guadeloupe,1200,200,Flandres,en nombre,,,0,10182
740,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises unies,St Domingue,450,90,Maine,en nombre,,,0,
741,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises à nègres,St Domingue,912,304,Guyenne,en nombre,,,0,
742,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises à nègres,St Domingue,4389,1463,Flandres,en nombre,,,0,
743,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises à nègres,Sénégal et Guinée,900,300,Flandres,en nombre,,,0,
744,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Lingerie en chemises à nègres,St Domingue,855,285,Poitou,en nombre,,,0,
745,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Linge de table,St Domingue,51523,,Flandres,,,Pas de quantité indiquée,0,61095
746,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Linge de table,La Martinique,6216,,Flandres,,,Pas de quantité indiquée,0,61095
747,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Linge de table,La Guadeloupe,3356,,Flandres,,,Pas de quantité indiquée,0,61095
748,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Linge de table,Sénégal et Guinée,1104,,Flandres,,,Pas de quantité indiquée,0,
749,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Liqueurs,St Domingue,75351,"218,03125",Guyenne,muids,,,0,90480
751,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Liqueurs,La Martinique,11952,"34,5833333333",Guyenne,muids,,,0,90480
753,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Liqueurs,La Guadeloupe,2391,"6,9201388889",Guyenne,muids,,,0,90480
755,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Liqueurs,Cayenne et Guyanne,786,"2,2743055556",Guyenne,muids,,,0,90480
757,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Liqueurs,Sénégal et Guinée,9297,"26,9027777778",Guyenne,muids,,,0,
759,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Anisette,St Domingue,68362,"169,5486111111",Guyenne,muids,,,0,82894
761,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Anisette,La Martinique,10262,"25,4513888889",Guyenne,muids,,,0,82894
763,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Anisette,La Guadeloupe,3850,"9,5486111111",Guyenne,muids,,,0,82894
765,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Anisette,Cayenne et Guyanne,420,"1,0416666667",Guyenne,muids,,,0,82894
767,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Anisette,Sénégal et Guinée,8015,"19,8784722222",Guyenne,muids,,,0,
769,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Ratafia,St Domingue,225,100,Guyenne,bouteilles,,,0,409
770,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Ratafia,La Guadeloupe,184,82,Guyenne,bouteilles,,,0,409
771,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Marchandises melées,St Domingue,2082,,,,,Pas de quantité indiquée,0,4885
772,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Marchandises melées,La Martinique,1197,,,,,Pas de quantité indiquée,0,4885
773,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Marchandises melées,La Guadeloupe,879,,,,,Pas de quantité indiquée,0,4885
774,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Marchandises melées,Cayenne et Guyanne,727,,,,,Pas de quantité indiquée,0,4885
775,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Marchandises melées,Sénégal et Guinée,1740,,,,,Pas de quantité indiquée,0,
776,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meches à canon,St Domingue,2791,16420,Guyenne,livres,,,0,3750
777,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meches à canon,La Martinique,551,3240,Guyenne,livres,,,0,3750
778,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meches à canon,La Guadeloupe,326,1920,Guyenne,livres,,,0,3750
779,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meches à canon,Cayenne et Guyanne,82,480,Guyenne,livres,,,0,3750
780,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meches à canon,Sénégal et Guinée,469,3760,Guyenne,livres,,,0,
781,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,9310,,Lyonnais,,,Pas de quantité indiquée,0,10643
782,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Martinique,268,,Lyonnais,,,Pas de quantité indiquée,0,10643
783,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Guadeloupe,1065,,Lyonnais,,,Pas de quantité indiquée,0,10643
784,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,1988,,Pays d'Aunis,,,Pas de quantité indiquée,0,
785,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,6454,,Languedoc,,,Pas de quantité indiquée,0,6934
786,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Cayenne et Guyanne,480,,Languedoc,,,Pas de quantité indiquée,0,6934
787,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,10747,,Languedoc,,,Pas de quantité indiquée,0,
788,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,29237,,Isle de France,,,Pas de quantité indiquée,0,32255
789,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Martinique,198,,Isle de France,,,Pas de quantité indiquée,0,32255
790,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Guadeloupe,2820,,Isle de France,,,Pas de quantité indiquée,0,32255
791,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,9367,,Isle de France,,,Pas de quantité indiquée,0,
792,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,16458,,Normandie,,,Pas de quantité indiquée,0,24212
793,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Martinique,5935,,Normandie,,,Pas de quantité indiquée,0,24212
794,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Guadeloupe,1819,,Normandie,,,Pas de quantité indiquée,0,24212
795,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,6390,,Normandie,,,Pas de quantité indiquée,0,
796,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,19440,,Guyenne,,,Pas de quantité indiquée,0,19740
797,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Martinique,300,,Guyenne,,,Pas de quantité indiquée,0,19740
798,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,1000,,Guyenne,,,Pas de quantité indiquée,0,
799,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,St Domingue,19492,,Étranger,,,Pas de quantité indiquée,0,21172
800,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,La Martinique,1680,,Étranger,,,Pas de quantité indiquée,0,21172
801,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,18312,,Étranger,,,Pas de quantité indiquée,0,
802,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie,Sénégal et Guinée,2355,,Provence,,,Pas de quantité indiquée,0,
803,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie fine,St Domingue,840,,Angoumois,,,Pas de quantité indiquée,0,
804,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie fine,St Domingue,1700,,Poitou,,,Pas de quantité indiquée,0,2250
805,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Mercerie fine,La Martinique,550,,Poitou,,,Pas de quantité indiquée,0,2250
806,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,10,Meules à taillandiers,St Domingue,210,70,Étranger,en nombre,,,0,354
