numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,leurvaleursubtotal_1
313,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Harengs,Possessions anglaises,5600,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,57965
318,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Huile de poissons et à brûler,Possessions anglaises,20870,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,245020
324,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Indigo,Possessions anglaises,54000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,64000
327,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Maïs,Possessions anglaises,1302,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,34081
332,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Nègres,Possessions anglaises,394000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,559000
336,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Poisson divers salé,Possessions anglaises,4338,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,17664
340,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Morue,Possessions anglaises,44689,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,179434
346,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Ris,Possessions anglaises,1400,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,96511
350,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Suif,Possessions anglaises,1300,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,63141
356,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Tabac,Possessions anglaises,1316,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,52932
365,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des îles sucre brun,Possessions anglaises,8390,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,138109
369,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Objets divers,Possessions anglaises,31474,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,667600
162,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies rhum,Possessions danoises,7800,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1787,941312
168,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies sirop,Possessions danoises,16080,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1793,4159044
173,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies tafia,Possessions danoises,1520,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1798,289805
188,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Farine,Possessions danoises,1050,,,Marchandises originaires de France,154238
204,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Liqueurs diverses,Possessions danoises,10000,,,Marchandises originaires de France,544628
214,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,"Marchandises diverses mêlées comme chandelles, liqueurs, huile, savon, vin, etc",Possessions danoises,3050,,,Marchandises originaires de France,496385
224,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Savon,Possessions danoises,21500,,,Marchandises originaires de France,243795
241,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Vin de France,Possessions danoises,4710,,,Marchandises originaires de France,684176
247,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Vin de liqueur étranger,Possessions danoises,40900,,,Marchandises originaires de France,148510
256,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bêtes de somme,Possessions danoises,5600,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,100030
260,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Beurre,Possessions danoises,3480,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,34540
265,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de charonage,Possessions danoises,6160,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,123647
271,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de construction,Possessions danoises,22200,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,969985
278,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois merain en feuillard,Possessions danoises,10495,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,135725
283,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de toutes sortes,Possessions danoises,3063,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,54808
296,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Chairs salées,Possessions danoises,5362,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,73450
310,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Grains et graines diverses,Possessions danoises,1125,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,18038
314,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Harengs,Possessions danoises,7500,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,57965
320,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Huile de poissons et à brûler,Possessions danoises,1870,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,245020
329,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Maïs,Possessions danoises,1485,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,34081
337,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Poisson divers salé,Possessions danoises,4881,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,17664
342,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Morue,Possessions danoises,11734,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,179434
352,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Suif,Possessions danoises,2295,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,63141
358,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Tabac,Possessions danoises,2610,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,52932
371,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Objets divers,Possessions danoises,19817,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,667600
159,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies rhum,Possessions des Etats unis de l'Amérique,778132,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1784,941312
165,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies sirop,Possessions des Etats unis de l'Amérique,3647001,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1790,4159044
171,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies tafia,Possessions des Etats unis de l'Amérique,173635,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1796,289805
180,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Drap de laine,Possessions des Etats unis de l'Amérique,133500,,,Marchandises originaires de France,
181,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Eau de vie,Possessions des Etats unis de l'Amérique,127076,,,Marchandises originaires de France,196516
186,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Farine,Possessions des Etats unis de l'Amérique,80450,,,Marchandises originaires de France,154238
193,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Fruits secs,Possessions des Etats unis de l'Amérique,1500,,,Marchandises originaires de France,44153
196,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Huile d'olive,Possessions des Etats unis de l'Amérique,3750,,,Marchandises originaires de France,44002
201,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Liqueurs diverses,Possessions des Etats unis de l'Amérique,29745,,,Marchandises originaires de France,544628
207,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Marchandises sèches,Possessions des Etats unis de l'Amérique,205305,,,Marchandises originaires de France,623433
211,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,"Marchandises diverses mêlées comme chandelles, liqueurs, huile, savon, vin, etc",Possessions des Etats unis de l'Amérique,1600,,,Marchandises originaires de France,496385
221,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Savon,Possessions des Etats unis de l'Amérique,30550,,,Marchandises originaires de France,243795
226,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Sel,Possessions des Etats unis de l'Amérique,300703,,,Marchandises originaires de France,308887
231,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Toilerie de toute sorte,Possessions des Etats unis de l'Amérique,5880,,,Marchandises originaires de France,648578
238,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Vin de France,Possessions des Etats unis de l'Amérique,90335,,,Marchandises originaires de France,684176
249,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Argent monnoyé,Possessions des Etats unis de l'Amérique,6000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,6440
251,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bestiaux en animaux,Possessions des Etats unis de l'Amérique,59410,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,62660
254,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bêtes de somme,Possessions des Etats unis de l'Amérique,41030,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,100030
262,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de charonage,Possessions des Etats unis de l'Amérique,29552,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,123647
268,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de construction,Possessions des Etats unis de l'Amérique,120950,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,969985
275,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois merain en feuillard,Possessions des Etats unis de l'Amérique,56985,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,135725
280,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bois de toutes sortes,Possessions des Etats unis de l'Amérique,32479,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,54808
287,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Bray goudron et térébentine,Possessions des Etats unis de l'Amérique,4187,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,13947
290,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Cacao,Possessions des Etats unis de l'Amérique,14708,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,63048
293,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Chairs salées,Possessions des Etats unis de l'Amérique,27862,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,73450
298,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Citrons et oranges,Possessions des Etats unis de l'Amérique,8220,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,11764
301,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Cordages,Possessions des Etats unis de l'Amérique,6690,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,8470
303,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Côtes de baleine,Possessions des Etats unis de l'Amérique,40000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,43000
305,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Cuirs en poil,Possessions des Etats unis de l'Amérique,16020,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,
306,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Cuirs tannés,Possessions des Etats unis de l'Amérique,8304,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,9824
308,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Grains et graines diverses,Possessions des Etats unis de l'Amérique,11147,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,18038
312,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Harengs,Possessions des Etats unis de l'Amérique,24190,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,57965
317,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Huile de poissons et à brûler,Possessions des Etats unis de l'Amérique,135605,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,245020
323,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Indigo,Possessions des Etats unis de l'Amérique,2000,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,64000
326,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Maïs,Possessions des Etats unis de l'Amérique,6240,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,34081
335,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Poisson divers salé,Possessions des Etats unis de l'Amérique,2870,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,17664
339,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Morue,Possessions des Etats unis de l'Amérique,43068,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,179434
345,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Ris,Possessions des Etats unis de l'Amérique,35013,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,96511
349,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Suif,Possessions des Etats unis de l'Amérique,2970,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,63141
355,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Tabac,Possessions des Etats unis de l'Amérique,3050,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,52932
361,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des îles coton,Possessions des Etats unis de l'Amérique,20534,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,23878
364,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des îles sucre brun,Possessions des Etats unis de l'Amérique,97616,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,138109
367,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des îles rocou,Possessions des Etats unis de l'Amérique,18648,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,
368,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Objets divers,Possessions des Etats unis de l'Amérique,70914,,,Marchandises qui ne peuvent être regardées exclusivement comme originaires de France,667600
161,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies rhum,Possessions espagnoles,8900,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1786,941312
167,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies sirop,Possessions espagnoles,41316,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1792,4159044
172,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Denrées des colonies tafia,Possessions espagnoles,63550,,,Marchandises dont l'exportation des colonies pour l'étranger est permise par l'arrêt du 30 août 1797,289805
175,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Chapeaux,Possessions espagnoles,26700,,,Marchandises originaires de France,29196
177,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Chaudières en marmites de potin,Possessions espagnoles,34910,,,Marchandises originaires de France,47420
179,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Dentelle,Possessions espagnoles,13500,,,Marchandises originaires de France,
183,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Eau de vie,Possessions espagnoles,43113,,,Marchandises originaires de France,196516
187,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Farine,Possessions espagnoles,64500,,,Marchandises originaires de France,154238
191,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Exports,Colonies Françaises de l'Amérique,4,Fer en clous,Possessions espagnoles,34425,,,Marchandises originaires de France,
