numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,origine,quantity_unit,Leurvaleursubtotal_1,remarks,Double compte
277,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Guadeloupe,4200,21600,Isle de France,livres,39550,,0
278,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,Sénégal et Guinée,8827,40123,Russie,livres,,,0
279,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,St Domingue,28578,129900,Suède,livres,36080,,0
280,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,La Martinique,3410,15500,Suède,livres,36080,,0
281,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,La Guadeloupe,2728,12400,Suède,livres,36080,,0
282,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,Tabago,1364,6200,Suède,livres,36080,,0
283,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,Sénégal et Guinée,36063,163925,Suède,livres,,,0
284,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en barres,Sénégal et Guinée,2080,9458,Hollande,livres,,,0
285,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en ancres,Sénégal et Guinée,700,1400,Angleterre,livres,,,0
286,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en ancres,Sénégal et Guinée,3697,7394,Bayonne,livres,,,0
287,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en ancres,Sénégal et Guinée,714,1428,Hollande,livres,,,0
288,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en poids à peser,St Domingue,1032,4692,Rouen,livres,2007,,0
289,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en poids à peser,La Martinique,847,3850,Rouen,livres,2007,,0
290,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en poids à peser,Tabago,128,580,Rouen,livres,2007,,0
291,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer ouvré,St Domingue,1200,3001,Le Havre,livres,1320,,0
292,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer ouvré,La Guadeloupe,120,300,Le Havre,livres,1320,,0
293,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer ouvré,Tabago,3600,8000,Angleterre,livres,,,0
294,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer ouvré,Sénégal et Guinée,2861,6359,Angleterre,livres,,,0
295,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé,St Domingue,1100,4144,Rouen,livres,,,0
296,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé en chaudières et marmites,St Domingue,111646,507484,Rouen,livres,124807,,0
297,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé en chaudières et marmites,La Martinique,12941,58823,Rouen,livres,124807,,0
298,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé en chaudières et marmites,Tabago,220,1000,Rouen,livres,124807,,0
299,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé en chaudières et marmites,Sénégal et Guinée,1346,6120,Rouen,livres,,,0
300,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer coulé en chaudières et marmites,Sénégal et Guinée,650,3000,Angleterre,livres,,,0
301,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,St Domingue,50523,91860,Le Havre,livres,69256,,0
302,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,La Martinique,15950,29000,Le Havre,livres,69256,,0
303,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,La Guadeloupe,2200,4000,Le Havre,livres,69256,,0
304,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,Tabago,583,1060,Le Havre,livres,69256,,0
305,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,Sénégal et Guinée,68,124,Le Havre,livres,,,0
306,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,Tabago,23622,22950,Angleterre,livres,,,0
307,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferrement pour nègres,Sénégal et Guinée,1515,2189,Angleterre,livres,,,0
308,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en fléaux de balances,St Domingue,6600,66,Rouen,en nombre,6950,,0
309,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en fléaux de balances,La Martinique,200,2,Rouen,en nombre,6950,,0
310,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fer en fléaux de balances,Tabago,150,1,Rouen,en nombre,6950,,0
311,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferblanterie,St Domingue,3600,,Le Havre,,4340,Pas de quantité indiquée,0
312,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferblanterie,Tabago,740,,Le Havre,,4340,Pas de quantité indiquée,0
313,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Ferblanterie,Sénégal et Guinée,140,,Le Havre,,,Pas de quantité indiquée,0
314,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,St Domingue,7687,1337,Lille,livres,11884,,0
315,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,La Martinique,1725,300,Lille,livres,11884,,0
316,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,La Guadeloupe,2472,430,Lille,livres,11884,,0
317,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,St Domingue,5795,1220,Rouen,livres,7077,,0
318,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,La Martinique,332,70,Rouen,livres,7077,,0
319,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,La Guadeloupe,950,200,Rouen,livres,7077,,0
320,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,St Domingue,6750,3000,Rennes,livres,10350,,0
321,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre,La Martinique,3600,1600,Rennes,livres,10350,,0
322,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre gris,St Domingue,2500,780,Morlaix,livres,,,0
323,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fil à coudre à voiles,St Domingue,1140,950,Le Havre,livres,,,0
324,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,St Domingue,600,1100,Lyon,livres,,,0
325,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,St Domingue,3367,4490,Gruyere,livres,,,0
326,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,St Domingue,6107,8511,Hollande,livres,9659,,0
327,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,La Martinique,2922,4870,Hollande,livres,9659,,0
328,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,La Guadeloupe,630,1050,Hollande,livres,9659,,0
329,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,Sénégal et Guinée,2550,4250,Hollande,livres,,,0
330,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,Tabago,101,135,Angleterre,livres,,,0
331,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fromage,Sénégal et Guinée,250,334,Angleterre,livres,,,0
332,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Fruits à l'eau de vie,Sénégal et Guinée,1424,,Bordeaux,,,Pas de quantité indiquée,0
333,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Futailles vides,St Domingue,46830,1338,Le Havre,en nombre,89730,,0
334,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Futailles vides,La Martinique,34500,1150,Le Havre,en nombre,89730,,0
335,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Futailles vides,La Guadeloupe,8400,280,Le Havre,en nombre,89730,,0
336,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Futailles vides,Sénégal et Guinée,2440,804,Le Havre,en nombre,,,0
337,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Gaze de soye,St Domingue,1040,13,Paris,livres,,,0
338,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Gaze de soye,La Martinique,480,6,Paris,livres,,,0
339,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Gaze de soye,Tabago,20,52,Paris,aunes,,,0
340,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Glaces encadrées,St Domingue,9250,,Paris,,,Pas de quantité indiquée,0
341,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Glaces encadrées,La Martinique,425,,Paris,,,Pas de quantité indiquée,0
342,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Grains comestibles (avoine),La Guadeloupe,440,5600,Le Havre,livres,1220,,0
343,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Grains comestibles (avoine),Tabago,780,10000,Le Havre,livres,1220,,0
344,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Ris,Sénégal et Guinée,31374,104580,Angleterre,livres,,,0
345,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Ris,Sénégal et Guinée,2850,9500,Etats-Unis,livres,,,0
346,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Hamacs de coton,La Martinique,540,30,Rouen,en nombre,600,,0
347,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Hamacs de coton,Tabago,60,3,Rouen,en nombre,600,,0
348,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Hardes diverses,St Domingue,10865,,,,22005,Pas de quantité indiquée,0
349,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Hardes diverses,La Martinique,290,,,,22005,Pas de quantité indiquée,0
350,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Hardes diverses,Tabago,10850,,,,22005,Pas de quantité indiquée,0
351,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Harnais pour chevaux,La Martinique,500,,Rouen,,,,0
352,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile de lin,La Martinique,232,580,Le Havre,livres,372,,0
353,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile de lin,Tabago,140,350,Le Havre,livres,372,,0
354,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile de lin,Sénégal et Guinée,216,540,Le Havre,livres,,,0
355,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,St Domingue,7843,8715,Oncille,livres,15943,,0
356,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,La Martinique,8100,9000,Oncille,livres,15943,,0
357,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,Sénégal et Guinée,113,126,Oncille,livres,,,0
358,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,St Domingue,7665,7665,Nice,livres,22365,,0
359,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,La Martinique,10500,10500,Nice,livres,22365,,0
360,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,La Guadeloupe,4200,4200,Nice,livres,22365,,0
361,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,St Domingue,6586,6586,Marseille,livres,13266,,0
362,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,La Martinique,6680,6680,Marseille,livres,13266,,0
363,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Huile d'olive,Sénégal et Guinée,1218,1218,Marseille,livres,,,0
364,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Instruments de musique,St Domingue,3075,,Paris,,6025,Pas de quantité indiquée,0
365,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Instruments de musique,La Martinique,1150,,Paris,,6025,Pas de quantité indiquée,0
366,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Instruments de musique,La Guadeloupe,1800,,Paris,,6025,Pas de quantité indiquée,0
367,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Instruments de musique,Sénégal et Guinée,90,,Paris,,,Pas de quantité indiquée,0
368,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Légumes (fèves),Sénégal et Guinée,87108,580720,Hollande,livres,,,0
369,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Légumes (fèves),Sénégal et Guinée,26748,178323,Angleterre,livres,,,0
370,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Légumes (fèves),Tabago,1350,9000,Angleterre,livres,,,0
371,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Pois,St Domingue,270,1800,Normandie,livres,570,,0
372,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Pois,La Guadeloupe,300,2000,Normandie,livres,570,,0
373,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Librairie,St Domingue,1800,,Paris,,,Pas de quantité indiquée,0
374,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Liège en bouchons,Tabago,916,367,Marseille,livres,,,0
375,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Liège en bouchons,Sénégal et Guinée,2200,1100,Marseille,livres,,,0
376,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,St Domingue,14970,,Lille,,27098,Pas de quantité indiquée,0
377,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,La Martinique,2708,,Lille,,27098,Pas de quantité indiquée,0
378,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,La Guadeloupe,9420,,Lille,,27098,Pas de quantité indiquée,0
379,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,St Domingue,3839,,Alençon,,8989,Pas de quantité indiquée,0
380,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,La Martinique,5150,,Alençon,,8989,Pas de quantité indiquée,0
381,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,St Domingue,2600,,Amiens,,3500,Pas de quantité indiquée,0
382,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,La Martinique,900,,Amiens,,3500,Pas de quantité indiquée,0
383,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de table,St Domingue,1750,,Bretagne,,,Pas de quantité indiquée,0
384,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises diverses,St Domingue,4000,400,Bretagne,en nombre,4600,,0
385,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises diverses,La Martinique,600,100,Bretagne,en nombre,4600,,0
386,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises,St Domingue,35338,4096,Bretagne,en nombre,39790,,0
387,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises,La Martinique,1440,120,Bretagne,en nombre,39790,,0
388,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises,La Guadeloupe,3012,251,Laval,en nombre,39790,,0
389,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises communes,St Domingue,7040,1564,Lille,en nombre,,,0
390,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises à nègres,St Domingue,6200,1550,Lille,en nombre,,,0
391,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises garnies,La Martinique,1300,288,Mayenne,en nombre,,,0
392,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Linge de corps en chemises,La Martinique,250,250,Paris,en nombre,,,0
393,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Liqueurs diverses,St Domingue,496,,,,746,Pas de quantité indiquée,0
394,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Liqueurs diverses,La Martinique,250,,,,746,Pas de quantité indiquée,0
395,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Liqueurs diverses,Sénégal et Guinée,822,,,,,Pas de quantité indiquée,0
396,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Anisette,St Domingue,130,104,Bordeaux,,,,0
397,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Anisette,Sénégal et Guinée,6677,21,Bordeaux,,,,0
398,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Anisette,Sénégal et Guinée,6677,22,Bordeaux,,,,0
399,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Marchandises diverses à la valeur,St Domingue,4066,,,,8175,Pas de quantité indiquée,0
400,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Marchandises diverses à la valeur,La Martinique,1408,,,,8175,Pas de quantité indiquée,0
401,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Marchandises diverses à la valeur,La Guadeloupe,340,,,,8175,Pas de quantité indiquée,0
402,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Marchandises diverses à la valeur,Tabago,2361,,,,8175,Pas de quantité indiquée,0
403,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Marchandises diverses à la valeur,Sénégal et Guinée,4078,,,,,Pas de quantité indiquée,0
404,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Mercerie mêlée,St Domingue,105275,,Paris,,154855,Pas de quantité indiquée,0
405,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Mercerie mêlée,La Martinique,19305,,Paris,,154855,Pas de quantité indiquée,0
406,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,33,Mercerie mêlée,La Guadeloupe,28600,,Paris,,154855,Pas de quantité indiquée,0
