numrodeligne,source,sourcepath,sourcetype,year,exportsimports,direction,marchandises,pays,quantity_unit,prix_unitaire,probleme,remarks,quantit,value
334,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cadenats,Hollande,Douzaines,,,,8,0
335,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canelle,Hollande,Livres,,,,1183.5,0
336,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canelle,Hollande,Onces,,,,4,0
337,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canne a main,Hollande,Jets,12,,,49,0
338,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cannes garnies de leurs flacons,Hollande,Nombres,,,,4,0
339,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cannetille,Hollande,Boëtes,,,,2,0
340,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 2 livres de calibre,Hollande,Nombres,,,,4,0
341,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 3 livres de calibre,Hollande,Nombres,,,,4,0
342,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 4 livres de bale,Hollande,Nombres,,,,8,0
343,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Carte marine,Hollande,Nombres,,,,35,0
344,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cartes marines,Hollande,Douzaines,,,,7,0
345,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaise garnie de maroquin,Hollande,Nombres,,,,24,0
346,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaise roulante,Hollande,Nombres,,,,2,400
347,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaises,Hollande,Pièces,"2,25",0,,8,18
348,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chanvre,Hollande,Livres,,,,15020,0
349,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chanvre cru,Hollande,Livres,,,,8000,0
350,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chenille de bois,Hollande,Livres,,,,9000,0
351,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chocolat,Hollande,Livres,,,,118,0
352,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cire jaune,Hollande,Livres,,,,200,0
353,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Citrons,Hollande,Caisses,,,,47,0
354,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Citrons,Hollande,Caisses,25,225,,10,25
355,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Citrons,Hollande,Nombres,,,,3000,0
356,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cochenille,Hollande,Barils,,,,10,0
357,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cocon,Hollande,Livres,,,,7200,0
358,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Coffre de commodité,Hollande,Nombres,,,,2,0
359,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Coffre fort de fer,Hollande,Nombres,,,,1,0
360,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Coffres de bois,Hollande,Nombres,,,,3,0
361,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Colle,Hollande,Livres,,,,70,0
362,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Colle de poisson,Hollande,Livres,,,,400,0
363,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Colle forte,Hollande,Livres,,,,1335,0
364,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cordage,Hollande,Livres,,,,47944,0
365,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cordages,Hollande,Livres,,,,111250,0
366,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Couteaux,Hollande,Livres,,,,2769,0
367,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Couteaux communs,Hollande,Douzaines,2,0,,80,160
368,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Couteaux communs,Hollande,Livres,,,,8174,0
369,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Couteaux flamans,Hollande,Livres,,,,2336,0
370,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Crayons de bois,Hollande,Douzaines,,,,44,0
371,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir de beuf,Hollande,Nombres,,,,108,0
372,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir de roussy,Hollande,Livres,,,,59,0
373,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir de vache,Hollande,Nombres,,,,18,0
374,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir de vache tanné,Hollande,Nombres,,,,116,0
375,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir tanné,Hollande,Nombres,,,,81,0
376,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuirs de beuf tannés,Hollande,Nombres,,,,618,0
377,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre doré,Hollande,Livres,,,,12,0
378,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre e feuilles,Hollande,Livres,,,,2338,0
379,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre en chaudron,Hollande,Livres,,,,2464,0
380,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre en mitraille,Hollande,Livres,,,,1166,0
381,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre ouvré,Hollande,Livres,,,,184,0
382,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre rouge en feuilles,Hollande,Livres,1,0,,1002,1002
383,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Echelle de bois,Hollande,Nombres,,,,1,0
384,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Echelles,Hollande,Nombres,,,,2,0
385,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Epicerie,Hollande,Livres,,,,628,0
386,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Etuis garnis …,Hollande,Nombres,,,,2,0
387,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Faucilles,Hollande,Livres,,,,1043,0
388,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Faux a faucher,Hollande,Livres,,,,1499,0
389,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fayence,Hollande,Douzaines,20,0,,9,180
390,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fayence,Hollande,Livres,,,,1037,0
391,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer a cercles,Hollande,Livres,,,,20090,0
392,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer a cercles,Hollande,Livres,"0,15",0,,4850,727.5
393,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer blanc,Hollande,Barils,,,,46,0
394,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer blanc,Hollande,Barils,,,1 baril = 450 feuilles,21,0
395,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer blanc,Hollande,Barils,120,,,19,0
396,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer blanc,Hollande,Barils,150,0,1 baril = 450 feuilles,61,9150
397,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer blanc,Hollande,Barils,50,0,,8,400
398,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer de fonte ouvré,Hollande,Livres,,,,1270,0
399,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer de Suede en barres,Hollande,Livres,,,,30750,0
400,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Hollande,Livres,,,,405096,0
401,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Hollande,Livres,120,,120 livres le millier,39976,0
402,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en boulets,Hollande,Livres,,,,5025,0
403,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en boulets de canon,Hollande,Livres,,,,3000,0
404,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en feuilles,Hollande,Livres,,,,12327,0
405,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en feuïlles pour cercles,Hollande,Livres,,,,22000,0
406,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en grenades,Hollande,Livres,,,,1300,0
407,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en plaques,Hollande,Livres,,,,782,0
408,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en poëlerie,Hollande,Livres,,,,1498,0
409,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en poeteries,Hollande,Livres,,,,1769,0
410,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en verge,Hollande,Livres,,,,14700,0
411,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en verges,Hollande,Livres,,,,61757,0
412,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer noir,Hollande,Barils,120,0,,3,360
413,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer noir,Hollande,Livres,,,,536,0
414,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré,Hollande,Livres,,,,26567,0
415,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré,Hollande,Nombres,,,,16,0
416,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré en cloux,Hollande,Livres,,,,1000,0
417,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré en cloux,Hollande,Livres,"0,2",0,,47005,9401
418,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré en poids,Hollande,Livres,,,,800,0
419,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer poëterie,Hollande,Livres,,,,3350,0
420,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Figues,Hollande,Livres,,,,3800,0
421,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Figues,Hollande,Pièces,7,0,,20,140
422,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil a cable,Hollande,Livres,,,,10455,0
423,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil a voile,Hollande,Livres,,,,3564,50
424,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil blanc,Hollande,Livres,,,,6565,0
425,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de caret,Hollande,Livres,,,,53474,0
426,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de caret,Hollande,Livres,"0,2",0,,50000,10000
427,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de caret,Hollande,Livres,"0,3",0,,80000,24000
428,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de fer,Hollande,Livres,,,,1155,0
429,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fil de laiton,Hollande,Livres,,,,74,0
430,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Filain a faire cordage,Hollande,Livres,,,,21000,0
431,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Flambeau de mer,Hollande,Nombres,,,,1,0
432,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fleches,Hollande,Nombres,,,,4,0
433,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fougons,Hollande,Nombres,,,,10,0
434,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fromage,Hollande,Livres,,,,31941,0
435,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fromage,Hollande,Livres,"0,25",0,,2500,625
436,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fromage,Hollande,Livres,"0,3",0,,850,255
437,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaine a couteaux,Hollande,Livres,,,,300,0
438,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaudron,Hollande,Barils,,,,391,0
439,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaudron,Hollande,Barils,15,-6,,50,756
440,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaudron,Hollande,Barils,15,0,,631,9465
441,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaules de sapin,Hollande,Brins,,,,42,0
442,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gaules pour mâts a bateau,Hollande,Nombres,,,,8,0
443,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gerofle,Hollande,Livres,,,,448,0
444,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de choux,Hollande,Livres,,,,1636,0
445,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de jardin,Hollande,Livres,,,,312,0
446,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Hollande,Barils,48,0,,3486,167328
447,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Hollande,Barils,55,0,,633,34815
448,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Hollande,Boisseaux,,,,10263,0
449,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Grelin,Hollande,Nombres,,,,1,0
450,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Grenades de fer,Hollande,Livres,,,,300,0
451,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gueridon,Hollande,Nombres,,,,1,0
452,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gueridons peints,Hollande,Nombres,,,,12,0
453,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans blanc,Hollande,Barils,,,,387.5,0
454,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans blancs,Hollande,Barils,,,,248.5,0
455,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans blancs,Hollande,Barils,8,0,,12,96
456,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Harans sorés,Hollande,Barils,,,,1,0
457,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de lin,Hollande,Bariques,,,,4.75,0
458,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de lin,Hollande,Bariques,,,1 barique = 108 pots,6,0
459,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de lin,Hollande,Livres,,,,14078,0
460,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de lin,Hollande,Pots,"1,5",0,,69,103.5
461,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Hollande,Bariques,120,0,,39.25,4710
462,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Hollande,Livres,,,,83740,0
463,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Hollande,Livres,"0,25",0,,3380,845
464,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson en lie,Hollande,Livres,,,,3600,0
465,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huiles d'olive,Hollande,Pipes,,,,6,0
466,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Jambon,Hollande,Livres,,,,839,0
467,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Jambons,Hollande,Livres,,,,620,0
468,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Jambons,Hollande,Livres,"0,5",0,,276,138
469,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Jettons de cuivre,Hollande,Livres,,,,2,0
470,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine,Hollande,Livres,,,,1600,0
471,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine de Pologne,Hollande,Livres,,,,200,0
472,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine seuine,Hollande,Livres,,,,5850,0
473,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Limes de fer,Hollande,Douzaines,,,,40,0
474,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lin,Hollande,Livres,,,,10,0
475,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lin cru,Hollande,Livres,,,,12300,0
476,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lin peigné,Hollande,Livres,,,,280,0
477,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lin peigné,Hollande,Livres,"0,75",0,,100,75
478,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Liqueur,Hollande,Canevettes,,,,2,0
479,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Livre journal en papier blanc,Hollande,Nombres,,,,1,0
480,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Livres de commerce,Hollande,Nombres,,,,3,0
481,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Lunettes,Hollande,Douzaines,,,,6,0
482,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Marbre en mortiers,Hollande,Caisses,,,,1,0
483,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mâtereaux,Hollande,Nombres,,,,100,500
484,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mâts,Hollande,Nombres,,,,177,2000
485,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mats de sapin,Hollande,Nombres,,,,4,0
486,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mats de sapin,Hollande,Pièces,,,,72,0
487,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mats de sapin,Hollande,,,,,0,6000
488,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mâts de sapin,Hollande,Nombres,,,,26,0
489,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mâts de vaisseaux,Hollande,Nombres,,,,8,0
490,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mats…,Hollande,Nombres,,,,6,0
491,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mature complette d'un vaisseau,Hollande,Nombres,,,,1,0
492,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mature d'un vaisseau…,Hollande,Nombres,,,,1,0
493,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mature de vaisseaux,Hollande,Nombres,,,,2,0
494,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mature de vaisseaux complette…,Hollande,Nombres,,,,2,0
495,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Matures de vaisseaux complettes…,Hollande,Nombres,,,,2,0
496,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Meche,Hollande,Livres,,,,50,0
497,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain,Hollande,Douëlles,,,,2000,0
498,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a barique,Hollande,Douelles,,,,700,0
499,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a bariques,Hollande,Douëlles,,,,2500,0
500,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain a pipes,Hollande,Douëlles,,,,20900,0
501,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Merain pipaille,Hollande,Douëlles,,,,8000,0
502,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mine de plomb,Hollande,Livres,,,,1534,0
503,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Miroir de poche,Hollande,Douzaines,,,,6.5,0
