numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_2,remarks,doubleaccounts
1185,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Royaume de GENES,15000,,740000,,0
1186,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Empire ottoman et barbarie,1200,,740000,,0
1187,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Royaume de Naples,4400,,740000,,0
1188,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Royaume de sardaigne,35000,,740000,,0
1189,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Empire d'Autriche,8300,,740000,,0
1190,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Empire de Russie,27900,,740000,,0
1191,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,Angleterre,50100,,740000,,0
1192,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Parfumerie,"Colonies francaises en Amérique,Asie et afrique",508900,,740000,,0
1193,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Royaume d'Espagne,109700,,3557800,,0
1194,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Hollande,130700,,3557800,,0
1195,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Etats d'Allemagne,328400,,3557800,,0
1196,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,République de suisse,743900,,3557800,,0
1197,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Etats-Unis d'Amérique,10400,,3557800,,0
1198,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Villes anséatiques,40300,,3557800,,0
1199,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Royaume de Danemarck,26000,,3557800,,0
1200,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Royaume de Suede,20800,,3557800,,0
1201,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Savons,Milanes et toscane,20600,,3557800,,0
1202,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Royaume de GENES,25400,,3557800,,0
1203,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Empire ottoman et barbarie,50100,,3557800,,0
1204,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Royaume de sardaigne,83800,,3557800,,0
1205,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Empire d'Autriche,87500,,3557800,,0
1206,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Empire de Russie,2800,,3557800,,0
1207,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,Angleterre,75300,,3557800,,0
1208,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Savons,"Colonies francaises en Amérique,Asie et afrique",1802100,,3557800,,0
1209,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Royaume d'Espagne,27800,,1016500,,0
1210,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Hollande,181800,,1016500,,0
1211,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Royaume de Prusse,4500,,1016500,,0
1212,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Etats d'Allemagne,27400,,1016500,,0
1213,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,République de suisse,17400,,1016500,,0
1214,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Etats-Unis d'Amérique,28800,,1016500,,0
1215,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Villes anséatiques,12800,,1016500,,0
1216,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Royaume de Danemarck,1200,,1016500,,0
1217,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Verrerie,Milanes et toscane,2200,,1016500,,0
1218,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Royaume de GENES,10400,,1016500,,0
1219,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Empire ottoman et barbarie,13200,,1016500,,0
1220,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Royaume de Naples,1900,,1016500,,0
1221,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Royaume de sardaigne,99200,,1016500,,0
1222,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Empire d'Autriche,4700,,1016500,,0
1223,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Empire de Russie,1700,,1016500,,0
1224,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Etats de Rome,4000,,1016500,,0
1225,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,Angleterre,6700,,1016500,,0
1226,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Verrerie,"Colonies francaises en Amérique,Asie et afrique",570800,,1016500,,0
1227,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Royaume d'Espagne,35200,,250900,,0
1228,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Hollande,8300,,250900,,0
1229,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Etats d'Allemagne,10100,,250900,,0
1230,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,République de suisse,22300,,250900,,0
1231,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Etats-Unis d'Amérique,3000,,250900,,0
1232,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Royaume de Suede,9600,,250900,,0
1233,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Porcelaine,Milanes et toscane,1800,,250900,,0
1234,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,Royaume de GENES,4700,,250900,,0
1235,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,Royaume de sardaigne,6100,,250900,,0
1236,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,Empire d'Autriche,34600,,250900,,0
1237,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,Royaume de Portugal,2600,,250900,,0
1238,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,Angleterre,82000,,250900,,0
1239,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Porcelaine,"Colonies francaises en Amérique,Asie et afrique",30600,,250900,,0
1240,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Royaume d'Espagne,21000,,1061300,,0
1241,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Royaume de Prusse,2900,,1061300,,0
1242,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Etats d'Allemagne,40900,,1061300,,0
1243,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,République de suisse,32200,,1061300,,0
1244,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Villes anséatiques,23900,,1061300,,0
1245,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Royaume de Danemarck,6000,,1061300,,0
1246,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Bijouterie,Milanes et toscane,5400,,1061300,,0
1247,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Royaume de genes,7400,,1061300,,0
1248,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Royaume de Naples,1800,,1061300,,0
1249,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Royaume de sardaigne,8300,,1061300,,0
1250,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Empire d'Autriche,59600,,1061300,,0
1251,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Empire de Russie,99200,,1061300,,0
1252,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,Royaume de Portugal,1600,,1061300,,0
1253,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,République de VENISE,1000,,1061300,,0
1254,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Bijouterie,"Colonies francaises en Amérique,Asie et afrique",750100,,1061300,,0
1255,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Cordages,"Colonies francaises en Amérique,Asie et afrique",1185700,,1185700,,0
1256,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Dorures fines,Royaume d'Espagne,83000,,1442900,,0
1257,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Dorures fines,Hollande,15000,,1442900,,0
1258,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Dorures fines,Etats d'Allemagne,199100,,1442900,,0
1259,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Dorures fines,République de suisse,14400,,1442900,,0
1260,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Empire ottoman et barbarie,59700,,1442900,,0
1261,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Royaume de Naples,5000,,1442900,,0
1262,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Royaume de sardaigne,649600,,1442900,,0
1263,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Empire d'Autriche,38500,,1442900,,0
1264,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Empire de Russie,16200,,1442900,,0
1265,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Etats de Rome,3100,,1442900,,0
1266,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,Angleterre,5200,,1442900,,0
1267,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Dorures fines,"Colonies francaises en Amérique,Asie et afrique",354100,,1442900,,0
1268,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Royaume d'Espagne,148400,,774900,,0
1269,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Hollande,23400,,774900,,0
1270,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Etats d'Allemagne,41500,,774900,,0
1271,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,République de suisse,47300,,774900,,0
1272,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Villes anséatiques,17000,,774900,,0
1273,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Royaume de Danemarck,1700,,774900,,0
1274,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Royaume de Suede,5900,,774900,,0
1275,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Librairie,Milanes et toscane,11500,,774900,,0
1276,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Royaume de Genes,17700,,774900,,0
1277,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Empire ottoman et barbarie,4400,,774900,,0
1278,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Royaume de Naples,30500,,774900,,0
1279,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Royaume de sardaigne,17600,,774900,,0
1280,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Empire d'Autriche,114500,,774900,,0
1281,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Empire de Russie,56800,,774900,,0
1282,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Royaume de Portugal,32700,,774900,,0
1283,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Etats de Rome,3700,,774900,,0
1284,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,Angleterre,144700,,774900,,0
1285,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Librairie,"Colonies francaises en Amérique,Asie et afrique",55600,,774900,,0
1286,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Royaume d'Espagne,28200,,1879000,,0
1287,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,République de suisse,2500,,1879000,,0
1288,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Etats-Unis d'Amérique,6400,,1879000,,0
1289,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Royaume de Genes,1800,,1879000,,0
1290,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Royaume de sardaigne,2700,,1879000,,0
1291,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Royaume de Portugal,1300,,1879000,,0
1292,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,"Colonies francaises en Amérique,Asie et afrique",1836100,,1879000,,0
1293,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages divers,Royaume d'Espagne,40300,,144600,,0
1294,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages divers,Hollande,2500,,144600,,0
1295,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages divers,Etats d'Allemagne,12900,,144600,,0
1296,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages divers,République de suisse,3700,,144600,,0
1297,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages divers,Etats-Unis d'Amérique,1500,,144600,,0
1298,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages divers,Empire d'Autriche,46700,,144600,,0
1299,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages divers,Angleterre,3800,,144600,,0
1300,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages divers,République de VENISE,4400,,144600,,0
1301,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages divers,"Colonies francaises en Amérique,Asie et afrique",28800,,144600,,0
1302,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuivre doré et argenté,Hollande,2300,,76400,,0
1303,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuivre doré et argenté,Etats d'Allemagne,6700,,76400,,0
1304,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de cuivre doré et argenté,Milanes et toscane,16500,,76400,,0
1305,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,Royaume de Genes,5300,,76400,,0
1306,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,Royaume de Naples,1000,,76400,,0
1307,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,Royaume de sardaigne,13400,,76400,,0
1308,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,Empire d'Autriche,15200,,76400,,0
1309,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,Etats de Rome,1900,,76400,,0
1310,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de cuivre doré et argenté,"Colonies francaises en Amérique,Asie et afrique",14100,,76400,,0
1311,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume d'Espagne,64100,,762300,,0
1312,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Hollande,26800,,762300,,0
1313,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de Prusse,1900,,762300,,0
1314,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Etats d'Allemagne,140800,,762300,,0
1315,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,République de suisse,52900,,762300,,0
1316,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Etats-Unis d'Amérique,1400,,762300,,0
1317,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Villes anséatiques,5400,,762300,,0
1318,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de Suede,1900,,762300,,0
1319,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Ouvrages de modes et fleurs artificielles,Milanes et toscane,5300,,762300,,0
1320,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de Genes,1000,,762300,,0
1321,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de sardaigne,235500,,762300,,0
1322,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Empire d'Autriche,48300,,762300,,0
1323,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Empire de Russie,24800,,762300,,0
1324,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de Portugal,1500,,762300,,0
1325,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Etats de Rome,2300,,762300,,0
1326,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,Angleterre,9600,,762300,,0
1327,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de modes et fleurs artificielles,"Colonies francaises en Amérique,Asie et afrique",138800,,762300,,0
1328,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Ouvrages de terre cuite,"Colonies francaises en Amérique,Asie et afrique",610300,,610300,,0
1329,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Passementerie,Royaume d'Espagne,25900,,56900,,0
1330,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Passementerie,Hollande,1600,,56900,,0
1331,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Passementerie,Etats d'Allemagne,1200,,56900,,0
1332,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,11,///Industrie générale///Passementerie,Milanes et toscane,1400,,56900,,0
1333,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,12,///Industrie générale///Passementerie,Royaume de sardaigne,12400,,56900,,0
