numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,doubleaccounts
845,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,Hollande,29000,1264400,0
846,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,Etats de l'Allemagne,39000,1264400,0
847,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,République de suisse,153800,1264400,0
848,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,Etats-Unis d'amérique,10600,1264400,0
849,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,Royaume de Suède,25300,1264400,0
850,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages divers,Milanes et toscane,14400,1264400,0
851,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,République de Genes,21000,1264400,0
852,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,Royaume de Sardaigne,48600,1264400,0
853,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,Empire d'Autriche,118600,1264400,0
854,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,Empire de Russie,10900,1264400,0
855,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,Angleterre,167800,1264400,0
856,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages divers,"Colonies francaises en Asie,Afrique en Amérique",538800,1264400,0
857,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de cuivre doré et argenté,Royaume d'Espagne,49200,83600,0
858,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de cuivre doré et argenté,Etats de l'Allemagne,10500,83600,0
859,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages de cuivre doré et argenté,Empire d'Autriche,20300,83600,0
860,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages de cuivre doré et argenté,"Colonies francaises en Asie,Afrique en Amérique",3600,83600,0
861,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume d'Espagne,25300,710400,0
862,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de modes et fleurs artificielles,Hollande,71800,710400,0
863,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de modes et fleurs artificielles,Etats de l'Allemagne,91700,710400,0
864,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Ouvrages de modes et fleurs artificielles,République de suisse,17200,710400,0
865,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages de modes et fleurs artificielles,Royaume de Sardaigne,371900,710400,0
866,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages de modes et fleurs artificielles,Empire d'Autriche,33300,710400,0
867,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Ouvrages de modes et fleurs artificielles,"Colonies francaises en Asie,Afrique en Amérique",99200,710400,0
868,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Armes,"Colonies francaises en Asie,Afrique en Amérique",735500,735500,0
869,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,Royaume d'Espagne,680000,2959900,0
870,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,Hollande,13300,2959900,0
871,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,Etats de l'Allemagne,16100,2959900,0
872,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,République de suisse,228800,2959900,0
873,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,Villes anséatiques,21500,2959900,0
874,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Peaux et pelleteries,Milanes et toscane,53600,2959900,0
875,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,République de Genes,47200,2959900,0
876,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,Royaume de Sardaigne,263200,2959900,0
877,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,Empire d'Autriche,249600,2959900,0
878,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,Royaume de Potugal,988300,2959900,0
879,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,Angleterre,103000,2959900,0
880,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Peaux et pelleteries,"Colonies francaises en Asie,Afrique en Amérique",295300,2959900,0
881,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Royaume d'Espagne,330900,2495400,0
882,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Hollande,176400,2495400,0
883,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Royaume de Prusse,30500,2495400,0
884,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Etats de l'Allemagne,12800,2495400,0
885,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,République de suisse,76000,2495400,0
886,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Etats-Unis d'amérique,10400,2495400,0
887,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Villes anséatiques,291200,2495400,0
888,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Royaume de Danemarck,34000,2495400,0
889,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papiers à écrire,Royaume de Suède,26600,2495400,0
890,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Empire ottoman et barbarie,453400,2495400,0
891,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Royaume de Sardaigne,30200,2495400,0
892,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Empire d'Autriche,12100,2495400,0
893,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Empire de Russie,153800,2495400,0
894,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Royaume de Potugal,208600,2495400,0
895,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,Angleterre,78200,2495400,0
896,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papiers à écrire,"Colonies francaises en Asie,Afrique en Amérique",570300,2495400,0
897,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papier pour tenture,Royaume d'Espagne,47700,212400,0
898,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papier pour tenture,Etats de l'Allemagne,40100,212400,0
899,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Papier pour tenture,République de suisse,16700,212400,0
900,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papier pour tenture,Royaume de Sardaigne,44600,212400,0
901,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papier pour tenture,Empire d'Autriche,37800,212400,0
902,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Papier pour tenture,Angleterre,25500,212400,0
903,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Royaume d'Espagne,295900,3965800,0
904,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Hollande,193500,3965800,0
905,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Etats de l'Allemagne,143900,3965800,0
906,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,République de suisse,214400,3965800,0
907,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Etats-Unis d'amérique,12900,3965800,0
908,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Villes anséatiques,35000,3965800,0
909,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Industrie générale///Articles d'industrie réunis,Royaume de Danemarck,46600,3965800,0
910,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,République de Genes,19900,3965800,0
911,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Empire ottoman et barbarie,136900,3965800,0
912,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Royaume de Naples,45300,3965800,0
913,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Royaume de Sardaigne,163400,3965800,0
914,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Empire d'Autriche,614900,3965800,0
915,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Empire de Russie,79700,3965800,0
916,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,Angleterre,376000,3965800,0
917,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Articles d'industrie réunis,"Colonies francaises en Asie,Afrique en Amérique",1587500,3965800,0
918,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Cauris,"Colonies francaises en Asie,Afrique en Amérique",568100,568100,0
919,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Industrie générale///Jeux de voiles,"Colonies francaises en Asie,Afrique en Amérique",2154000,2154000,0
920,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Quinquina,Hollande,86200,239700,0
921,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Quinquina,Villes anséatiques,29400,239700,0
922,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Quinquina,Milanes et toscane et luques,19100,239700,0
923,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Quinquina,République de Genes,79100,239700,0
924,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Quinquina,"Colonies francaises en Asie,Afrique en Amérique",25900,239700,0
925,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Safran,Royaume de Hollande,47100,515700,0
926,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Safran,Etats de l'Allemagne,32100,515700,0
927,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Safran,République de suisse,46000,515700,0
928,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Safran,Royaume de Sardaigne,27000,515700,0
929,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Safran,Empire d'Autriche,243400,515700,0
930,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Safran,Angleterre,120100,515700,0
931,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,Royaume d'Espagne,23700,1139500,0
932,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,Royaume de Hollande,89600,1139500,0
933,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,République de suisse,143200,1139500,0
934,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,Villes anséatiques,17500,1139500,0
935,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,Royaume de Suède,53600,1139500,0
936,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues médicinales///Drogues médicinales réunies,Milanes et toscane et luques,44200,1139500,0
937,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Drogues médicinales réunies,République de Genes,39000,1139500,0
938,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Drogues médicinales réunies,Royaume de Sardaigne,24000,1139500,0
939,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Drogues médicinales réunies,Empire d'Autriche,144600,1139500,0
940,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Drogues médicinales réunies,Angleterre,63200,1139500,0
941,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues médicinales///Drogues médicinales réunies,"Colonies francaises en Asie,Afrique en Amérique",496900,1139500,0
942,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Gommes diverses,Royaume d'Espagne,187300,1094900,0
943,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Gommes diverses,Royaume de Hollande,104200,1094900,0
944,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Gommes diverses,République de suisse,254700,1094900,0
945,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Gommes diverses,Villes anséatiques,114500,1094900,0
946,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Gommes diverses,Milanes et toscane et luques,78100,1094900,0
947,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Gommes diverses,Empire d'Autriche,216500,1094900,0
948,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Gommes diverses,Angleterre,139600,1094900,0
949,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Huile et essence de térébenthine,Royaume de Prusse,31100,118800,0
950,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Huile et essence de térébenthine,République de suisse,11600,118800,0
951,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Huile et essence de térébenthine,Villes anséatiques,11700,118800,0
952,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Huile et essence de térébenthine,Royaume de Naples,10800,118800,0
953,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Huile et essence de térébenthine,Empire d'Autriche,24200,118800,0
954,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Huile et essence de térébenthine,Angleterre,29400,118800,0
955,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Royaume d'Espagne,14700,756300,0
956,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Royaume de Hollande,121200,756300,0
957,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Etats de l'Allemagne,24300,756300,0
958,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,République de suisse,210000,756300,0
959,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Villes anséatiques,66500,756300,0
960,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Royaume de Danemarck,31700,756300,0
961,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Drogues diverses///Drogues diverses réunies,Milanes et toscane et luques,77700,756300,0
962,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,République de Genes,42800,756300,0
963,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,Royaume de Sardaigne,69100,756300,0
964,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,Empire d'Autriche,12500,756300,0
965,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,Empire de Russie,24700,756300,0
966,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,Etats de Rome,25400,756300,0
967,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Drogues diverses///Drogues diverses réunies,Angleterre,35700,756300,0
968,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Matieres d'Or et d'argent///Orfévrerie,Royaume d'Espagne,257200,484700,0
969,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Matieres d'Or et d'argent///Orfévrerie,Royaume de Hollande,38000,484700,0
970,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Matieres d'Or et d'argent///Orfévrerie,Etats de l'Allemagne,100500,484700,0
971,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Matieres d'Or et d'argent///Orfévrerie,République de suisse,11000,484700,0
972,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Matieres d'Or et d'argent///Orfévrerie,Villes anséatiques,16800,484700,0
973,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Matieres d'Or et d'argent///Orfévrerie,Empire d'Autriche,42000,484700,0
974,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Matieres d'Or et d'argent///Orfévrerie,Angleterre,19200,484700,0
975,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Matieres d'Or et d'argent///Monnaies au type étranger,"Colonies francaises en Asie,Afrique en Amérique",619000,619000,0
976,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume d'Espagne,208200,3223300,0
977,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Hollande,143400,3223300,0
978,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Prusse,77400,3223300,0
979,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Etats de l'Allemagne,168800,3223300,0
980,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,République de suisse,82100,3223300,0
981,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Etats-Unis d'amérique,91800,3223300,0
982,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Villes anséatiques,81800,3223300,0
983,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Danemarck,84300,3223300,0
984,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Suède,83600,3223300,0
985,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,6,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Milanes et toscane et luques,282000,3223300,0
986,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,République de Genes,186100,3223300,0
987,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Empire ottoman et barbarie,229200,3223300,0
988,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Naples,164700,3223300,0
989,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Sardaigne,186900,3223300,0
990,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Empire d'Autriche,266300,3223300,0
991,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Empire de Russie,111400,3223300,0
992,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Royaume de Potugal,154100,3223300,0
993,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,7,///Articles réunis///D'une valeur moindre de 2000 francs chacun,Etats de Rome,109400,3223300,0
